split,game,half_file,tracker_mode,run_dir,second,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,goal_in_next_30s,goal_in_next_60s,seconds_to_next_goal,next_goal_team
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,0,1124.085,1266.9203,1129.0007,1270.2679,1045.7622,0.340493,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,1,986.564,1305.6698,1077.7469,1263.02,920.6429,0.404577,137.521021,38.749448,51.253848,7.247871,125.119278,0.064084,-0.072478,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,2,967.5447,1260.8589,1076.7303,1238.3775,923.8969,0.387232,78.270167,41.780139,26.135205,15.945205,64.186627,0.040715,-1.030746,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,3,940.4937,1254.8301,1310.631,1250.994,833.9469,0.366315,61.197119,29.863032,95.390345,14.835651,72.774423,0.034115,-1.122422,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,4,1115.5646,1034.6101,1615.8851,779.9202,920.1523,0.36655,89.665564,77.452264,147.856299,128.895181,76.132167,0.025645,-0.373991,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,5,1162.9024,1030.9721,1516.8987,1046.8745,587.8508,0.374306,81.200019,62.689428,138.082324,156.506988,127.366039,0.022067,-0.355194,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,6,864.6944,1275.7056,810.9264,1092.5216,1046.8179,0.300019,117.368025,93.030114,232.730651,138.030348,182.632878,0.03077,0.534896,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,7,1055.6352,1556.0716,665.0789,1436.7577,1319.2387,0.429357,127.878425,119.79238,220.318767,167.488306,195.459726,0.044851,1.039809,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,8,1101.0276,1570.6682,836.7207,1280.6726,1551.9259,0.441353,117.567678,106.642908,214.234143,166.062905,200.113169,0.040745,0.835383,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/minimap_gate_smoke_20260308/runs/local_001_a4a87543a9_bytetrack,9,1070.638,1551.3985,773.9224,1133.0365,1558.2443,0.445613,107.881229,96.934768,197.407936,164.015473,178.580418,0.036691,0.544744,0,0,,
