frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
0,player,1,player,home,1.0,0.85022,645,430,696,538,670.5,538.0,6275.1934,3764.2798,187.6137,124.2396,6,4,0.37997,0.42222,0.59831
0,player,2,player,away,1.0,0.84411,1179,421,1225,539,1202.0,539.0,7150.5039,3931.0464,211.8306,129.1235,6,4,0.44535,0.36199,0.4112
0,player,3,player,home,1.0,0.83268,830,207,866,265,848.0,265.0,6704.7397,492.0508,199.4978,28.4101,6,4,0.37561,0.42589,0.61154
0,player,4,player,away,0.9379,0.81791,1112,255,1147,334,1129.5,334.0,7196.6362,1604.6273,213.1069,60.9927,6,4,0.37296,0.3171,0.35349
0,player,5,player,home,1.0,0.81715,1038,222,1073,294,1055.5,294.0,7092.8555,1028.8456,210.2357,44.1305,6,4,0.4216,0.46419,0.60922
0,player,6,player,away,1.0,0.81207,295,296,332,383,313.5,383.0,5615.3638,1846.4575,169.3584,68.0748,6,4,0.52207,0.4689,0.45742
0,player,7,player,home,1.0,0.79259,1193,244,1223,330,1208.0,330.0,7344.9648,1591.0907,217.2107,60.5962,6,4,0.43277,0.45346,0.63897
0,player,8,player,home,1.0,0.7897,599,243,631,313,615.0,313.0,6215.6631,1052.4908,185.9667,44.8229,6,4,0.37607,0.42098,0.60916
0,player,9,player,home,0.8356,0.78114,1089,201,1113,261,1101.0,261.0,7211.5767,584.7791,213.5203,31.1257,6,4,0.41044,0.4314,0.54508
0,player,10,player,home,0.6286,0.77911,461,235,492,311,476.5,311.0,5933.5791,946.2695,178.1624,41.7122,6,4,0.47549,0.44955,0.50924
1,player,1,player,home,1.0,0.84525,644,430,695,538,669.5,538.0,6273.4922,3763.9749,187.5666,124.2307,6,4,0.38424,0.42597,0.6023
1,player,2,player,away,1.0,0.84115,1177,419,1224,538,1200.5,538.0,7148.8672,3920.9233,211.7853,128.827,6,4,0.45108,0.35979,0.41275
1,player,3,player,home,1.0,0.81513,829,210,864,265,846.5,265.0,6701.7026,491.1397,199.4138,28.3834,6,4,0.37463,0.41617,0.59628
1,player,4,player,away,0.9379,0.81695,1110,255,1145,334,1127.5,334.0,7192.9409,1603.6495,213.0047,60.964,6,4,0.39973,0.35513,0.38099
1,player,5,player,home,1.0,0.81956,1035,221,1070,293,1052.5,293.0,7087.9512,1013.282,210.1,43.6747,6,4,0.4234,0.46735,0.60501
1,player,6,player,away,1.0,0.82075,292,297,329,383,310.5,383.0,5609.3892,1845.0134,169.1931,68.0325,6,4,0.52306,0.46459,0.45623
1,player,7,player,home,1.0,0.7933,1191,244,1221,329,1206.0,329.0,7342.3203,1577.1366,217.1375,60.1876,6,4,0.43502,0.45617,0.63315
1,player,8,player,home,1.0,0.79171,596,241,628,314,612.0,314.0,6209.4341,1064.9366,185.7943,45.1874,6,4,0.38764,0.43151,0.61544
1,player,9,player,home,0.8356,0.75653,1087,200,1112,261,1099.5,261.0,7208.6396,583.8916,213.439,31.0997,6,4,0.41995,0.43995,0.56115
1,player,10,player,home,0.6286,0.77437,459,235,489,311,474.0,311.0,5928.4287,944.8482,178.0199,41.6706,6,4,0.47087,0.42854,0.49769
2,player,1,player,home,1.0,0.84261,643,430,693,537,668.0,537.0,6271.1328,3753.3918,187.5013,123.9208,6,4,0.38763,0.42906,0.60605
2,player,2,player,away,1.0,0.83815,1175,418,1222,538,1198.5,538.0,7145.6724,3920.3503,211.6969,128.8103,6,4,0.45986,0.37529,0.42543
2,player,3,player,home,1.0,0.81949,828,211,862,265,845.0,265.0,6698.6646,490.2284,199.3297,28.3567,6,4,0.35539,0.39733,0.58118
2,player,4,player,away,0.9379,0.81065,1108,255,1143,335,1125.5,335.0,7188.3369,1615.6511,212.8773,61.3155,6,4,0.38474,0.33896,0.36823
2,player,5,player,home,1.0,0.82429,1032,222,1067,294,1049.5,294.0,7081.3188,1025.5619,209.9165,44.0343,6,4,0.41668,0.46553,0.60379
2,player,6,player,away,1.0,0.81913,289,296,327,384,308.0,384.0,5604.6992,1856.8484,169.0633,68.3791,6,4,0.51965,0.46864,0.45679
2,player,7,player,home,1.0,0.79707,1189,244,1219,329,1204.0,329.0,7338.6499,1576.1566,217.036,60.1589,6,4,0.42729,0.4492,0.64151
2,player,8,player,home,1.0,0.78737,592,241,625,314,608.5,314.0,6202.3789,1063.0004,185.5991,45.1307,6,4,0.38458,0.43043,0.61122
2,player,9,player,home,0.8356,0.77106,1086,200,1110,261,1098.0,261.0,7205.7017,583.0039,213.3577,31.0737,6,4,0.45173,0.45754,0.58357
2,player,10,player,home,0.6286,0.79003,456,235,487,312,471.5,312.0,5923.3247,957.7874,177.8787,42.0495,6,4,0.4821,0.4493,0.51348
3,player,1,player,home,1.0,0.83252,641,430,692,538,666.5,538.0,6268.3867,3763.0596,187.4254,124.2039,6,4,0.38878,0.43081,0.60498
3,player,2,player,away,1.0,0.83749,1173,418,1220,537,1196.5,537.0,7143.231,3910.0671,211.6294,128.5091,6,4,0.45894,0.37536,0.4265
3,player,3,player,home,1.0,0.81512,826,210,861,266,843.5,266.0,6695.0488,504.192,199.2297,28.7656,6,4,0.35376,0.39808,0.58369
3,player,4,player,away,0.9379,0.80454,1105,255,1140,335,1122.5,335.0,7182.7944,1614.1874,212.724,61.2726,6,4,0.39074,0.33936,0.37422
3,player,5,player,home,1.0,0.81024,1029,222,1064,294,1046.5,294.0,7075.5474,1023.9191,209.7568,43.9862,6,4,0.41302,0.46734,0.61162
3,player,6,player,away,1.0,0.81361,286,297,324,384,305.0,384.0,5598.7246,1855.4071,168.898,68.3369,6,4,0.51831,0.46665,0.45258
3,player,7,player,home,1.0,0.79808,1187,244,1217,330,1202.0,330.0,7333.9624,1588.1581,216.9063,60.5103,6,4,0.41795,0.43814,0.63191
3,player,8,player,home,1.0,0.78181,590,241,623,314,606.5,314.0,6198.3457,1061.8934,185.4876,45.0983,6,4,0.38775,0.43095,0.62214
3,player,9,player,home,0.8356,0.82012,1084,201,1108,261,1096.0,261.0,7201.7842,581.8201,213.2494,31.039,6,4,0.4722,0.46157,0.58904
3,player,10,player,home,0.6286,0.78133,453,235,484,312,468.5,312.0,5917.1445,956.085,177.7077,41.9996,6,4,0.46294,0.42573,0.48444
4,player,1,player,home,1.0,0.83279,640,430,690,538,665.0,538.0,6265.8335,3762.6018,187.3547,124.1905,6,4,0.38423,0.42581,0.60325
