second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,7.0,3.0,6665.2041,1385.4768,6643.0712,2430.9962,1124.085,1266.9203,1129.0007,1270.2679,1859.6011,1811.7764,2542384.1704,1713249.7931,1045.7622,0.340493,,,,,,,,,,0,0
1,1.0,7.84,3.0,6696.4886,1466.1008,6636.9848,2384.546,986.564,1305.6698,1077.7469,1263.02,1622.699,2036.6281,2088853.0298,1363087.2681,920.6429,0.404577,137.521021,38.749448,51.253848,7.247871,125.119278,0.064084,-0.072478,,,0,0
2,2.0,8.24,3.0,6628.8707,1367.9367,6575.9166,2290.0678,967.5447,1260.8589,1076.7303,1238.3775,1628.6504,1994.2872,2066059.3029,1176191.0714,923.8969,0.387232,78.270167,41.780139,26.135205,15.945205,64.186627,0.040715,-1.030746,,,0,0
3,3.0,10.08,3.0,6614.5207,1294.9887,6406.8159,2100.2667,940.4937,1254.8301,1310.631,1250.994,1467.951,1991.4265,2469848.0864,1133763.9944,833.9469,0.366315,61.197119,29.863032,95.390345,14.835651,72.774423,0.034115,-1.122422,,,0,0
4,4.0,10.68,2.64,6317.4092,1184.1525,6294.0394,2073.9268,1115.5646,1034.6101,1615.8851,779.9202,2214.6247,1625.4904,3741744.2203,707148.4304,920.1523,0.36655,89.665564,77.452264,147.856299,128.895181,76.132167,0.025645,-0.373991,,,0,0
5,5.0,10.72,3.8,6224.5668,1100.2928,6260.8221,1682.9362,1162.9024,1030.9721,1516.8987,1046.8745,2409.9499,1672.4028,3745008.0717,1401882.7054,587.8508,0.374306,81.200019,62.689428,138.082324,156.506988,127.366039,0.022067,-0.355194,,,0,0
6,6.0,5.76,2.96,6659.9661,1503.358,6500.8733,2494.6766,864.6944,1275.7056,810.9264,1092.5216,1675.9712,2072.5148,1352540.3397,1088550.3691,1046.8179,0.300019,117.368025,93.030114,232.730651,138.030348,182.632878,0.03077,0.534896,,,0,0
7,7.0,4.48,4.12,6718.0732,1433.582,5857.967,2411.0166,1055.6352,1556.0716,665.0789,1436.7577,1818.1774,2695.567,1280503.1487,3188179.7976,1319.2387,0.429357,127.878425,119.79238,220.318767,167.488306,195.459726,0.044851,1.039809,,,0,0
8,8.0,5.0,4.36,6325.1077,885.1072,5580.3892,2245.3614,1101.0276,1570.6682,836.7207,1280.6726,1923.5593,2873.0661,1890932.7795,3139084.0213,1551.9259,0.441353,117.567678,106.642908,214.234143,166.062905,200.113169,0.040745,0.835383,,,0,0
9,9.0,4.96,4.2,6180.2738,927.4639,5453.5142,2305.1514,1070.638,1551.3985,773.9224,1133.0365,1868.6946,2923.5612,1704859.8733,2853369.5795,1558.2443,0.445613,107.881229,96.934768,197.407936,164.015473,178.580418,0.036691,0.544744,,,0,0
