[2026-03-08 07:20:46] [batch] starting batch smoke_goalaligned_v1
[2026-03-08 07:20:46] [batch] split=train offset=0 limit=1 files=['1_224p.mkv', '2_224p.mkv', 'Labels-v2.json']
[2026-03-08 07:20:46] [batch] dataset_dir=/Users/davidmontgomery/football_pose_workbench/backend/datasets/soccernet
[2026-03-08 07:20:46] [batch] runs_root=/Users/davidmontgomery/football_pose_workbench/backend/experiments/smoke_goalaligned_v1/runs
[2026-03-08 07:20:46] [game-001] processing england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley
[2026-03-08 07:20:46] [game-001] downloading 1_224p.mkv
[2026-03-08 07:21:12] [game-001] saved 1_224p.mkv (164.87 MB)
[2026-03-08 07:21:12] [game-001] downloading 2_224p.mkv
[2026-03-08 07:21:34] [game-001] saved 2_224p.mkv (171.61 MB)
[2026-03-08 07:21:34] [game-001] already have Labels-v2.json
[2026-03-08 07:21:34] [game-001-1] Opening video: /Users/davidmontgomery/football_pose_workbench/backend/datasets/soccernet/england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/1_224p.mkv
[2026-03-08 07:21:34] [game-001-1] Device chosen: mps
[2026-03-08 07:21:34] [game-001-1] Loading detector weights: soccana
[2026-03-08 07:21:34] [game-001-1] Loading field calibration weights: soccana_keypoint
[2026-03-08 07:21:34] [game-001-1] Ball tracking enabled through the shared soccer detector
[2026-03-08 07:21:43] [game-001-1] progress=1.00
[2026-03-08 07:21:45] [game-001-1] Tracked 25 frames at 2.41 fps
[2026-03-08 07:21:47] [game-001-1] Tracked 50 frames at 4.01 fps
[2026-03-08 07:21:48] [game-001-1] Tracked 75 frames at 5.42 fps
[2026-03-08 07:21:50] [game-001-1] Tracked 100 frames at 6.66 fps
[2026-03-08 07:21:51] [game-001-1] Tracked 125 frames at 7.75 fps
[2026-03-08 07:21:52] [game-001-1] Tracked 150 frames at 8.69 fps
[2026-03-08 07:21:53] [game-001-1] Tracked 175 frames at 9.53 fps
[2026-03-08 07:21:54] [game-001-1] Tracked 200 frames at 10.26 fps
[2026-03-08 07:21:55] [game-001-1] Tracked 225 frames at 10.92 fps
[2026-03-08 07:21:56] [game-001-1] Tracked 250 frames at 11.45 fps
[2026-03-08 07:21:57] [game-001-1] Tracked 275 frames at 11.97 fps
[2026-03-08 07:21:59] [game-001-1] Tracked 300 frames at 12.42 fps
[2026-03-08 07:22:00] [game-001-1] Tracked 325 frames at 12.86 fps
[2026-03-08 07:22:01] [game-001-1] Tracked 350 frames at 13.33 fps
[2026-03-08 07:22:02] [game-001-1] Tracked 375 frames at 13.71 fps
[2026-03-08 07:22:03] [game-001-1] Tracked 400 frames at 14.13 fps
[2026-03-08 07:22:04] [game-001-1] Tracked 425 frames at 14.50 fps
[2026-03-08 07:22:05] [game-001-1] Tracked 450 frames at 14.84 fps
[2026-03-08 07:22:06] [game-001-1] Tracked 475 frames at 14.95 fps
[2026-03-08 07:22:07] [game-001-1] Tracked 500 frames at 15.25 fps
[2026-03-08 07:22:08] [game-001-1] Tracked 525 frames at 15.56 fps
[2026-03-08 07:22:09] [game-001-1] Tracked 550 frames at 15.88 fps
[2026-03-08 07:22:10] [game-001-1] Tracked 575 frames at 16.18 fps
[2026-03-08 07:22:11] [game-001-1] Tracked 600 frames at 16.46 fps
[2026-03-08 07:22:12] [game-001-1] Tracked 625 frames at 16.70 fps
[2026-03-08 07:22:13] [game-001-1] Tracked 650 frames at 16.96 fps
[2026-03-08 07:22:14] [game-001-1] Tracked 675 frames at 17.21 fps
[2026-03-08 07:22:15] [game-001-1] Tracked 700 frames at 17.45 fps
[2026-03-08 07:22:16] [game-001-1] Tracked 725 frames at 17.67 fps
[2026-03-08 07:22:16] [game-001-1] Tracked 750 frames at 17.89 fps
[2026-03-08 07:22:17] [game-001-1] Tracked 775 frames at 18.08 fps
[2026-03-08 07:22:18] [game-001-1] Tracked 800 frames at 18.26 fps
[2026-03-08 07:22:19] [game-001-1] Tracked 825 frames at 18.45 fps
[2026-03-08 07:22:20] [game-001-1] Tracked 850 frames at 18.65 fps
[2026-03-08 07:22:21] [game-001-1] Tracked 875 frames at 18.82 fps
[2026-03-08 07:22:22] [game-001-1] Tracked 900 frames at 19.00 fps
[2026-03-08 07:22:23] [game-001-1] Tracked 925 frames at 19.15 fps
[2026-03-08 07:22:24] [game-001-1] Tracked 950 frames at 19.32 fps
[2026-03-08 07:22:25] [game-001-1] Tracked 975 frames at 19.46 fps
[2026-03-08 07:22:26] [game-001-1] Tracked 1000 frames at 19.61 fps
[2026-03-08 07:22:26] [game-001-1] Tracked 1025 frames at 19.75 fps
[2026-03-08 07:22:27] [game-001-1] Tracked 1050 frames at 19.90 fps
[2026-03-08 07:22:28] [game-001-1] Tracked 1075 frames at 20.02 fps
[2026-03-08 07:22:29] [game-001-1] Tracked 1100 frames at 20.16 fps
[2026-03-08 07:22:30] [game-001-1] Tracked 1125 frames at 20.27 fps
[2026-03-08 07:22:31] [game-001-1] Tracked 1150 frames at 20.39 fps
[2026-03-08 07:22:32] [game-001-1] Tracked 1175 frames at 20.49 fps
[2026-03-08 07:22:33] [game-001-1] Tracked 1200 frames at 20.60 fps
[2026-03-08 07:22:34] [game-001-1] Tracked 1225 frames at 20.71 fps
[2026-03-08 07:22:35] [game-001-1] Tracked 1250 frames at 20.81 fps
[2026-03-08 07:22:36] [game-001-1] Tracked 1275 frames at 20.88 fps
[2026-03-08 07:22:37] [game-001-1] Tracked 1300 frames at 20.93 fps
[2026-03-08 07:22:38] [game-001-1] Tracked 1325 frames at 20.99 fps
[2026-03-08 07:22:39] [game-001-1] Tracked 1350 frames at 21.03 fps
[2026-03-08 07:22:40] [game-001-1] Tracked 1375 frames at 21.07 fps
[2026-03-08 07:22:41] [game-001-1] Tracked 1400 frames at 21.13 fps
[2026-03-08 07:22:42] [game-001-1] Tracked 1425 frames at 21.17 fps
[2026-03-08 07:22:43] [game-001-1] Tracked 1450 frames at 21.21 fps
[2026-03-08 07:22:44] [game-001-1] Tracked 1475 frames at 21.24 fps
[2026-03-08 07:22:45] [game-001-1] Tracked 1500 frames at 21.27 fps
[2026-03-08 07:22:46] [game-001-1] Tracked 1525 frames at 21.21 fps
[2026-03-08 07:22:48] [game-001-1] Tracked 1550 frames at 21.20 fps
[2026-03-08 07:22:49] [game-001-1] Tracked 1575 frames at 21.23 fps
[2026-03-08 07:22:50] [game-001-1] Tracked 1600 frames at 21.27 fps
[2026-03-08 07:22:51] [game-001-1] Tracked 1625 frames at 21.30 fps
[2026-03-08 07:22:52] [game-001-1] Tracked 1650 frames at 21.33 fps
[2026-03-08 07:22:53] [game-001-1] Tracked 1675 frames at 21.36 fps
[2026-03-08 07:22:54] [game-001-1] Tracked 1700 frames at 21.40 fps
[2026-03-08 07:22:55] [game-001-1] Tracked 1725 frames at 21.43 fps
[2026-03-08 07:22:56] [game-001-1] Tracked 1750 frames at 21.47 fps
[2026-03-08 07:22:57] [game-001-1] Tracked 1775 frames at 21.48 fps
[2026-03-08 07:22:58] [game-001-1] Tracked 1800 frames at 21.52 fps
[2026-03-08 07:22:59] [game-001-1] Tracked 1825 frames at 21.55 fps
[2026-03-08 07:23:00] [game-001-1] Tracked 1850 frames at 21.59 fps
[2026-03-08 07:23:01] [game-001-1] Tracked 1875 frames at 21.64 fps
[2026-03-08 07:23:02] [game-001-1] Tracked 1900 frames at 21.68 fps
[2026-03-08 07:23:03] [game-001-1] Tracked 1925 frames at 21.70 fps
[2026-03-08 07:23:04] [game-001-1] Tracked 1950 frames at 21.72 fps
[2026-03-08 07:23:05] [game-001-1] Tracked 1975 frames at 21.73 fps
[2026-03-08 07:23:06] [game-001-1] Tracked 2000 frames at 21.75 fps
[2026-03-08 07:23:08] [game-001-1] Tracked 2025 frames at 21.75 fps
[2026-03-08 07:23:09] [game-001-1] Tracked 2050 frames at 21.77 fps
[2026-03-08 07:23:10] [game-001-1] Tracked 2075 frames at 21.77 fps
[2026-03-08 07:23:11] [game-001-1] Tracked 2100 frames at 21.78 fps
[2026-03-08 07:23:12] [game-001-1] Tracked 2125 frames at 21.79 fps
[2026-03-08 07:23:13] [game-001-1] Tracked 2150 frames at 21.81 fps
[2026-03-08 07:23:14] [game-001-1] Tracked 2175 frames at 21.82 fps
[2026-03-08 07:23:15] [game-001-1] Tracked 2200 frames at 21.83 fps
[2026-03-08 07:23:17] [game-001-1] Tracked 2225 frames at 21.75 fps
[2026-03-08 07:23:18] [game-001-1] Tracked 2250 frames at 21.75 fps
[2026-03-08 07:23:19] [game-001-1] Tracked 2275 frames at 21.76 fps
[2026-03-08 07:23:20] [game-001-1] Tracked 2300 frames at 21.78 fps
[2026-03-08 07:23:21] [game-001-1] Tracked 2325 frames at 21.79 fps
[2026-03-08 07:23:22] [game-001-1] Tracked 2350 frames at 21.80 fps
[2026-03-08 07:23:23] [game-001-1] Tracked 2375 frames at 21.81 fps
[2026-03-08 07:23:25] [game-001-1] Tracked 2400 frames at 21.82 fps
[2026-03-08 07:23:26] [game-001-1] Tracked 2425 frames at 21.83 fps
[2026-03-08 07:23:27] [game-001-1] Tracked 2450 frames at 21.84 fps
[2026-03-08 07:23:28] [game-001-1] Tracked 2475 frames at 21.85 fps
[2026-03-08 07:23:29] [game-001-1] Tracked 2500 frames at 21.86 fps
[2026-03-08 07:23:30] [game-001-1] Tracked 2525 frames at 21.87 fps
[2026-03-08 07:23:31] [game-001-1] Tracked 2550 frames at 21.88 fps
[2026-03-08 07:23:32] [game-001-1] Tracked 2575 frames at 21.85 fps
