[2026-03-08 07:22:30] [batch] starting batch soccernet_train20_goalaligned_v1_20260308_002229
[2026-03-08 07:22:30] [batch] split=train offset=0 limit=20 files=['1_224p.mkv', '2_224p.mkv', 'Labels-v2.json']
[2026-03-08 07:22:30] [batch] dataset_dir=/Users/davidmontgomery/football_pose_workbench/backend/datasets/soccernet
[2026-03-08 07:22:30] [batch] runs_root=/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train20_goalaligned_v1_20260308_002229/runs
[2026-03-08 07:22:30] [game-001] processing england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley
[2026-03-08 07:22:30] [game-001] already have 1_224p.mkv
[2026-03-08 07:22:30] [game-001] already have 2_224p.mkv
[2026-03-08 07:22:30] [game-001] already have Labels-v2.json
[2026-03-08 07:22:30] [game-001-1] Opening video: /Users/davidmontgomery/football_pose_workbench/backend/datasets/soccernet/england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/1_224p.mkv
[2026-03-08 07:22:30] [game-001-1] Detector device chosen: mps
[2026-03-08 07:22:30] [game-001-1] Field calibration device chosen: cpu
[2026-03-08 07:22:33] [game-001-1] Loading detector weights: soccana
[2026-03-08 07:22:33] [game-001-1] Loading field calibration weights: soccana_keypoint
[2026-03-08 07:22:33] [game-001-1] Ball tracking enabled through the shared soccer detector
[2026-03-08 07:22:35] [game-001-1] progress=1.00
[2026-03-08 07:22:36] [game-001-1] Tracked 25 frames at 7.45 fps
[2026-03-08 07:22:38] [game-001-1] Tracked 50 frames at 9.72 fps
[2026-03-08 07:22:39] [game-001-1] Tracked 75 frames at 11.12 fps
[2026-03-08 07:22:41] [game-001-1] Tracked 100 frames at 12.40 fps
[2026-03-08 07:22:42] [game-001-1] Tracked 125 frames at 13.37 fps
[2026-03-08 07:22:43] [game-001-1] Tracked 150 frames at 14.18 fps
[2026-03-08 07:22:45] [game-001-1] Tracked 175 frames at 14.62 fps
[2026-03-08 07:22:46] [game-001-1] Tracked 200 frames at 15.07 fps
[2026-03-08 07:22:47] [game-001-1] Tracked 225 frames at 15.42 fps
[2026-03-08 07:22:49] [game-001-1] Tracked 250 frames at 15.68 fps
[2026-03-08 07:22:50] [game-001-1] Tracked 275 frames at 15.87 fps
[2026-03-08 07:22:51] [game-001-1] Tracked 300 frames at 16.10 fps
[2026-03-08 07:22:53] [game-001-1] Tracked 325 frames at 16.30 fps
[2026-03-08 07:22:54] [game-001-1] Tracked 350 frames at 16.54 fps
[2026-03-08 07:22:55] [game-001-1] Tracked 375 frames at 16.57 fps
[2026-03-08 07:22:57] [game-001-1] Tracked 400 frames at 16.71 fps
[2026-03-08 07:22:58] [game-001-1] Tracked 425 frames at 16.78 fps
[2026-03-08 07:22:59] [game-001-1] Tracked 450 frames at 16.88 fps
