second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,6.8,6.16,5345.3207,3332.7434,6958.0529,3455.5644,1839.9278,1223.1159,1699.3937,1750.1024,4120.9729,2344.3558,7730226.9648,4396858.413,1617.7335,0.591834,,,,,,,,2121.494,away,0,0
1,1.0,10.68,9.0,5409.924,3379.0829,6930.0341,3449.1417,1840.3362,1251.3596,1832.3417,1909.208,4189.2474,2440.3096,8544436.5349,4638788.4495,1524.611,0.605301,0.408385,28.24371,132.94802,159.105612,93.122464,0.013468,-1.281345,2120.494,away,0,0
2,2.0,10.68,8.8,5402.9053,3315.7171,6730.8048,3369.8356,1848.6065,1272.0149,2245.9782,1932.3321,3950.4582,2350.4496,9896337.2697,4725192.7869,1331.6964,0.613106,4.339358,24.449465,273.292267,91.114857,143.018555,0.010636,-1.232815,2119.494,away,0,0
3,3.0,10.0,8.0,5287.6476,3053.6039,6457.3177,3073.0406,1682.9552,1347.8346,2599.7374,2193.7897,3196.2231,2009.6733,9622788.5862,5349753.5698,1170.8478,0.616445,58.110015,41.572903,300.114578,147.895764,148.961878,0.008204,-1.150268,2118.494,away,0,0
4,4.0,9.96,7.84,5192.2631,2936.597,6265.052,2895.2368,1704.5949,1441.7726,3002.0725,2389.1216,3054.0889,2106.646,9868228.356,6069359.6813,1075.3217,0.601873,48.99245,54.664167,325.669705,159.754802,135.602931,0.009796,-1.128754,2117.494,away,0,0
5,5.0,10.04,7.0,5173.776,2837.7089,5919.7093,2775.3433,1720.2125,1455.6239,3194.7476,2276.1532,2861.2626,2236.1659,9863249.5734,5697365.2806,749.6839,0.582098,42.317476,46.501585,299.07078,150.397517,173.609922,0.011792,-1.127508,2116.494,away,0,0
6,6.0,9.16,7.08,5291.4689,2609.0591,5847.6794,2774.953,1602.7811,1366.4002,2604.7763,2127.1413,2597.1765,2083.787,6802986.4742,5124800.5697,606.9982,0.548995,54.836463,53.621924,347.554193,150.16658,168.455882,0.015343,-1.074927,2115.494,away,0,0
7,7.0,8.96,8.0,5465.6716,2618.9607,6067.973,2816.3729,1630.7142,1294.3347,2402.206,2187.2468,2695.6874,1821.2686,5808714.8816,5010676.8307,634.1821,0.552235,50.993126,56.25672,326.842212,137.30071,148.274178,0.013614,-1.11016,2114.494,away,0,0
8,8.0,8.12,8.44,5826.9891,2673.3608,6369.5629,3022.4454,1527.9897,1369.4923,2188.5187,2509.7256,2496.9745,2258.2544,4937082.4483,5170378.6713,649.5483,0.537325,57.459555,58.619327,312.697848,160.447967,131.660671,0.013776,-1.107736,2113.494,away,0,0
9,9.0,8.8,8.2,5900.7643,2608.1724,6309.3682,2807.1764,1413.2633,1263.1371,2224.0264,2333.6066,1994.123,1885.8214,4964136.3355,5111981.3571,456.8217,0.476189,63.822531,63.923312,281.898947,162.189187,138.445768,0.019038,-1.083484,2112.494,away,0,0
10,10.0,11.0,8.04,5735.2617,3172.5167,6086.0827,2841.1858,1723.9082,1130.7835,2278.1171,2220.7234,3027.6339,1520.5734,8589447.5447,4088621.9123,484.859,0.387495,88.504765,70.766345,259.118118,157.258596,127.40492,0.026004,-1.044224,2111.494,away,0,0
11,11.0,9.72,6.44,5457.1418,2980.4271,5712.5466,2576.399,1772.6725,1294.3989,1864.5271,1995.1281,3483.7485,2181.2064,7597713.5499,4028811.9278,489.9854,0.428291,93.340358,84.303514,287.182314,163.907564,118.605314,0.028737,-1.005047,2110.494,away,0,0
12,12.0,8.28,4.48,5369.5308,2171.7338,5385.6786,2392.0249,1232.6415,1411.3304,1103.5664,1138.3008,2401.7484,2823.3406,1935644.5096,1565262.5575,417.4721,0.328734,146.516428,93.931142,321.914731,247.277879,106.565178,0.037912,-0.865603,2109.494,away,0,0
13,13.0,9.4,4.48,5527.2838,3388.3898,5524.1693,3423.7971,429.7453,180.8571,373.8584,158.5063,946.6176,301.0507,156865.5244,20273.1262,81.0539,0.10529,210.240914,209.396496,359.509616,319.111576,124.122146,0.059923,-0.562543,2108.494,away,0,0
14,14.0,9.6,7.28,4882.7363,3305.2597,5338.8486,2952.6128,944.0645,1591.8806,851.895,1750.2137,2138.1107,3005.2121,1697312.8747,2976398.1013,614.1844,0.402861,259.508865,341.10505,367.079767,458.749131,167.882586,0.088222,-0.19795,2107.494,away,0,0
15,15.0,9.48,8.4,4705.5231,2836.1084,5419.6044,3181.1339,1203.3729,1509.9781,1741.7114,1889.9816,1937.4373,2722.9404,4520882.6402,6082246.1681,802.0708,0.53951,283.877945,347.910166,436.793899,461.429082,154.10744,0.09991,-0.089905,2106.494,away,0,0
16,16.0,6.88,8.0,4981.8321,3111.823,5527.125,3433.7616,1227.3367,1560.352,1767.1069,2012.6581,2086.9031,2670.2453,3755940.6458,6307523.8906,634.2223,0.515064,274.531186,344.025186,380.336321,458.795545,156.623727,0.099044,-0.130867,2105.494,away,0,0
