track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
10643,away,0.7414,2096,22344,24442,0.8034,2087.9046,1878,"0.4401,0.4068,0.4535"
19918,away,0.9777,1707,44392,46098,0.8243,2971.0351,1692,"0.4664,0.3908,0.3987"
10884,home,0.9955,1553,22845,24397,0.8174,2945.5248,1266,"0.3579,0.3989,0.5844"
19941,home,1.0,1497,44554,46050,0.8179,2795.8624,1497,"0.3646,0.4077,0.5782"
20002,home,1.0,1313,44863,46175,0.8201,2848.0396,1303,"0.3688,0.4185,0.6014"
8191,away,0.9411,1274,17495,18796,0.7899,2214.6052,1172,"0.4460,0.3824,0.4181"
20030,away,1.0,1267,44909,46175,0.8294,6171.6519,1022,"0.4837,0.3684,0.3481"
20000,home,0.9992,1244,44856,46099,0.8008,2004.4582,1244,"0.3617,0.4072,0.5681"
20739,home,0.9468,1203,46799,48003,0.8212,3373.4032,1084,"0.3774,0.4149,0.5672"
20004,away,0.7002,1201,44864,46072,0.8009,1980.3605,1201,"0.4481,0.4306,0.4500"
27775,away,1.0,1200,60755,61954,0.8373,4222.7708,1123,"0.4862,0.4344,0.3990"
20724,home,0.9958,1196,46796,48000,0.7866,1990.0978,1196,"0.3650,0.4071,0.5657"
18232,home,1.0,1192,41029,42220,0.8392,4394.5789,1091,"0.3462,0.3924,0.5601"
18238,home,1.0,1192,41029,42220,0.8244,2844.219,1139,"0.3605,0.4118,0.5884"
20788,away,0.9891,1189,46810,47999,0.8033,1958.6224,1189,"0.4580,0.4145,0.3906"
20740,home,1.0,1184,46799,47982,0.8312,3161.4113,1128,"0.3686,0.4168,0.5954"
17643,home,0.9991,1171,39476,40646,0.8067,1914.6866,1160,"0.3820,0.4243,0.5770"
17646,away,0.9949,1170,39476,40646,0.8302,3273.2726,900,"0.4900,0.4176,0.4121"
17644,home,0.9555,1169,39476,40646,0.7882,1289.2566,1150,"0.4216,0.4517,0.5719"
13666,away,0.9882,1104,29412,30517,0.826,2641.3297,1044,"0.4582,0.4006,0.3912"
15655,home,0.7463,1092,33568,34659,0.8297,4055.7546,1082,"0.3773,0.3903,0.5156"
30500,home,0.6751,1071,66157,67247,0.8095,2825.3828,1032,"0.3985,0.4024,0.5266"
18303,home,1.0,1049,41172,42220,0.8024,2073.3689,996,"0.3450,0.3904,0.5530"
8111,away,0.8138,1031,17351,18388,0.8174,3326.098,940,"0.4591,0.3909,0.4196"
10743,away,0.9961,1029,22553,23581,0.8036,1627.2711,1009,"0.4526,0.4075,0.4017"
8247,home,0.997,1007,17588,18594,0.8477,6828.5531,782,"0.3280,0.3577,0.5537"
30456,away,0.9693,976,66063,67039,0.777,1677.54,976,"0.4855,0.4382,0.4045"
20751,away,0.9476,973,46801,47773,0.8207,2926.4008,960,"0.4622,0.4084,0.4128"
15753,away,0.7755,962,33809,34805,0.7965,1781.1944,952,"0.4372,0.3930,0.4099"
18321,home,0.9603,957,41253,42220,0.7781,2148.5747,947,"0.3506,0.3807,0.5402"
3194,away,0.5696,948,7941,8907,0.8028,2361.5,942,"0.4585,0.4300,0.4902"
30533,away,1.0,948,66300,67247,0.8556,5539.1002,768,"0.4886,0.4222,0.3907"
12442,home,0.8895,932,27010,27941,0.8234,3181.6953,892,"0.3856,0.4157,0.5737"
10907,away,0.5442,928,22938,23868,0.8045,2125.4774,841,"0.4326,0.4042,0.4788"
15701,away,0.6986,927,33668,34611,0.8003,2632.5318,906,"0.4227,0.3849,0.4134"
8124,home,0.9978,922,17379,18302,0.8324,3465.5748,822,"0.3523,0.3970,0.5810"
21278,home,1.0,916,48116,49032,0.8337,4145.3352,758,"0.3569,0.4070,0.5833"
30384,away,0.9889,900,66048,66947,0.8275,2824.1733,900,"0.4901,0.4208,0.4212"
11187,away,0.9943,884,23641,24524,0.803,2136.8032,854,"0.4575,0.3854,0.3836"
10886,away,1.0,883,22855,23737,0.8441,4531.8992,703,"0.4824,0.3706,0.3731"
1311,home,0.9218,870,3419,4289,0.8427,4803.4299,640,"0.3522,0.3813,0.5425"
1319,away,0.9919,869,3420,4289,0.8133,2758.2796,705,"0.4938,0.4317,0.4159"
29016,away,0.5917,867,63718,64584,0.8075,2501.0957,828,"0.4413,0.4285,0.4722"
15068,home,0.8322,864,32330,33196,0.8149,3759.7106,799,"0.3710,0.4014,0.5549"
15569,away,0.9884,864,33428,34293,0.8386,4855.1273,827,"0.4547,0.3662,0.3524"
11242,away,1.0,852,23760,24611,0.8374,3464.6796,762,"0.4697,0.3764,0.3732"
10961,away,0.9033,850,23042,23893,0.792,2175.7282,774,"0.4630,0.4004,0.4449"
19934,away,0.8666,847,44517,45373,0.7852,1906.8749,796,"0.4365,0.3966,0.4044"
11251,away,0.9964,834,23792,24626,0.7765,1658.9712,834,"0.4675,0.3911,0.4063"
15111,away,1.0,830,32367,33196,0.8432,5398.9627,703,"0.4589,0.3586,0.3575"
15697,home,0.663,825,33658,34484,0.8046,2751.5067,825,"0.3645,0.3712,0.4784"
11255,away,0.9938,818,23809,24635,0.8011,2200.2506,818,"0.4674,0.3855,0.3940"
17752,home,0.9976,817,39829,40646,0.8215,2780.7846,743,"0.3803,0.4271,0.6008"
8223,away,0.7696,816,17524,18339,0.7965,2405.6875,738,"0.4500,0.3876,0.4259"
11350,home,1.0,813,23976,24788,0.8498,6114.1845,593,"0.3529,0.3812,0.5865"
15052,away,0.995,793,32220,33012,0.8011,2732.261,752,"0.4638,0.3922,0.3713"
13842,away,0.7965,791,29724,30517,0.8236,2486.9494,655,"0.4357,0.4049,0.4103"
27780,home,1.0,791,60755,61546,0.8047,2319.2377,659,"0.3672,0.4051,0.5745"
10733,home,1.0,788,22520,23311,0.8152,2352.5609,686,"0.3674,0.4021,0.5859"
11646,home,0.8408,779,24627,25405,0.8069,1890.5083,779,"0.3804,0.3987,0.5600"
11650,home,1.0,778,24628,25405,0.7902,1828.5321,778,"0.3455,0.3755,0.5805"
11652,away,0.982,776,24628,25405,0.7895,1813.933,776,"0.4808,0.3886,0.4182"
8407,away,0.9948,774,17941,18722,0.7941,1991.845,774,"0.4643,0.3799,0.3878"
11655,home,0.9935,774,24629,25405,0.8137,3308.4716,634,"0.3752,0.4049,0.6036"
15918,away,1.0,773,34033,34805,0.8143,2634.8435,773,"0.4633,0.3950,0.3585"
11668,away,0.5843,765,24641,25405,0.8238,4157.485,635,"0.4074,0.3697,0.4621"
14580,home,0.9278,762,31614,32385,0.8182,5780.5958,602,"0.3092,0.3487,0.5299"
15567,away,0.9645,760,33422,34188,0.8092,3167.0263,726,"0.4578,0.4021,0.4014"
15925,home,1.0,760,34046,34805,0.8088,1940.55,760,"0.3950,0.4397,0.6028"
30422,home,0.9947,755,66055,66809,0.7887,1397.5272,755,"0.4147,0.4406,0.6106"
15075,away,0.916,750,32349,33116,0.8031,2933.236,710,"0.4635,0.4086,0.4257"
