track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
17262,away,0.7164,1174,26536,27712,0.7991,2761.4949,1064,"0.6060,0.5489,0.3125"
41167,home,1.0,1034,64402,65435,0.8533,4022.8201,1034,"0.4652,0.3611,0.4310"
41170,away,0.9845,1034,64402,65435,0.7827,1543.2166,524,"0.6928,0.6372,0.3245"
41171,away,0.999,1034,64402,65435,0.817,2253.6857,1014,"0.7131,0.6503,0.2752"
41185,away,1.0,1028,64408,65435,0.8591,4578.3453,1028,"0.7667,0.7039,0.2526"
7187,home,0.997,1011,12185,13195,0.8362,5703.8655,899,"0.4675,0.2999,0.4345"
37076,home,0.8081,990,57015,58004,0.8153,2699.098,972,"0.5177,0.3955,0.4112"
30514,home,0.9989,948,46562,47511,0.8142,4207.7331,897,"0.4432,0.3500,0.3698"
30510,home,0.9021,909,46562,47511,0.8049,6741.0286,800,"0.4503,0.3839,0.3344"
30506,away,0.9731,855,46562,47420,0.7946,4423.2105,808,"0.6425,0.5863,0.2592"
17546,away,0.9614,830,26977,27810,0.8414,6602.5434,573,"0.6248,0.5942,0.2329"
17549,home,0.6526,829,26979,27810,0.8121,4732.6454,723,"0.4784,0.4057,0.3583"
11840,away,0.9964,823,18929,19759,0.8263,2970.1227,723,"0.7310,0.7031,0.2874"
39131,home,0.9949,784,60278,61067,0.8032,2323.6237,560,"0.4570,0.3653,0.4185"
12060,home,0.9716,774,18985,19759,0.84,4814.4044,635,"0.4672,0.3080,0.4624"
39242,home,1.0,773,60387,61159,0.8386,3348.5563,764,"0.4533,0.3013,0.3660"
12077,away,1.0,770,18990,19759,0.8141,1758.2156,750,"0.7556,0.7501,0.3064"
41168,home,0.8198,749,64402,65168,0.7562,1621.1789,471,"0.4692,0.3674,0.3921"
12083,home,0.9866,746,18993,19757,0.7773,1282.9665,643,"0.5226,0.3841,0.5105"
8639,away,0.7453,742,14228,15008,0.8028,2800.1792,721,"0.7142,0.6744,0.3295"
12065,home,0.9689,739,18987,19727,0.7942,2593.0108,731,"0.4932,0.3773,0.5287"
41184,home,1.0,721,64404,65124,0.8238,1915.0929,683,"0.4137,0.3237,0.4121"
16409,away,0.9582,718,25101,25826,0.8012,2510.9708,660,"0.6762,0.6303,0.2574"
41181,away,0.7201,718,64402,65136,0.794,2031.0306,457,"0.6379,0.5637,0.2891"
12121,away,1.0,714,19041,19759,0.8162,2494.0378,704,"0.7479,0.7333,0.2743"
37339,away,1.0,705,57405,58114,0.8274,4612.8809,695,"0.7313,0.6779,0.2192"
37078,home,0.9271,700,57015,57719,0.8141,3001.94,700,"0.5000,0.3643,0.4521"
41166,away,1.0,689,64402,65090,0.8484,3736.5835,689,"0.7769,0.6939,0.2014"
41178,home,1.0,689,64402,65090,0.8159,2667.1553,689,"0.4932,0.3488,0.4320"
17264,home,1.0,685,26536,27220,0.8309,4297.6073,675,"0.4265,0.2766,0.4187"
41173,home,1.0,679,64402,65085,0.8036,1781.2121,283,"0.4790,0.3887,0.4894"
41169,home,0.9985,671,64402,65072,0.8124,2763.6036,671,"0.5163,0.3149,0.3903"
39318,home,1.0,665,60518,61182,0.8556,5854.4722,635,"0.4452,0.3289,0.3731"
39211,home,0.9335,662,60368,61037,0.7659,1732.5589,623,"0.4280,0.3405,0.3597"
37969,home,1.0,656,58141,58796,0.8231,4322.9695,656,"0.4474,0.3023,0.3393"
36479,away,0.9892,646,56174,56845,0.8186,3657.3885,646,"0.6378,0.5824,0.2341"
15953,away,0.6599,641,24389,25051,0.8158,4438.7129,641,"0.5893,0.5386,0.3269"
41197,away,0.9984,641,64461,65101,0.8173,2374.2402,641,"0.7170,0.6572,0.2310"
39173,home,0.9952,622,60347,60986,0.8387,3575.2331,609,"0.4899,0.3222,0.3816"
39122,home,1.0,618,60278,60895,0.809,2535.9337,564,"0.4386,0.3284,0.3814"
37945,home,1.0,615,58138,58752,0.8544,8729.2715,547,"0.3975,0.2897,0.3061"
39227,away,0.9505,606,60372,60978,0.7758,2059.1287,457,"0.6398,0.5787,0.2414"
21571,away,0.995,602,33911,34538,0.835,9027.8522,378,"0.6795,0.6046,0.2068"
38086,home,1.0,601,58196,58796,0.8242,2497.5092,601,"0.4313,0.3191,0.4050"
39128,away,0.8519,601,60278,60900,0.7888,2727.7504,591,"0.6392,0.5570,0.2224"
22601,away,1.0,595,35470,36064,0.8266,4202.3395,555,"0.6855,0.6319,0.2574"
22590,home,0.6785,594,35470,36064,0.8349,5952.4276,534,"0.5536,0.4504,0.3888"
21779,home,0.8557,589,34206,34794,0.8353,5466.5212,372,"0.5520,0.4334,0.4086"
38092,away,0.9812,586,58209,58796,0.813,3419.087,576,"0.6637,0.6004,0.2187"
8981,away,0.8316,582,14498,15083,0.8433,4621.5825,536,"0.7537,0.7183,0.3071"
41255,home,1.0,573,64863,65435,0.8167,2074.541,558,"0.4942,0.3471,0.4185"
5633,home,0.9825,572,8981,9552,0.8339,3522.8269,452,"0.4427,0.3550,0.4854"
7882,away,1.0,571,12891,13461,0.8162,4061.2137,551,"0.7186,0.6901,0.2296"
12287,away,1.0,570,19190,19759,0.8115,2513.1035,550,"0.7901,0.7751,0.2847"
5662,home,1.0,568,8985,9552,0.851,7202.4349,320,"0.3800,0.2939,0.4317"
41195,home,0.6808,567,64436,65014,0.779,1730.6155,313,"0.5492,0.4365,0.3665"
37103,home,0.9345,565,57120,57702,0.7705,2228.0018,558,"0.4790,0.3363,0.4315"
5713,home,0.9982,557,8991,9552,0.832,2424.2065,549,"0.4796,0.3684,0.4953"
5756,home,1.0,557,8996,9552,0.7997,3072.0952,447,"0.4525,0.3744,0.4865"
39176,away,0.973,556,60352,60908,0.8153,1907.7824,337,"0.6348,0.5861,0.3027"
5749,away,0.9982,555,8995,9552,0.832,4568.2414,410,"0.7128,0.6875,0.2587"
5769,away,1.0,555,8998,9552,0.8247,2351.8198,515,"0.7602,0.7491,0.2681"
5770,home,1.0,555,8998,9552,0.8185,4481.3658,425,"0.4637,0.3295,0.4457"
28530,home,0.6279,551,44050,44642,0.7572,3182.5826,397,"0.5219,0.4353,0.3047"
1568,away,0.98,550,2198,2754,0.7799,4093.38,378,"0.6623,0.6182,0.2655"
38082,away,0.9982,550,58193,58742,0.8103,2236.7764,550,"0.6707,0.6070,0.2050"
1593,home,0.9964,549,2204,2754,0.8194,5186.0146,423,"0.4523,0.3517,0.3794"
5700,home,1.0,532,8990,9552,0.8382,3506.7575,422,"0.4474,0.3375,0.4607"
8932,home,0.9906,531,14484,15014,0.8083,3001.3202,525,"0.5201,0.4131,0.5644"
27102,away,0.6749,529,42674,43202,0.7738,2740.758,467,"0.5537,0.5084,0.1968"
17556,home,0.5594,522,26988,27513,0.8099,4130.182,375,"0.5333,0.4471,0.3651"
27104,home,0.8101,516,42678,43202,0.8028,4945.0659,477,"0.5017,0.3915,0.3176"
16448,away,0.998,512,25129,25640,0.8548,4978.2559,512,"0.6998,0.6628,0.2324"
28717,home,0.959,512,44251,44765,0.8229,6454.1152,141,"0.4612,0.3965,0.3026"
8989,home,1.0,510,14505,15014,0.8484,4356.151,489,"0.5309,0.3505,0.5086"
5803,away,0.897,505,9037,9552,0.8175,4245.4891,345,"0.6752,0.6340,0.2636"
21782,home,0.9129,505,34206,34710,0.798,2797.9248,403,"0.5002,0.3974,0.4222"
38183,home,1.0,504,58293,58796,0.8119,2872.3353,504,"0.4308,0.3333,0.4164"
15083,away,0.992,500,22779,23368,0.8442,4456.47,482,"0.7387,0.7160,0.3100"
1640,home,0.982,499,2256,2754,0.7752,3139.497,459,"0.4027,0.3296,0.3829"
39124,away,0.9237,498,60278,60775,0.8087,6095.9578,334,"0.7165,0.6691,0.2770"
2,home,0.9698,497,0,497,0.8403,4439.4688,482,"0.4853,0.3381,0.4231"
17260,away,0.998,494,26536,27029,0.8326,3186.6984,490,"0.6664,0.6370,0.2809"
5725,away,0.9878,492,8992,9483,0.7982,2140.0528,462,"0.7411,0.7393,0.2542"
7923,away,0.998,490,12944,13433,0.8264,6071.9918,380,"0.7328,0.7027,0.2300"
39305,away,0.8422,488,60483,61029,0.7446,1727.502,439,"0.6108,0.5568,0.2408"
30700,home,0.5776,487,46804,47292,0.7852,1687.1006,483,"0.5206,0.4794,0.4390"
26776,home,0.6255,486,42445,42945,0.8072,4260.037,466,"0.5283,0.4336,0.3392"
41443,home,0.9773,485,65681,66188,0.852,5100.1608,485,"0.4503,0.3665,0.3865"
41453,away,0.8619,485,65681,66188,0.8013,2382.0887,485,"0.6093,0.5464,0.2515"
8975,away,0.8244,484,14496,15009,0.8004,1646.6756,484,"0.7153,0.6916,0.3495"
8976,home,0.9189,481,14496,14981,0.7863,1377.6798,481,"0.5690,0.4095,0.4791"
15087,home,1.0,481,22780,23350,0.8361,6964.3222,432,"0.3990,0.3069,0.5249"
28529,away,0.9979,477,44050,44526,0.815,4039.4382,210,"0.6281,0.5733,0.2086"
18726,home,1.0,475,29759,30233,0.857,8368.3389,197,"0.3796,0.3003,0.4114"
18727,home,1.0,475,29759,30233,0.7922,3204.6253,455,"0.4082,0.3214,0.4673"
41240,away,0.9263,475,64670,65170,0.7302,1330.0589,160,"0.6474,0.5836,0.2628"
18725,away,1.0,474,29759,30233,0.8314,4208.9241,437,"0.6811,0.6511,0.2927"
30137,home,0.7152,474,46026,46500,0.8223,4007.6371,385,"0.5635,0.4390,0.3662"
18721,home,0.8008,472,29759,30233,0.8281,4686.2945,391,"0.4991,0.3939,0.4316"
2940,home,1.0,467,3840,4308,0.7895,3455.0535,467,"0.3566,0.2986,0.3028"
17711,away,0.9936,467,27218,27686,0.7997,3615.9143,453,"0.7148,0.6685,0.2367"
22602,away,0.9807,466,35470,35935,0.8097,3926.2039,426,"0.6242,0.5798,0.2628"
5602,away,0.9483,464,8977,9440,0.8384,6712.2629,213,"0.6854,0.6422,0.2474"
8997,home,0.9784,462,14523,14986,0.8241,2907.3528,455,"0.4272,0.3586,0.5118"
30143,away,1.0,460,46026,46491,0.7766,2077.9239,417,"0.6624,0.6110,0.2431"
38048,away,1.0,459,58152,58611,0.817,3412.1329,459,"0.6496,0.5831,0.1872"
22596,home,1.0,458,35470,35927,0.7961,2506.81,458,"0.3790,0.3106,0.3983"
38053,away,0.9912,457,58153,58620,0.8409,9133.4245,427,"0.6179,0.5249,0.1376"
8996,away,0.9758,455,14517,14978,0.7782,1450.4659,455,"0.7418,0.7152,0.3045"
41174,home,1.0,454,64402,64855,0.8125,2392.7357,339,"0.5198,0.3512,0.4455"
30175,away,0.9912,453,46044,46496,0.7852,2033.2252,392,"0.6350,0.5915,0.2100"
28843,home,0.8182,451,44283,44765,0.7967,2928.0754,420,"0.4517,0.3719,0.3430"
30172,home,0.5122,449,46043,46497,0.7668,2153.608,396,"0.5526,0.4590,0.3261"
12398,home,0.9955,444,19316,19759,0.8121,2781.4324,394,"0.4814,0.4138,0.6044"
18758,away,0.982,444,29788,30233,0.8274,5032.9009,343,"0.6713,0.6371,0.2698"
38754,away,0.964,444,59726,60169,0.8078,2292.6554,437,"0.6458,0.5675,0.2723"
8995,away,1.0,443,14513,14955,0.8168,2078.772,443,"0.7634,0.7498,0.2815"
15116,home,0.9865,443,22958,23400,0.8346,3320.8758,349,"0.4405,0.3294,0.5503"
2575,home,0.5442,441,3528,3990,0.7791,2177.9501,431,"0.4518,0.4263,0.2471"
38138,home,0.9977,440,58239,58678,0.8334,2780.975,440,"0.3889,0.2997,0.3720"
18188,away,0.5959,438,28521,28964,0.8257,5185.8539,438,"0.5507,0.5012,0.2921"
29699,away,1.0,437,45507,45943,0.8284,6421.5446,283,"0.6484,0.6113,0.2348"
29700,home,0.8993,437,45507,45943,0.8384,4697.6339,392,"0.4799,0.3648,0.3546"
38747,home,0.6545,437,59726,60173,0.8271,5686.2288,437,"0.4846,0.3958,0.2940"
37084,away,0.9332,434,57015,57448,0.7991,2826.5253,434,"0.6690,0.6323,0.2906"
17574,home,0.5242,433,27017,27451,0.7934,3238.1293,433,"0.5655,0.3879,0.3417"
7295,home,1.0,431,12370,12800,0.8478,8238.949,321,"0.3865,0.2994,0.4438"
22592,away,0.7086,429,35470,35898,0.7976,2561.0932,429,"0.5174,0.4613,0.2461"
2976,home,0.9344,427,3856,4308,0.7908,2592.6932,425,"0.3306,0.2912,0.2584"
30516,home,0.9249,426,46566,46992,0.7935,2251.9155,416,"0.4314,0.3723,0.3626"
27103,away,1.0,423,42675,43097,0.83,7318.7447,290,"0.6824,0.6559,0.2567"
28951,home,0.8886,422,44299,44722,0.7732,3780.154,323,"0.4604,0.3634,0.3307"
15834,home,0.5251,419,24292,24722,0.8252,5032.4081,419,"0.4771,0.4092,0.3315"
30524,away,0.926,419,46573,46991,0.7973,1826.9427,419,"0.6096,0.5639,0.2712"
26982,away,0.887,416,42546,42961,0.774,2984.0481,386,"0.5845,0.5423,0.2203"
29709,home,0.7476,416,45507,45929,0.7721,1909.3173,416,"0.4320,0.3938,0.3018"
30208,home,0.7236,416,46085,46500,0.8071,3389.8726,324,"0.5334,0.4535,0.3979"
2744,home,1.0,412,3568,3979,0.8176,2669.0243,412,"0.2927,0.2597,0.3124"
21871,home,0.699,412,34381,34794,0.7987,3166.9903,258,"0.5345,0.4653,0.4197"
37077,away,1.0,412,57015,57428,0.8078,2619.9854,412,"0.7184,0.6681,0.2632"
2734,away,0.9046,409,3565,3973,0.8108,2655.7433,409,"0.5571,0.5191,0.1705"
16066,away,1.0,408,24644,25051,0.8433,5784.0466,368,"0.7070,0.6750,0.2568"
38749,away,0.5172,408,59726,60136,0.81,3069.375,408,"0.5601,0.4579,0.2792"
38755,away,0.9118,408,59726,60168,0.7663,3466.1324,408,"0.6252,0.5654,0.2260"
41748,away,0.7181,408,66229,66639,0.8053,3990.3015,380,"0.6348,0.5347,0.2416"
5763,home,0.9975,407,8997,9403,0.8265,1769.9803,386,"0.3989,0.3490,0.4699"
6570,home,1.0,407,11728,12134,0.8417,4702.9926,337,"0.4942,0.3237,0.4539"
6575,away,1.0,407,11728,12134,0.8358,3764.226,347,"0.7091,0.6914,0.2589"
9010,away,1.0,407,14539,14946,0.8032,1940.199,407,"0.8396,0.8291,0.2474"
21781,home,0.6143,407,34206,34613,0.8132,2874.9779,293,"0.5544,0.5046,0.4043"
8931,home,0.9975,405,14484,14891,0.8354,2651.8173,405,"0.4944,0.3858,0.5540"
30217,away,1.0,405,46096,46500,0.8051,4303.6543,282,"0.6818,0.6421,0.2770"
34618,away,0.9752,404,52756,53159,0.823,4127.5495,384,"0.5914,0.5338,0.1781"
21778,away,1.0,403,34206,34620,0.7807,3705.8809,280,"0.7109,0.6815,0.2685"
22632,away,0.9777,403,35504,35907,0.8073,2752.5906,403,"0.6040,0.5584,0.2228"
30515,home,0.6816,402,46563,46966,0.7573,1784.092,401,"0.5240,0.4578,0.4315"
15120,away,0.6259,401,22958,23358,0.7938,3080.985,251,"0.6210,0.5403,0.3593"
39232,home,1.0,401,60376,60776,0.8165,2411.2195,401,"0.4518,0.3224,0.3744"
16532,home,1.0,400,25257,25656,0.8532,7431.5475,400,"0.4261,0.2748,0.4494"
8040,away,0.9975,399,13086,13484,0.8104,3437.198,399,"0.7555,0.7476,0.2380"
30207,away,0.6742,399,46084,46482,0.7983,1715.3709,338,"0.5243,0.5207,0.2420"
7194,home,0.9975,396,12185,12580,0.8477,8721.0682,279,"0.5127,0.3167,0.4597"
12449,away,1.0,396,19364,19759,0.8296,2899.0808,370,"0.8000,0.7917,0.3047"
16636,home,0.6709,395,25420,25817,0.8071,2711.3696,395,"0.5058,0.4154,0.3861"
33399,away,1.0,395,50234,50628,0.8277,5082.5468,385,"0.6679,0.6271,0.2571"
33400,home,0.6101,395,50234,50628,0.8299,4595.9013,385,"0.4783,0.4090,0.3627"
41752,away,1.0,395,66229,66639,0.7782,3678.5089,363,"0.6958,0.6409,0.2268"
17824,away,0.9975,393,27404,27810,0.8189,2573.9338,335,"0.6752,0.6499,0.3021"
37233,away,1.0,393,57321,57713,0.8117,2666.3842,393,"0.7209,0.6792,0.2477"
33401,away,0.9463,391,50234,50628,0.8055,3117.5524,391,"0.6012,0.5537,0.2277"
5246,away,1.0,390,7801,8190,0.8405,6850.9718,380,"0.6569,0.6534,0.2272"
30572,away,0.8474,390,46618,47007,0.7412,1113.3923,383,"0.5665,0.5386,0.2973"
34771,away,0.9128,390,52770,53159,0.8018,2460.0897,383,"0.5703,0.5221,0.1806"
39237,home,0.9744,390,60383,60772,0.8401,3603.5744,380,"0.4689,0.2652,0.3277"
12456,away,0.8505,388,19368,19759,0.7978,2391.1392,356,"0.7445,0.7200,0.3452"
21572,away,0.6778,388,33912,34326,0.8082,2672.5799,314,"0.5779,0.5229,0.3182"
29705,away,0.9459,388,45507,45894,0.803,3379.4845,374,"0.6292,0.5919,0.2607"
5881,away,0.584,387,9166,9552,0.8387,7084.2377,215,"0.6372,0.5756,0.3218"
30898,away,0.8886,386,47097,47486,0.8134,4097.3964,376,"0.5830,0.5362,0.2587"
17,away,0.9896,385,30,418,0.8367,6091.774,321,"0.6973,0.6773,0.2373"
16060,away,0.7506,385,24635,25051,0.7747,2193.8883,316,"0.6495,0.5917,0.3151"
39307,away,0.9195,385,60487,60881,0.7664,1532.0961,200,"0.6270,0.5609,0.2805"
5256,away,0.9531,384,7801,8185,0.8093,2282.5625,384,"0.8260,0.4210,0.3643"
16069,home,0.8411,384,24658,25051,0.8215,2983.4323,302,"0.5134,0.4244,0.4651"
36773,away,1.0,382,56464,56845,0.8515,4509.9869,382,"0.6754,0.6107,0.2260"
39149,home,1.0,382,60294,60675,0.8111,1695.6099,352,"0.4648,0.3459,0.3819"
22647,home,0.7263,380,35548,35933,0.783,1819.4237,376,"0.4692,0.4268,0.2833"
36565,away,0.6939,379,56203,56590,0.7898,2177.3931,376,"0.5566,0.5001,0.2507"
39422,away,0.9551,379,60795,61182,0.8051,3077.7625,363,"0.6259,0.5749,0.1958"
15117,home,0.6984,378,22958,23339,0.806,2969.4048,254,"0.5049,0.4420,0.4562"
38750,away,0.8069,378,59726,60104,0.8306,7978.3148,370,"0.6360,0.5685,0.2379"
18265,away,0.9814,377,28634,29013,0.7995,2808.9629,373,"0.6759,0.6353,0.2478"
22203,home,1.0,377,34855,35231,0.8216,3640.2759,377,"0.4459,0.3433,0.4308"
5255,away,0.9707,376,7801,8178,0.8194,4882.9309,291,"0.6433,0.6126,0.2088"
36750,home,0.6755,376,56450,56845,0.799,2342.516,376,"0.4754,0.3923,0.3454"
29704,away,0.7258,372,45507,45880,0.7864,1916.6828,372,"0.5442,0.5103,0.2201"
2768,away,0.9865,370,3604,3976,0.8306,4182.9297,370,"0.6051,0.5726,0.2029"
16402,home,0.9973,370,25101,25470,0.8019,2649.0595,370,"0.3975,0.3008,0.4714"
36761,home,1.0,370,56455,56830,0.8112,2154.1,370,"0.3913,0.3011,0.3889"
29701,home,0.7344,369,45507,45875,0.8157,3190.3469,364,"0.4668,0.4061,0.4107"
38242,home,0.9644,369,58428,58796,0.7879,1563.7073,369,"0.4580,0.3473,0.3734"
15121,home,0.9973,368,22958,23325,0.7772,2676.2826,270,"0.4471,0.3528,0.5550"
16534,away,0.9591,367,25266,25636,0.8192,2840.6676,367,"0.6793,0.6467,0.3123"
30239,away,1.0,367,46134,46500,0.8049,4243.2098,267,"0.6916,0.6475,0.2527"
17728,away,0.9863,366,27226,27593,0.8172,4379.2459,238,"0.6759,0.6245,0.2445"
9307,home,0.9973,365,15051,15415,0.8412,7608.6822,295,"0.4476,0.2767,0.4092"
14161,home,1.0,365,21278,21642,0.8456,5268.8384,317,"0.5160,0.3160,0.4460"
26549,home,0.7534,365,41563,41948,0.7834,244546.1507,365,"0.4928,0.4372,0.4105"
