second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,8.2,6.08,6376.0459,3166.685,5363.102,3235.7384,1384.1231,1638.4661,900.9315,1503.1153,3051.0258,3304.4099,3881161.0151,4851676.0455,1022.3538,0.57991,,,,,,,,2913.948,home,0,0
1,1.0,8.12,5.88,6252.0435,3039.0556,5292.7913,3215.1624,1349.2057,1831.0689,983.1688,1522.553,3060.0694,3609.7569,3843747.1304,5452542.5781,982.1386,0.563601,34.917417,192.602778,82.237227,19.437637,40.215156,0.016309,-1.179242,2912.948,home,0,0
2,2.0,8.32,3.2,6160.5733,2799.376,6062.1127,2680.7474,1407.697,1031.8412,1256.6287,1278.9075,3021.6491,1533.1975,4557193.2588,1266982.2657,447.6429,0.497537,46.704365,495.915205,177.848564,131.541543,287.355444,0.041186,-0.586966,2911.948,home,0,0
3,3.0,7.0,3.04,6202.5789,2659.4445,6470.1767,2491.2622,1443.0704,1171.9665,1155.902,1054.7272,3223.5294,2021.5372,3554891.0613,1259219.8809,325.855,0.503001,42.927363,377.318571,152.141257,162.421133,232.16626,0.029279,-0.768918,2910.948,home,0,0
4,4.0,6.84,4.8,5899.8545,2510.0165,5830.1811,2236.4248,1247.7468,1176.0966,1088.3408,1626.3529,2728.5338,1868.1126,2820804.3703,2445243.0952,344.0403,0.467361,81.026425,284.021442,130.99625,264.722285,178.671019,0.030869,-0.788627,2909.948,home,0,0
5,5.0,7.04,6.84,5610.1253,2027.2798,5319.8078,2007.1323,1060.2101,1296.4953,814.5316,1309.448,2216.1543,2463.3653,1851479.2615,2467747.2679,407.8056,0.401357,102.32847,251.296885,159.558844,275.158809,155.689884,0.037896,-0.751823,2908.948,home,0,0
6,6.0,6.96,6.44,5759.8252,1053.0,5534.6582,1350.7895,755.3623,1098.2682,525.0096,828.8498,1536.1615,2196.4347,530275.1861,382664.4387,374.2228,0.292426,136.081701,242.451905,181.219372,309.398711,135.338701,0.049735,-0.651561,2907.948,home,0,0
7,7.0,7.08,6.16,5798.9549,858.9679,5562.5507,1213.3518,680.152,973.4354,495.6679,700.5533,1570.2433,1926.2874,469329.8887,229030.7104,426.2458,0.258779,127.385784,225.649182,159.522561,283.526964,123.436445,0.047437,-0.71272,2906.948,home,0,0
8,8.0,7.24,6.92,5744.0166,902.5262,5623.1954,1045.4394,629.8255,924.5767,416.9446,715.803,1531.8829,1809.2153,357786.5045,252223.2933,189.3897,0.256285,117.753369,203.550366,149.422656,249.9923,137.613894,0.041819,-0.781736,2905.948,home,0,0
9,9.0,7.44,6.84,5696.305,930.7559,5592.1108,1091.8369,582.6084,832.5228,380.1798,613.3116,1400.3102,1586.7678,296229.5231,143532.1314,192.7768,0.183216,109.916013,191.161875,136.905109,233.603307,122.699798,0.045291,-0.801692,2904.948,home,0,0
10,10.0,6.96,6.68,5688.2775,941.3732,5569.8579,1121.5112,565.58,752.9707,391.4394,574.5171,1311.4283,1514.2606,247196.5168,112835.0552,216.4752,0.102349,100.62725,180.000893,124.340559,214.122432,112.799668,0.048849,-0.820705,2903.948,home,0,0
