second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,12.88,6.0,6193.3701,3420.1046,5156.2623,2595.0786,1566.7187,2114.9952,2108.943,1689.5733,2854.6838,4186.0707,8902327.0288,7938065.1378,1331.6525,0.672099,,,,,,,,1627.793,home,0,0
1,1.0,12.84,6.0,6394.1111,2994.4969,5267.7335,2440.5394,1473.8731,2240.8908,2067.9777,1953.9616,3242.9508,4375.8536,7690616.4569,9077080.7709,1256.159,0.612728,92.845684,125.895571,40.965273,264.388281,75.493503,0.059372,-0.913493,1626.793,home,0,0
2,2.0,12.96,6.04,6509.1167,2814.5615,5421.7942,2415.4272,1508.0935,2291.4837,2082.6797,2258.197,3389.5543,4285.1159,8212017.2524,10163616.199,1169.5641,0.610249,63.533074,88.244265,27.833633,284.311836,81.044235,0.030925,-1.098199,1625.793,home,0,0
3,3.0,12.12,6.0,6647.975,2559.3135,5588.7387,2336.9238,1494.3315,2326.6041,2325.9183,2569.9604,2512.7083,4039.1815,7818674.6729,11041579.6844,1083.7021,0.606135,46.942707,70.536291,99.635286,293.46235,82.650128,0.021988,-1.129093,1624.793,home,0,0
4,4.0,12.08,5.28,6820.8609,2622.9393,5876.7719,2305.0838,1422.0988,2329.9747,2248.4243,2327.6319,2392.0682,3957.0975,7471819.4853,9183655.812,1021.7917,0.612308,53.265223,53.744874,94.099961,280.678877,77.46521,0.018034,-1.167699,1623.793,home,0,0
5,5.0,13.0,4.0,6969.1154,2810.1236,6311.1915,1434.9533,1461.5839,1354.2536,2260.6258,2059.7833,2897.0298,1673.4167,8211511.7627,3113581.2586,1524.6188,0.592275,50.509202,238.140108,77.72027,278.112828,162.537583,0.018434,-0.986747,1622.793,home,0,0
6,6.0,9.12,3.8,6208.5081,2469.5066,5898.1064,1433.9219,1266.9173,928.2668,1095.6748,716.5891,2593.5746,1695.7822,1615720.0093,535195.1791,1168.7218,0.356827,74.535428,269.447891,258.925384,455.626387,194.764143,0.054603,-0.566696,1621.793,home,0,0
7,7.0,11.72,3.96,6470.4069,3462.1536,5821.7371,2236.7208,1450.0091,1357.2631,1498.045,1550.1768,2763.1095,1885.1449,5034136.1526,2091805.0489,1450.2172,0.478902,90.043473,292.240516,279.417499,509.620866,207.154313,0.064242,-0.443302,1620.793,home,0,0
8,8.0,11.48,5.36,6832.286,3411.8113,5945.2998,3202.9971,1522.6096,1823.1804,2390.9961,1912.9373,2782.0766,3250.749,7394170.4794,5497390.4636,921.0663,0.614417,87.863099,313.950118,356.109192,491.263315,247.403878,0.073151,-0.334113,1619.793,home,0,0
9,9.0,11.16,6.72,6261.1614,3369.0861,5398.2442,3705.9611,1622.5901,1685.7042,2799.2334,1860.32,2479.7639,3228.6868,8291900.8028,6832718.4157,940.4763,0.55625,89.209482,294.341914,361.901202,442.524865,222.071226,0.071486,-0.393748,1618.793,home,0,0
