second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,7.0,10.0,6101.9793,2953.3616,7212.5082,3752.184,1589.6817,1654.778,1447.4017,1793.6189,3152.652,4115.8138,4684393.8208,6706049.612,1380.059,0.543941,,,,,,,,152.023,away,0,0
1,1.0,6.24,9.72,5432.4063,3020.5847,5997.2554,3695.396,1113.1995,1143.7528,1023.2873,1104.2766,2022.4367,2684.6039,2583678.4694,3300967.2934,919.0984,0.397982,476.482169,511.025133,424.114375,689.342383,460.960584,0.145959,0.520751,151.023,away,0,0
2,2.0,5.76,9.76,3392.2439,2870.0413,3410.917,2867.152,259.0655,213.898,493.2682,350.674,288.4313,207.2883,67438.3933,47125.3801,53.2584,0.134578,665.308112,720.43997,477.066753,721.47248,663.400297,0.204681,1.213118,150.023,away,0,0
3,3.0,4.0,7.36,5828.292,2986.163,5255.2374,2806.7085,725.8461,2096.5246,767.4874,2981.3619,1187.4529,2448.1287,647587.0719,5462255.4817,865.543,0.409981,599.132299,1107.835506,409.450905,1357.877632,713.028413,0.228255,1.783929,149.023,away,0,0
4,4.0,1.0,3.0,6586.8231,4128.7153,5369.9032,2793.0735,0.0,3019.818,0.0,4615.7939,0.0,2627.2254,0.0,9261532.2782,1814.9227,0.335881,630.810761,1061.699973,498.960029,1427.01623,772.116229,0.189716,1.714922,148.023,away,0,0
5,5.0,3.4,5.88,7331.3865,4803.1133,6645.1306,3847.0912,486.2797,2478.2635,515.7025,3081.0303,891.3601,3457.9737,827493.6908,7844728.7363,1649.7576,0.454657,601.904555,957.670868,502.308527,1448.565711,650.726,0.175528,1.501578,147.023,away,0,0
6,6.0,4.52,6.4,7497.4584,5121.1751,7337.3346,3756.7279,994.5354,1988.7708,912.8115,2672.1604,1999.5452,2859.9056,1892343.5077,6292744.399,1485.4419,0.487258,586.2964,879.641172,484.775267,1275.283084,569.657627,0.151707,1.208844,146.023,away,0,0
7,7.0,6.8,8.56,7367.7847,4765.7371,7820.4966,3921.217,1979.8604,1407.6346,1731.7951,1869.7188,4128.7174,2634.0926,4359524.8609,4445249.9655,959.1505,0.486921,643.300494,836.997606,532.519319,1207.734294,563.462448,0.130083,1.121284,145.023,away,0,0
8,8.0,6.04,8.0,3860.6892,2779.3809,3631.5088,2740.4838,1032.291,682.9979,1415.1651,1125.8857,1158.5326,893.385,942970.9392,1036103.7397,646.7945,0.289186,681.334112,822.952499,505.533151,1149.74665,532.07414,0.138539,1.12247,144.023,away,0,0
9,9.0,5.92,6.16,6336.1271,4841.3196,6990.5974,4644.2443,1813.253,1716.5441,1276.0556,1994.3132,4006.1915,3547.988,4860232.5262,5607478.2311,893.2169,0.478924,692.403879,846.351798,464.819421,1118.488975,500.335055,0.144228,1.121122,143.023,away,0,0
10,10.0,4.92,6.48,6751.023,5041.4262,7116.3446,4645.667,1844.1719,1810.8308,1471.2089,2211.3824,3500.7314,3631.1378,4036990.31,6822176.4542,620.1722,0.523949,626.255378,771.145289,437.852809,1028.346997,477.606021,0.134308,0.914866,142.023,away,0,0
11,11.0,7.24,5.64,6655.759,4880.2411,7450.6912,4571.6514,1534.5747,1222.1808,1997.2565,1558.8612,2622.5722,2147.1734,5643162.3558,2025131.2497,881.1447,0.506765,609.566882,778.907773,448.046135,1024.664884,457.607216,0.12143,0.84396,141.023,away,0,0
12,12.0,7.96,5.08,5902.3774,4599.0572,6120.8418,4742.7958,1615.7687,2063.1571,2222.1297,2380.6439,3051.5121,3842.5309,6905384.4913,7214320.717,689.8332,0.513642,532.272877,770.019922,417.531544,1031.482897,390.154368,0.095778,0.618812,140.023,away,0,0
13,13.0,6.04,3.68,5060.9101,4192.5686,5255.6141,4370.194,1354.7929,1798.8035,1616.6617,1541.767,2610.6365,3270.0983,4400168.9661,3231956.378,562.1234,0.406537,511.692383,608.192629,450.656424,852.301797,321.69688,0.078948,0.323931,139.023,away,0,0
14,14.0,4.92,3.2,4031.5284,2716.5016,3027.9942,2195.7822,1509.9524,1735.2289,2729.809,3067.0994,1584.7108,1109.5762,5482832.435,2424256.6883,1226.6159,0.332288,454.623718,522.220747,485.222411,841.391833,293.208162,0.078963,0.217682,138.023,away,0,0
15,15.0,4.6,3.32,3567.6269,3096.0758,3220.9893,3517.7339,1606.0311,2606.3953,2441.9587,3715.7352,2209.1443,2646.2458,3938740.6174,4657789.1701,576.6123,0.469635,415.603614,555.181941,462.437188,752.779056,341.69201,0.08082,0.199886,137.023,away,0,0
16,16.0,5.0,3.72,2418.462,3452.7921,2245.068,3790.979,1295.0041,1852.9211,1957.7365,2508.9218,1915.0454,2395.2279,2883742.0024,3613071.8697,425.3508,0.40506,395.880754,581.580091,471.148514,832.573399,340.386584,0.084017,0.252487,136.023,away,0,0
17,17.0,4.32,3.08,1927.5377,3525.4698,1962.6697,3544.3643,1057.5518,1455.1576,1524.6981,1911.4385,1641.8908,1973.1401,2348041.3462,1836992.1046,398.6655,0.321525,321.093476,563.24282,432.55399,812.077576,290.425978,0.092337,0.164023,135.023,away,0,0
18,18.0,0.96,0.0,2494.6045,5926.9694,,,0.0,,0.0,,0.0,,0.0,,,0.0,332.091714,545.310161,553.3608,819.660291,287.98931,0.104716,0.27174,134.023,away,0,0
19,19.0,1.0,0.0,2458.7657,5953.7026,,,0.0,,0.0,,0.0,,0.0,,,0.0,253.995512,484.280657,539.449843,813.56438,293.185178,0.085742,0.083576,133.023,away,0,0
20,20.0,1.0,0.08,2479.92,5931.5143,1190.316,5712.8481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.516,0.017448,250.903625,539.994078,519.934513,898.777978,296.062387,0.082985,0.134473,132.023,away,0,0
21,21.0,1.12,0.0,2429.8843,5983.0281,,,17.5648,,22.1513,,17.2578,,0.0,,,0.0,221.700388,531.884762,469.544879,939.820766,301.910695,0.083011,0.103383,131.023,away,0,0
22,22.0,1.0,0.0,2469.7411,5964.1777,,,0.0,,0.0,,0.0,,0.0,,,0.0,215.33747,470.066455,449.272687,963.428376,324.030528,0.082323,0.066307,130.023,away,0,0
23,23.0,1.0,0.48,2651.9632,5833.1141,2636.7287,5833.3169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.3343,0.0,189.239896,521.494658,388.725886,994.566236,373.110718,0.071613,0.048099,129.023,away,0,0
24,24.0,0.68,1.0,1766.2302,4720.0312,2691.1554,5798.6213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770.7419,0.078518,173.723948,505.601019,277.411159,613.233141,575.839493,0.07204,-0.063029,128.023,away,0,0
25,25.0,1.16,1.0,2563.9892,4717.8318,2579.1822,5877.4291,418.9302,0.0,76.0151,0.0,664.6468,0.0,0.0,0.0,1375.4344,0.133884,206.009096,287.809422,256.22764,451.074176,512.165479,0.063842,-0.334846,127.023,away,0,0
26,26.0,4.48,4.64,1647.5125,2757.1382,1689.7303,2093.4337,1334.9326,978.2812,1482.8782,1076.2136,2253.5031,1867.6205,3324360.8725,2473869.2468,967.1492,0.318459,266.506635,344.011186,348.49173,418.424237,576.421386,0.075842,-0.132169,126.023,away,0,0
27,27.0,6.04,4.68,2186.7972,1624.06,2104.8482,1480.2891,839.664,128.2506,433.3548,66.5121,1367.9795,227.2428,150219.3841,6119.1992,274.1206,0.158598,292.288269,457.077974,410.140235,521.478782,743.00721,0.083474,0.163994,125.023,away,0,0
28,28.0,6.0,4.24,419.2878,2637.1773,414.7344,2653.3285,347.917,97.1114,418.2387,107.3225,497.0647,145.3843,82058.373,4749.4203,24.2191,0.0,235.707786,371.89022,259.182033,425.345099,644.386067,0.067181,-0.173631,124.023,away,0,0
29,29.0,5.6,5.0,1703.6491,1617.0505,1726.5119,1707.0675,251.0435,49.8697,148.6418,42.1421,389.7807,92.0289,27438.7569,2588.9028,93.6145,0.067241,245.395133,317.78213,286.141725,365.317644,548.554281,0.073906,-0.241234,123.023,away,0,0
30,30.0,6.52,5.8,2643.0459,1710.583,2668.7063,1879.2954,439.3338,47.6565,174.8239,57.9469,551.5659,72.9242,32374.6098,3536.7377,187.4682,0.113679,264.224163,272.700852,288.759935,315.387234,483.597056,0.076805,-0.301762,122.023,away,0,0
31,31.0,6.6,5.24,5140.9759,3505.7073,5149.1868,3470.2042,178.3232,156.0703,257.4875,265.7885,87.3424,121.8568,30165.0519,25923.3871,64.0906,0.207274,288.568738,252.16497,294.811164,301.944028,438.569619,0.084419,-0.293202,121.023,away,0,0
32,32.0,6.0,3.4,3403.449,2536.6022,3364.3909,2335.454,737.5229,215.5372,452.0561,121.6219,1583.8576,397.0285,153107.5022,12853.7597,206.46,0.30625,342.732215,230.754069,312.052899,284.413202,405.658476,0.094317,-0.242323,120.023,away,0,0
33,33.0,6.24,3.8,4560.9302,3276.277,4483.3532,3121.1775,481.6281,189.1626,501.3088,161.4833,722.8829,334.0972,187853.1184,27324.4968,192.9935,0.235721,368.321694,210.316121,316.978164,259.958025,366.439277,0.10137,-0.236827,119.023,away,0,0
34,34.0,4.92,3.16,5157.6378,3260.9311,5191.9303,3596.7072,2042.9372,1394.176,1496.569,1183.1419,4080.7028,2375.596,4065240.9769,2002457.8985,751.4319,0.396523,524.452606,330.81746,416.504185,362.123885,274.742357,0.109598,0.03402,118.023,away,0,0
35,35.0,5.2,3.6,5292.3058,3631.7907,5248.6952,4751.7087,1868.4359,1929.107,1512.7437,1389.6287,3821.5436,3623.043,6826853.8105,3405331.3839,1127.4129,0.443422,500.009717,384.310565,410.520146,382.772561,272.809709,0.108751,0.05284,117.023,away,0,0
36,36.0,5.8,3.4,3273.49,3524.8286,3188.9662,3354.7369,1139.1888,605.6304,903.3624,383.8527,2110.3688,1110.247,310310.0477,37526.6016,222.5974,0.239603,481.33418,418.830102,330.771969,375.728793,322.462751,0.110676,0.058827,116.023,away,0,0
