track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
28691,away,0.9533,1242,46341,47596,0.8291,3951.6948,972,"0.6213,0.5502,0.4306"
33076,home,0.8522,1218,54043,55268,0.8274,3436.3547,1172,"0.4266,0.4669,0.3418"
19191,away,0.9557,1175,31461,32635,0.8196,2852.5226,1010,"0.6099,0.5392,0.4443"
19201,home,0.8655,1175,31461,32635,0.8226,2791.154,1097,"0.4154,0.4702,0.3432"
38112,away,0.8445,1138,63928,65074,0.8022,2572.8471,1117,"0.5935,0.5555,0.4306"
38425,home,0.9091,1045,64471,65515,0.8402,4197.5033,804,"0.4136,0.4517,0.2956"
731,home,0.9622,1033,1138,2170,0.8378,4426.2546,822,"0.3425,0.3714,0.2968"
735,away,0.937,1032,1138,2170,0.8027,2358.4797,1032,"0.5894,0.5146,0.4270"
734,home,0.9631,1031,1138,2170,0.8259,3015.6596,1006,"0.3835,0.4056,0.2886"
2893,home,0.9286,995,4136,5130,0.8091,2131.2392,995,"0.3941,0.4430,0.3497"
28752,home,0.8131,995,46425,47419,0.7965,2166.6764,765,"0.4515,0.4722,0.3528"
14332,home,0.9433,970,23820,24789,0.8361,5154.4804,850,"0.3783,0.3968,0.2985"
14333,away,0.9052,970,23820,24789,0.8365,4658.1649,870,"0.5936,0.4980,0.4083"
14340,home,0.8039,969,23820,24789,0.8137,2882.291,969,"0.4069,0.4168,0.3042"
14341,home,0.5083,962,23820,24789,0.8191,3934.5021,882,"0.5026,0.4565,0.3678"
33080,away,1.0,936,54043,54978,0.7954,2672.4754,906,"0.6507,0.5859,0.4749"
38359,away,0.8694,919,64312,65235,0.8187,3183.5082,788,"0.5924,0.5323,0.4150"
33180,away,0.5359,895,54178,55072,0.7943,2110.933,865,"0.5100,0.5216,0.4094"
14444,away,0.9692,877,23913,24789,0.8068,1900.1893,877,"0.6343,0.5845,0.4893"
996,away,0.9433,847,1324,2170,0.7986,2112.2881,847,"0.6016,0.5525,0.4454"
38102,away,0.9394,841,63924,64771,0.7918,1984.2985,841,"0.6198,0.5841,0.4597"
1002,away,0.9843,830,1328,2170,0.7867,2471.8265,830,"0.5997,0.5362,0.4320"
14543,home,0.9604,808,23982,24789,0.8171,2165.5532,808,"0.3948,0.4237,0.3155"
2895,away,0.9591,807,4136,4942,0.7786,1994.1487,807,"0.6138,0.5614,0.4806"
17547,away,1.0,807,28947,29753,0.8384,4223.311,783,"0.6475,0.5728,0.4614"
29158,home,0.5236,804,46792,47596,0.7974,2220.7948,564,"0.5035,0.4937,0.3782"
2894,away,0.7947,789,4136,4924,0.8223,3063.7364,789,"0.5647,0.5172,0.4236"
20862,home,0.9911,787,33671,34459,0.8218,1945.0267,743,"0.3818,0.4474,0.2966"
38696,away,0.9885,781,64735,65515,0.8284,4050.4008,661,"0.6113,0.5295,0.4139"
29148,home,0.8141,780,46783,47596,0.803,2611.641,618,"0.4484,0.4708,0.3370"
733,away,0.9349,768,1138,1906,0.8032,3001.9935,758,"0.6101,0.5018,0.3947"
28900,away,0.9602,754,46598,47368,0.7958,2507.6592,611,"0.6055,0.5633,0.4518"
19189,away,0.996,753,31461,32213,0.8421,4679.7862,603,"0.6129,0.5266,0.4203"
19194,away,0.7683,751,31461,32215,0.7907,2551.996,744,"0.5622,0.5220,0.4185"
21132,away,0.9932,734,33926,34659,0.8379,4688.9619,452,"0.6564,0.5691,0.4559"
41202,away,0.8245,718,68729,69453,0.801,38846.5627,718,"0.5912,0.4688,0.4231"
27676,away,0.8783,715,45002,45716,0.8442,5017.8769,588,"0.6065,0.5113,0.4133"
1055,away,0.8619,695,1349,2043,0.8301,2965.4547,640,"0.5886,0.5212,0.4125"
27708,away,0.9405,689,45025,45716,0.8253,3735.2308,679,"0.6007,0.5286,0.4317"
27695,home,0.8355,687,45020,45716,0.8191,3158.2868,687,"0.4210,0.4593,0.3441"
38500,home,0.9618,681,64498,65179,0.8085,2050.8943,681,"0.3799,0.4335,0.3072"
38549,away,0.9985,680,64532,65211,0.8222,2624.4353,630,"0.6551,0.5954,0.4719"
10350,home,0.9127,676,17675,18350,0.8043,2561.3447,431,"0.4273,0.4328,0.3274"
33075,away,0.9762,673,54043,54715,0.8399,4348.3343,602,"0.5931,0.5218,0.4188"
10340,home,0.7072,666,17675,18350,0.8255,3169.515,391,"0.4600,0.4848,0.3513"
2900,home,0.8781,665,4136,4838,0.7562,1699.7323,665,"0.4210,0.4192,0.3574"
17800,home,0.9202,664,29304,29967,0.8279,2856.366,582,"0.3942,0.4490,0.3063"
