second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,11.0,4.48,6623.8516,3375.7793,5391.6005,2881.7791,1750.7661,1216.7114,1658.9722,1444.5714,4060.3904,1715.0798,7071756.0468,2061839.7175,1328.8014,0.608616,,,,,,,,1329.04,home,0,0
1,1.0,10.72,5.56,6510.1466,3321.1989,5502.3617,2932.2658,1796.7701,1273.7843,1658.3578,2008.819,4274.1732,1554.6094,6768643.6128,2965943.1134,1081.9394,0.629758,46.004028,57.072896,0.614375,564.247588,246.861969,0.021142,-1.111848,1328.04,home,0,0
2,2.0,9.48,5.72,6269.6769,3017.7753,5348.6089,2685.2409,1883.053,1381.2363,1465.5213,2495.1262,4588.8558,1581.5075,6274022.9619,3449918.68,991.0373,0.629246,66.143469,82.262419,96.725459,525.277432,168.882058,0.010827,-1.139927,1327.04,home,0,0
3,3.0,8.36,4.84,5947.6935,2803.3101,5227.6653,2355.5368,2138.1099,1205.0167,1191.9988,1992.8116,5290.4884,1539.001,5917544.95,2469879.0075,855.2949,0.611553,129.114595,113.581479,155.657799,517.623154,157.835494,0.013116,-1.027935,1326.04,home,0,0
4,4.0,7.92,4.0,5742.9202,2441.5812,5519.7406,2123.781,2034.8865,1067.257,1009.3672,1435.8509,4905.1195,1503.9434,4568106.2356,1418881.0383,402.8398,0.502201,122.641779,119.626025,162.401235,527.457551,231.490408,0.037175,-0.852892,1325.04,home,0,0
5,5.0,7.68,4.0,5801.866,2110.605,5508.7263,1946.6362,1804.0357,1248.1704,1152.982,1433.2547,3603.825,2085.3519,5549982.064,1632746.5592,360.8785,0.452907,144.283582,131.883495,158.643945,422.485287,193.584582,0.039599,-0.883276,1324.04,home,0,0
6,6.0,8.0,3.44,6038.3568,2373.119,5790.8421,1837.4486,2120.076,1498.4003,1106.9199,1319.0145,5188.8662,2596.1166,5382849.0927,1333581.2277,628.2802,0.517651,172.909702,151.607892,139.880299,371.111095,205.887448,0.04379,-0.848202,1323.04,home,0,0
7,7.0,6.24,2.24,6338.834,1329.0102,6485.8751,2079.8308,1354.0057,2012.6674,896.4108,984.224,2975.7713,3145.1058,1619636.069,72751.4588,840.196,0.414409,257.646932,203.416361,149.970128,365.922443,206.748632,0.052283,-0.68715,1322.04,home,0,0
8,8.0,5.72,2.08,6358.6446,1092.4983,6798.4546,2778.7204,1116.92,492.8759,755.7844,424.9487,2301.9361,661.9885,279335.0936,43382.5366,1742.7397,0.253219,255.076786,367.963256,148.802168,390.091549,293.72302,0.065896,-0.434208,1321.04,home,0,0
9,9.0,5.76,2.8,7550.4518,2111.6583,7424.9828,2718.8616,1582.3085,697.5908,1076.5724,497.6232,2982.4174,1192.4362,584854.0679,234635.1266,717.2901,0.335545,278.444755,349.824551,167.911704,354.822983,375.025979,0.067722,-0.379457,1320.04,home,0,0
