track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
17495,away,0.9575,944,34852,35802,0.8052,4262.3708,934,"0.5317,0.5499,0.4399"
24411,away,0.8029,898,47737,48634,0.826,8643.6192,780,"0.5170,0.5287,0.4507"
19634,home,0.9844,831,38811,39645,0.8182,6640.8833,502,"0.2743,0.3132,0.4679"
19639,away,0.9939,826,38819,39657,0.8156,5958.2446,587,"0.5693,0.5876,0.5310"
5299,away,0.987,771,11505,12275,0.8267,5327.8249,764,"0.5666,0.5780,0.4495"
30750,home,0.9803,760,59043,59802,0.8273,3579.9,760,"0.2971,0.3102,0.3516"
30751,home,1.0,760,59043,59802,0.8373,4202.7039,760,"0.2863,0.2982,0.3875"
30753,home,0.9947,760,59043,59802,0.7604,1862.3618,760,"0.3318,0.3306,0.4090"
30755,away,0.8329,760,59043,59802,0.76,2282.875,760,"0.5374,0.5191,0.4176"
30756,home,0.9895,760,59043,59802,0.7412,1959.7934,760,"0.3116,0.3162,0.4072"
30757,away,0.9513,760,59043,59802,0.7853,1242.8171,760,"0.5095,0.5231,0.5011"
23973,away,1.0,755,46741,47495,0.8195,5662.3139,730,"0.6041,0.6215,0.6093"
5550,away,0.754,744,11707,12469,0.8241,4573.8656,744,"0.5221,0.5309,0.4684"
33350,away,1.0,744,65352,66095,0.8243,6368.293,594,"0.5913,0.5735,0.4353"
24086,home,0.9986,738,47124,47861,0.8437,8799.1192,536,"0.2784,0.3133,0.4353"
14551,away,0.9726,696,28125,28821,0.8393,8628.2011,609,"0.5306,0.5654,0.4296"
17415,home,0.7727,673,34704,35377,0.82,6213.1352,653,"0.3795,0.4224,0.5275"
33574,home,0.9733,673,65403,66090,0.8229,4774.0401,583,"0.3045,0.3197,0.4148"
24106,home,0.8864,660,47207,47867,0.8212,6245.5924,602,"0.3059,0.3468,0.4804"
31336,away,0.6859,659,61755,62413,0.8267,4926.9712,362,"0.4580,0.4823,0.3806"
24572,home,0.9149,647,47994,48640,0.8269,5935.5131,645,"0.3284,0.3596,0.4958"
5483,home,0.9611,643,11626,12268,0.8064,2887.3639,626,"0.3407,0.3677,0.4883"
5495,away,0.9921,638,11636,12278,0.8144,2419.8197,638,"0.5611,0.5904,0.4636"
16009,away,0.9937,636,31765,32400,0.8309,5793.6305,391,"0.5206,0.5228,0.4061"
16016,home,0.7925,636,31765,32405,0.8013,3070.772,501,"0.3410,0.3735,0.4527"
14653,away,0.8331,635,28187,28821,0.8011,3133.1748,463,"0.5128,0.5267,0.4932"
29153,away,0.9585,626,55145,55784,0.8001,5859.2748,538,"0.5745,0.5686,0.4470"
31138,away,0.7072,625,60768,61452,0.7658,191889.92,625,"0.4991,0.4152,0.3325"
33642,away,0.9951,616,65441,66056,0.8206,3639.3961,616,"0.6935,0.3374,0.3117"
23978,home,0.9666,601,46748,47371,0.79,4276.9933,559,"0.3264,0.3586,0.4805"
31807,away,0.9933,598,62440,63060,0.8191,3477.9548,578,"0.5487,0.5459,0.4258"
24498,away,0.8126,590,47864,48490,0.8102,4383.8576,570,"0.5002,0.5219,0.5046"
