second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,7.0,8.04,6713.3981,3219.6218,5774.6962,2653.2449,1529.0353,1619.9863,1380.6549,1841.031,3076.671,2988.187,4272878.1563,6467743.5015,1096.3988,0.589715,,,,,,,,,,0,0
1,1.0,5.72,8.2,6420.7431,3137.6755,5884.9725,2696.7109,1448.0968,1678.5745,1340.3229,2011.482,2956.617,3274.3085,3614804.7044,7405727.3528,742.4719,0.578773,80.938501,58.588149,40.331992,170.450977,353.926951,0.010942,-1.345279,,,0,0
2,2.0,4.28,7.76,6030.9017,2669.1901,5923.9582,2683.9831,1065.9882,1577.8702,1174.4929,2073.643,1992.0191,3002.5615,2533838.5338,6332288.6973,285.5964,0.454439,231.52354,79.646187,103.080996,116.306006,405.401236,0.067638,-0.858211,,,0,0
3,3.0,2.44,3.16,5558.649,3159.6274,5376.6635,3157.7272,540.4228,498.9459,457.3847,731.0127,825.6175,551.1575,195774.8751,508415.631,706.2805,0.275185,329.537493,412.738908,307.756746,525.080788,410.495522,0.104843,-0.049067,,,0,0
4,4.0,1.64,2.88,4546.677,4770.8387,2209.2621,3382.2834,372.6666,1610.2319,242.4317,1964.6838,558.4381,2078.9187,244.8355,3278718.4726,3006.5678,0.229109,289.092174,587.375676,284.555815,702.228362,882.943473,0.090151,0.28372,,,0,0
5,5.0,0.8,3.4,4702.1489,4393.6883,2818.5851,3502.2406,0.0,2129.5889,0.0,3188.16,0.0,2841.3656,0.0,5289152.5488,2243.7172,0.44619,305.807057,573.771953,276.130988,806.477941,858.924894,0.115537,0.447941,,,0,0
6,6.0,1.0,3.84,4265.4131,4388.3955,2642.0475,3444.0322,0.0,1705.621,0.0,2501.3353,0.0,2421.9773,0.0,4316728.0219,1880.3451,0.471371,254.839214,548.804611,230.109157,786.535741,776.332759,0.100478,0.227573,,,0,0
7,7.0,1.0,5.12,3921.9518,4260.1336,3040.1483,3686.9947,0.0,1851.227,0.0,2744.8972,0.0,2965.7039,0.0,6253936.2665,1054.7688,0.509789,218.433612,491.204805,197.23642,708.968045,783.36756,0.091612,0.060602,,,0,0
8,8.0,1.0,5.0,7082.052,4727.6062,4131.8807,2149.9937,0.0,3060.3908,0.0,5515.0396,0.0,3739.4649,0.0,19170139.141,3917.8729,0.549251,191.12941,580.949684,172.581868,966.614841,1043.334632,0.085094,0.30197,,,0,0
9,9.0,1.0,4.6,5545.8649,4644.198,3696.6156,2505.8546,0.0,2639.3288,0.0,4311.3056,0.0,3235.6069,0.0,9145622.8062,2912.8694,0.520943,169.892809,563.184385,153.406105,992.961414,1039.075614,0.078784,0.234998,,,0,0
