track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
13437,home,0.701,1140,21731,22881,0.7828,2671.3491,1060,"0.4372,0.4442,0.5303"
1387,home,0.721,1050,2590,3640,0.7927,2432.9143,1008,"0.4078,0.4059,0.5076"
1391,away,0.7116,1047,2590,3640,0.7995,2700.554,1007,"0.5481,0.5476,0.5158"
13433,away,0.6349,1019,21731,22751,0.784,2486.2699,959,"0.5345,0.5499,0.5380"
13443,away,0.9127,1019,21731,22749,0.8306,4478.9843,959,"0.5402,0.5992,0.4649"
23446,home,1.0,981,40585,41574,0.8202,3423.9021,921,"0.2826,0.2961,0.4465"
13481,home,0.999,959,21762,22721,0.8219,5544.7748,869,"0.2987,0.3200,0.5078"
30088,home,0.979,809,51511,52349,0.7668,2111.4475,761,"0.3383,0.3201,0.4851"
23565,away,0.9988,804,40756,41559,0.8218,2899.6878,790,"0.6250,0.6037,0.5090"
1479,home,0.9934,761,2799,3559,0.8116,3783.6334,695,"0.2995,0.3090,0.4733"
31356,home,0.5575,757,53936,54693,0.8238,4661.5812,719,"0.4236,0.4092,0.4754"
6863,home,0.9987,746,11200,11945,0.8149,3394.4504,647,"0.3080,0.3172,0.4909"
27098,home,0.9945,729,46666,47394,0.845,7526.1289,550,"0.2763,0.2947,0.4375"
6973,home,0.9986,723,11556,12279,0.8216,4410.4288,707,"0.2933,0.3083,0.4839"
23628,away,0.5448,714,40822,41559,0.8132,2305.042,714,"0.4718,0.4789,0.4941"
16087,home,0.5763,708,27401,28108,0.8023,2528.3559,664,"0.4269,0.4315,0.5003"
10866,away,0.9416,702,17308,18010,0.8434,6326.9174,556,"0.5480,0.5687,0.5305"
13431,home,0.9841,694,21731,22424,0.8074,2482.1945,694,"0.3050,0.3472,0.5101"
16086,away,0.5679,692,27401,28095,0.8088,2808.8829,671,"0.4644,0.4691,0.4905"
22528,away,0.8483,692,38846,39537,0.8341,5100.0145,491,"0.5447,0.5138,0.4287"
10863,away,0.9808,682,17296,17977,0.8288,4109.5,594,"0.5814,0.5662,0.4857"
1550,away,0.9323,679,2962,3640,0.8245,3910.8719,649,"0.5326,0.5644,0.4701"
30084,away,0.9941,675,51506,52182,0.8128,2330.8296,655,"0.6590,0.6619,0.5343"
7020,away,0.7021,660,11619,12279,0.8311,6273.7788,620,"0.4954,0.4984,0.4780"
1557,home,0.9755,654,2986,3640,0.8115,4198.6376,604,"0.3346,0.3426,0.5042"
30488,away,0.9738,650,52362,53014,0.8124,3356.4877,650,"0.5848,0.5727,0.4822"
30498,away,0.978,649,52366,53014,0.803,3239.6995,639,"0.6183,0.6537,0.5391"
14521,away,0.9581,645,24196,24843,0.8171,4630.769,645,"0.5875,0.5573,0.5174"
10879,home,0.9455,642,17331,17972,0.8212,3388.7461,610,"0.3258,0.3332,0.5000"
20780,away,0.975,639,35296,35934,0.8445,5060.2457,517,"0.5703,0.6418,0.4703"
7045,away,0.9825,628,11651,12279,0.8225,4084.9427,628,"0.5922,0.5726,0.5032"
30101,home,0.9968,620,51557,52179,0.7945,2334.1452,615,"0.3030,0.3195,0.4251"
22620,home,1.0,619,38901,39519,0.8285,5873.9402,469,"0.2514,0.2676,0.4323"
23295,away,0.9031,619,40362,40980,0.8358,5340.8304,609,"0.5605,0.6026,0.4573"
10881,away,1.0,618,17337,17954,0.8176,2933.8123,562,"0.5939,0.5781,0.5030"
16168,home,0.9951,618,27602,28230,0.8121,3051.2411,578,"0.3037,0.3273,0.4735"
1450,away,0.8388,608,2712,3319,0.8397,5741.9951,448,"0.5294,0.5564,0.4668"
14498,away,0.9077,607,24181,24790,0.8187,3890.7166,603,"0.5254,0.5509,0.4855"
13593,away,0.9174,606,22061,22667,0.7818,2101.7426,596,"0.6263,0.6501,0.5788"
27186,away,0.9083,600,46845,47477,0.8128,2447.4433,567,"0.5859,0.5833,0.4988"
23020,away,0.9316,599,39632,40231,0.8155,3005.1068,590,"0.5529,0.5889,0.4734"
13671,away,1.0,586,22296,22881,0.8083,2503.7986,586,"0.6232,0.6467,0.5161"
16089,home,1.0,584,27401,27984,0.7959,1932.4075,584,"0.2787,0.3259,0.4435"
8509,away,0.8052,580,14259,14838,0.8375,5443.5172,510,"0.5135,0.5214,0.5065"
23697,away,1.0,579,40971,41549,0.8125,2148.3022,579,"0.6342,0.6215,0.5093"
37154,away,0.9119,579,63291,63869,0.8156,3337.513,549,"0.5603,0.5239,0.4646"
8505,home,1.0,575,14259,14833,0.8417,7733.1235,445,"0.2444,0.2589,0.4205"
10895,away,1.0,574,17376,17949,0.8336,3913.5662,545,"0.6129,0.5767,0.5065"
31321,home,0.9493,573,53855,54438,0.7889,2360.3665,565,"0.3207,0.3055,0.4574"
26951,away,0.6818,572,46432,47028,0.808,2921.3514,535,"0.5194,0.5216,0.4866"
8507,away,0.7754,571,14259,14854,0.7944,2798.8739,537,"0.5327,0.5209,0.4900"
31320,home,1.0,568,53855,54422,0.8174,3237.9454,568,"0.2931,0.2906,0.4379"
10911,home,1.0,563,17399,17961,0.838,6550.833,479,"0.2869,0.2950,0.4606"
27028,home,0.9787,563,46461,47034,0.8199,3356.611,524,"0.3282,0.3432,0.5184"
30072,away,0.9715,563,51501,52063,0.7802,2099.6643,513,"0.6535,0.6872,0.5762"
8504,home,1.0,561,14259,14819,0.797,2380.2549,561,"0.2795,0.3124,0.4600"
18113,home,1.0,559,30954,31515,0.8015,4591.771,446,"0.2365,0.2652,0.3916"
33875,away,1.0,559,58027,58585,0.8341,3473.2791,464,"0.6056,0.5863,0.5038"
23022,home,0.9964,551,39634,40184,0.8062,2450.3285,531,"0.2913,0.3076,0.4474"
31820,away,0.7832,549,54779,55327,0.8368,5591.561,501,"0.5249,0.5471,0.4462"
26989,home,0.6819,547,46442,47019,0.8027,2760.8885,512,"0.3997,0.4101,0.4760"
27043,away,0.9227,543,46485,47057,0.8095,3053.7956,514,"0.5562,0.5844,0.4850"
11085,home,0.8312,539,17871,18434,0.782,2311.9054,500,"0.3989,0.4140,0.5059"
8506,home,0.8168,535,14259,14842,0.8006,3615.3084,471,"0.3659,0.3667,0.5096"
28193,away,0.529,535,48429,49009,0.7446,1857.5439,528,"0.4461,0.5127,0.3536"
37141,away,0.9906,534,63196,63729,0.8192,2997.2603,534,"0.5920,0.5760,0.4734"
12761,away,0.9737,532,20052,20602,0.8186,3578.7838,449,"0.6175,0.6231,0.5162"
35691,away,0.9568,532,61376,61914,0.797,3631.2312,522,"0.5634,0.5474,0.4528"
36886,away,0.9698,530,62912,63469,0.8082,3623.166,409,"0.5921,0.5594,0.4885"
4893,away,0.8544,529,7337,7908,0.6311,372823.4499,1,"0.5829,0.4485,0.5696"
27039,home,0.9619,526,46471,47020,0.7924,2774.3954,495,"0.3311,0.3334,0.4717"
37161,away,0.7143,526,63344,63869,0.8414,5015.2186,470,"0.4977,0.5200,0.4351"
13686,home,0.9443,521,22360,22881,0.8133,2731.0115,453,"0.3517,0.3772,0.5158"
2475,away,0.9686,518,4724,5242,0.7895,2591.5193,518,"0.5950,0.6074,0.4988"
7134,home,0.9923,518,11762,12279,0.7925,2275.1834,518,"0.3363,0.3226,0.4687"
