second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,7.0,5.24,5242.692,3077.6363,6565.8069,2662.9691,995.0691,1212.0337,1148.2301,1356.7219,2053.8649,2175.681,2173817.0321,2705337.231,1387.3496,0.412042,,,,,,,,88.44,home,0,0
1,1.0,7.0,5.28,5261.5243,3089.3262,6548.6038,2763.412,967.1429,1365.4036,1018.2679,1460.9295,2053.597,2488.1002,1937244.707,3441363.3416,1346.7247,0.437035,27.926187,153.369961,129.962227,104.207637,40.624881,0.024993,-1.143554,87.44,home,0,0
2,2.0,6.96,8.4,5302.912,3156.4067,6456.0395,3493.0244,984.869,1898.2113,946.6381,1855.534,2125.0254,4747.3872,1773180.1472,8194302.3639,1206.3447,0.531926,22.826104,343.08884,100.796016,249.406094,90.502466,0.059942,-0.730449,86.44,home,0,0
3,3.0,6.96,8.92,5281.4833,3264.2261,6378.1577,3490.5145,1065.0026,2015.7596,962.2258,2117.5345,2341.3739,5130.0816,1995091.1728,9368864.1305,1120.5017,0.531254,41.928621,267.908659,72.393255,253.604206,88.949304,0.040185,-0.884488,85.44,home,0,0
4,4.0,7.88,8.76,5119.1339,3555.0617,6277.4211,3577.7483,1059.74,1972.3894,1328.858,2184.7195,2309.1895,4888.8985,2968449.6555,8602462.5707,1159.7726,0.518184,32.762115,211.774052,145.952988,206.999404,76.5297,0.033406,-0.964495,84.44,home,0,0
5,5.0,8.52,9.0,4953.4534,3928.8962,6063.0986,3786.0278,1178.4157,2076.9234,1470.5826,2473.2131,2589.2205,5107.57,4073694.2693,9111936.3061,1122.2837,0.516729,49.944831,190.326042,145.107307,223.298242,68.721545,0.027016,-0.994418,83.44,home,0,0
6,6.0,10.0,6.96,4708.6894,4354.2703,5524.4924,3904.1558,1384.4856,2109.2678,1444.5181,2044.4844,3491.2851,4900.0281,5429893.1583,7581207.6807,1044.1241,0.466504,75.965673,163.995766,125.266839,257.536644,70.294545,0.030884,-0.965624,82.44,home,0,0
7,7.0,5.56,2.96,4858.9139,4549.0451,5265.9365,2941.7758,1976.0402,1906.0916,1116.3987,1202.0346,4266.3415,3353.1523,3213196.8688,1014809.1289,1658.9498,0.430881,149.621231,169.592968,154.245778,341.095675,148.084702,0.031561,-0.780859,81.44,home,0,0
8,8.0,2.8,0.96,6250.5354,4006.1293,4177.9944,4072.8659,3435.5406,0.0,6843.9423,0.0,2499.4099,0.0,16751918.5995,0.0,1213.9313,0.340418,313.356129,386.6553,850.908004,448.713035,185.201419,0.038924,0.038612,80.44,home,0,0
9,9.0,8.16,2.84,4097.4077,4274.8554,4525.3236,4520.0742,2317.9845,1420.1046,3367.5854,925.7601,3657.6963,2548.2859,15224769.1806,1938182.5028,907.1123,0.588633,402.711681,501.483002,1142.624546,501.718267,198.714485,0.062179,0.520381,79.44,home,0,0
10,10.0,9.4,4.0,2926.7883,4649.1183,3550.2108,5487.0158,1770.1087,1738.8127,1898.8884,1621.4481,3462.9364,3016.3863,10899724.5785,5072531.238,1044.9673,0.489231,417.228089,483.205511,1175.231784,521.11524,192.628537,0.065901,0.56025,78.44,home,0,0
11,11.0,10.12,3.96,2265.5763,5054.0459,2594.0564,5504.1739,1280.7307,1121.8958,1145.273,906.657,2369.6267,2075.5251,5074176.18,1573478.9769,557.8509,0.402747,463.37327,529.560207,1237.59711,582.173587,237.277685,0.07205,0.764682,77.44,home,0,0
12,12.0,9.36,3.76,2296.6961,4948.9603,2705.1633,5335.0604,1237.2166,994.2181,1435.4122,936.5992,2312.8142,1808.4415,4967463.4017,1134494.2914,613.1371,0.420815,465.952076,489.047201,1259.448056,545.707345,228.768297,0.064368,0.68373,76.44,home,0,0
