track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
14409,home,0.9451,1713,34865,36578,0.8354,4645.2831,1713,"0.3728,0.4785,0.2750"
14458,away,0.9984,1215,34949,36163,0.8353,5739.4823,1203,"0.5548,0.7114,0.7506"
14415,away,0.9083,1211,34865,36078,0.81,2609.199,1170,"0.5304,0.6696,0.6749"
20884,away,0.9983,1183,52747,53929,0.8305,5213.3846,869,"0.5497,0.6834,0.7457"
9531,away,0.9949,1171,21812,22982,0.8259,5041.0094,1087,"0.5121,0.6467,0.6863"
17403,home,0.9513,1048,44049,45101,0.8176,4430.2739,1028,"0.4186,0.4592,0.3281"
17415,home,0.5186,1047,44049,45102,0.8189,4435.9589,997,"0.4599,0.5582,0.4867"
14461,home,0.9207,1046,34975,36026,0.8151,2683.8509,1045,"0.4107,0.5035,0.3224"
20114,home,0.9366,1010,50812,51831,0.8216,5127.8891,872,"0.4115,0.4430,0.3409"
14410,away,0.9941,1009,34865,35873,0.8139,3392.8801,1007,"0.5764,0.7262,0.7514"
24014,away,0.997,1009,60770,61778,0.8225,4170.3132,925,"0.5256,0.6744,0.7149"
2815,home,0.8709,937,5215,6161,0.8255,5112.2081,620,"0.3260,0.3827,0.3684"
9,home,0.9898,880,0,879,0.8264,4446.4284,599,"0.3629,0.4154,0.3009"
10737,home,0.9953,856,24822,25755,0.734,291549.9077,856,"0.4061,0.3675,0.2922"
24026,away,0.5328,839,60781,61622,0.8149,4100.0072,805,"0.4751,0.5705,0.5306"
9529,away,0.9331,837,21812,22665,0.8176,4455.2664,722,"0.4844,0.6101,0.6526"
20118,away,0.994,837,50855,51699,0.8233,4588.1481,740,"0.4969,0.6385,0.7192"
9542,away,0.6403,834,21820,22653,0.8215,5149.4388,641,"0.3944,0.5019,0.5132"
15631,home,0.9412,833,37961,38793,0.822,3457.4418,818,"0.3919,0.5095,0.2700"
9535,home,0.9842,823,21812,22634,0.8054,3516.2977,802,"0.3725,0.4666,0.2758"
26,away,0.989,820,54,873,0.8379,5595.2732,548,"0.4475,0.5646,0.6693"
2822,home,0.8852,819,5220,6038,0.8163,2372.8327,639,"0.4020,0.4544,0.3780"
19150,away,0.9243,819,47987,48805,0.8208,3167.6813,751,"0.4651,0.5851,0.6344"
25588,home,1.0,807,65256,66062,0.8348,5849.4102,777,"0.3677,0.3816,0.2607"
25584,away,1.0,805,65256,66062,0.8233,4109.8745,805,"0.5298,0.6513,0.7053"
15626,away,0.9789,804,37958,38784,0.779,3304.8657,804,"0.5343,0.6897,0.6970"
26045,away,0.9987,798,66699,67496,0.8176,4115.0313,622,"0.4909,0.6161,0.6957"
25585,away,0.6486,794,65256,66062,0.8092,4574.1108,794,"0.4429,0.5269,0.5438"
18568,home,0.9937,793,46841,47633,0.8285,5784.2598,693,"0.3668,0.3822,0.2878"
26046,away,0.7969,773,66699,67496,0.7961,2589.6636,690,"0.6009,0.6902,0.7002"
2924,away,1.0,772,5390,6161,0.8028,2688.0065,632,"0.5819,0.7017,0.7472"
2823,away,0.9831,769,5220,5988,0.8031,2145.8336,684,"0.5355,0.6524,0.7067"
9597,home,0.9828,759,21988,22751,0.822,4707.22,620,"0.3733,0.4438,0.2832"
22230,away,0.9906,747,56346,57093,0.8114,4514.4592,703,"0.4783,0.6212,0.6762"
14414,away,0.9839,745,34865,35609,0.8092,2791.4309,677,"0.5552,0.7035,0.7083"
14557,home,0.7758,745,35212,35958,0.8219,4046.6121,705,"0.4270,0.5086,0.4005"
16058,home,0.9677,744,39993,40736,0.8395,7895.5363,744,"0.4076,0.4655,0.2937"
13292,home,0.8246,741,32077,32853,0.7992,4350.7328,731,"0.4294,0.5476,0.3468"
24239,away,0.9904,740,61171,61911,0.8195,3043.9473,625,"0.6180,0.7603,0.7674"
21846,home,0.9337,739,55460,56202,0.8228,3539.0474,729,"0.4192,0.4757,0.3237"
14556,away,0.974,734,35211,35948,0.8138,3152.5,734,"0.5901,0.7367,0.7268"
9611,away,0.9823,733,22050,22788,0.8148,3064.8158,732,"0.5214,0.6525,0.6753"
14914,away,0.9945,730,35958,36691,0.8082,3688.7342,730,"0.5212,0.6628,0.6943"
24070,home,0.5915,727,60880,61610,0.8126,4103.9766,688,"0.4294,0.5082,0.4519"
21082,away,0.5028,726,53201,53929,0.8169,3207.281,619,"0.4454,0.5502,0.4838"
2879,home,0.9972,718,5288,6017,0.8235,4539.5195,559,"0.3338,0.3792,0.3069"
10816,home,0.9497,716,25757,26497,0.8207,4429.75,686,"0.3664,0.4361,0.3131"
22228,home,0.9665,716,56346,57063,0.8282,2839.9818,679,"0.3790,0.4729,0.2530"
9533,home,0.9972,714,21812,22528,0.8246,4657.4972,571,"0.3632,0.4217,0.2754"
13288,away,0.9818,714,32077,32817,0.8145,4008.021,684,"0.5067,0.6796,0.7246"
