track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
31793,home,0.8212,1745,49164,50930,0.8155,2217.0372,1491,"0.4050,0.4493,0.5235"
21682,home,0.9592,1667,33491,35157,0.8067,1625.2154,1653,"0.3819,0.4212,0.5921"
28031,away,0.6131,1575,43367,44942,0.8236,2353.6895,1474,"0.4979,0.5380,0.4776"
29159,home,0.9889,1537,45491,47031,0.8353,4693.6213,1316,"0.3006,0.3612,0.5526"
27460,home,0.5533,1482,42547,44028,0.8398,3251.6822,1351,"0.4341,0.4593,0.5347"
29696,away,0.5586,1468,46331,47800,0.8093,2504.8665,1436,"0.4530,0.4865,0.5568"
11848,home,0.5731,1396,19839,21236,0.8171,1940.1898,1212,"0.4690,0.5113,0.4409"
30197,home,0.9569,1395,46653,48048,0.8102,1727.8108,1395,"0.3612,0.4006,0.5769"
30244,home,1.0,1374,46675,48048,0.8061,2428.0844,1374,"0.3193,0.3749,0.5799"
32033,away,0.7007,1373,49351,50728,0.8262,2921.5965,1202,"0.5025,0.5294,0.5411"
29087,home,0.9963,1368,45200,46567,0.8294,2413.0497,1328,"0.3325,0.3877,0.5933"
37206,home,1.0,1361,58553,59929,0.8224,2883.601,1329,"0.2941,0.3487,0.5181"
30270,home,0.9977,1337,46711,48048,0.815,2219.6761,1337,"0.3227,0.3654,0.5432"
11844,home,0.695,1331,19839,21170,0.8379,3248.8062,1261,"0.4189,0.4555,0.5297"
32068,away,0.8833,1328,49386,50714,0.8269,3638.8065,1258,"0.5262,0.5490,0.6385"
10338,home,1.0,1303,17612,18914,0.8418,4144.5058,1171,"0.3111,0.3793,0.5858"
275,away,0.6249,1302,805,2114,0.8112,1606.5599,1302,"0.5110,0.5442,0.4952"
32091,away,0.9553,1298,49409,50706,0.8468,5149.5054,1127,"0.5425,0.5788,0.6616"
32113,home,0.9976,1256,49430,50685,0.8365,4300.7611,1136,"0.2843,0.3600,0.5626"
4086,home,0.9711,1244,7468,8725,0.8216,4100.1109,1122,"0.3592,0.4250,0.6275"
29086,home,1.0,1196,45200,46395,0.808,1385.9097,1176,"0.3185,0.3764,0.5612"
27570,home,0.9916,1191,42815,44005,0.8212,2457.8934,1137,"0.3433,0.3949,0.5862"
27305,home,0.9882,1189,42405,43618,0.8456,4134.3213,1075,"0.3058,0.3602,0.5341"
9340,away,0.5853,1167,16025,17191,0.8407,3170.2237,1033,"0.4728,0.5221,0.4968"
30420,home,0.5418,1160,46885,48048,0.8107,2028.2259,1160,"0.4527,0.4973,0.4985"
29088,away,0.738,1136,45200,46338,0.79,1150.8266,1126,"0.5451,0.5412,0.6172"
24175,home,0.9259,1133,37386,38518,0.8084,1298.8914,1054,"0.3784,0.4196,0.5802"
29083,away,0.8062,1130,45200,46332,0.8188,2315.5761,1110,"0.5421,0.5534,0.5794"
11854,home,0.695,1128,19839,20967,0.8322,2908.4628,971,"0.4133,0.4465,0.5346"
16261,home,0.9884,1125,25937,27061,0.8264,2514.3076,1125,"0.3287,0.3805,0.5715"
29081,home,0.9303,1119,45200,46343,0.8083,1666.714,1089,"0.3754,0.4179,0.6024"
29077,away,0.915,1117,45200,46316,0.8417,3673.5953,1097,"0.5292,0.5541,0.6468"
24212,home,0.9982,1082,37437,38518,0.84,3488.5481,996,"0.2969,0.3413,0.5094"
5779,home,0.9824,1080,10182,11264,0.8226,2834.3843,849,"0.3582,0.3920,0.5614"
414,home,0.9991,1066,1064,2129,0.8227,1861.7167,1066,"0.3548,0.4180,0.5960"
25677,away,0.6727,1054,39671,40732,0.8161,3851.241,1004,"0.5038,0.5106,0.5283"
16270,home,0.9534,1051,25939,26994,0.8228,2836.8982,1032,"0.3299,0.3878,0.5577"
10484,home,0.9865,1044,17871,18914,0.8104,2099.4751,915,"0.3637,0.4079,0.5904"
29090,away,0.6497,1044,45200,46243,0.8083,1399.205,1004,"0.4857,0.5334,0.4931"
29109,home,1.0,1039,45327,46365,0.8317,3077.8518,1018,"0.3026,0.3622,0.5420"
24177,away,0.9208,1036,37386,38422,0.8392,3039.833,913,"0.5463,0.5471,0.6375"
24190,home,0.5401,1035,37386,38422,0.8168,2084.5652,956,"0.4709,0.5105,0.4366"
24176,home,0.6951,1034,37386,38419,0.8116,1196.2737,914,"0.4278,0.4954,0.4315"
16260,home,0.8567,1033,25937,26974,0.7979,1858.7957,1004,"0.3954,0.4338,0.5872"
