second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,9.0,9.0,5099.6592,2986.9376,6720.4954,3204.0788,1124.1384,1472.3804,1487.7018,1684.083,2415.0252,3075.7832,3109762.7658,5903181.9736,1635.3258,0.516391,,,,,,,,2215.88,home,0,0
1,1.0,9.0,9.0,5114.9825,2973.4616,6677.6283,3187.1643,1134.3164,1498.5319,1399.6408,1855.2168,2503.6432,3075.8001,3253679.8088,6702225.2307,1577.2128,0.533977,10.178013,26.151494,88.060957,171.133789,58.113024,0.017586,-1.232019,2214.88,home,0,0
2,2.0,9.0,9.0,5144.1436,2893.9246,6655.6133,3161.9543,1158.6667,1563.8038,1450.0295,2036.091,2573.414,3033.7278,3584138.53,7755255.9903,1535.9603,0.555899,17.264158,45.711716,69.224814,176.003994,49.682735,0.019754,-1.211656,2213.88,home,0,0
3,3.0,8.6,8.96,5190.2275,2719.9312,6613.4497,3142.2429,1260.4117,1678.2227,1601.9552,2149.9761,2825.7539,3208.2147,4320511.6117,8983814.3603,1489.4547,0.565492,45.424435,68.614098,96.791784,155.297702,48.623686,0.016367,-1.184526,2212.88,home,0,0
4,4.0,8.0,8.12,5398.8336,2677.0159,6676.2123,2721.1942,1276.8581,1535.651,1575.3265,2354.5994,2847.2315,2731.0894,4276680.7673,6895370.099,1283.5387,0.536022,38.179921,87.10349,79.251016,167.629097,87.946765,0.019643,-1.146746,2211.88,home,0,0
5,5.0,8.08,8.08,5487.8616,2854.7458,6639.77,2778.6625,1308.8175,1578.8225,1762.4873,2437.6742,2873.1888,2846.4388,4552177.9799,7476827.1044,1156.5933,0.532663,36.935818,78.317088,100.832973,150.718242,95.746503,0.016386,-1.163587,2210.88,home,0,0
6,6.0,8.64,8.0,5429.9631,3132.5197,6597.1758,2882.8313,1335.9398,1649.9177,1860.8046,2563.6857,2826.065,3109.9846,4944003.5067,8386484.8149,1196.5882,0.538791,35.300224,77.113442,100.413691,146.600459,86.454566,0.014677,-1.179832,2209.88,home,0,0
7,7.0,9.28,8.64,5293.3767,3237.629,6545.9125,2896.3547,1521.4788,1907.6795,1909.8828,2771.8494,3291.205,3890.2542,6384468.9125,11608685.2296,1327.2033,0.570281,56.762912,102.920349,93.080059,155.395201,92.76322,0.017078,-1.128869,2208.88,home,0,0
8,8.0,9.32,9.88,5172.1239,3790.6462,6625.8619,3367.6588,1556.262,2115.7872,1877.2623,2998.8621,3378.8617,4080.0972,6476705.8751,16706548.644,1523.0511,0.634763,54.015444,116.068765,85.522617,164.347385,105.648788,0.023004,-1.087316,2207.88,home,0,0
9,9.0,9.0,10.0,5147.3718,4031.7258,6526.7487,3619.9311,1489.0264,2167.2482,1739.3942,2998.7028,3170.6173,4073.6062,5572506.7905,17681667.0064,1440.1822,0.630241,55.484348,108.890132,91.338787,146.104256,103.117685,0.02095,-1.107346,2206.88,home,0,0
