second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,10.36,9.36,4882.5039,3775.5016,6740.3142,3490.1718,1392.4912,1685.0681,1380.6848,1824.2398,3406.1185,3662.6265,4827092.2993,7072766.0365,1882.9498,0.580092,,,,,,,,,,0,0
1,1.0,11.04,9.96,4979.0586,3856.5138,6614.2591,3529.1354,1578.9279,1802.7538,1622.3842,2153.8568,3836.5582,3805.213,6002622.085,9192052.7639,1676.9253,0.58539,186.436719,117.685713,241.699463,329.616953,206.024452,0.005298,-0.969245,,,0,0
2,2.0,10.44,10.88,5037.6194,3916.8075,6387.8182,3832.1501,1860.4639,2065.4667,1796.5843,2514.3165,4559.177,4746.6345,7711459.1126,11888206.721,1381.201,0.608717,233.986375,190.199297,207.949785,345.03832,250.874396,0.014312,-0.802451,,,0,0
3,3.0,9.4,10.52,5047.7247,3696.2227,6250.1066,3570.313,1743.4669,2036.5607,1744.4095,2813.3433,4208.888,4441.7871,7087077.7552,12648983.0555,1253.6859,0.62601,194.989937,136.43488,156.024811,329.701152,209.754634,0.015306,-0.941539,,,0,0
4,4.0,8.32,10.72,5037.4028,3654.9038,6040.8239,3914.3118,1671.2288,2093.8769,1902.1157,2956.3807,3787.0664,4625.3051,6037330.1484,13420970.3882,1074.7189,0.668638,164.301958,116.655225,156.445164,283.035205,202.057709,0.022136,-0.976421,,,0,0
5,5.0,7.76,8.96,5185.6515,3783.5171,6180.3003,3787.7209,1617.687,2023.0295,1795.7459,2463.3994,3667.6608,4520.5124,5157700.5914,11030791.9816,1030.6619,0.623296,142.149943,107.493673,146.430098,325.024414,170.457567,0.026777,-0.9846,,,0,0
6,6.0,7.0,8.6,5322.098,3773.8129,6152.6163,3629.9976,1497.7099,1819.7988,1434.9264,2484.9177,3232.383,3796.36,4335099.0755,9717527.4797,855.4626,0.583765,138.454463,123.44984,182.161665,274.440062,171.247867,0.028903,-0.965077,,,0,0
7,7.0,6.56,8.24,5410.5425,3760.5759,6172.9145,3494.3253,1564.4406,2038.9699,1264.5835,2274.8253,3327.886,4600.6221,4647338.6485,10360120.6953,867.5574,0.587455,128.208206,137.124307,180.473266,265.247542,148.511716,0.025301,-1.00208,,,0,0
8,8.0,5.24,6.68,5556.9696,3540.009,6265.2353,2658.9066,1641.3469,1819.8213,967.4894,2353.7207,3353.3141,3622.3795,3533784.356,8503257.7057,1139.4532,0.584534,121.795467,147.377345,195.050865,241.953521,163.934731,0.022504,-1.00846,,,0,0
9,9.0,3.96,5.4,5764.1313,2719.7823,6632.5038,2578.7828,1264.7821,1357.2349,971.1622,1689.7575,2274.3442,2464.8111,2061604.1599,3906841.7721,888.728,0.530534,150.103171,182.400571,173.786629,288.843483,173.578117,0.026003,-0.91869,,,0,0
10,10.0,4.0,5.48,5790.5118,2385.6427,6574.1177,2128.682,1261.8016,1445.8999,1076.9377,1935.7161,2297.9123,2624.2426,2079845.5044,4508477.3535,847.4576,0.547926,135.390904,173.027018,166.985519,284.554994,160.347349,0.025142,-0.959166,,,0,0
11,11.0,3.8,6.08,5757.9156,2238.645,6383.2776,1849.4928,1246.2109,1573.2914,1043.8209,2327.3132,2297.5374,2770.4879,1815810.4444,5705348.6378,740.2632,0.548527,118.306295,173.997593,146.127256,290.75301,150.46434,0.024672,-0.993192,,,0,0
12,12.0,4.0,5.4,5698.8485,2130.9675,6501.8819,1942.6494,1147.9449,1438.2551,938.9586,1946.5087,2157.2941,2522.2758,1614776.3196,4156628.9482,845.6034,0.5476,99.979295,161.22993,139.19347,292.787488,131.425928,0.022432,-1.047916,,,0,0
13,13.0,4.0,5.0,5682.8285,2015.7061,6485.1861,2049.2921,1172.3158,1356.7096,839.299,1673.4581,2296.0532,2301.4109,1567098.4623,3078112.2959,803.6167,0.503244,90.716682,166.493875,143.941946,290.189865,122.873091,0.025139,-1.041107,,,0,0
14,14.0,4.0,5.44,5648.4401,2069.5988,6271.9804,2173.0902,1229.217,1459.9579,749.241,1768.7863,2434.1376,2583.5325,1577879.6932,3726838.3399,656.1642,0.472997,89.182993,171.087074,137.177121,285.418949,119.721644,0.023901,-1.053862,,,0,0
15,15.0,4.0,6.28,5610.3683,2259.1304,6061.9186,2613.3961,1305.3121,1623.375,731.4216,1830.8749,2563.5413,3296.5834,1702553.053,6013701.7447,576.9323,0.516694,91.43832,180.344035,128.322075,242.32968,123.239133,0.023736,-1.068817,,,0,0
16,16.0,5.12,6.6,5375.4793,2982.3277,5813.8578,2656.5019,1583.4525,1751.9212,806.531,1869.7057,3362.6677,3772.1998,2973815.5721,7144105.9985,719.8565,0.561963,107.254649,172.875594,99.751062,244.060932,120.011619,0.02431,-1.074941,,,0,0
17,17.0,6.84,7.8,5060.6391,3227.3492,5615.5592,3078.0909,1788.6485,2139.7161,1063.6547,1880.7195,4147.6442,4851.8178,5048742.4427,9758083.2422,636.5431,0.589477,121.101186,189.737973,108.429146,224.153072,127.133486,0.026693,-1.034695,,,0,0
18,18.0,8.48,6.68,4730.6168,3437.9571,5405.0423,3571.0031,1574.2717,1621.4293,1245.0714,1960.2622,3587.5591,3178.4496,5255769.13,6313133.7562,695.0614,0.564179,134.848237,219.651796,96.861405,224.217807,105.79574,0.02893,-1.00411,,,0,0
19,19.0,8.56,5.48,4742.6426,3975.1372,5120.6782,3881.5839,1541.5587,1795.1411,880.2528,1812.1021,3455.8395,3579.783,3675662.8975,4651573.8559,462.9599,0.400842,100.46306,190.764341,132.975986,172.637504,103.933375,0.039864,-1.004583,,,0,0
20,20.0,5.72,4.96,5018.0402,3570.7157,4998.353,3844.6812,584.4556,907.7222,519.3821,780.8871,923.4148,1435.54,336603.2878,358964.4091,332.0576,0.145422,195.875321,270.639733,158.485512,251.16314,112.896554,0.063667,-0.658689,,,0,0
21,21.0,6.92,6.48,6091.6882,3527.0146,6085.0174,3658.7757,553.0182,437.9564,756.6223,677.589,493.834,545.8698,1103321.4546,377747.5504,261.0152,0.129455,197.459991,304.877166,178.897855,222.333246,109.281367,0.065203,-0.62407,,,0,0
22,22.0,2.68,3.12,4609.025,5038.5019,4651.3993,4890.6017,766.3423,871.9392,330.233,318.1984,1440.4248,1613.4242,413987.2438,272674.3972,607.2048,0.208125,208.965795,334.771822,211.050564,220.191857,133.366306,0.072978,-0.513487,,,0,0
23,23.0,5.12,3.92,4069.3302,4225.7571,4041.3593,4333.4283,564.5348,691.0227,334.8865,343.4522,1067.7752,1157.9033,92195.583,70899.3358,216.3737,0.221456,226.709457,344.708923,201.549951,195.412182,168.250738,0.069875,-0.502569,,,0,0
24,24.0,1.72,1.68,6618.0405,2939.1555,5504.0908,5921.385,2242.0756,1340.7931,2436.5004,2153.3913,2537.6907,869.9692,0.0,1338722.2821,3538.497,0.331103,388.773431,399.361138,402.705545,366.873267,485.717827,0.077815,0.130366,,,0,0
25,25.0,7.2,5.36,1527.4526,2181.6889,2038.2736,2508.1084,464.0621,710.558,411.9656,1093.4627,253.9316,258.2645,186786.2677,199279.2175,810.0793,0.098292,558.965273,446.042936,603.377085,466.657264,750.636413,0.096727,0.760361,,,0,0
26,26.0,1.0,0.0,6337.122,5157.3982,,,0.0,,0.0,,0.0,,0.0,,,0.0,577.557444,481.320343,637.062709,514.193535,818.159989,0.102029,0.918076,,,0,0
27,27.0,0.6,0.16,5452.2638,4993.5866,6429.4918,7281.9913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3004.8287,0.058161,557.037841,493.011025,611.350338,577.090999,910.015802,0.105094,0.990943,,,0,0
28,28.0,7.0,6.4,3221.5243,3203.597,3284.0764,3314.6187,819.5258,864.195,578.0051,699.5424,1238.6923,1447.4963,8424.4454,9914.0772,161.958,0.25301,617.552745,536.249542,651.009184,654.59096,1258.059838,0.122049,1.438629,,,0,0
29,29.0,4.32,4.8,5051.6904,3291.7376,5293.4521,3542.0185,1205.0258,1519.698,896.6598,1110.7863,2302.714,3008.2917,1541353.1862,1928218.1373,461.7965,0.39075,652.831436,596.473441,646.392799,687.476421,1266.526951,0.119489,1.525521,,,0,0
30,30.0,3.92,5.64,5257.6109,2888.9617,5910.6043,3606.9537,1621.4343,1555.73,1549.6526,1380.483,2940.6202,3316.4303,3440612.8535,3608800.586,1055.5924,0.525443,598.761978,490.050075,675.604996,592.286647,1324.388658,0.107416,1.326657,,,0,0
31,31.0,2.6,7.4,6151.857,1856.3451,6610.6928,3626.3859,904.9114,1562.4682,934.2074,1572.8347,1204.0642,3317.2999,889837.0835,5558738.2836,1843.558,0.412696,667.270535,432.171618,713.425482,603.41834,1414.004052,0.117094,1.479339,,,0,0
32,32.0,2.64,6.88,6842.5675,2971.5288,6869.3245,3443.2288,238.9956,559.6604,57.9325,548.1029,396.6051,1103.9265,22762.4785,1424065.329,522.7197,0.280603,712.529713,503.274735,758.414045,686.586001,1535.835139,0.122436,1.747356,,,0,0
33,33.0,2.56,5.92,6918.904,3498.0502,6903.9032,3504.3663,9.8078,28.1952,6.3689,41.07,17.7995,20.8924,89.2992,324.7813,16.3354,0.176474,715.26774,547.093328,763.105052,746.808376,1550.279297,0.131516,1.874841,,,0,0
34,34.0,1.0,2.0,6898.294,3505.2781,6859.4975,3523.8129,0.0,58.6313,0.0,92.4117,0.0,16.1038,0.0,0.0,43.0126,0.0,548.494428,469.676549,553.580551,526.983698,1138.348532,0.138199,1.216457,,,0,0
35,35.0,1.0,2.0,6908.3831,3507.3371,6863.081,3522.8601,0.0,54.9979,0.0,86.5888,0.0,15.673,0.0,0.0,47.942,0.0,370.69307,391.351352,351.127073,395.220496,797.912486,0.114918,0.469891,,,0,0
36,36.0,0.8,1.0,6902.554,3511.1618,6879.2651,3517.9808,0.0,24.5952,0.0,38.7048,0.0,6.931,0.0,0.0,36.468,0.0,324.286864,351.245945,309.930512,356.627546,710.530431,0.105089,0.244591,,,0,0
37,37.0,0.48,2.16,6906.9297,3497.8021,6889.963,3511.2354,12.7157,7.3956,15.9948,11.1649,12.5728,8.4412,0.0,484.4419,10.0693,0.036026,325.558437,317.841309,311.529987,323.718782,642.117258,0.102875,0.152754,,,0,0
38,38.0,2.12,7.6,10386.6782,2363.5895,10583.4361,2502.4799,1007.1689,1320.3899,1395.8926,1879.1904,739.2112,2096.1474,251438.9888,4746692.6307,422.2861,0.350513,343.051169,362.721237,391.719259,440.567095,399.051872,0.114839,0.236528,,,0,0
39,39.0,3.04,5.88,10996.9971,2633.1746,11217.2552,2487.6047,2108.9099,1158.894,1775.8992,958.7078,3619.864,2424.0488,1635596.8122,2218389.9627,352.867,0.39102,414.675272,313.320526,397.854453,491.490976,376.009935,0.105116,0.227729,,,0,0
40,40.0,4.28,6.16,11482.8152,3202.1161,11253.5221,3048.274,1694.0165,985.7614,1488.107,782.6196,3175.7962,2062.889,3044593.8211,1753976.1798,353.8651,0.350809,414.523757,327.030584,361.334404,482.130117,316.730154,0.095667,0.126157,,,0,0
41,41.0,4.04,7.08,11381.6313,3264.6032,11019.963,3402.6621,1578.4139,872.5105,1303.0067,805.4281,2972.2445,1535.9307,2450148.5044,2027900.0715,416.3704,0.30363,354.431722,337.681854,318.299918,465.175796,244.18412,0.089111,-0.035778,,,0,0
42,42.0,3.6,8.0,11068.8665,3333.4842,10766.2009,3728.2042,1380.4466,847.9953,929.6348,844.3781,2572.8851,1551.7985,1366354.3658,2143718.8,525.4017,0.349509,307.636867,239.852596,268.009605,366.597605,123.003421,0.080489,-0.35508,,,0,0
43,43.0,5.96,8.04,11002.1958,3503.4203,10773.8845,3890.8467,1167.445,739.7062,1516.8987,703.4294,2093.0036,1343.6284,2931023.5963,1598208.3463,454.9586,0.218296,306.018246,197.534988,321.579636,329.98919,79.409293,0.083198,-0.385598,,,0,0
44,44.0,6.64,7.76,10706.8018,3549.1599,10527.6146,3695.2153,1664.73,945.4919,2423.0382,1083.4807,3107.8726,1599.0741,6314006.8966,2284253.3155,280.9788,0.401114,354.765966,215.069939,411.556691,362.860155,94.139554,0.083832,-0.240994,,,0,0
45,45.0,4.88,5.12,10835.8784,4257.5489,10726.8397,3933.3345,895.3101,781.3228,1367.0194,808.1344,1553.4676,1514.8355,2286187.2591,1170687.1929,364.5152,0.176422,431.707956,231.123494,517.158571,389.812498,102.000261,0.106301,0.052061,,,0,0
46,46.0,0.56,0.0,10234.5125,5203.7144,,,35.995,,41.9632,,39.4346,,0.0,,,0.036351,517.639467,253.425805,649.664186,427.80456,112.058736,0.120308,0.335763,,,0,0
47,47.0,0.56,0.0,10130.0259,5111.5574,,,14.4791,,16.5088,,16.2527,,0.0,,,0.016777,518.519478,282.954083,650.610154,477.837641,122.76624,0.118663,0.381976,,,0,0
48,48.0,0.96,0.04,10338.1244,5309.5844,9812.5205,4782.3247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.7658,0.009088,420.522074,135.805485,514.27125,279.239371,81.41616,0.087983,-0.202153,,,0,0
49,49.0,2.32,3.0,10649.5488,3730.2722,11180.5322,2997.7076,804.3716,623.456,690.3833,761.8113,1451.3819,1126.7011,510483.7046,1151881.1009,589.8065,0.167791,390.785141,201.799784,545.308916,256.572038,107.493341,0.099803,-0.089609,,,0,0
50,50.0,4.52,9.08,9061.0104,2982.6466,9603.6742,2817.3833,2411.2384,1731.1838,1632.057,2167.5598,4996.945,3182.1874,6568374.9541,9529030.2924,620.2703,0.608654,509.982476,335.313378,610.697061,432.237797,111.702735,0.139868,0.479571,,,0,0
51,51.0,4.68,9.32,9640.0926,2580.3258,9859.8523,2696.7268,2346.4727,1756.7966,1440.4139,2134.1322,4979.9664,3153.2796,6357779.7952,9891878.5918,463.3528,0.593012,504.898785,322.793662,611.351348,433.754812,125.19019,0.136714,0.456081,,,0,0
52,52.0,5.0,10.24,10100.491,2330.0508,10274.2054,2700.4064,2163.319,1657.2971,1711.8261,1977.1947,4503.913,2658.7372,6920633.1071,9157028.0408,413.2473,0.57982,503.417428,333.505702,601.155387,450.610169,116.772225,0.133446,0.44233,,,0,0
53,53.0,5.0,9.04,10492.34,2409.6845,10722.023,2670.1536,2013.4926,1352.4929,1863.1415,2045.0333,4039.6207,2325.9647,6652567.7862,5400709.2491,362.3465,0.50264,497.099904,361.579287,557.560539,440.165867,113.980466,0.128042,0.39609,,,0,0
54,54.0,5.48,8.92,10740.3878,2571.1165,10980.8014,2846.1118,1896.9766,1146.6805,1999.9073,1800.9804,3731.6899,2332.5495,6916877.1843,4102691.4971,394.1163,0.465773,459.023017,361.583105,480.623172,420.737524,93.66474,0.113447,0.211036,,,0,0
55,55.0,6.52,9.72,10927.163,2918.5337,10716.2763,3344.3858,1744.0317,1289.5998,2240.3253,1903.9759,3360.8006,2717.7273,7922085.6629,5977481.8804,504.3154,0.476763,397.375508,358.547441,399.063093,396.115971,97.473693,0.092077,-0.027926,,,0,0
56,56.0,7.52,10.04,10607.2758,3285.4218,10447.7525,3590.0412,1747.1917,1217.1256,2809.7698,1650.3464,3530.5574,2787.6082,9419556.6849,5679763.0787,368.3749,0.473014,311.759991,322.788295,323.501935,378.305151,102.282046,0.078445,-0.267091,,,0,0
57,57.0,8.2,10.12,10613.7246,3500.9919,10433.992,3765.1378,1650.7696,1095.2085,3024.1122,1190.1842,3255.6588,2455.8038,8211514.9089,4539962.8505,323.2801,0.39978,319.250612,300.46927,342.390727,387.400386,95.927902,0.083811,-0.23633,,,0,0
58,58.0,8.68,10.0,10428.1864,3816.0368,10453.5045,3921.8834,1601.4438,997.861,2709.7364,998.8259,3026.755,1997.5792,7235163.4458,3522542.8763,147.3149,0.415764,322.735284,280.157097,372.177426,367.796172,103.931637,0.084641,-0.231228,,,0,0
59,59.0,7.16,9.76,10373.3307,3821.9741,10457.6833,3952.2607,1421.2911,939.6071,1918.5232,1014.4637,2745.928,1720.045,5354419.4994,2928831.5065,207.7856,0.401507,260.313392,223.636879,382.260412,293.178813,84.782772,0.070196,-0.456957,,,0,0
60,60.0,1.88,1.56,11158.2046,5088.666,11036.3497,3525.7707,600.4396,613.7288,771.8663,663.9891,978.6885,1074.4705,1232650.7282,791934.3997,582.9705,0.116439,181.71187,145.451938,402.758733,187.651418,119.254879,0.054616,-0.699648,,,0,0
