track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
29999,home,0.7926,1789,55783,57575,0.8147,2750.0363,1648,"0.4272,0.4423,0.3494"
11467,away,0.7463,1490,19331,20827,0.8267,5037.4134,1156,"0.5456,0.6366,0.6663"
11679,home,1.0,1396,19697,21095,0.8261,3887.4649,1205,"0.2885,0.3073,0.2808"
7621,away,0.9976,1273,12786,14058,0.8429,4768.8201,1093,"0.5766,0.6650,0.7055"
18822,away,1.0,1181,33227,34408,0.8128,3410.4826,1059,"0.5003,0.6049,0.6723"
26892,home,0.5446,1177,49473,50650,0.8221,3055.2557,1107,"0.4392,0.4862,0.4543"
26902,home,0.9523,1174,49473,50650,0.8157,2663.3731,1048,"0.3183,0.3548,0.2731"
11629,home,1.0,1147,19597,20746,0.8251,3089.0087,1127,"0.3747,0.3740,0.3023"
11594,home,0.9522,1133,19516,20653,0.8185,2433.6408,878,"0.4125,0.4148,0.3226"
11490,home,1.0,1128,19345,20475,0.8166,3251.719,752,"0.3854,0.3817,0.2893"
11457,home,0.9991,1124,19331,20473,0.8343,5114.6299,719,"0.3450,0.3423,0.2623"
26945,away,0.955,1088,49563,50650,0.8198,2596.4853,661,"0.4787,0.5748,0.6266"
18826,away,1.0,1069,33227,34295,0.8392,4764.0617,809,"0.5356,0.6514,0.7193"
29866,home,1.0,1057,55500,56571,0.8294,4118.1495,931,"0.4167,0.4124,0.2753"
18831,home,1.0,1050,33227,34277,0.8199,3839.081,969,"0.3143,0.3171,0.2247"
20871,home,0.9781,1005,37834,38861,0.8168,4252.1174,973,"0.4359,0.4091,0.2717"
30079,away,1.0,1005,56002,57006,0.8358,4939.7443,975,"0.5235,0.6473,0.7130"
2622,home,0.7347,950,4060,5010,0.8277,4183.8726,823,"0.3638,0.4059,0.4249"
30383,home,1.0,945,56660,57604,0.831,4314.509,867,"0.4295,0.4232,0.2843"
21137,home,1.0,930,38592,39525,0.8246,2947.9634,930,"0.3649,0.3642,0.2578"
6908,home,0.9978,910,11020,11984,0.8261,4822.1714,770,"0.4061,0.3890,0.2759"
6906,away,0.9945,904,11020,11923,0.8393,6915.7146,760,"0.5540,0.6422,0.6874"
14386,home,0.9933,901,24140,25050,0.8347,5052.3629,461,"0.4204,0.4001,0.2853"
21154,home,1.0,901,38602,39502,0.8367,4758.6226,866,"0.4093,0.4034,0.2941"
29892,away,0.9921,885,55580,56464,0.8209,4345.6475,875,"0.4962,0.6195,0.6939"
22248,home,1.0,879,40449,41327,0.8368,4770.3584,879,"0.4303,0.4215,0.2933"
14263,home,0.841,877,24108,24988,0.8375,5642.5279,463,"0.3944,0.4035,0.3292"
14392,away,0.9932,876,24151,25037,0.7955,3146.8322,682,"0.5382,0.6363,0.7028"
11598,away,0.9827,873,19519,20391,0.8161,2778.5178,650,"0.5923,0.6815,0.7206"
20875,away,0.9815,866,37851,38717,0.8289,4140.6236,841,"0.5056,0.6316,0.7060"
6947,away,0.7553,855,11073,11934,0.8245,4893.4854,754,"0.4804,0.5621,0.6014"
15,away,0.9964,845,0,844,0.8163,2552.4166,745,"0.5716,0.6654,0.7177"
3,home,0.9988,840,0,844,0.814,2365.2583,776,"0.3653,0.3607,0.2695"
32220,away,0.9964,834,61547,62389,0.8487,5276.229,721,"0.5558,0.6739,0.7142"
29850,away,0.9672,824,55416,56240,0.8047,2391.8968,554,"0.5157,0.5855,0.5906"
25696,away,0.7676,809,46397,47250,0.8198,4885.3906,655,"0.5104,0.5971,0.6012"
20867,home,1.0,807,37822,38628,0.8235,3332.8116,768,"0.2487,0.2679,0.2183"
18917,home,1.0,802,33548,34349,0.8227,3469.606,757,"0.2582,0.2781,0.2359"
22297,home,0.975,801,40524,41327,0.8337,4249.1473,801,"0.3456,0.3542,0.2848"
29844,away,0.9988,801,55416,56216,0.8465,5793.4694,728,"0.5395,0.6624,0.7200"
18884,home,1.0,794,33480,34273,0.8261,3053.9773,725,"0.3374,0.3356,0.2333"
5212,away,1.0,788,8886,9673,0.8468,7570.3782,614,"0.5795,0.6845,0.7471"
28374,home,1.0,788,52507,53294,0.8358,4945.2297,764,"0.4257,0.4136,0.2809"
2607,away,0.5769,787,3980,4770,0.8295,3656.4422,696,"0.4696,0.5112,0.5467"
14461,home,1.0,784,24229,25041,0.7883,3381.4452,453,"0.3749,0.3580,0.2611"
32533,home,0.9117,781,61728,62547,0.8133,3222.4443,685,"0.4302,0.4336,0.3083"
29849,home,1.0,772,55416,56187,0.8344,3430.6412,596,"0.3543,0.3527,0.2411"
28393,away,1.0,768,52527,53294,0.825,4479.5755,760,"0.5193,0.6383,0.7036"
16,home,1.0,764,0,763,0.8305,3678.7081,604,"0.4075,0.3947,0.2789"
32549,home,0.9961,764,61784,62547,0.8328,4522.6531,714,"0.3767,0.3690,0.2492"
29404,away,1.0,763,54588,55350,0.8305,3224.2267,723,"0.6045,0.7129,0.7467"
7625,home,1.0,760,12786,13545,0.8372,3484.9368,759,"0.2599,0.2792,0.2732"
7634,away,1.0,750,12786,13535,0.8137,2500.5053,578,"0.5762,0.6575,0.7003"
5352,home,1.0,747,9107,9853,0.8347,4603.6412,687,"0.2465,0.2658,0.2572"
1487,home,0.9946,746,2283,3030,0.8311,3783.945,722,"0.4192,0.4104,0.2969"
2603,home,1.0,741,3980,4725,0.825,4508.9177,610,"0.4303,0.4137,0.2989"
8557,home,0.9986,734,14391,15129,0.8235,4892.8869,692,"0.4036,0.3925,0.2793"
29451,home,0.9768,734,54617,55350,0.836,3735.8093,684,"0.4191,0.4160,0.2940"
31211,home,0.9986,732,58764,59612,0.7368,268677.5396,732,"0.3494,0.3131,0.2721"
18162,away,1.0,731,31827,32557,0.843,4181.3776,671,"0.5545,0.6609,0.7215"
28400,home,1.0,731,52563,53294,0.8251,4168.7921,714,"0.2595,0.2779,0.2473"
7636,home,0.9329,730,12786,13517,0.7964,2277.2041,727,"0.4010,0.4012,0.3753"
14453,home,1.0,729,24224,24952,0.8224,3699.2044,404,"0.3353,0.3326,0.2436"
21425,home,0.9986,726,39162,39894,0.8377,4361.9752,693,"0.4190,0.4112,0.2788"
25738,home,0.7362,724,46444,47181,0.8346,5427.1243,523,"0.4657,0.4838,0.3872"
2744,home,0.9198,723,4338,5076,0.8049,2776.7663,633,"0.4324,0.4280,0.3450"
1491,away,0.9847,721,2299,3019,0.813,2857.8932,646,"0.5854,0.6581,0.6851"
