frame_index,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,2.0,1.0,6199.7199,4899.1967,6423.7264,6302.7594,691.3709,0.0,110.0452,0.0,1099.524,0.0,0.0,0.0,1429.9091,0.200284,,,,,,,,790.722,home,0,0
1,1.0,2.0,0.92,5974.3804,5084.1438,5542.893,6111.5886,834.5023,144.5214,195.1944,49.6208,1320.461,225.8469,0.0,0.0,2018.088,0.26124,143.131338,144.521411,85.149219,49.620837,588.178875,0.060955,-0.725838,789.722,home,0,0
2,2.0,1.6,1.6,5351.2415,5278.7466,4154.3417,5423.6334,381.3262,361.5403,45.555,115.3044,607.8906,562.4065,0.0,0.0,1218.3031,0.148311,298.153705,180.770175,117.394346,57.652202,693.981896,0.086942,-0.340124,788.722,home,0,0
3,3.0,2.04,2.0,5349.4299,3941.1423,4772.9125,3880.1568,154.862,118.9421,183.989,144.4768,161.6694,122.8601,435.5544,0.0,580.0665,0.0,274.257206,201.379522,124.407585,48.158932,675.400111,0.107398,-0.241936,787.722,home,0,0
4,4.0,0.4,0.0,7712.1582,6744.9686,,,0.0,,0.0,,0.0,,0.0,,,0.0,244.408398,201.379522,139.302944,48.158932,675.400111,0.080549,-0.405816,786.722,home,0,0
5,5.0,0.0,0.0,,,,,,,,,,,,,,,244.408398,201.379522,139.302944,48.158932,675.400111,0.080549,-0.405816,785.722,home,0,0
6,6.0,0.0,0.0,,,,,,,,,,,,,,,244.408398,201.379522,139.302944,48.158932,675.400111,0.080549,-0.405816,784.722,home,0,0
7,7.0,1.6,2.16,5496.9323,4127.7027,5580.2917,4218.0772,58.2984,269.0734,3.4937,285.4197,93.0215,244.2898,0.0,18277.4449,205.4905,0.110219,244.408398,201.379522,139.302944,48.158932,675.400111,0.080549,-0.405816,783.722,home,0,0
8,8.0,0.2,0.2,8016.3168,5593.7454,7758.4909,6456.9832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.4153,0.087242,207.186397,218.302995,112.141101,107.474113,684.531302,0.069034,-0.458866,782.722,home,0,0
9,9.0,1.0,1.0,5238.3014,5469.7848,5286.3278,5989.9155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.4296,0.008724,172.655331,174.642396,93.450917,85.97929,622.822183,0.070615,-0.576292,781.722,home,0,0
10,10.0,1.0,1.0,5534.3793,4409.7431,6482.6237,6301.2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.7364,0.218104,147.990283,145.53533,80.100786,71.649408,782.236272,0.090439,-0.436815,780.722,home,0,0
11,11.0,1.8,1.8,3949.933,4722.6394,4708.2274,5714.2317,898.3792,778.0807,1100.0938,854.6337,922.7977,905.0271,0.0,0.0,1251.9808,0.218104,255.882842,251.128545,225.092865,205.818227,828.999057,0.081731,-0.123697,779.722,home,0,0
12,12.0,1.8,1.6,3729.4901,5028.1899,4456.2339,5502.2454,983.0819,888.093,1299.2038,982.169,886.5266,1026.8087,0.0,0.0,976.6857,0.174483,203.243776,233.294103,232.160084,216.126846,741.584078,0.07183,-0.279468,778.722,home,0,0
13,13.0,1.52,0.6,4254.1719,5244.9994,6719.395,6979.3163,755.7734,0.0,456.1152,0.0,1115.6242,0.0,0.0,0.0,3771.1999,0.209494,203.364376,340.876564,332.825013,374.959619,1100.963685,0.055644,0.079834,777.722,home,0,0
14,14.0,4.2,5.64,5664.2164,4290.7657,5702.9948,4733.7883,1285.7635,1225.7614,1835.9795,2047.5608,1966.8488,1768.0219,3095450.4881,3617494.3776,501.7264,0.465027,256.954107,467.288683,503.66433,613.902642,1410.750809,0.092148,0.838995,776.722,home,0,0
15,15.0,5.56,7.0,6680.6994,4105.8604,6320.1929,4080.7314,1292.8577,1406.7593,2253.8883,2298.1254,1718.6309,2191.3685,3463830.2051,5465105.1361,401.1034,0.47947,225.721614,431.502335,492.94489,568.485393,1246.984831,0.082435,0.600876,775.722,home,0,0
16,16.0,5.2,4.44,6554.531,4133.8885,6463.4967,3914.1671,1597.9719,1557.9111,1794.8829,1089.1685,2866.1121,2787.9593,1976206.1665,1519322.3113,275.9191,0.397689,234.543017,400.352277,489.173832,639.6489,1122.340321,0.082363,0.544272,774.722,home,0,0
17,17.0,6.84,6.4,4722.8848,3395.2979,4403.8969,3320.2817,714.5355,133.4826,1254.0918,199.3624,343.2274,105.1354,231738.0885,28794.7397,339.4425,0.11142,299.432362,502.759897,494.33556,664.664613,1016.458626,0.102753,0.758214,773.722,home,0,0
18,18.0,6.6,8.08,7071.3522,4316.104,6763.7082,4038.6156,1347.2384,1810.7731,2127.5333,2147.2759,2150.6694,3699.3903,3542322.5122,5626614.2743,486.4417,0.52516,356.872811,643.581608,581.330342,830.913992,959.966061,0.14183,1.251758,772.722,home,0,0
19,19.0,6.2,6.44,5953.3027,4270.5978,5917.0654,3495.3426,1309.4417,1174.7446,1893.7165,1165.4302,1803.5986,2177.0289,2382815.798,1355342.5295,913.8525,0.396026,360.652475,707.184457,604.712026,929.09856,965.108571,0.146891,1.410543,771.722,home,0,0
20,20.0,6.2,7.96,3711.3553,3061.1648,4532.9406,3386.361,732.9674,1379.0819,1186.8978,1327.064,405.9378,554.1151,114590.6592,170355.1528,884.1894,0.27872,418.299912,727.618181,675.393894,945.261942,810.14421,0.137684,1.380387,770.722,home,0,0
21,21.0,4.96,5.76,6004.1055,4204.4281,5714.0767,3966.171,2066.6555,1439.0067,3700.7076,2490.2945,1982.9452,1852.1492,4115410.4129,4924723.7007,588.6142,0.448822,461.830803,655.802593,816.765498,976.12162,752.826173,0.154694,1.497107,769.722,home,0,0
22,22.0,5.96,7.16,7744.8208,5156.283,7303.8169,4754.612,1986.2053,1830.4516,3440.4765,3320.2712,2900.8179,2525.5446,4177400.2572,8230181.5073,638.762,0.396292,461.405562,683.945852,822.87761,1046.365753,730.311446,0.155585,1.556682,768.722,home,0,0
23,23.0,5.92,6.44,7879.7055,4570.8806,6912.039,4513.6335,1500.9094,2344.7963,2794.6819,4392.3079,1875.8471,2854.4602,2747889.121,11938517.3563,989.5045,0.474991,487.204311,646.571023,803.148215,1055.352527,485.934275,0.159954,1.420047,767.722,home,0,0
24,24.0,6.8,5.4,7428.5379,4562.0726,7199.585,4182.4048,1915.0579,2554.3744,3685.6297,3918.0177,2021.1459,4164.5008,5759621.6436,16677174.0949,567.6805,0.563453,475.620151,544.952699,754.256576,898.025473,201.169312,0.143247,0.947268,766.722,home,0,0
25,25.0,5.12,2.44,6726.9102,4967.1126,5634.0825,4588.977,2222.4238,2615.5756,3775.2534,3722.7139,2603.7098,3035.4935,11120945.9621,12448410.1692,1428.2304,0.482155,505.647323,532.973029,721.428062,892.499384,277.161997,0.149932,1.022577,765.722,home,0,0
26,26.0,6.12,2.52,5829.6499,3646.1449,6848.5696,2298.0124,2218.5615,2112.5235,4361.158,3111.45,2416.6876,2343.6716,10268760.9162,9315012.9632,2675.1466,0.602259,475.522127,568.163058,734.117984,832.73008,389.335198,0.153764,1.089314,764.722,home,0,0
27,27.0,7.2,2.6,6469.5767,4172.2432,5650.4623,4352.3967,2138.7994,3885.163,3759.3421,5104.4992,2668.8191,3980.3873,10443483.0885,2227302.1326,887.9389,0.63139,395.154689,602.984159,740.220463,943.054393,561.703634,0.12805,1.079855,763.722,home,0,0
28,28.0,7.4,4.52,7219.4101,4155.1636,6420.6323,4483.8612,1847.829,2905.7409,3108.6943,4762.7147,2419.3172,3432.2121,8295391.5849,11653450.1771,994.888,0.597896,360.981446,533.197318,717.94109,782.441498,557.698624,0.090026,0.676585,762.722,home,0,0
29,29.0,6.32,3.32,6732.3901,3375.9877,6428.7629,3219.5498,2460.9007,3273.5484,3653.304,5609.5802,4110.9817,2349.6027,14524112.0035,10264436.3622,531.3897,0.629717,418.508955,506.375222,749.020378,768.943477,561.307381,0.080295,0.656346,761.722,home,0,0
