frame_index,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,3.36,4.0,6015.5453,4011.372,6575.6926,4256.251,532.6741,1513.8046,181.3688,1709.0759,1033.004,2471.9307,148338.9502,1494246.2226,627.7421,0.466308,,,,,,,,2913.948,home,0,0
1,1.0,3.96,4.0,5958.627,3715.8405,6444.6509,4236.8716,513.2818,1634.0773,482.5133,1777.6718,907.0478,2774.1083,333311.5077,1568629.7575,713.991,0.435283,19.392253,120.272725,301.144473,68.595859,86.248959,0.031025,-0.97353,2912.948,home,0,0
2,2.0,4.2,2.92,5870.0437,3584.9954,6987.0058,3230.771,528.286,811.2483,734.1552,1113.141,839.1015,1035.0377,444596.2632,302316.1416,1173.3263,0.362462,17.198217,471.550864,276.393184,366.563311,272.792112,0.051923,-0.362451,2911.948,home,0,0
3,3.0,3.88,3.0,5979.2662,3517.8973,6993.9101,3010.3647,746.357,636.045,423.7004,815.3096,1402.9592,801.8889,237070.9205,143856.0753,1139.6244,0.361028,84.155809,372.768359,287.747044,343.652656,193.095374,0.035093,-0.513291,2910.948,home,0,0
4,4.0,3.88,2.88,5764.8555,3263.1023,6305.9532,3008.4192,730.1472,920.3656,634.76,1313.1975,1215.4301,905.9444,434387.6346,669695.5151,847.1555,0.356242,67.169312,350.656417,268.575186,382.211445,217.938747,0.027516,-0.56214,2909.948,home,0,0
5,5.0,4.96,4.44,5572.1029,3013.3772,5153.8008,3424.2462,682.3988,1532.9074,868.1844,1318.312,1022.8682,2501.3382,889241.153,3124848.7528,661.0617,0.317019,63.285136,403.033495,261.545023,306.792059,211.56977,0.029858,-0.556103,2908.948,home,0,0
6,6.0,4.92,4.44,5836.8621,2569.3452,5189.0051,3387.2446,829.4149,1834.5171,1043.1061,1029.1773,1406.4743,3370.0,1452944.2293,3128214.3508,1043.8549,0.383027,77.240309,386.129539,247.107806,303.849154,240.107021,0.035883,-0.519301,2907.948,home,0,0
7,7.0,5.36,4.12,5957.0311,1970.2265,5211.7374,3281.1467,1106.3833,1908.9986,1163.1796,926.8422,2208.1573,3601.085,2406118.9793,2492549.9837,1513.9452,0.433836,105.772886,341.60838,228.960053,275.061431,272.961774,0.038015,-0.521995,2906.948,home,0,0
8,8.0,5.52,5.0,5813.4859,1755.8297,5488.0308,2690.1232,1083.3793,1977.9042,1005.1978,1541.5558,2230.6634,3684.872,2129264.5868,5300188.8281,989.8899,0.418346,95.426778,307.52054,220.087781,317.517947,304.348471,0.035199,-0.538984,2905.948,home,0,0
9,9.0,5.08,4.8,5647.1393,1650.2837,5391.2708,2595.4269,1040.1632,1856.3752,899.6954,1360.4395,2039.8864,3579.5434,1754319.2666,4122419.4351,979.8794,0.397642,89.625591,286.854813,207.356068,302.362205,271.644254,0.033589,-0.601505,2904.948,home,0,0
10,10.0,5.12,5.04,5636.8919,1951.9671,5389.1791,2358.4641,1290.3315,1739.2878,1069.7902,1391.6446,2486.6757,3386.8134,2494119.3265,3944390.2883,613.3097,0.421669,105.679861,269.878071,203.629941,275.246496,281.136796,0.032633,-0.614258,2903.948,home,0,0
11,11.0,6.4,5.0,5728.9408,2384.4942,5379.5307,2286.4022,1830.8449,1645.6107,1506.0411,1420.1445,3477.6736,3229.2093,4854606.6865,3777632.521,366.6888,0.458013,157.791982,267.218512,217.140586,271.236896,297.173988,0.033165,-0.551316,2902.948,home,0,0
12,12.0,6.68,5.0,5723.8517,2315.9884,5362.2872,2235.3345,1730.2367,1539.6531,1607.8812,1407.0,3413.7127,3061.4913,5443775.9158,3605807.9661,374.8146,0.474726,166.352389,195.531366,202.160406,206.098268,252.053041,0.027554,-0.692543,2901.948,home,0,0
13,13.0,2.04,1.16,5581.059,3162.0958,5275.0537,4390.5317,1072.6196,560.3143,231.4234,102.1483,1900.0799,925.6578,489822.9837,170777.6493,2046.9284,0.23057,210.306998,275.944917,308.760717,306.80031,415.894232,0.051826,-0.267285,2900.948,home,0,0
14,14.0,1.84,0.72,5349.7312,4347.3316,5710.2161,4175.9403,905.6,105.737,319.8484,56.3751,1457.8219,159.5101,137891.6924,0.0,1729.2539,0.187027,225.38797,292.970583,296.497265,261.588844,418.4148,0.055702,-0.24742,2899.948,home,0,0
15,15.0,2.56,1.6,5389.6511,4239.5842,4731.1091,6087.3042,999.4366,458.3645,785.374,223.8418,1583.2388,690.0638,420360.8806,0.0,2008.0744,0.308281,229.996787,266.979144,319.707383,277.824057,427.687468,0.063905,-0.196598,2898.948,home,0,0
16,16.0,2.6,3.0,5964.348,3712.1091,5316.5837,5893.2621,525.2745,639.2517,397.4975,863.7296,831.9592,811.7939,141795.4154,110685.0018,2280.7645,0.338734,262.711382,254.906893,341.002865,312.899381,416.677151,0.060349,-0.172072,2897.948,home,0,0
17,17.0,3.28,2.48,4927.054,3521.6709,3896.7215,3892.0922,1529.4247,991.0811,2282.4607,1341.222,1611.5832,855.8455,2197718.5794,358451.9331,1540.6092,0.358932,335.429562,282.641692,517.491834,350.415111,443.683657,0.057288,0.031345,2896.948,home,0,0
18,18.0,4.0,2.0,3409.825,3750.2621,2087.4894,3243.3129,1951.5966,960.012,3724.9481,1521.3829,1479.3709,200.0737,4820555.8301,0.0,1416.8171,0.418389,375.346353,278.858039,645.942391,306.959842,403.657326,0.061685,0.114298,2895.948,home,0,0
19,19.0,4.0,2.0,3480.8948,3495.9774,2177.1875,3138.9197,1988.5452,1005.7256,3733.2887,1565.3203,1573.9368,371.1007,5249516.6879,0.0,1352.0839,0.418389,374.719601,271.276498,636.226211,293.241956,409.129594,0.059614,0.088762,2894.948,home,0,0
20,20.0,4.2,2.68,3005.9665,3426.2891,1705.2399,2764.5036,2035.8858,1015.1697,3452.8545,1575.6698,2087.0912,788.5881,6244144.627,857523.1324,1689.8809,0.383594,354.436837,260.512174,647.260146,291.156397,406.252326,0.060691,0.070712,2893.948,home,0,0
21,21.0,5.0,3.24,581.2577,4124.8583,594.854,3741.242,1456.9508,1831.6095,1143.6471,536.5083,3037.2676,3501.1817,3364274.3746,1620397.5515,474.826,0.324795,358.278997,332.788434,834.555799,392.22256,503.095731,0.062937,0.348823,2892.948,home,0,0
22,22.0,5.0,4.0,654.3076,4108.4027,472.5455,3888.6254,1608.6216,1999.8016,1139.6253,791.0133,3307.4616,4134.6136,3745555.2194,2770751.4034,286.5757,0.41911,363.385256,339.011889,824.773969,416.358607,521.108185,0.070697,0.413556,2891.948,home,0,0
23,23.0,5.0,4.76,755.0215,4091.4712,607.7146,3691.8565,1848.6041,1855.1827,1291.3307,808.8503,3613.3903,3956.4062,4736834.4629,3009846.0137,428.3727,0.454509,321.621799,255.539885,702.298723,287.657129,368.076503,0.049821,-0.010793,2890.948,home,0,0
24,24.0,4.0,4.0,3311.1517,1431.4629,2218.9616,2153.2194,2332.8671,1681.0671,3538.1851,2224.1447,2913.3907,2521.7528,10052065.841,4419480.2687,1309.6709,0.490735,353.346143,227.493719,918.141659,424.609253,424.438869,0.049089,0.208823,2889.948,home,0,0
25,25.0,3.28,4.04,3371.5244,1445.7937,2231.0634,1788.347,2371.5353,1653.5329,3686.9053,2213.7194,2666.3872,2478.8096,7794109.8659,4279118.8082,1219.0951,0.434241,347.829305,194.984399,886.461115,408.905116,405.614388,0.042613,0.110207,2888.948,home,0,0
26,26.0,3.0,4.0,3434.4376,1307.4331,2284.9218,1520.9731,2374.6922,1641.6995,3682.1925,2219.5244,2644.1925,2462.3033,6881434.8006,4182754.7948,1169.2897,0.456667,300.728783,178.079012,848.144735,345.496826,383.325923,0.041811,-0.01384,2887.948,home,0,0
27,27.0,3.0,4.0,3479.5305,1096.2007,2374.6973,1323.5085,2380.5365,1612.7721,3598.8869,2223.6332,2844.0022,2428.05,6907400.8753,4056260.3933,1128.073,0.401829,200.898195,145.788817,667.978971,298.158466,313.432058,0.045275,-0.274904,2886.948,home,0,0
28,28.0,3.52,4.0,3098.8823,1033.0672,2199.8405,1464.5235,2246.477,1536.5853,3271.9817,2076.7489,3002.0554,2368.712,7603628.2057,3631592.8427,1029.2115,0.413367,172.086957,150.30058,556.420747,294.830807,310.939001,0.040483,-0.386332,2885.948,home,0,0
29,29.0,3.44,4.0,3007.1537,1299.5393,1929.9944,1869.0721,2208.5727,1473.98,2553.7554,1846.588,3245.9997,2373.5668,6827384.2179,3253290.7573,1232.6589,0.45648,172.182522,151.989756,627.409326,313.453149,324.810419,0.044794,-0.307326,2884.948,home,0,0
30,30.0,0.36,0.48,3042.1195,1726.8378,1743.0755,2218.4512,2302.7352,1454.7846,2078.6794,1680.4715,3482.3228,2435.1049,5627743.9496,3106372.3162,1389.0402,0.487665,176.864704,152.964879,646.873504,329.029854,306.668847,0.044433,-0.296473,2883.948,home,0,0
31,31.0,0.36,0.0,8273.4539,7239.7093,,,0.0,,0.0,,0.0,,0.0,,,0.0,349.244717,79.245451,623.820704,250.126339,205.737061,0.08732,-0.090015,2882.948,home,0,0
32,32.0,0.68,0.0,8706.5946,6698.7087,,,44.9177,,49.0042,,52.5704,,0.0,,,0.0,338.569405,68.127121,628.318939,249.579013,207.922902,0.077888,-0.152198,2881.948,home,0,0
33,33.0,0.96,0.0,9001.8589,6468.91,,,387.2863,,412.3267,,460.4467,,0.0,,,0.024234,348.808011,57.199735,649.480649,282.685015,217.36946,0.076772,-0.124264,2880.948,home,0,0
34,34.0,1.0,0.0,8811.4505,6578.2978,,,201.5844,,220.9514,,234.7714,,0.0,,,0.0,318.951903,37.713759,443.932734,93.916787,106.71467,0.075573,-0.43896,2879.948,home,0,0
35,35.0,3.48,1.6,5986.1174,3099.2147,4581.3463,1503.7859,883.6822,826.5333,993.4592,870.8454,1500.9495,1199.8681,2262303.9418,582436.6803,200.4065,0.249868,383.294858,39.749667,506.311504,110.61509,109.942457,0.09491,-0.237606,2878.948,home,0,0
36,36.0,6.72,3.24,5818.1556,1376.4645,5976.5224,1580.3194,1028.373,734.4082,1351.6209,1013.3537,1708.9831,980.5449,2601909.1676,730798.7244,350.5263,0.394155,397.448247,55.808018,541.656406,137.955741,130.005342,0.107096,-0.107134,2877.948,home,0,0
37,37.0,8.12,3.28,5628.2035,1477.8172,5414.0016,1656.5734,965.9493,647.5725,1406.6424,812.7113,1781.2197,914.1426,2100504.2329,511823.7809,292.6516,0.393598,403.106189,67.389662,538.827991,177.262454,133.336942,0.101668,-0.101272,2876.948,home,0,0
38,38.0,7.4,3.76,5456.407,2268.442,5156.6694,2645.7833,837.0581,364.7287,1028.0937,378.4512,1325.9962,629.1622,753597.7077,70220.3139,497.1489,0.180399,402.589348,108.721068,543.992339,234.737619,154.464092,0.121834,0.073649,2875.948,home,0,0
39,39.0,8.68,4.04,5196.9826,3366.3485,5045.2925,3456.2196,460.4263,38.7936,382.4937,54.0467,335.7274,61.5994,180801.6148,3615.4691,176.4514,0.164269,436.462109,161.387019,536.7297,253.586343,177.914115,0.119136,0.15052,2874.948,home,0,0
40,40.0,8.68,4.28,5152.6144,3415.6351,5059.2484,3472.9079,306.1711,22.4003,197.5352,28.1227,174.6881,38.8948,43319.9333,636.85,109.8552,0.142181,442.471379,160.826605,507.717958,225.547841,159.957083,0.118226,0.111422,2873.948,home,0,0
41,41.0,7.8,5.0,5072.6239,3447.7498,5065.0649,3457.8782,67.6435,35.6253,62.1711,35.1439,129.3026,69.4607,3269.3108,1508.1157,12.6868,0.086317,236.050626,136.22634,313.386424,189.126733,149.492307,0.075046,-0.442975,2872.948,home,0,0
42,42.0,7.32,4.88,5112.2623,3377.7206,5077.8128,3427.303,206.5569,84.7591,168.5101,65.6146,361.6589,145.9666,21651.0922,4170.4627,60.5208,0.089379,245.450197,123.784555,319.119907,166.461594,134.969687,0.075352,-0.458453,2871.948,home,0,0
43,43.0,6.68,5.08,5112.3422,3337.1434,5097.6423,3375.4321,373.4631,219.964,166.4897,138.2596,438.4614,300.5659,17855.1841,12846.9606,173.1049,0.125894,227.903961,125.212099,282.989693,154.73452,132.171489,0.07658,-0.49429,2870.948,home,0,0
44,44.0,4.76,4.76,1560.301,2758.0486,1285.8238,2869.3087,1114.9294,1807.5199,1420.5194,1290.3472,1695.5156,3393.1986,1898315.9116,3344033.3579,630.8848,0.359904,283.480401,287.694741,389.255131,265.551528,168.350203,0.097558,-0.079884,2869.948,home,0,0
45,45.0,6.92,7.0,2034.7107,2634.3124,1376.6815,1827.2661,1517.7495,1686.361,2798.2183,1671.8904,1329.274,3137.1637,4850626.5938,5745365.3371,1053.7749,0.411261,255.552636,271.041161,449.774238,277.150695,193.804189,0.077707,-0.164231,2868.948,home,0,0
46,46.0,7.6,7.0,2160.4997,2810.4408,1268.8396,1866.2925,1884.817,1583.8875,3143.5864,1034.127,1931.3011,3387.8498,8119633.6953,4069719.5838,1310.7605,0.481855,277.790304,272.076,448.494875,326.676215,204.49076,0.070338,-0.151303,2867.948,home,0,0
47,47.0,7.2,6.36,2100.025,2841.5447,1206.8672,1918.6133,1622.4777,1277.515,2736.4075,945.4306,2044.7166,2590.304,5787074.3881,2210671.0603,1299.3689,0.440639,297.781863,294.029673,483.710621,315.481615,199.842444,0.074404,-0.084039,2866.948,home,0,0
48,48.0,6.8,6.52,2634.4857,3049.3335,1875.52,2136.0607,1771.9846,1661.5702,3010.6773,1242.4239,2493.8827,3462.3253,6723011.2642,3426430.5998,1192.8453,0.541411,299.843435,304.15081,473.282734,301.754929,190.045082,0.063161,-0.148456,2865.948,home,0,0
49,49.0,6.8,7.4,2634.6667,3444.4161,2325.7431,2884.1388,1732.5776,1580.991,2854.5591,1427.6054,2592.6768,3280.1831,6481855.6388,4764740.0916,707.6425,0.59527,266.120951,279.615221,424.334566,287.832633,206.495611,0.066934,-0.20359,2864.948,home,0,0
50,50.0,6.28,7.8,1794.8056,3479.4702,2679.9928,3117.9541,1166.7484,1448.2995,1940.747,2251.4466,1678.3541,2413.4209,2580824.4146,4771139.3327,960.963,0.475474,307.278353,291.245039,497.219917,367.624349,225.168041,0.076705,-0.019417,2863.948,home,0,0
51,51.0,5.76,8.08,1773.9766,3637.771,2350.2164,3440.4344,1322.0584,1360.127,1865.2442,1526.0441,2109.942,2707.8377,3137383.8829,4771753.8383,615.8086,0.512695,298.956585,298.739786,491.233793,439.462476,249.966632,0.07484,0.014299,2862.948,home,0,0
52,52.0,6.0,7.52,1500.2298,3029.2673,1753.229,2828.5529,1114.9844,1122.835,2006.5677,1298.2421,1398.0935,2133.6377,2598282.5044,3094827.3975,351.7749,0.374661,305.772636,317.555602,494.732242,459.195604,271.586611,0.088338,0.126515,2861.948,home,0,0
53,53.0,6.52,8.0,1301.182,2607.925,1365.21,2903.9791,1556.2137,1048.4977,2291.7819,1632.8191,2447.999,1800.8245,6106497.6611,3316090.6856,386.6532,0.455109,333.204945,311.46884,523.051626,485.388802,263.81603,0.092731,0.192292,2860.948,home,0,0
54,54.0,7.24,8.2,1603.1014,2923.9018,1252.5849,3133.0086,1802.5572,1100.8293,3214.6848,1901.2563,2061.8324,1358.6361,7234111.6388,2723316.6191,475.4676,0.358253,283.692658,157.946413,489.938952,397.023762,226.919478,0.079016,-0.122615,2859.948,home,0,0
55,55.0,7.08,8.76,1563.3885,2906.6404,1106.8183,2936.7033,1626.1017,1066.0807,3218.5615,1759.7858,1570.302,897.1392,4166011.0465,1944618.1041,461.2777,0.252801,261.056189,149.305378,352.556729,373.016492,186.049454,0.084425,-0.233702,2858.948,home,0,0
56,56.0,7.4,9.2,1635.0187,2983.4331,1117.1135,2965.2641,1518.4297,1035.7461,3144.5629,1828.1841,1581.0488,1046.2159,3594362.8253,2370832.3531,521.349,0.25747,235.116641,142.091492,325.419767,316.079984,166.358016,0.077832,-0.349169,2857.948,home,0,0
57,57.0,7.52,9.04,1713.9812,3023.5529,1258.6387,3166.0372,1572.5232,1222.3996,3044.464,1950.8248,2169.8833,2026.204,5426082.5566,4408102.0268,478.3324,0.449699,214.292063,130.119607,294.71177,319.474418,169.520517,0.092934,-0.315401,2856.948,home,0,0
58,58.0,3.12,3.24,3694.9621,5555.959,1442.4063,3188.3519,624.0315,1357.1425,1192.8182,2271.9838,854.3848,2129.8703,2204921.6095,5189644.1419,414.4806,0.189037,294.190557,105.188379,452.449369,321.890984,165.253339,0.108923,-0.096026,2855.948,home,0,0
59,59.0,1.0,0.0,4711.6849,7045.9721,,,0.0,,0.0,,0.0,,0.0,,,0.0,352.653003,107.922732,556.119362,337.080928,129.703401,0.122441,0.07111,2854.948,home,0,0
60,60.0,1.0,0.0,4591.5259,6991.6099,,,0.0,,0.0,,0.0,,0.0,,,0.0,296.070083,104.826636,464.738159,276.235891,114.251273,0.110461,-0.130985,2853.948,home,0,0
61,61.0,1.32,0.0,4622.5132,7015.845,,,206.1249,,329.2079,,19.1189,,0.0,,,0.0,301.151579,107.205801,490.108662,212.069239,81.265122,0.106739,-0.178331,2852.948,home,0,0
62,62.0,1.0,0.0,4530.4098,7019.4583,,,0.0,,0.0,,0.0,,0.0,,,0.0,301.056678,85.524767,508.897104,209.447105,50.803683,0.092935,-0.272916,2851.948,home,0,0
63,63.0,1.0,0.0,4779.1719,7050.2791,,,0.0,,0.0,,0.0,,0.0,,,0.0,256.933747,87.762263,480.375683,184.42113,53.98876,0.084891,-0.377421,2850.948,home,0,0
64,64.0,0.56,0.0,5292.8356,7088.2566,,,0.0,,0.0,,0.0,,0.0,,,0.0,232.299404,96.619929,388.085389,163.417112,45.282351,0.075205,-0.507416,2849.948,home,0,0
65,65.0,4.36,5.76,2637.894,3193.4797,1959.8362,2551.6674,1586.7352,1234.6535,2823.8293,1030.2828,1786.0643,2641.1761,3570812.3867,2532791.3607,970.8273,0.458552,373.327379,117.243705,670.080658,170.732652,55.64653,0.110515,-0.020492,2848.948,home,0,0
66,66.0,4.88,6.84,2459.0254,2875.4079,2078.1399,2338.9025,1450.6925,1158.4301,2506.5693,1059.6265,1900.1845,2575.785,4205763.164,2877398.7507,704.7445,0.493677,376.164449,132.539932,694.406812,157.71443,124.317044,0.113561,0.056209,2847.948,home,0,0
67,67.0,6.0,7.04,1521.8778,3246.7133,1622.3359,3019.8457,1091.7176,819.9184,1681.2363,604.5903,1688.8305,1794.7267,2954789.376,1172922.4573,255.7267,0.358888,406.652584,183.159326,766.930218,268.512931,259.650776,0.107817,0.265013,2846.948,home,0,0
68,68.0,6.0,7.0,1566.702,3222.2872,1682.6315,3132.6591,1163.3327,922.7127,1723.6197,677.5789,1870.7988,1995.5282,3530084.4841,1494687.5075,148.636,0.340304,318.964914,172.509815,586.003973,185.789515,274.063755,0.083609,-0.075186,2845.948,home,0,0
69,69.0,6.0,7.0,1960.7287,2644.2547,2008.665,2605.5212,1740.3511,1275.9914,2534.8035,1049.2006,2856.9614,2805.6614,6757107.2169,3008845.3259,61.6295,0.54687,314.26361,217.702025,547.840533,232.247556,227.299431,0.085362,-0.061596,2844.948,home,0,0
70,70.0,6.0,7.0,1957.9407,2645.907,2007.471,2606.1458,1736.7872,1272.1857,2536.1987,1047.5053,2847.4841,2796.593,6732848.3467,2993318.1161,63.5157,0.54687,314.620004,174.922749,547.980052,186.137109,182.216777,0.085362,-0.142289,2843.948,home,0,0
71,71.0,5.96,7.4,2019.0214,3192.48,2014.6361,3150.6922,1628.6232,1172.3309,2602.2213,1101.936,2372.2823,2475.4828,6152494.3881,2917352.3721,64.7334,0.528985,304.823912,162.411437,521.661529,164.186045,152.05027,0.08715,-0.1943,2842.948,home,0,0
72,72.0,5.64,7.68,1865.8529,3167.1385,2000.0817,3037.8307,1650.1062,1310.3645,2704.422,1672.9677,2232.425,2459.3567,5416174.6806,4457080.0698,394.6266,0.460703,286.359721,158.928899,498.960808,222.306855,177.456394,0.093979,-0.150198,2841.948,home,0,0
73,73.0,6.44,5.96,1249.861,3308.1799,1687.9391,3933.7731,1373.3769,1313.9547,1391.0092,1590.0977,2510.6282,2566.9687,3169701.4109,3272755.5856,767.0501,0.528047,314.032656,139.511552,630.302084,204.877253,201.827292,0.100713,-0.027934,2840.948,home,0,0
74,74.0,2.72,1.68,1581.5094,4427.8924,2094.4098,4269.0958,799.8052,1326.1785,880.3128,1273.9563,1375.559,2223.2947,1463915.5147,2246212.4686,1212.8972,0.276599,371.389827,125.368468,681.371727,217.239934,228.940601,0.125858,0.188991,2839.948,home,0,0
75,75.0,0.92,0.16,1428.1876,5439.7991,1015.1958,5390.8027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.4425,0.0,292.696826,245.449467,487.020075,322.911572,239.892009,0.107662,0.068438,2838.948,home,0,0
76,76.0,0.92,0.0,1440.9793,5442.2236,,,0.0,,0.0,,0.0,,0.0,,,0.0,279.092557,264.252371,455.294069,355.530226,236.981926,0.10415,0.04925,2837.948,home,0,0
77,77.0,1.24,0.0,1604.2389,5462.5632,,,171.1665,,295.4188,,32.1552,,559.4686,,,0.055347,260.311726,254.969948,402.302655,343.091979,210.477448,0.096206,-0.065353,2836.948,home,0,0
78,78.0,1.92,0.0,1595.1454,5463.4178,,,345.1766,,603.8236,,54.7061,,2280.0906,,,0.074954,270.551223,276.709318,428.904795,381.678168,225.246975,0.096308,0.00285,2835.948,home,0,0
79,79.0,1.16,0.0,1690.2211,5468.9291,,,103.6794,,165.3337,,13.3728,,0.0,,,0.0,236.999103,263.947762,391.635405,383.354249,248.287062,0.083146,-0.110184,2834.948,home,0,0
80,80.0,0.8,0.0,1462.4603,5454.7022,,,0.0,,0.0,,0.0,,0.0,,,0.0,247.010649,315.976185,408.029257,459.686034,297.567242,0.083146,0.012967,2833.948,home,0,0
81,81.0,1.0,0.0,1626.8285,5484.8072,,,0.0,,0.0,,0.0,,0.0,,,0.0,236.194248,370.006512,401.42699,560.999862,371.654619,0.081358,0.123071,2832.948,home,0,0
82,82.0,1.0,0.0,1742.2482,5506.4948,,,0.0,,0.0,,0.0,,0.0,,,0.0,234.045946,447.330794,391.206923,557.655911,385.575111,0.07453,0.148082,2831.948,home,0,0
