frame_index,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,3.68,4.92,6526.5651,2577.9887,5642.4538,3994.7418,1145.1362,1611.9467,1309.4038,1659.9053,1811.0459,3088.3741,1789040.9132,3544793.5051,1679.2164,0.519275,,,,,,,,1627.793,home,0,0
1,1.0,3.76,5.0,6158.9646,2668.2607,5731.4918,3990.6383,1261.8313,1832.0732,1682.7583,1902.9215,1922.6339,3493.7561,2101758.5194,4045580.5827,1400.1079,0.480948,116.695181,220.126465,373.354551,243.016172,279.10853,0.038327,-0.589591,1626.793,home,0,0
2,2.0,3.8,4.84,6476.1938,2348.2669,6039.7123,3734.3394,1431.5955,1798.4499,1813.5894,1978.4612,2279.4284,3376.2337,3041010.6074,3974083.3004,1455.447,0.481692,143.229683,126.874839,252.092793,159.27791,167.223843,0.019535,-0.918988,1625.793,home,0,0
3,3.0,4.0,5.08,6602.7344,2352.4863,6263.1032,3623.7506,1555.6719,2030.4127,2099.5005,2420.0935,2338.4884,3778.4755,3488073.0776,4982443.5446,1317.0373,0.508145,136.845252,161.90415,263.365573,253.396068,157.619135,0.021841,-0.83834,1624.793,home,0,0
4,4.0,4.28,5.92,6703.5682,2579.3949,6597.4982,3333.3148,1510.6348,1967.3476,2080.2865,2448.4512,2308.9656,3745.9191,3656946.2185,5613914.7371,785.668,0.582092,113.893209,137.194397,202.327681,197.136455,251.056687,0.034868,-0.809236,1623.793,home,0,0
5,5.0,4.8,5.0,6936.0446,2941.7977,7043.6143,2945.3128,1583.1341,1361.8631,2194.1858,1740.9949,2576.5058,2319.3909,4429974.4828,3385579.2308,140.5109,0.546891,105.614421,230.852418,184.642004,299.200414,329.876756,0.034934,-0.645898,1622.793,home,0,0
6,6.0,3.68,3.96,6027.5719,2154.2065,6351.8979,2954.6917,1103.6759,1205.1843,1120.8299,786.9869,1597.802,2210.6222,1095361.1377,1036844.7409,963.2772,0.338312,167.921718,218.49014,332.760977,408.33501,412.02501,0.063875,-0.261834,1621.793,home,0,0
7,7.0,4.36,4.68,6356.942,3703.748,6546.8808,3835.8835,1602.3651,1128.2384,1773.4806,1025.4441,2665.407,2041.1252,3567937.9092,1978932.9058,407.2683,0.392358,215.174221,198.269538,378.459505,384.066752,432.594139,0.062471,-0.216303,1620.793,home,0,0
8,8.0,3.56,6.0,6677.1221,3372.9174,6654.8582,4009.7633,1803.9043,1596.4093,1884.1593,2658.1446,3006.8555,2655.6555,3627453.5273,3150343.7261,660.7066,0.511844,213.469837,232.007208,344.986902,540.145967,410.199665,0.069598,-0.108968,1619.793,home,0,0
9,9.0,2.96,5.96,6151.8245,3371.7225,6271.7881,4176.0391,2020.0762,1574.5176,1573.8412,2652.4132,3540.4655,2586.8781,2373150.1949,3193941.5987,818.1104,0.474097,213.770072,208.661036,341.134813,480.766565,382.111229,0.066059,-0.196336,1618.793,home,0,0
10,10.0,3.92,5.68,6219.2849,4052.7875,6097.4539,4512.6079,2239.9122,1526.7989,1984.5757,2247.564,4106.1395,2748.2475,6602928.0708,3413956.9289,596.2965,0.523299,214.376657,192.566805,348.094785,473.174834,366.081492,0.064373,-0.228508,1617.793,home,0,0
11,11.0,4.36,4.72,6883.0456,4689.4152,6354.8013,4617.2906,2497.6692,1371.253,2397.3512,1649.785,4459.1233,2531.314,9621194.7685,2733306.3301,536.5167,0.58039,228.482838,186.108752,352.036877,508.651119,344.148618,0.06625,-0.206248,1616.793,home,0,0
12,12.0,3.2,3.6,7353.1342,4355.5445,6758.668,4700.6194,2692.0422,1270.256,1960.1071,942.6672,4592.7818,2400.8598,5663223.8973,1441735.3487,727.2354,0.525338,230.943727,192.846131,382.678188,571.80893,357.68657,0.07168,-0.113931,1615.793,home,0,0
13,13.0,2.8,3.6,4790.7348,3349.7672,4754.2528,3423.7018,925.7372,1027.3743,899.0397,1611.9318,1265.4207,893.3318,68095.1877,147493.1597,219.9399,0.355468,395.166594,193.938018,460.193805,594.572153,394.575145,0.086022,0.18889,1614.793,home,0,0
14,14.0,1.44,1.32,6730.5058,4342.7993,6000.0011,2554.7242,578.6869,1898.1694,0.0003,0.0015,1058.9314,3877.5388,0.3263,5.0394,1588.8768,0.179605,425.367912,274.71101,548.176345,752.929428,478.331898,0.096214,0.516202,1613.793,home,0,0
15,15.0,1.0,0.0,7234.2398,7282.5666,,,0.0,,0.0,,0.0,,0.0,,,0.0,475.986677,237.9584,536.786449,757.982003,459.795771,0.110654,0.591479,1612.793,home,0,0
16,16.0,1.12,0.72,6754.6017,6352.6093,8034.6571,3077.0541,723.4601,1015.0724,695.2357,1040.8758,1219.4229,1679.1139,597479.2056,83353.8072,1252.2701,0.113459,500.386866,248.118356,498.974438,733.478755,414.424457,0.101142,0.510428,1611.793,home,0,0
17,17.0,0.4,0.72,6879.275,5769.1308,8052.0816,3064.1365,1515.0863,1035.4561,1631.2673,1063.7106,1793.0627,1710.8229,0.0,77430.346,2948.3059,0.323723,529.680558,241.048082,527.312526,706.525962,556.927816,0.116764,0.709868,1610.793,home,0,0
18,18.0,3.4,3.32,5210.9351,3465.4592,5112.3807,3300.9141,853.186,320.9797,1580.5127,545.7834,482.0754,295.2381,185964.6012,64848.8484,505.7018,0.300625,575.716667,271.836269,521.320114,567.179313,830.573533,0.107125,0.83947,1609.793,home,0,0
19,19.0,2.8,4.84,6153.3757,4088.2154,6062.7941,3412.6779,2399.85,1640.828,1822.9311,1466.3271,3703.5209,3220.0477,2345961.2402,3320798.522,737.6924,0.449896,708.765868,434.080846,514.530137,681.530856,839.89689,0.118278,1.210989,1608.793,home,0,0
20,20.0,3.2,6.0,6232.3072,4745.5666,6494.4806,4108.0142,1854.2752,1671.2968,1662.9455,1902.3504,3204.9445,3500.9646,4053454.8599,5825180.1138,697.4497,0.494458,741.339754,431.924602,489.455236,685.427612,817.200506,0.117814,1.210219,1607.793,home,0,0
21,21.0,4.28,5.96,6127.8105,5140.1107,6404.6412,3955.2931,1786.8795,1543.205,1726.5655,1953.4238,3404.1181,3130.0802,5146140.2911,5308118.7309,1221.7217,0.509404,722.30362,428.492827,454.539687,617.089409,875.262034,0.113599,1.155032,1606.793,home,0,0
22,22.0,3.16,4.96,6461.4523,4752.0064,6661.2426,3419.7566,1618.1278,1183.8108,1405.7467,1240.9651,2850.8191,2145.352,2532619.6832,2607426.1586,1364.3185,0.437715,719.741484,460.792485,442.89715,617.757029,869.246802,0.115263,1.17779,1605.793,home,0,0
23,23.0,3.44,4.96,6519.3602,5002.1625,6656.2104,3318.3811,1827.714,1166.0846,1535.3608,964.8418,3313.1692,2155.0852,3874624.963,2264329.7722,1702.0427,0.42674,564.069597,432.648054,349.751828,568.614364,848.050394,0.099373,0.842044,1604.793,home,0,0
24,24.0,3.12,5.0,6638.8086,5152.0496,6616.9529,3125.2734,1662.8816,1125.5221,1374.7117,898.6586,2822.5929,2103.4714,2953932.8813,2028598.6877,2042.5632,0.382959,545.847815,328.868974,275.912801,375.395969,719.498349,0.086165,0.451422,1603.793,home,0,0
25,25.0,0.96,5.0,6189.5635,6471.0611,6608.6281,2913.2018,673.2516,1190.6106,217.6255,882.6395,1048.7033,2226.8107,0.0,2055989.9708,3593.5313,0.438674,586.942126,299.560032,391.621381,335.465202,811.883876,0.073776,0.504452,1602.793,home,0,0
26,26.0,1.72,5.4,5199.621,1410.7953,6470.0948,2657.4457,466.7256,1270.3163,223.0299,1042.5218,796.988,2263.816,56654.3378,2406253.7082,1843.6408,0.456581,535.248717,277.574591,322.638239,317.90691,905.684541,0.064221,0.407736,1601.793,home,0,0
27,27.0,2.84,6.4,5443.9258,1522.845,6244.8858,2609.9593,903.5618,1463.2373,461.3987,1492.7279,1614.426,2794.7983,122989.4907,4150566.6607,1361.8233,0.49257,499.769729,294.828322,252.871972,360.644035,784.262705,0.046793,0.201774,1600.793,home,0,0
28,28.0,3.36,6.68,5395.2538,2460.0072,6062.6493,2929.9943,1511.0783,1454.8763,465.2389,1627.179,2825.5803,2963.9013,909167.2511,4673467.8742,917.1289,0.56018,494.331357,224.21678,248.180537,322.296415,584.471739,0.051245,0.006347,1599.793,home,0,0
29,29.0,3.76,5.48,5186.2891,3131.4211,5490.9755,2861.0704,2222.3805,1608.8568,718.8791,1678.1495,4225.732,3214.6402,1316655.927,4295434.0272,564.1137,0.480325,410.795178,107.629999,249.302722,235.339097,596.574198,0.044303,-0.235674,1598.793,home,0,0
30,30.0,4.96,3.16,5222.5129,2719.6741,5267.9585,2567.0873,1945.0018,1286.6757,1379.9017,881.5924,4069.5027,2322.3131,1372799.5219,394006.7975,433.7,0.377365,383.975573,136.801228,299.406427,271.392477,605.591289,0.050143,-0.156051,1597.793,home,0,0
31,31.0,3.72,2.68,5886.8721,3336.063,5689.8231,3490.1795,3010.9401,2486.2847,4492.1581,3227.5041,2577.9862,2165.127,7011668.0339,2587106.429,648.5472,0.461577,483.829844,243.952954,604.270069,500.87631,574.6488,0.057069,0.311955,1596.793,home,0,0
32,32.0,6.16,5.0,4286.2658,4097.4165,3814.4109,4867.285,2216.9799,1446.885,3388.0488,1854.1286,4016.8459,2516.5155,11259331.6578,3855096.4076,953.0107,0.56192,546.350702,311.953503,682.599122,566.967986,590.835471,0.059935,0.524462,1595.793,home,0,0
33,33.0,5.52,4.92,4088.0894,3719.2265,3781.6767,4432.6075,2391.6087,1890.4591,3142.6839,2632.4521,4076.6351,3118.5765,10032544.7162,7644022.5919,849.5493,0.578557,542.854964,354.538299,694.174208,617.188002,567.409193,0.060501,0.574075,1594.793,home,0,0
34,34.0,7.04,6.96,3301.9474,4031.392,2961.6413,4217.4848,1956.6833,1574.3393,1752.5525,2552.2686,4472.6788,2134.5732,5957399.2347,6395854.8181,428.737,0.556428,569.864264,382.094041,817.122435,618.58803,575.438364,0.058336,0.680931,1593.793,home,0,0
35,35.0,7.6,7.0,2707.9668,4092.1855,2561.3201,4418.3706,1972.8054,1603.3161,1375.9311,2407.2876,4721.6993,2518.8063,5382244.3352,6847310.7363,375.1812,0.528918,472.513479,378.482868,739.075956,631.484226,425.697135,0.055515,0.438521,1592.793,home,0,0
36,36.0,7.76,6.36,2232.1965,4049.4032,1930.0318,4399.7449,1596.9434,1314.9251,1313.5759,1806.8251,3690.9049,2367.8076,4364976.5231,3953431.0079,491.3272,0.528383,489.44708,399.351405,744.771043,675.54224,262.322682,0.053778,0.376961,1591.793,home,0,0
37,37.0,5.12,6.0,1932.8769,4531.0781,1889.8998,4776.7102,1775.4178,1533.3669,1290.8692,2163.6428,3611.3445,2634.338,3967226.8928,4741689.6262,257.0239,0.504716,463.61089,401.90348,723.204828,666.203396,237.571277,0.052546,0.316314,1590.793,home,0,0
38,38.0,5.0,6.8,1638.3248,4491.3201,1546.7333,4609.1666,1993.3008,1469.4192,1628.4051,1851.2554,3911.7655,2664.0556,5600778.7832,4829974.7147,230.8427,0.463034,424.647537,407.462145,756.574392,683.997024,195.719953,0.049953,0.269829,1589.793,home,0,0
39,39.0,5.72,7.4,1438.402,4354.0855,1364.6371,4557.0248,1934.6881,1355.9531,1454.146,1632.7895,4189.0324,2566.8911,5460269.179,4412756.6103,228.9076,0.449645,359.378586,403.410712,748.636278,700.746566,160.611948,0.043306,0.152656,1588.793,home,0,0
40,40.0,6.4,8.0,1376.3921,4320.3986,1249.5935,4469.5307,1630.7865,1206.8797,1156.2104,1346.9707,3767.9996,2384.2555,3919429.8626,3759099.6861,204.5288,0.405028,362.03087,386.099946,712.327585,649.67274,150.008457,0.037472,0.059294,1587.793,home,0,0
41,41.0,6.36,7.84,1186.3882,4196.4996,1081.7417,4321.9204,1298.9645,1037.9396,794.4765,1077.9931,3027.4429,2115.2413,1462643.9703,2507546.7057,170.0192,0.342541,288.619236,283.033052,437.275328,441.979328,131.974698,0.0353,-0.362987,1586.793,home,0,0
42,42.0,6.76,7.84,1313.0068,4146.1459,1220.5356,4273.3596,1317.9303,1067.9273,1064.9319,1224.7342,2958.7153,2138.0135,1871917.8523,2835773.5287,169.4429,0.367738,211.119786,182.091844,353.909931,319.315896,101.585982,0.027785,-0.68036,1585.793,home,0,0
43,43.0,6.24,8.44,1483.6354,4054.5312,1254.218,4020.3603,1112.0443,871.5565,919.1917,987.6637,2441.1767,1809.0235,1548113.2127,2090383.7453,263.7623,0.316134,214.245507,157.371504,343.947448,265.190599,100.671781,0.031282,-0.712181,1584.793,home,0,0
44,44.0,5.88,9.32,1850.8249,4201.6007,1561.5855,4022.3175,1128.0501,914.331,1051.8149,1009.9203,2375.5649,1767.423,1957171.8751,2636232.3004,349.2539,0.368477,172.353548,130.036962,218.196622,259.397906,67.139718,0.034303,-0.848906,1583.793,home,0,0
45,45.0,6.72,8.52,3750.2996,4827.9905,3204.4691,4636.1017,2566.7949,1910.942,4655.0247,3282.7911,3106.0468,2273.8078,12030461.1042,10178220.9711,713.8132,0.581287,314.615814,226.800387,540.855466,472.186886,98.240074,0.052833,-0.247524,1582.793,home,0,0
46,46.0,5.92,8.04,4064.9669,4946.9988,4211.9275,4909.2813,2239.0401,2036.8765,3801.1212,3729.0556,3383.0296,2935.146,9078463.2964,10795347.8488,779.2735,0.519423,309.805096,210.554739,620.010296,456.767094,93.171503,0.058966,-0.202859,1581.793,home,0,0
47,47.0,5.76,8.32,4800.6426,4968.357,5184.3523,4766.8812,2371.358,2324.9655,3947.301,4782.6896,3302.7002,3052.5247,10477133.8346,14054497.3282,613.3835,0.564467,305.189446,217.519456,632.357604,526.448726,86.330166,0.061104,-0.154007,1580.793,home,0,0
