track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
8309,away,0.9946,1399,17692,19098,0.8291,518.371,1309,"0.6184,0.6915,0.4597"
8359,away,0.867,1294,17796,19098,0.8047,316.7172,1227,"0.6277,0.6387,0.4464"
22927,away,0.9655,1291,51640,52933,0.8114,248.1077,1280,"0.6393,0.6722,0.4655"
11465,away,0.9935,1269,24511,25780,0.799,291.5035,1238,"0.6385,0.6867,0.4600"
4745,away,0.996,1210,9513,10722,0.7958,340.9992,877,"0.5434,0.6289,0.4290"
21777,home,0.7056,1163,47882,49053,0.8261,481.6191,968,"0.7370,0.5206,0.3937"
22930,unassigned,0.0,1130,51640,52773,0.7935,169.2876,1043,"0.0000,0.0000,0.0000"
22921,away,0.9909,1123,51640,52762,0.8149,283.1327,1093,"0.5965,0.6583,0.4532"
8255,away,0.6373,1081,17603,18702,0.8081,315.9528,1038,"0.6657,0.6064,0.4496"
11562,away,0.8333,1064,24770,25837,0.7823,222.5019,1024,"0.5980,0.6006,0.4293"
24807,away,0.6393,1060,54889,55949,0.826,475.3179,964,"0.5581,0.5359,0.3574"
22926,away,1.0,1052,51640,52692,0.7815,180.634,1046,"0.5735,0.6453,0.3987"
8482,home,0.9946,1043,18053,19098,0.7865,218.9827,974,"0.6562,0.4024,0.3342"
7967,away,0.9988,1029,16838,17866,0.828,404.309,977,"0.6026,0.6664,0.4454"
13217,away,0.9979,1024,28199,29222,0.821,488.8359,942,"0.6668,0.7190,0.4874"
25413,home,1.0,1001,56490,57503,0.8248,393.1808,888,"0.6495,0.3758,0.2900"
16060,home,0.9954,996,34239,35237,0.8236,439.4378,959,"0.6633,0.3952,0.2810"
17763,away,1.0,992,38730,39721,0.8257,375.7349,915,"0.7302,0.7482,0.5432"
8093,home,1.0,964,17169,18141,0.8316,631.3185,672,"0.6603,0.3797,0.3101"
25416,away,1.0,957,56490,57458,0.8096,253.698,889,"0.5849,0.6382,0.4292"
16093,away,0.9693,953,34279,35237,0.8184,461.3305,778,"0.6441,0.6568,0.4786"
15973,home,0.9891,952,34151,35110,0.8203,344.4937,927,"0.6975,0.4657,0.3099"
15940,away,1.0,950,34141,35090,0.8094,247.3832,920,"0.6639,0.7168,0.4788"
8110,away,0.75,944,17207,18168,0.7852,267.4333,935,"0.6351,0.6036,0.4432"
21196,home,0.6964,935,46215,47163,0.802,351.9112,905,"0.7269,0.5201,0.4072"
19731,away,0.9779,925,43812,44741,0.8077,305.3297,892,"0.6180,0.6703,0.4689"
25491,away,1.0,915,56514,57437,0.7939,166.0765,835,"0.6387,0.6898,0.5277"
25538,away,0.8333,904,56592,57495,0.7878,182.0752,871,"0.6180,0.6017,0.4275"
4086,away,0.9795,884,8151,9035,0.8249,425.1527,884,"0.5332,0.6291,0.4423"
11607,away,0.9957,877,24885,25765,0.8167,329.7708,850,"0.6220,0.6651,0.4622"
1462,away,0.9644,873,2990,3865,0.8047,436.0367,824,"0.5096,0.5989,0.4115"
7965,away,0.9607,872,16838,17720,0.7989,294.2294,872,"0.6177,0.6731,0.4638"
6812,away,0.9965,869,14538,15406,0.8144,495.3257,587,"0.5763,0.6445,0.4266"
7961,home,0.6777,868,16838,17705,0.8169,385.0426,851,"0.6482,0.4966,0.3875"
22920,away,0.9888,868,51640,52531,0.8088,294.303,837,"0.6315,0.6796,0.4687"
4097,away,0.9947,864,8169,9035,0.811,282.044,824,"0.5647,0.6626,0.4964"
22970,home,0.9748,864,51712,52579,0.7931,224.2697,787,"0.6923,0.4893,0.3539"
24883,home,1.0,863,55061,55923,0.8199,344.0753,823,"0.6471,0.4079,0.2956"
1608,away,0.9928,860,3006,3865,0.7847,232.564,850,"0.5689,0.6439,0.4546"
350,away,0.8824,856,688,1545,0.8044,405.0993,786,"0.5113,0.6003,0.4264"
7966,away,0.9926,856,16838,17695,0.8306,477.5199,803,"0.6068,0.6779,0.4684"
24943,away,0.9901,849,55101,55949,0.8145,391.735,808,"0.5830,0.6339,0.4399"
13275,away,1.0,842,28377,29222,0.7924,257.1485,842,"0.6197,0.7155,0.5381"
5627,away,0.9951,840,11933,12772,0.8313,478.7357,813,"0.5307,0.6149,0.4396"
13278,home,0.9549,840,28383,29222,0.8238,501.6048,780,"0.7232,0.4560,0.3408"
5628,home,1.0,828,11933,12772,0.8148,380.2126,783,"0.6466,0.3814,0.3598"
25495,away,1.0,828,56521,57348,0.8058,254.3043,808,"0.5631,0.6252,0.3964"
16145,away,1.0,822,34410,35237,0.8111,363.0706,811,"0.7156,0.7356,0.5268"
16912,home,1.0,822,35919,36746,0.7787,257.4866,798,"0.6932,0.3969,0.2699"
25534,home,1.0,814,56586,57411,0.7939,193.9435,736,"0.5337,0.3621,0.2282"
16835,away,0.6963,812,35862,36673,0.8,262.2512,776,"0.6954,0.6298,0.4395"
32048,home,0.8216,797,69709,70556,0.8205,493.9072,780,"0.5917,0.4062,0.3284"
12994,away,1.0,789,27954,28742,0.8091,347.6084,759,"0.7034,0.7409,0.5268"
21950,away,0.8529,786,47949,48759,0.7887,227.7137,647,"0.7059,0.6693,0.5282"
9070,away,0.9972,784,19912,20705,0.8104,445.5855,757,"0.6450,0.7065,0.4661"
13286,away,1.0,784,28434,29222,0.7904,251.3686,784,"0.6520,0.7055,0.4702"
1675,away,0.9542,782,3083,3865,0.7898,338.2033,782,"0.5558,0.6251,0.4360"
16872,away,0.9407,781,35886,36696,0.7966,297.0397,775,"0.7191,0.7276,0.5171"
