frame_index,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,2.4,5.92,6465.0285,3995.891,7261.9998,4687.1126,618.8137,1503.0748,135.1714,1995.6119,1048.7641,2854.368,73904.7646,5048936.8218,1142.2646,0.414559,,,,,,,,152.023,away,0,0
1,1.0,2.52,5.92,5426.0418,3418.4837,6003.2957,4288.7507,204.3869,1095.8062,335.7896,1210.6625,145.7973,2069.5507,18743.631,2952366.1322,1077.0093,0.318817,414.426797,407.268557,200.618193,784.949463,65.255334,0.095743,0.054794,151.023,away,0,0
2,2.0,3.64,6.0,3609.343,3253.4065,3630.3926,3259.8234,364.836,317.3389,690.062,649.9321,155.9298,180.969,79370.3795,88504.0544,61.8558,0.124702,287.437944,592.867919,277.445261,672.839937,540.204421,0.144929,0.555491,150.023,away,0,0
3,3.0,2.8,3.96,5886.3866,3539.6478,3440.2632,3483.1004,791.552,719.5382,931.3898,839.7236,996.2676,1216.7937,451173.5452,984047.2888,2714.2502,0.306404,333.863966,529.311711,265.406126,511.82381,1244.267763,0.157186,0.889371,149.023,away,0,0
4,4.0,1.0,1.0,6615.6833,4089.7412,1617.5014,3112.9546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5097.3374,0.218104,448.285978,576.868337,431.902051,593.798762,1528.972618,0.139965,1.192962,148.023,away,0,0
5,5.0,2.56,2.84,7300.6677,5007.1553,4489.1757,4817.5221,327.5195,549.5193,363.6236,382.6151,579.9546,1204.5271,424859.0093,948813.6587,3113.0818,0.28301,424.132686,571.398531,418.246356,551.562025,1620.02922,0.124953,1.116819,147.023,away,0,0
6,6.0,3.4,2.52,7331.7764,5590.3756,5783.9698,4663.2829,686.2228,500.7961,676.0752,534.366,1280.3427,831.6424,1022399.8383,415145.6716,2128.5141,0.324016,413.227786,484.285982,400.613893,484.926844,1514.118969,0.110962,0.886597,146.023,away,0,0
7,7.0,4.68,4.0,7031.4702,5646.3182,7185.4705,4812.7873,1452.4153,953.8775,1292.88,1007.6949,2835.9419,1621.9558,2367163.7147,814817.4614,854.4836,0.26327,463.651316,479.82819,431.498315,483.269996,1479.820606,0.103788,0.885584,145.023,away,0,0
8,8.0,3.76,4.4,3873.2718,3156.947,3700.3656,3024.1308,872.8176,512.1274,1460.3377,688.1585,592.0972,482.9631,45598.0019,19010.4588,943.3836,0.19193,478.144612,475.068434,398.493239,462.803304,1305.955522,0.099732,0.759877,144.023,away,0,0
9,9.0,1.8,2.72,6262.8833,6096.8338,7520.7264,6041.9535,262.7839,840.356,185.4937,592.8702,443.7352,1411.3022,146308.4942,137591.3722,1310.9494,0.13499,492.798951,458.752896,495.865549,421.9683,1201.690001,0.094977,0.714544,143.023,away,0,0
10,10.0,2.8,3.0,6910.5728,6309.2323,7349.5353,6009.9632,901.5524,761.2391,1211.5203,488.0464,1148.6684,1318.0456,816963.3371,285816.8127,587.3598,0.23232,507.395902,420.789294,548.88166,390.253851,1153.879957,0.095213,0.689184,142.023,away,0,0
11,11.0,5.2,3.8,6841.3152,5887.6946,7109.2269,5499.2957,1188.286,943.992,2003.2856,1084.67,1709.2812,1579.5523,3254072.5183,1004503.0904,505.0956,0.369249,494.626585,398.33773,607.99637,371.421266,1155.580847,0.099331,0.705876,141.023,away,0,0
12,12.0,5.32,3.32,6003.7614,5285.7376,6439.7928,5730.1484,1252.757,1262.6202,1904.5194,1518.3716,2100.2343,1827.1387,3614319.493,1086250.9465,885.3531,0.423203,485.02877,352.353822,582.445764,358.718381,1092.091243,0.085315,0.546566,140.023,away,0,0
13,13.0,3.64,1.68,5142.1258,4800.8156,6098.9049,6273.4304,1208.3232,957.1826,1399.3769,912.6878,2012.2732,1290.8721,2766829.005,306129.6069,1747.0023,0.311804,446.800544,342.677651,608.827221,400.307602,913.016725,0.078285,0.415364,139.023,away,0,0
14,14.0,2.36,0.0,5545.5598,4312.4378,,,1718.2348,,2488.1638,,1348.6345,,1497821.5228,,,0.225517,418.636498,300.804254,624.566922,351.483601,749.675563,0.078084,0.26617,138.023,away,0,0
15,15.0,2.6,0.8,3580.8787,3918.9886,4112.5498,6349.4242,909.0974,0.0,1127.0947,0.0,1245.6561,0.0,1315501.0325,0.0,2363.4746,0.348967,466.798279,269.714873,724.311469,347.592166,595.353055,0.083938,0.281513,137.023,away,0,0
