frame_index,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,5.0,7.0,5652.1599,3534.2477,6211.3284,3464.7045,1121.6135,1300.7365,1213.3689,979.8196,1786.3347,2642.0505,2050443.4103,2313090.915,602.9061,0.517234,,,,,,,,544.391,away,0,0
1,1.0,6.16,6.48,5536.5338,3380.4564,6174.8755,3501.3831,1354.0129,1465.6346,1783.2034,1059.6448,2288.4603,2834.9154,3973465.4228,3102600.9278,669.5438,0.516818,232.399419,164.898076,569.834434,79.825195,66.637689,0.000415,-0.85977,543.391,away,0,0
2,2.0,4.6,3.28,5513.2728,3808.1885,5626.7714,3460.1913,740.2667,910.3297,771.541,375.6198,1323.001,1715.3894,866606.923,278219.6602,382.7034,0.251383,423.07284,360.101506,790.748398,381.925107,176.739011,0.132925,0.449633,542.391,away,0,0
3,3.0,4.0,5.96,5049.6039,3517.5851,5408.7516,3441.1047,53.3128,480.961,95.8455,931.9785,36.79,469.7157,3850.6326,388811.5446,367.3166,0.279139,511.033185,383.190577,752.397441,440.069648,122.954962,0.097869,0.344125,541.391,away,0,0
4,4.0,3.36,6.0,5070.4096,3509.2503,5267.5229,3477.9296,28.2295,276.5375,51.2787,501.6458,11.7617,269.9347,463.0366,102558.6886,199.755,0.197379,389.54571,338.498792,575.43978,437.635415,134.106613,0.093842,0.091601,540.391,away,0,0
5,5.0,3.0,6.04,5069.8615,3510.1988,5187.9858,3506.0591,28.717,179.5194,51.2497,330.874,11.6365,142.3121,361.1669,30733.5908,118.3381,0.199795,311.734064,290.202661,460.357609,384.262703,123.568664,0.075557,-0.198916,539.391,away,0,0
6,6.0,3.52,5.8,5050.622,3478.2708,5088.6875,3454.0515,39.7,76.2065,69.6151,125.8894,32.218,75.2985,2956.3015,9006.3131,47.0064,0.080977,261.608891,259.054367,386.692236,354.383018,114.862509,0.082767,-0.284893,538.391,away,0,0
7,7.0,4.88,4.68,5051.1988,3465.4633,5087.6688,3450.831,44.3764,85.2809,77.9866,133.0889,53.0601,90.7997,5116.1171,6882.6397,39.7929,0.027653,224.904247,223.342942,332.646417,304.785379,99.484077,0.078561,-0.423559,537.391,away,0,0
8,8.0,5.0,6.0,5064.4621,3471.4397,5120.0754,3447.3533,33.1551,120.9547,50.0735,187.356,46.1885,148.4587,2135.9919,22114.9741,60.8673,0.095856,198.193879,199.884301,294.554753,273.470588,89.682865,0.077266,-0.509922,536.391,away,0,0
9,9.0,4.68,6.12,5052.2879,3390.0995,5185.6009,3288.7103,110.7069,407.9637,129.0518,474.6263,170.3269,572.7977,25261.7513,240174.2751,175.0492,0.112021,184.789201,209.564824,270.601812,275.003895,92.404982,0.070477,-0.56123,535.391,away,0,0
10,10.0,4.12,4.84,5632.2699,1746.8816,5752.599,1941.2021,1275.246,1809.3809,1135.2949,884.6277,2384.8301,3659.5253,1973134.7324,1941851.32,410.3201,0.430417,282.764191,328.750059,344.165945,288.503646,106.691574,0.095269,-0.204971,534.391,away,0,0
11,11.0,4.2,4.28,6352.0923,2328.4507,6134.3452,1833.6949,1682.3801,1604.6299,1203.1905,810.0537,3136.4984,2968.1715,2572563.7943,1275106.513,568.1814,0.434566,300.23766,332.735344,293.972059,287.978527,115.813934,0.095642,-0.207742,533.391,away,0,0
12,12.0,5.4,5.84,6505.2984,1971.389,6418.9849,1999.4915,2002.1479,1216.0548,1123.2786,982.5635,3629.0678,2369.547,1498875.9079,1745804.044,262.6876,0.416062,270.839813,316.062368,200.797018,236.826998,117.679282,0.070949,-0.4478,532.391,away,0,0
13,13.0,6.2,5.4,6414.4915,1633.7289,6384.5006,1894.964,1621.3681,1099.5128,1005.3674,895.3399,2921.9108,2113.0235,1228249.579,1420698.7955,324.2139,0.418072,240.2224,284.779696,145.01858,189.913482,122.293226,0.068375,-0.560608,531.391,away,0,0
14,14.0,6.88,5.0,6208.4818,1625.5089,6126.7463,1974.6014,1302.5192,1302.8598,1246.3903,1344.3818,2401.071,2237.162,2915315.3251,2339528.8343,364.6792,0.482059,269.598966,284.672061,164.664193,191.7844,109.583598,0.066597,-0.537962,530.391,away,0,0
15,15.0,6.36,5.0,5822.4052,1605.6097,5844.8614,1909.9744,1360.8485,1419.335,1105.2577,1482.0836,2836.9166,2636.6055,2956187.1893,2224919.0984,338.3975,0.436963,275.383152,286.617764,178.774568,188.477395,104.070076,0.070865,-0.505273,529.391,away,0,0
16,16.0,8.0,4.6,5315.0633,2631.9278,5453.0037,2507.3236,1500.8155,1174.919,1131.0931,1159.7784,3316.9139,2148.9321,2725321.5801,1160826.4778,227.4716,0.414025,288.281544,300.72808,179.52158,200.209453,108.029497,0.061277,-0.526396,528.391,away,0,0
17,17.0,7.08,3.08,5142.218,3387.5231,5131.3028,3400.177,306.9972,187.9375,401.1421,278.3953,410.9552,189.3822,171747.1387,27064.035,94.4044,0.214442,407.195729,398.518791,251.679537,287.627811,120.614873,0.075903,-0.18868,527.391,away,0,0
18,18.0,5.72,3.0,5695.9833,3136.5796,5966.3476,2499.2663,1560.5678,1472.426,2635.2651,2023.337,2029.5723,1701.5375,4948882.32,3467789.4504,707.8409,0.372811,531.430655,523.400265,472.30053,456.695273,179.851089,0.08492,0.27982,526.391,away,0,0
19,19.0,4.88,2.84,5257.7885,4139.0546,3651.058,3401.1948,2282.0301,2540.585,3753.0142,3547.793,2859.1851,3172.5665,6199159.313,7939523.7092,1785.9989,0.574218,595.82171,601.515261,576.177609,580.413839,276.248697,0.103444,0.643418,525.391,away,0,0
20,20.0,5.84,4.28,2706.6569,3802.7817,2604.8627,4040.8817,1134.8177,1987.7497,1373.6253,3034.2426,2129.7243,2824.5695,2808394.8826,6175684.5404,376.0076,0.456962,594.089047,516.657076,713.492182,590.768734,393.720735,0.08333,0.600393,524.391,away,0,0
21,21.0,7.12,5.0,2463.975,3644.8674,2520.351,3987.5591,1355.0002,1855.7002,1234.435,2757.4727,2807.0534,3031.8933,3486086.2563,6921030.7127,360.9426,0.515776,575.39389,509.38693,720.621652,610.988319,379.441111,0.088796,0.614169,523.391,away,0,0
22,22.0,6.84,5.04,1959.3052,3987.6592,2019.0795,3908.0788,1146.7364,1666.4884,848.4108,2180.3254,2457.535,2885.394,1974297.1902,5547448.7621,364.0886,0.525438,564.24349,489.450596,751.232883,651.45208,349.206336,0.087912,0.606976,522.391,away,0,0
23,23.0,6.88,5.64,1958.8298,3898.8322,2005.4447,3578.5783,1197.1276,1712.8108,951.548,2196.8301,2620.2711,3101.1683,2001879.14,6287191.2297,331.2003,0.506053,531.204627,482.428635,749.755494,644.380195,346.34254,0.08965,0.576439,521.391,away,0,0
24,24.0,7.0,6.0,1869.6846,4047.8025,1912.3646,3804.0096,1041.0576,1401.0995,701.2372,1842.0842,2291.5252,2593.3513,1447198.0772,4235539.8451,253.571,0.489826,514.926728,493.265052,750.684283,634.9506,350.058938,0.084874,0.542698,520.391,away,0,0
25,25.0,5.48,4.72,2813.4625,4021.0272,2678.8485,4122.8329,954.1891,1207.1357,594.3601,1676.557,2104.315,2172.3801,1431747.7169,3807899.4936,535.4838,0.401126,517.780641,501.013919,747.258728,637.733142,375.622055,0.089234,0.583933,519.391,away,0,0
26,26.0,0.24,1.0,6660.2349,5119.8986,4904.2386,6184.2648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147.1692,0.052345,599.20286,597.28588,804.111187,773.158323,525.697994,0.121818,1.052492,518.391,away,0,0
27,27.0,1.36,0.88,5798.8875,5655.528,4462.9548,6443.7731,314.4156,0.0,453.7585,0.0,269.7306,0.0,2111.7057,0.0,1593.6737,0.116928,511.262594,498.58773,776.491926,685.020011,567.740819,0.108318,0.79363,517.391,away,0,0
28,28.0,1.12,1.16,4934.1946,6188.021,5209.829,6020.7875,102.5311,427.8348,143.0708,598.0884,80.2689,332.9387,0.0,0.0,1131.5477,0.191333,407.09398,412.92235,584.148391,570.334681,552.609763,0.099922,0.433223,516.391,away,0,0
29,29.0,1.16,0.04,5319.8268,5950.1061,6510.0488,5303.833,87.0937,0.0,121.3714,0.0,68.4173,0.0,0.0,0.0,1817.8241,0.043621,336.491494,348.889928,474.543421,477.697918,513.421606,0.094552,0.178467,515.391,away,0,0
30,30.0,0.84,0.0,5432.864,5868.2438,,,355.1941,,487.2296,,292.3228,,0.0,,,0.109052,248.580292,326.229329,273.19035,473.714314,413.802753,0.08937,-0.093943,514.391,away,0,0
31,31.0,2.32,1.04,4417.0873,5126.9719,4783.5786,4037.5537,546.5018,129.4518,830.4664,102.0583,474.7155,177.8559,29823.4478,0.0,1191.6325,0.146449,245.69281,350.501811,293.595007,498.332371,463.644966,0.087228,-0.047031,513.391,away,0,0
32,32.0,2.32,0.0,3675.0967,5603.6352,,,542.6766,,781.0682,,542.311,,49263.7533,,,0.11062,225.248952,373.543237,259.932404,487.073091,529.430525,0.089845,-0.030025,512.391,away,0,0
33,33.0,2.8,0.0,3902.1928,5720.3938,,,653.935,,930.6153,,781.8333,,74681.1103,,,0.209664,231.335673,428.080044,264.57339,565.501151,612.187553,0.097811,0.129978,511.391,away,0,0
34,34.0,2.48,0.0,3983.1382,5130.8924,,,443.6139,,644.3451,,453.7919,,34752.8292,,,0.218275,236.760791,451.353801,268.169329,607.652193,719.099211,0.097049,0.213548,510.391,away,0,0
35,35.0,2.52,0.08,3889.0368,4742.8675,2328.9623,5977.1472,398.6565,0.0,574.1682,0.0,436.1506,0.0,22509.307,0.0,1877.6872,0.216792,232.569683,515.701292,264.499309,718.183436,828.395811,0.088328,0.305254,509.391,away,0,0
36,36.0,2.68,0.52,3850.6062,4717.9227,2681.0455,4992.4505,1350.8228,262.5304,1662.3256,423.5523,1622.5907,81.0749,147651.3627,36920.1524,1096.8605,0.260744,232.367404,279.549964,313.879049,404.932271,620.681165,0.057845,-0.231623,508.391,away,0,0
37,37.0,3.24,2.36,3693.8766,4594.5761,2942.1424,4711.9012,1000.953,952.8308,1354.6259,1628.7865,1388.4846,366.9264,225509.9165,242641.656,1019.2074,0.388361,235.912829,452.125075,299.273174,706.240824,501.720559,0.064148,0.011308,507.391,away,0,0
38,38.0,1.12,0.36,4764.0004,5302.5228,2965.6797,5779.5769,32.8012,0.0,10.1562,0.0,51.1416,0.0,0.0,0.0,825.577,0.053023,311.539561,583.374088,402.651374,963.915364,434.596658,0.090241,0.456178,506.391,away,0,0
39,39.0,0.8,0.0,5029.8599,6128.9238,,,61.173,,84.6513,,49.0919,,0.0,,,0.0,312.832988,635.220534,407.930945,1085.857692,350.703402,0.080772,0.469035,505.391,away,0,0
40,40.0,1.0,0.0,5429.1043,5886.048,,,0.0,,0.0,,0.0,,0.0,,,0.0,292.140242,635.220534,379.810263,1085.857692,350.703402,0.074229,0.401362,504.391,away,0,0
41,41.0,1.0,0.0,5508.7313,5857.5903,,,0.0,,0.0,,0.0,,0.0,,,0.0,273.009468,635.220534,345.48658,1085.857692,350.703402,0.07049,0.346489,503.391,away,0,0
42,42.0,5.12,1.8,3116.8916,4815.2413,1948.4545,4383.6902,453.268,879.9598,194.9117,572.4221,1030.8607,1408.1101,328693.74,65236.2884,388.4285,0.202085,317.953753,635.220534,360.037926,1085.857692,350.703402,0.087115,0.481375,502.391,away,0,0
43,43.0,7.6,3.64,1581.2498,4197.3104,1813.8528,4187.7543,721.555,888.2724,347.3793,728.1086,1632.9896,1550.9672,547018.0401,185130.4103,294.5525,0.333115,333.65661,478.493557,360.329977,853.314908,286.496558,0.090314,0.264337,501.391,away,0,0
44,44.0,7.8,4.12,1615.3693,4140.11,1790.9193,4113.1587,708.2589,879.9816,467.4483,810.2152,1502.4591,1622.4604,836530.8731,324210.5882,185.7844,0.337036,313.954108,384.452999,343.709858,699.073243,250.950878,0.089845,0.081377,500.391,away,0,0
45,45.0,8.4,5.0,1657.7277,4153.815,1921.6499,4087.2583,695.8089,836.1667,570.9565,877.245,1466.7198,1615.65,1048983.7693,723854.2653,277.522,0.343936,310.703361,327.679983,347.042982,593.732674,224.415342,0.090387,-0.017624,499.391,away,0,0
46,46.0,8.36,5.0,1618.9891,4144.376,1904.0677,4097.5592,663.746,828.3051,437.4013,816.7945,1423.8603,1622.8357,887121.516,606931.5687,295.0459,0.343929,218.693018,285.235193,251.582755,533.21571,97.198196,0.085992,-0.284885,498.391,away,0,0
