split,game,half_file,tracker_mode,run_dir,second,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,goal_in_next_30s,goal_in_next_60s,seconds_to_next_goal,next_goal_team
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,0,1124.085,1266.9203,1129.0007,1270.2679,1045.7622,0.340493,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,1,975.1992,1339.3625,1036.8441,1250.155,897.7422,0.401583,148.885808,72.442227,92.156641,20.11291,148.019984,0.061091,-1.447215,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,2,889.735,1459.6018,846.1812,1158.0111,789.9417,0.358082,117.174996,96.340757,141.409756,56.128389,127.910244,0.052296,-1.392609,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,3,537.7136,1246.5356,468.7804,873.5234,604.8528,0.257704,195.457142,135.249243,220.073438,132.248171,146.969815,0.068323,-0.653655,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,4,669.9631,103.7348,275.0509,135.2655,219.9823,0.125587,179.655223,387.137145,213.487458,283.750581,206.444989,0.084272,0.1572,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,5,1050.4101,232.856,504.133,246.7931,317.7821,0.206969,219.813585,335.533963,216.606391,249.305975,184.715968,0.083694,0.048471,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,6,236.0539,462.4268,201.9645,359.0214,395.1743,0.085422,318.904017,317.873431,230.866742,226.459697,166.82867,0.090002,0.207958,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,7,1055.6352,1556.0716,665.0789,1436.7577,1319.2387,0.429357,390.429336,428.697916,264.04498,348.070633,275.005195,0.126279,1.386026,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,8,1101.0276,1570.6682,836.7207,1280.6726,1551.9259,0.441353,347.299726,376.935252,252.49458,324.072441,269.715454,0.111993,1.044651,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_bytetrack,9,1070.638,1551.3985,773.9224,1133.0365,1558.2443,0.445613,312.087493,337.194629,231.417214,304.468394,240.449116,0.100023,0.649174,0,0,,
