second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,7.0,3.0,6665.2041,1385.4768,6643.0712,2430.9962,1124.085,1266.9203,1129.0007,1270.2679,1859.6011,1811.7764,2542384.1704,1713249.7931,1045.7622,0.340493,,,,,,,,,,0,0
1,1.0,7.84,3.0,6696.0361,1488.2117,6651.8489,2384.513,975.1992,1339.3625,1036.8441,1250.155,1661.4087,2141.4726,1975153.3602,1313757.4518,897.7422,0.401583,148.885808,72.442227,92.156641,20.11291,148.019984,0.061091,-1.447215,,,0,0
2,2.0,8.24,3.0,6640.1283,1542.0644,6680.1849,2330.7391,889.735,1459.6018,846.1812,1158.0111,1802.7303,2566.2289,1329960.08,857056.8063,789.9417,0.358082,117.174996,96.340757,141.409756,56.128389,127.910244,0.052296,-1.392609,,,0,0
3,3.0,10.08,2.96,5726.0163,2262.6927,5831.1041,2552.6975,537.7136,1246.5356,468.7804,873.5234,1101.1117,2207.0787,516897.638,347559.5906,604.8528,0.257704,195.457142,135.249243,220.073438,132.248171,146.969815,0.068323,-0.653655,,,0,0
4,4.0,10.48,2.64,4309.5399,3273.6673,4419.6364,3255.9241,669.9631,103.7348,275.0509,135.2655,493.3484,131.2517,1094893.1321,7527.7925,219.9823,0.125587,179.655223,387.137145,213.487458,283.750581,206.444989,0.084272,0.1572,,,0,0
5,5.0,10.48,3.76,4275.2817,3375.5909,4428.2082,3284.5912,1050.4101,232.856,504.133,246.7931,741.2997,335.954,4438690.348,30184.9937,317.7821,0.206969,219.813585,335.533963,216.606391,249.305975,184.715968,0.083694,0.048471,,,0,0
6,6.0,5.76,2.96,4928.908,3041.5857,4813.2122,3338.6236,236.0539,462.4268,201.9645,359.0214,375.7861,616.7024,146865.283,40311.1294,395.1743,0.085422,318.904017,317.873431,230.866742,226.459697,166.82867,0.090002,0.207958,,,0,0
7,7.0,4.48,4.12,6718.0732,1433.582,5857.967,2411.0166,1055.6352,1556.0716,665.0789,1436.7577,1818.1774,2695.567,1280503.1487,3188179.7976,1319.2387,0.429357,390.429336,428.697916,264.04498,348.070633,275.005195,0.126279,1.386026,,,0,0
8,8.0,5.0,4.36,6325.1077,885.1072,5580.3892,2245.3614,1101.0276,1570.6682,836.7207,1280.6726,1923.5593,2873.0661,1890932.7795,3139084.0213,1551.9259,0.441353,347.299726,376.935252,252.49458,324.072441,269.715454,0.111993,1.044651,,,0,0
9,9.0,4.96,4.2,6180.2738,927.4639,5453.5142,2305.1514,1070.638,1551.3985,773.9224,1133.0365,1868.6946,2923.5612,1704859.8733,2853369.5795,1558.2443,0.445613,312.087493,337.194629,231.417214,304.468394,240.449116,0.100023,0.649174,,,0,0
