frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
0,player,1,player,away,1.0,0.86484,970,496,1016,606,993.0,606.0,,,,,7,4,0.49645,0.41052,0.3797
0,player,2,player,home,0.7561,0.85873,603,594,654,719,628.5,719.0,,,,,7,4,0.28292,0.30198,0.48196
0,player,3,player,away,1.0,0.83706,202,366,259,448,230.5,448.0,,,,,7,4,0.49352,0.48005,0.38796
0,player,4,player,away,1.0,0.83401,590,170,622,222,606.0,222.0,5847.0093,1804.1466,175.7673,66.8357,7,4,0.49293,0.50517,0.41089
0,player,5,player,home,1.0,0.83358,564,399,596,489,580.0,489.0,,,,,7,4,0.37118,0.37933,0.54576
0,player,6,player,home,0.9663,0.82169,684,136,710,177,697.0,177.0,9523.5752,987.1427,277.4856,42.9092,7,4,0.41569,0.45166,0.55888
0,player,7,player,away,1.0,0.82147,858,294,892,362,875.0,362.0,,,,,7,4,0.46092,0.40657,0.38984
0,player,8,player,home,1.0,0.82122,384,214,409,269,396.5,269.0,,,,,7,4,0.35541,0.37814,0.5252
0,player,9,player,away,1.0,0.81274,719,225,744,283,731.5,283.0,5437.2676,6007.9756,164.4311,189.9479,7,4,0.4287,0.39243,0.36254
0,player,10,player,away,1.0,0.80847,920,212,947,271,933.5,271.0,8847.6523,5588.5146,258.785,177.6636,7,4,0.43692,0.39667,0.36087
0,player,11,player,away,1.0,0.80789,1249,283,1279,354,1264.0,354.0,,,,,7,4,0.44249,0.36292,0.3479
0,player,12,player,away,1.0,0.80432,735,151,759,195,747.0,195.0,9409.7471,2121.377,274.3363,76.126,7,4,0.50342,0.51805,0.4341
0,player,13,player,away,0.6975,0.77381,807,170,830,224,818.5,224.0,9170.4102,3618.9873,267.7147,119.9846,7,4,0.45863,0.4605,0.38438
0,player,14,player,home,0.9907,0.72849,1085,159,1105,210,1095.0,210.0,11132.3145,4130.2622,321.994,134.9577,7,4,0.32115,0.35377,0.45606
0,player,15,player,away,1.0,0.48336,1097,155,1112,206,1104.5,206.0,11234.7529,4059.834,324.8282,132.8951,7,4,0.41639,0.56462,0.41071
0,player,16,player,home,0.8947,0.2778,1170,668,1279,717,1224.5,717.0,,,,,7,4,0.30793,0.34685,0.31435
0,ball,1,ball,,,0.36791,985,194,993,202,989.0,198.0,10929.8623,3525.8755,316.3929,117.2578,7,4,,,
1,player,1,player,away,1.0,0.85857,964,496,1010,606,987.0,606.0,,,,,7,4,0.4938,0.40471,0.374
1,player,2,player,home,0.7561,0.86375,595,596,646,719,620.5,719.0,,,,,7,4,0.28243,0.30609,0.47868
1,player,3,player,away,1.0,0.81119,211,366,268,450,239.5,450.0,,,,,7,4,0.55601,0.53803,0.44766
1,player,4,player,away,1.0,0.82497,587,173,617,222,602.0,222.0,5737.2861,1747.6388,172.7316,65.1809,7,4,0.47905,0.48574,0.3917
1,player,5,player,home,1.0,0.84511,565,403,597,493,581.0,493.0,,,,,7,4,0.38325,0.39573,0.57672
1,player,6,player,home,0.9663,0.81523,682,139,706,178,694.0,178.0,9456.5654,988.4614,275.6316,42.9478,7,4,0.4189,0.45551,0.55911
1,player,7,player,away,1.0,0.8259,852,296,886,365,869.0,365.0,,,,,7,4,0.47572,0.4192,0.39436
1,player,8,player,home,1.0,0.81489,379,218,404,272,391.5,272.0,,,,,7,4,0.35799,0.38306,0.52881
1,player,9,player,away,1.0,0.81267,713,226,739,285,726.0,285.0,5194.8838,6123.6284,157.7251,193.3348,7,4,0.43379,0.40399,0.36137
1,player,10,player,away,1.0,0.80902,916,213,943,273,929.5,273.0,8754.5645,5656.4604,256.2096,179.6535,7,4,0.42358,0.37434,0.36088
1,player,11,player,away,1.0,0.80966,1247,285,1276,355,1261.5,355.0,,,,,7,4,0.44506,0.36168,0.34718
1,player,12,player,away,1.0,0.8053,731,153,755,196,743.0,196.0,9336.1631,2123.9861,272.3005,76.2024,7,4,0.4827,0.4929,0.41194
1,player,13,player,away,0.6975,0.77616,802,171,825,226,813.5,226.0,9059.0449,3667.7776,264.6336,121.4135,7,4,0.4766,0.48083,0.40019
1,player,14,player,home,0.9907,0.80519,1080,162,1100,212,1090.0,212.0,11078.8496,4165.7886,320.5148,135.9981,7,4,0.30196,0.32959,0.45722
1,player,15,player,away,1.0,0.52086,1093,155,1108,204,1100.5,204.0,11254.8271,4003.8979,325.3836,131.257,7,4,0.43243,0.58273,0.42376
2,player,1,player,away,1.0,0.86322,961,499,1006,605,983.5,605.0,,,,,7,4,0.48609,0.39602,0.36656
2,player,2,player,home,0.7561,0.85491,587,598,637,719,612.0,719.0,,,,,7,4,0.28174,0.30316,0.46992
2,player,3,player,away,1.0,0.83195,219,369,276,452,247.5,452.0,,,,,7,4,0.5309,0.50576,0.42415
2,player,4,player,away,1.0,0.81206,583,175,613,225,598.0,225.0,5423.6182,1858.1914,164.0534,68.4185,7,4,0.4836,0.49168,0.40091
2,player,5,player,home,1.0,0.84116,565,406,598,498,581.5,498.0,,,,,7,4,0.39874,0.41242,0.61199
