second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,2.0,7.24,9668.9359,2753.3526,7831.0092,4354.0582,1683.1345,2606.9895,1674.7788,4687.3071,2076.5437,3785.2068,0.0,18663544.8922,2463.6452,0.602706,,,,,,,,,,0,0
1,1.0,3.68,9.8,8346.4035,3493.789,7978.1237,4646.8967,2297.8688,2250.5658,3253.0461,3366.0525,2724.8054,4231.2439,6691946.1166,16656280.0321,1574.5772,0.632308,614.734272,356.423662,1578.267285,1321.254648,889.068035,0.029601,0.473637,,,0,0
2,2.0,5.16,10.96,8805.65,4789.4923,8712.2243,4562.2048,1970.5652,1655.8658,1738.2359,1542.1725,3888.7768,3448.5936,6153672.3548,9270211.6157,272.502,0.529771,471.018918,475.561853,1546.53875,1572.567334,1095.571592,0.066069,1.080583,,,0,0
3,3.0,4.4,8.92,9175.3886,5202.5271,9252.8124,4775.7624,1549.1014,1332.3456,1112.2754,1304.6656,3004.5987,2689.9213,2790910.9373,4500768.2994,470.3963,0.363821,454.500557,424.881271,1239.679342,1127.547161,796.345833,0.099363,0.475422,,,0,0
4,4.0,2.04,8.4,9545.0168,5207.3305,9550.0208,4822.8939,1292.922,1591.7006,778.5991,1873.6778,2092.0988,2919.253,563464.2109,6469539.528,625.2198,0.478916,404.920268,383.499682,1013.178574,987.913418,635.965237,0.103296,-0.005626,,,0,0
5,5.0,3.6,9.04,9773.138,5494.7093,9818.3104,4751.9813,1258.4605,1471.9083,712.8331,1454.2264,2106.2616,2735.1463,563395.1886,5159194.5925,757.2648,0.388696,330.828504,330.758196,823.696066,874.22102,535.18119,0.100681,-0.511161,,,0,0
6,6.0,4.48,10.12,9432.1452,5156.237,9609.7926,4145.3167,1079.1439,1390.1549,1057.0451,1097.5217,1729.7215,2967.6824,1278537.7775,4489184.2489,1040.7058,0.389932,305.576527,289.257399,743.782054,787.968307,493.224489,0.084106,-0.895629,,,0,0
7,7.0,3.6,7.04,8278.9281,5044.4457,7972.0331,4351.3643,1480.9124,2779.8262,2518.9007,3384.1489,1504.5443,4666.7703,6065203.3391,16209341.1033,1584.637,0.54641,319.318241,446.459383,846.36399,1002.062441,500.468301,0.094445,-0.272869,,,0,0
8,8.0,7.56,9.92,5618.5434,4654.572,6290.9814,3596.3929,1357.2057,1443.5414,2279.9123,1991.4775,1783.4284,2402.6292,3860644.454,6379425.4961,1381.9532,0.437642,294.866796,557.687558,770.442043,1050.888564,463.245233,0.096236,-0.11578,,,0,0
9,9.0,8.32,8.0,6144.4878,5951.0303,7145.5083,3748.0459,1066.099,1780.6238,1930.3669,2334.5599,1736.4668,3463.4686,2811050.6808,7891262.6756,2420.3603,0.493609,294.449012,533.175869,723.675747,972.243442,527.152111,0.091761,-0.228576,,,0,0
