track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
1,away,1.0,250,0,249,0.8458,4005.492,180,"0.4869,0.4299,0.3760"
7,away,1.0,250,0,249,0.828,3080.608,230,"0.4583,0.4273,0.3765"
9,away,1.0,250,0,249,0.8242,2193.148,249,"0.4620,0.4265,0.3729"
12,away,1.0,250,0,249,0.7894,1221.264,250,"0.4834,0.4823,0.4112"
16,home,0.8947,228,0,249,0.8347,4690.9254,180,"0.3299,0.3407,0.4753"
10,away,1.0,217,0,216,0.8159,1995.1567,217,"0.4463,0.3980,0.3609"
17,away,0.9734,188,23,216,0.7914,3788.3298,168,"0.4642,0.3959,0.3533"
13,away,0.6975,162,0,161,0.7842,1625.6358,162,"0.4536,0.4323,0.4506"
11,away,1.0,157,0,156,0.8066,2724.8344,147,"0.4329,0.3636,0.3389"
15,away,1.0,155,0,166,0.7309,1119.3161,155,"0.4340,0.5786,0.4138"
67,home,1.0,132,115,249,0.7806,3506.1742,124,"0.3419,0.3422,0.4695"
66,home,0.9846,130,115,249,0.7996,4015.6692,109,"0.3575,0.3661,0.4882"
5,home,1.0,113,0,112,0.8453,4580.9292,70,"0.3581,0.3843,0.5783"
14,home,0.9907,108,0,107,0.784,1437.3333,108,"0.3634,0.3880,0.5184"
65,home,0.566,106,114,219,0.7211,1512.2547,106,"0.4287,0.4221,0.4667"
73,away,1.0,104,146,249,0.743,1310.9712,99,"0.5201,0.5086,0.4416"
6,home,0.9663,89,0,88,0.7851,1168.3933,89,"0.4190,0.4590,0.5478"
75,away,0.5169,89,148,249,0.6963,995.9551,81,"0.4434,0.4861,0.5088"
80,home,1.0,83,167,249,0.8303,3861.0241,63,"0.3192,0.3467,0.4821"
4,away,1.0,82,0,81,0.7663,1431.6707,82,"0.4872,0.4659,0.4042"
3,away,1.0,81,0,80,0.8384,3671.4568,41,"0.5145,0.4754,0.4064"
82,home,1.0,79,171,249,0.811,2426.9873,69,"0.3307,0.3571,0.4955"
85,away,1.0,76,174,249,0.8194,3033.3421,63,"0.4800,0.4702,0.3957"
91,away,0.6129,62,188,249,0.7634,1204.8226,50,"0.4577,0.4874,0.5057"
8,home,1.0,54,0,53,0.8142,1904.9815,17,"0.3771,0.4016,0.5591"
25,home,1.0,54,42,95,0.7677,2915.2963,54,"0.3692,0.3611,0.4913"
106,home,1.0,48,202,249,0.8155,2397.0417,48,"0.3687,0.3884,0.5150"
2,home,0.7561,41,0,40,0.792,3500.1707,1,"0.3221,0.3324,0.4088"
110,home,1.0,41,209,249,0.8533,3696.878,41,"0.2974,0.3230,0.4835"
77,away,1.0,37,158,194,0.8154,2585.3514,32,"0.4813,0.4231,0.3720"
111,home,0.7273,33,216,249,0.7972,5594.1818,33,"0.3791,0.3748,0.4463"
102,away,1.0,29,196,224,0.7617,1351.0345,29,"0.5384,0.5564,0.4580"
119,home,0.6667,9,226,234,0.519,3965.1111,9,"0.2676,0.2654,0.2481"
92,home,1.0,2,188,189,0.4442,7071.0,0,"0.3204,0.3822,0.4064"
81,away,1.0,1,168,168,0.6192,2115.0,1,"0.3755,0.3860,0.3063"
