frame_index,row_type,track_id,team_label,field_x_cm,field_y_cm,map_x,map_y,source_x,source_y
0,player,4,away,5847.0093,1804.1466,175.7673,66.8357,606.0,222.0
0,player,6,home,9523.5752,987.1427,277.4856,42.9092,697.0,177.0
0,player,9,away,5437.2676,6007.9756,164.4311,189.9479,731.5,283.0
0,player,10,away,8847.6523,5588.5146,258.785,177.6636,933.5,271.0
0,player,12,away,9409.7471,2121.377,274.3363,76.126,747.0,195.0
0,player,13,away,9170.4102,3618.9873,267.7147,119.9846,818.5,224.0
0,player,14,home,11132.3145,4130.2622,321.994,134.9577,1095.0,210.0
0,player,15,away,11234.7529,4059.834,324.8282,132.8951,1104.5,206.0
0,ball,1,,10929.8623,3525.8755,316.3929,117.2578,989.0,198.0
1,player,4,away,5737.2861,1747.6388,172.7316,65.1809,602.0,222.0
1,player,6,home,9456.5654,988.4614,275.6316,42.9478,694.0,178.0
1,player,9,away,5194.8838,6123.6284,157.7251,193.3348,726.0,285.0
1,player,10,away,8754.5645,5656.4604,256.2096,179.6535,929.5,273.0
1,player,12,away,9336.1631,2123.9861,272.3005,76.2024,743.0,196.0
1,player,13,away,9059.0449,3667.7776,264.6336,121.4135,813.5,226.0
1,player,14,home,11078.8496,4165.7886,320.5148,135.9981,1090.0,212.0
1,player,15,away,11254.8271,4003.8979,325.3836,131.257,1100.5,204.0
2,player,4,away,5423.6182,1858.1914,164.0534,68.4185,598.0,225.0
2,player,6,home,9351.8037,1026.2499,272.7332,44.0545,691.0,180.0
2,player,9,away,4955.0601,6243.9531,151.09,196.8586,721.0,287.0
2,player,10,away,8664.251,5726.1265,253.7109,181.6937,926.0,275.0
2,player,12,away,9221.2754,2159.0767,269.122,77.2301,738.5,198.0
2,player,13,away,8997.1553,3690.3513,262.9213,122.0746,810.5,227.0
2,player,14,home,11042.2227,4177.9258,319.5015,136.3535,1085.0,213.0
2,player,15,away,11210.2695,4042.7495,324.1508,132.3948,1097.5,206.0
3,player,4,away,5031.1436,1945.5519,153.195,70.9769,592.0,228.0
3,player,6,home,9227.5332,1047.3837,269.2951,44.6734,686.5,182.0
3,player,9,away,4705.4497,6369.1885,144.1841,200.5262,716.0,289.0
3,player,10,away,8572.1611,5797.1626,251.1631,183.774,922.5,277.0
3,player,12,away,9092.1133,2186.6965,265.5485,78.039,733.0,200.0
3,player,13,away,8853.2305,3780.9958,258.9394,124.7292,806.0,230.0
3,player,14,home,10987.0596,4214.4717,317.9753,137.4238,1080.0,215.0
3,player,15,away,11165.1543,4082.0869,322.9026,133.5468,1094.5,208.0
4,player,4,away,4762.0122,1917.1716,145.749,70.1457,586.0,229.0
4,player,6,home,9099.3779,1069.1782,265.7495,45.3116,682.0,184.0
4,player,9,away,4388.1792,6502.3677,135.4063,204.4265,709.0,291.0
4,player,10,away,8438.1855,5906.5566,247.4565,186.9777,918.0,280.0
4,player,12,away,8970.0264,2223.8123,262.1707,79.1259,728.5,202.0
4,player,13,away,8710.3359,3876.6687,254.986,127.531,802.0,233.0
4,player,14,home,10916.6992,4278.502,316.0287,139.299,1076.0,218.0
4,player,15,away,11100.1348,4144.3984,321.1037,135.3717,1091.0,211.0
4,ball,-1,,9331.1416,2022.8208,272.1616,73.2398,737.5,194.5
5,player,4,away,4383.459,1941.6831,135.2757,70.8636,579.5,231.0
5,player,6,home,8967.1533,1091.6649,262.0912,45.9702,677.5,186.0
5,player,9,away,4019.1223,6706.8545,125.1957,210.415,703.0,294.0
5,player,10,away,8331.2061,5980.9907,244.4967,189.1576,913.5,282.0
5,player,12,away,8838.3643,2257.7358,258.5281,80.1194,723.5,204.0
5,player,13,away,8626.3066,3895.2043,252.6612,128.0738,797.5,234.0
5,player,14,home,10861.4619,4317.7534,314.5004,140.4485,1071.5,220.0
5,player,15,away,11088.9434,4137.2603,320.7941,135.1626,1088.0,211.0
5,ball,-1,,11089.125,4084.5012,320.7991,133.6175,1081.0,209.5
6,player,4,away,4018.7104,1983.4349,125.1843,72.0863,574.0,233.0
6,player,6,home,8824.1904,1108.7988,258.1359,46.472,672.5,188.0
6,player,9,away,3596.0901,6925.7803,113.4918,216.8264,696.0,297.0
6,player,10,away,8237.7578,6057.1738,241.9113,191.3887,910.5,284.0
6,player,12,away,8728.0547,2244.6545,255.4762,79.7363,717.5,205.0
6,player,13,away,8499.582,3951.2837,249.1551,129.7162,792.5,236.0
6,player,14,home,10798.8564,4354.3691,312.7684,141.5208,1065.5,222.0
6,player,15,away,11040.3076,4176.749,319.4485,136.3191,1084.5,213.0
7,player,4,away,3632.2112,2027.6764,114.4912,73.382,568.5,235.0
7,player,6,home,8676.168,1126.5392,254.0406,46.9915,667.5,190.0
7,player,9,away,3145.314,7159.064,101.0204,219.0,689.0,300.0
7,player,10,away,8126.0376,6135.0425,238.8204,193.6691,906.0,286.0
7,player,12,away,8548.9873,2320.2122,250.522,81.9491,712.5,208.0
7,player,13,away,8410.834,3971.1904,246.6997,130.2991,788.0,237.0
7,player,14,home,10751.7432,4365.2441,311.4649,141.8393,1059.0,223.0
7,player,15,away,11010.8799,4193.7744,318.6343,136.8177,1081.5,214.0
8,player,4,away,3244.0071,2082.6968,103.7509,74.9933,563.5,237.0
8,player,6,home,8529.8984,1151.17,249.9939,47.7128,663.0,192.0
8,player,9,away,2683.147,7405.8691,88.2337,219.0,682.5,303.0
8,player,10,away,8028.6162,6214.3394,236.125,195.9914,903.0,288.0
8,player,12,away,8436.5742,2312.1721,247.4119,81.7136,707.0,209.0
8,player,13,away,8247.1475,4072.8352,242.1711,133.2759,783.5,240.0
8,player,14,home,10684.3867,4402.0376,309.6014,142.9168,1052.5,225.0
8,player,15,away,10961.0957,4234.1475,317.257,138.0,1078.0,216.0
9,player,4,away,2785.6858,2124.5759,91.0706,76.2197,557.5,239.0
9,player,6,home,8378.6562,1176.6383,245.8095,48.4587,658.5,194.0
9,player,10,away,7917.6816,6295.6328,233.0559,198.3721,899.0,290.0
9,player,12,away,8279.5449,2345.4807,243.0674,82.6891,701.5,211.0
9,player,13,away,8152.812,4094.7793,239.5611,133.9185,779.0,241.0
9,player,14,home,10620.1475,4441.8467,307.8241,144.0827,1047.0,227.0
9,player,15,away,10912.6357,4276.2334,315.9163,139.2325,1075.0,218.0
10,player,4,away,6051.9351,2781.6699,181.4369,95.4632,552.0,241.0
10,player,6,home,8783.2051,1651.776,257.002,62.3734,648.0,195.0
10,player,7,away,6515.8857,6670.0391,194.2728,209.3369,806.5,395.0
10,player,9,away,6461.4814,5071.9863,192.7677,162.5367,673.0,308.0
10,player,10,away,8913.1641,4826.062,260.5975,155.3347,896.0,292.0
10,player,11,away,9564.376,5923.812,278.6144,187.4831,1220.5,370.0
10,player,12,away,8839.7617,2529.5439,258.5667,88.0795,696.0,213.0
10,player,13,away,8892.7676,3622.032,260.0332,120.0738,774.0,243.0
10,player,14,home,10849.3652,3826.9348,314.1658,126.0745,1041.0,229.0
10,player,15,away,11140.2188,3714.9443,322.2127,122.7948,1072.0,220.0
11,player,4,away,5903.4297,2832.1743,177.3282,96.9422,547.0,243.0
11,player,6,home,8659.4111,1687.1677,253.577,63.4099,642.5,197.0
11,player,7,away,6422.855,6713.3911,191.699,210.6065,800.0,397.0
11,player,9,away,6370.3525,5119.103,190.2464,163.9166,669.0,310.0
11,player,10,away,8836.1348,4879.9854,258.4664,156.9139,892.5,295.0
11,player,11,away,9519.9873,5949.9316,277.3863,188.248,1216.0,372.0
11,player,12,away,8730.1543,2566.3369,255.5343,89.157,690.5,215.0
11,player,13,away,8809.418,3661.0725,257.7272,121.2171,769.5,245.0
11,player,14,home,10806.9639,3836.6311,312.9927,126.3585,1035.5,230.0
