frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
0,player,1,player,away,1.0,0.88903,884,213,1185,716,1034.5,716.0,,,,,0,0,0.7786,0.75515,0.29458
0,player,2,player,home,1.0,0.86568,277,151,604,594,440.5,594.0,,,,,0,0,0.54178,0.34657,0.37736
0,ball,1,ball,,,0.8559,620,497,699,571,659.5,534.0,,,,,0,0,,,
1,player,1,player,away,1.0,0.89471,855,209,1156,711,1005.5,711.0,,,,,0,0,0.78656,0.75369,0.28033
1,player,2,player,home,1.0,0.88506,263,150,582,580,422.5,580.0,,,,,0,0,0.53673,0.31561,0.39028
1,ball,1,ball,,,0.88263,604,496,684,569,644.0,532.5,,,,,0,0,,,
2,player,1,player,away,1.0,0.88058,827,205,1125,703,976.0,703.0,,,,,0,0,0.78854,0.74577,0.28181
2,player,2,player,home,1.0,0.85728,255,152,571,575,413.0,575.0,,,,,0,0,0.54004,0.28186,0.41634
2,ball,1,ball,,,0.85884,588,497,670,573,629.0,535.0,,,,,0,0,,,
3,player,1,player,away,1.0,0.87446,814,211,1102,694,958.0,694.0,,,,,0,0,0.78712,0.74925,0.2859
3,player,2,player,home,1.0,0.85518,250,152,575,584,412.5,584.0,,,,,0,0,0.54308,0.28745,0.42426
3,ball,1,ball,,,0.82675,584,500,673,582,628.5,541.0,,,,,0,0,,,
4,player,1,player,away,1.0,0.87949,804,215,1092,699,948.0,699.0,,,,,0,0,0.77221,0.74368,0.30609
4,player,2,player,home,1.0,0.89018,251,152,587,600,419.0,600.0,,,,,0,0,0.54061,0.30573,0.44436
4,ball,1,ball,,,0.87859,591,509,679,591,635.0,550.0,,,,,0,0,,,
5,player,1,player,away,1.0,0.8782,800,222,1083,701,941.5,701.0,,,,,0,0,0.77082,0.75423,0.31671
5,player,2,player,home,1.0,0.87197,260,153,594,604,427.0,604.0,,,,,0,0,0.54639,0.34404,0.46165
5,ball,1,ball,,,0.90621,601,520,689,603,645.0,561.5,,,,,0,0,,,
6,player,1,player,away,1.0,0.87355,777,226,1055,700,916.0,700.0,,,,,0,0,0.74859,0.73563,0.30135
6,player,2,player,home,1.0,0.87557,278,150,611,608,444.5,608.0,,,,,0,0,0.53302,0.33933,0.42257
6,ball,1,ball,,,0.88618,608,529,693,608,650.5,568.5,,,,,0,0,,,
7,player,1,player,away,1.0,0.87074,746,226,1021,693,883.5,693.0,,,,,0,0,0.78928,0.76781,0.24849
7,player,2,player,home,1.0,0.84993,279,144,608,606,443.5,606.0,,,,,0,0,0.53872,0.36281,0.40676
7,ball,1,ball,,,0.86454,605,521,688,600,646.5,560.5,,,,,0,0,,,
8,player,1,player,away,1.0,0.88643,720,216,995,675,857.5,675.0,,,,,0,0,0.81511,0.79003,0.23215
8,player,2,player,home,1.0,0.89483,274,136,597,598,435.5,598.0,,,,,0,0,0.53154,0.34535,0.41785
8,ball,1,ball,,,0.84868,600,509,682,588,641.0,548.5,,,,,0,0,,,
9,player,1,player,away,1.0,0.88469,701,214,980,668,840.5,668.0,,,,,0,0,0.83018,0.79978,0.22393
9,player,2,player,home,1.0,0.89115,273,125,592,583,432.5,583.0,,,,,0,0,0.54023,0.32993,0.39098
9,ball,1,ball,,,0.87107,594,502,674,578,634.0,540.0,,,,,0,0,,,
10,player,1,player,away,1.0,0.87997,696,211,981,666,838.5,666.0,,,,,0,0,0.83835,0.80324,0.23595
10,player,2,player,home,1.0,0.89034,268,123,584,579,426.0,579.0,,,,,0,0,0.56942,0.32451,0.4429
10,ball,1,ball,,,0.8839,586,499,663,574,624.5,536.5,,,,,0,0,,,
11,player,1,player,away,1.0,0.87696,702,209,993,663,847.5,663.0,,,,,0,0,0.82221,0.79905,0.24955
11,player,2,player,home,1.0,0.88482,260,123,569,579,414.5,579.0,,,,,0,0,0.57704,0.32465,0.43212
11,ball,1,ball,,,0.85522,571,497,654,577,612.5,537.0,,,,,0,0,,,
12,player,1,player,away,1.0,0.87867,685,194,989,664,837.0,664.0,,,,,0,0,0.80993,0.77732,0.27992
12,player,2,player,home,1.0,0.86896,270,128,566,580,418.0,580.0,,,,,0,0,0.57247,0.31115,0.42233
12,ball,1,ball,,,0.89167,557,506,637,582,597.0,544.0,,,,,0,0,,,
13,player,1,player,away,1.0,0.88919,650,180,966,663,808.0,663.0,,,,,0,0,0.79024,0.74712,0.27747
13,player,2,player,home,1.0,0.8369,258,124,551,577,404.5,577.0,,,,,0,0,0.54043,0.29901,0.41781
13,ball,1,ball,,,0.86949,539,506,618,582,578.5,544.0,,,,,0,0,,,
14,player,1,player,away,1.0,0.88626,628,172,936,639,782.0,639.0,,,,,0,0,0.78277,0.74036,0.26913
14,player,2,player,home,1.0,0.83896,240,119,529,569,384.5,569.0,,,,,0,0,0.51721,0.30281,0.39866
14,ball,1,ball,,,0.86707,521,504,601,582,561.0,543.0,,,,,0,0,,,
15,player,1,player,away,1.0,0.90204,607,167,915,637,761.0,637.0,,,,,0,0,0.77908,0.74411,0.2624
15,player,2,player,home,1.0,0.85527,228,118,520,564,374.0,564.0,,,,,0,0,0.49643,0.30124,0.39765
15,ball,1,ball,,,0.83297,506,501,587,580,546.5,540.5,,,,,0,0,,,
16,player,1,player,away,1.0,0.8914,600,164,911,646,755.5,646.0,,,,,0,0,0.75587,0.72902,0.27088
16,player,2,player,home,1.0,0.8564,221,115,520,559,370.5,559.0,,,,,0,0,0.50727,0.31345,0.37336
16,ball,1,ball,,,0.8313,493,495,577,578,535.0,536.5,,,,,0,0,,,
17,player,1,player,away,1.0,0.8769,601,166,905,650,753.0,650.0,,,,,0,0,0.71627,0.70178,0.28767
17,player,2,player,home,1.0,0.87203,203,110,511,563,357.0,563.0,,,,,0,0,0.54779,0.3179,0.37374
17,ball,1,ball,,,0.84475,474,493,558,577,516.0,535.0,,,,,0,0,,,
18,player,1,player,away,1.0,0.88123,603,166,898,650,750.5,650.0,,,,,0,0,0.71613,0.70361,0.2827
18,player,2,player,home,1.0,0.87671,189,109,495,566,342.0,566.0,,,,,0,0,0.54871,0.33181,0.36792
18,ball,1,ball,,,0.90225,453,495,535,576,494.0,535.5,,,,,0,0,,,
19,player,1,player,away,1.0,0.85161,591,160,883,645,737.0,645.0,,,,,0,0,0.73286,0.72097,0.27569
19,player,2,player,home,1.0,0.84155,198,119,487,566,342.5,566.0,,,,,0,0,0.54397,0.29243,0.39733
19,ball,1,ball,,,0.88101,431,496,512,575,471.5,535.5,,,,,0,0,,,
20,player,1,player,away,1.0,0.88054,586,146,887,642,736.5,642.0,,,,,0,0,0.71441,0.69889,0.27774
20,player,2,player,home,1.0,0.85687,209,125,483,568,346.0,568.0,,,,,0,0,0.52768,0.29055,0.4204
20,ball,1,ball,,,0.8637,414,500,491,576,452.5,538.0,,,,,0,0,,,
21,player,1,player,away,1.0,0.88844,587,142,889,639,738.0,639.0,,,,,0,0,0.7099,0.69526,0.28317
21,player,2,player,home,1.0,0.84495,206,125,473,570,339.5,570.0,,,,,0,0,0.5346,0.28766,0.4106
21,ball,1,ball,,,0.87705,400,501,476,577,438.0,539.0,,,,,0,0,,,
22,player,1,player,away,1.0,0.88911,598,153,892,642,745.0,642.0,,,,,0,0,0.72873,0.71636,0.28159
22,player,2,player,home,1.0,0.86204,213,119,489,580,351.0,580.0,,,,,0,0,0.53726,0.29423,0.40079
22,ball,1,ball,,,0.8209,395,505,473,581,434.0,543.0,,,,,0,0,,,
23,player,1,player,away,1.0,0.87369,615,159,903,643,759.0,643.0,,,,,0,0,0.78083,0.7619,0.27787
23,player,2,player,home,1.0,0.86048,221,127,493,583,357.0,583.0,,,,,0,0,0.53013,0.31119,0.3842
23,ball,1,ball,,,0.89198,383,511,459,585,421.0,548.0,,,,,0,0,,,
24,player,1,player,away,1.0,0.8662,635,166,916,635,775.5,635.0,,,,,0,0,0.8208,0.79372,0.27408
24,player,2,player,home,1.0,0.86732,223,135,487,584,355.0,584.0,,,,,0,0,0.52538,0.32961,0.40076
24,ball,1,ball,,,0.86888,377,512,452,586,414.5,549.0,,,,,0,0,,,
25,player,1,player,away,1.0,0.84785,666,176,944,629,805.0,629.0,,,,,0,0,0.83261,0.79592,0.27699
25,player,2,player,home,1.0,0.87142,244,141,499,583,371.5,583.0,,,,,0,0,0.52059,0.31263,0.39052
25,ball,1,ball,,,0.87223,373,515,449,590,411.0,552.5,,,,,0,0,,,
26,player,1,player,away,1.0,0.87693,693,190,972,632,832.5,632.0,,,,,0,0,0.83595,0.81553,0.27812
26,player,2,player,home,1.0,0.85968,247,134,498,583,372.5,583.0,,,,,0,0,0.52436,0.31623,0.39211
26,ball,1,ball,,,0.85544,371,520,446,594,408.5,557.0,,,,,0,0,,,
27,player,1,player,away,1.0,0.88321,710,205,988,636,849.0,636.0,,,,,0,0,0.82762,0.81334,0.28242
