second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0
1,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0
2,2.0,4.36,6.92,9356.8734,2106.4742,9735.8494,2926.525,1688.0262,1543.3021,2089.8673,2373.4705,3117.933,2175.6179,4975760.9947,6339278.4107,907.3997,0.591075,,,,,,,,,,0,0
3,3.0,5.88,9.08,9929.9643,2556.1886,10100.3927,2781.3888,1797.3813,1515.7857,1462.2226,2123.1894,3758.5344,2243.9602,4066631.0098,5883671.1493,559.6446,0.527161,109.355097,27.516426,627.644725,250.281148,347.755102,0.063914,-0.950047,,,0,0
4,4.0,4.84,7.56,10906.6161,2991.3181,10864.6507,2525.6949,1102.7163,935.1618,701.1773,1339.2373,2032.052,1656.9115,777111.7105,2055965.1605,568.0733,0.314708,402.010045,304.070161,694.345019,517.11659,178.091888,0.138183,0.569022,,,0,0
5,5.0,3.88,4.04,11251.4544,3712.8238,11520.2721,3197.3918,650.1627,422.4117,168.117,482.2713,1339.6906,744.1037,102574.5434,180870.3188,593.489,0.208477,418.857894,373.63015,640.583437,630.399732,127.199835,0.127533,0.551161,,,0,0
6,6.0,2.0,2.12,10925.3578,4493.9161,11460.8737,3728.7346,275.7656,197.9565,335.343,167.7307,266.0063,281.303,0.0,15994.1813,943.8027,0.018895,407.742702,336.336394,522.244082,551.434955,182.978312,0.143045,0.330987,,,0,0
7,7.0,1.84,1.88,10289.8256,4619.9795,10961.481,3850.8765,520.3065,237.1238,805.7472,290.4014,233.2407,238.2151,2555.7327,0.0,1074.1987,0.131119,375.102349,276.902566,511.876093,465.682097,172.461837,0.136881,-0.034614,,,0,0
8,8.0,0.96,0.48,9188.8405,6317.1283,10725.124,3984.0327,0.0,273.1657,0.0,403.0825,0.0,168.7858,0.0,0.0,882.091,0.0,399.303042,236.759125,560.854609,406.848606,175.736141,0.135921,-0.031165,,,0,0
9,9.0,1.0,0.0,8891.5752,6762.6708,,,0.0,,0.0,,0.0,,0.0,,,0.0,342.259751,236.759125,480.732522,406.848606,175.736141,0.116503,-0.435342,,,0,0
