frame_index,row_type,track_id,team_label,field_x_cm,field_y_cm,map_x,map_y,source_x,source_y
55,player,-1,unassigned,8048.9561,88.3861,236.6878,16.5885,60.5,237.0
55,player,-1,unassigned,10410.1074,3862.6677,302.013,127.121,1061.0,339.0
55,player,-1,unassigned,9271.209,4204.1221,270.5034,137.1207,770.5,381.0
55,player,-1,unassigned,7800.2095,3273.7344,229.8058,109.8736,246.0,348.0
55,player,-1,unassigned,8339.2393,1823.0354,244.719,67.3889,219.5,281.0
55,player,-1,unassigned,9339.9219,1912.1543,272.4045,69.9988,419.5,268.0
55,player,-1,unassigned,9238.3447,3363.7739,269.5942,112.5105,597.0,331.0
55,player,-1,unassigned,10186.8311,1056.2943,295.8357,44.9343,489.5,227.0
55,player,-1,unassigned,10095.333,882.0764,293.3042,39.8322,452.5,224.0
55,player,-1,unassigned,10652.29,3319.9414,308.7134,111.2269,994.5,303.0
55,player,-1,unassigned,10167.8154,4618.896,295.3096,149.2677,1213.5,399.0
55,player,-1,unassigned,10628.1885,3849.9822,308.0465,126.7495,1134.5,334.0
55,player,-1,unassigned,9498.5391,3132.3816,276.7929,105.734,625.5,315.0
55,player,-1,unassigned,10273.6709,4408.3965,298.2382,143.103,1182.0,380.0
56,player,16,home,8059.0503,51.0986,236.9671,15.4965,60.0,236.0
56,player,17,home,10413.6719,3847.927,302.1116,126.6893,1058.0,338.0
56,player,18,away,9307.9932,4139.4868,271.5211,135.2278,767.5,376.0
56,player,19,away,7808.9297,3235.2964,230.0471,108.748,244.0,346.0
56,player,20,home,8350.3398,1768.2654,245.0261,65.7849,217.0,279.0
56,player,21,away,9343.7725,1914.0569,272.511,70.0545,420.5,268.0
56,player,22,home,9247.8838,3366.7839,269.8581,112.5987,600.0,331.0
56,player,23,away,10202.5664,1029.8335,296.271,44.1594,489.5,226.0
56,player,24,home,10107.4258,851.8673,293.6388,38.9475,451.5,223.0
56,player,25,away,10658.0195,3302.957,308.8719,110.7295,992.0,302.0
56,player,26,away,10207.0645,4567.2876,296.3954,147.7563,1211.0,394.0
56,player,27,away,10634.4385,3836.1218,308.2195,126.3436,1132.5,333.0
56,player,28,away,9544.3408,3065.5613,278.0601,103.7772,626.0,311.0
56,player,29,away,10291.2568,4386.6865,298.7248,142.4672,1181.5,378.0
