track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
26,away,0.9733,150,56,205,0.7884,3071.3467,150,"0.7642,0.7336,0.2596"
30,home,1.0,133,61,193,0.8001,3807.985,133,"0.4945,0.3304,0.4725"
29,away,0.8333,126,56,205,0.7647,2820.8413,126,"0.8311,0.4571,0.4155"
48,home,1.0,114,92,205,0.8451,4230.693,114,"0.4230,0.3376,0.4834"
27,away,0.9897,97,56,152,0.7732,2843.3814,97,"0.7491,0.7157,0.2922"
17,home,1.0,94,56,149,0.7798,2870.617,94,"0.4931,0.4130,0.5503"
22,home,0.9451,91,56,146,0.781,3354.1758,91,"0.5201,0.4076,0.5070"
25,away,1.0,84,56,144,0.7384,2811.7857,84,"0.8316,0.8168,0.2775"
34,away,1.0,71,64,134,0.8099,2720.3521,71,"0.7597,0.7400,0.3085"
18,away,1.0,70,56,125,0.8225,3112.4714,70,"0.7939,0.7638,0.3155"
23,away,1.0,66,56,121,0.8078,2387.5606,66,"0.7924,0.7926,0.2713"
24,home,1.0,62,56,118,0.7391,1584.871,62,"0.5137,0.3898,0.4934"
21,away,1.0,61,56,116,0.8083,2545.6885,61,"0.7285,0.7234,0.3169"
1,away,1.0,55,0,54,0.88,138705.5818,0,"0.8061,0.7861,0.2409"
2,home,1.0,55,0,54,0.8716,123015.6364,0,"0.5011,0.2964,0.4073"
20,home,1.0,46,56,101,0.7941,2548.087,46,"0.4206,0.4443,0.4031"
16,home,1.0,44,56,99,0.8185,2336.0455,34,"0.4933,0.4089,0.4444"
69,home,1.0,43,207,249,0.7554,509143.8605,43,"0.6015,0.4512,0.4566"
19,away,1.0,42,56,97,0.8384,3140.8333,42,"0.8030,0.8063,0.3075"
32,away,1.0,19,63,81,0.7835,1295.7895,19,"0.8747,0.5333,0.4623"
13,home,0.5556,18,37,54,0.789,43841.8889,0,"0.4990,0.5184,0.3029"
28,away,0.625,8,56,69,0.6665,1928.75,8,"0.7002,0.6269,0.3954"
38,away,1.0,8,71,80,0.4944,1024.0,8,"0.7166,0.6979,0.5068"
64,home,1.0,2,179,181,0.5328,2251.0,2,"0.4493,0.2532,0.3665"
