frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
0,player,1,player,home,1.0,0.85881,479,575,545,703,512.0,703.0,4155.1797,3173.5747,128.96,106.9404,7,4,0.35613,0.39784,0.57344
0,player,2,player,home,1.0,0.84136,842,387,886,480,864.0,480.0,4410.2158,3284.3286,136.016,110.1839,7,4,0.35355,0.39988,0.59693
0,player,3,player,home,1.0,0.84094,785,239,827,310,806.0,310.0,4476.8589,3321.6885,137.8598,111.278,7,4,0.36942,0.39934,0.57741
0,player,4,player,home,1.0,0.83496,1222,268,1262,351,1242.0,351.0,4465.1504,3305.3745,137.5358,110.8003,7,4,0.3505,0.40214,0.58926
0,player,5,player,away,0.9707,0.83228,335,349,396,437,365.5,437.0,4336.3521,3293.8,133.9724,110.4613,7,4,0.39852,0.32388,0.35122
0,player,6,player,home,1.0,0.83001,131,322,179,411,155.0,411.0,3878.1414,3387.0732,121.2952,113.1929,7,4,0.4066,0.45732,0.62065
0,player,7,player,home,0.6632,0.82718,324,250,357,319,340.5,319.0,4472.79,3369.531,137.7472,112.6791,7,4,0.41698,0.34994,0.387
0,player,8,player,away,0.975,0.81731,92,336,150,430,121.0,430.0,314.5123,3450.0415,22.7015,115.0369,7,4,0.46049,0.46158,0.41966
0,player,9,player,away,1.0,0.81584,920,372,962,468,941.0,468.0,4420.5474,3287.5132,136.3018,110.2772,7,4,0.48391,0.43814,0.41461
0,player,10,player,home,1.0,0.81361,459,241,493,309,476.0,309.0,4480.5723,3346.4314,137.9625,112.0026,7,4,0.37108,0.41447,0.57923
0,player,11,player,home,1.0,0.80408,975,231,1009,300,992.0,300.0,4479.3613,3317.5454,137.929,111.1567,7,4,0.38459,0.41932,0.59964
0,player,12,player,home,1.0,0.77207,557,199,587,255,572.0,255.0,4511.0518,3352.4641,138.8058,112.1793,7,4,0.34781,0.39842,0.56068
0,player,13,player,away,0.7355,0.77148,585,239,613,296,599.0,296.0,4486.2212,3337.4189,138.1188,111.7387,7,4,0.47061,0.40166,0.45518
1,player,1,player,home,1.0,0.85843,481,574,547,702,514.0,702.0,4157.9639,3174.762,129.037,106.9752,7,4,0.36398,0.40431,0.58276
1,player,2,player,home,1.0,0.83938,843,385,888,479,865.5,479.0,4410.7485,3284.562,136.0307,110.1907,7,4,0.3573,0.40176,0.60459
1,player,3,player,home,1.0,0.83939,787,239,829,310,808.0,310.0,4476.8491,3321.6094,137.8595,111.2757,7,4,0.38316,0.4168,0.57036
1,player,4,player,home,1.0,0.83469,1224,268,1263,351,1243.5,351.0,4465.1611,3305.3586,137.5361,110.7998,7,4,0.34968,0.40217,0.5767
1,player,5,player,away,0.9707,0.83554,338,349,398,435,368.0,435.0,4340.1782,3295.0427,134.0783,110.4977,7,4,0.42792,0.3456,0.37223
1,player,6,player,home,1.0,0.81335,127,321,175,409,151.0,409.0,3839.7798,3402.9531,120.2339,113.6579,7,4,0.40444,0.45295,0.6272
1,player,7,player,home,0.6632,0.82849,324,250,357,319,340.5,319.0,4472.79,3369.531,137.7472,112.6791,7,4,0.41717,0.34677,0.39085
1,player,8,player,away,0.975,0.81455,90,338,146,430,118.0,430.0,,,,,7,4,0.45717,0.43987,0.41575
1,player,9,player,away,1.0,0.82065,924,372,966,469,945.0,469.0,4420.4404,3287.3484,136.2989,110.2723,7,4,0.48994,0.44413,0.42305
1,player,10,player,home,1.0,0.81005,459,241,493,309,476.0,309.0,4480.5723,3346.4314,137.9625,112.0026,7,4,0.37524,0.41821,0.58271
1,player,11,player,home,1.0,0.80729,976,230,1011,299,993.5,299.0,4479.6719,3317.6758,137.9376,111.1605,7,4,0.38278,0.41602,0.59372
1,player,12,player,home,1.0,0.77854,559,199,588,254,573.5,254.0,4511.5146,3352.585,138.8186,112.1828,7,4,0.35379,0.40078,0.56648
1,player,13,player,away,0.7355,0.77589,587,239,615,295,601.0,295.0,4486.7344,3337.541,138.133,111.7423,7,4,0.4644,0.39424,0.44487
2,player,1,player,home,1.0,0.86243,483,573,548,700,515.5,700.0,4161.2466,3176.2737,129.1278,107.0194,7,4,0.35998,0.40185,0.58167
2,player,2,player,home,1.0,0.84123,844,384,888,478,866.0,478.0,4411.1953,3284.7827,136.0431,110.1972,7,4,0.35365,0.39819,0.60409
2,player,3,player,home,1.0,0.83914,789,239,831,310,810.0,310.0,4476.8398,3321.5308,137.8592,111.2734,7,4,0.38322,0.41993,0.56534
2,player,4,player,home,1.0,0.83653,1226,267,1265,350,1245.5,350.0,4465.4302,3305.4741,137.5436,110.8032,7,4,0.34029,0.39228,0.57026
2,player,5,player,away,0.9707,0.83861,339,348,399,434,369.0,434.0,4341.9302,3295.6558,134.1267,110.5156,7,4,0.41251,0.33818,0.36406
2,player,6,player,home,1.0,0.8243,125,319,174,408,149.5,408.0,3826.114,3410.5117,119.8558,113.8793,7,4,0.40437,0.45221,0.63167
2,player,7,player,home,0.6632,0.83023,324,250,357,318,340.5,318.0,4473.9658,3370.1182,137.7797,112.6963,7,4,0.42297,0.35381,0.39527
2,player,8,player,away,0.975,0.8132,84,339,139,428,111.5,428.0,,,,,7,4,0.46042,0.41519,0.41941
2,player,9,player,away,1.0,0.8265,927,372,970,470,948.5,470.0,4420.3027,3287.1812,136.295,110.2674,7,4,0.45762,0.42522,0.41858
2,player,10,player,home,1.0,0.81232,459,241,493,309,476.0,309.0,4480.5723,3346.4314,137.9625,112.0026,7,4,0.36945,0.41239,0.58041
2,player,11,player,home,1.0,0.81385,977,230,1012,298,994.5,298.0,4479.9849,3317.8193,137.9462,111.1647,7,4,0.37187,0.40624,0.58569
2,player,12,player,home,1.0,0.78786,560,199,589,254,574.5,254.0,4511.437,3352.4646,138.8164,112.1793,7,4,0.35239,0.40019,0.55982
2,player,13,player,away,0.7355,0.77611,588,238,617,296,602.5,296.0,4486.1338,3337.1182,138.1164,111.7299,7,4,0.46776,0.40665,0.44925
3,player,1,player,home,1.0,0.86192,486,571,550,697,518.0,697.0,4166.3213,3178.592,129.2682,107.0873,7,4,0.35577,0.4017,0.57919
3,player,2,player,home,1.0,0.8447,845,383,889,477,867.0,477.0,4411.6831,3285.0088,136.0566,110.2038,7,4,0.35384,0.39813,0.59974
3,player,3,player,home,1.0,0.83135,791,238,833,310,812.0,310.0,4476.8301,3321.4524,137.859,111.2711,7,4,0.38308,0.41579,0.56687
3,player,4,player,home,1.0,0.83614,1227,267,1267,350,1247.0,350.0,4465.4404,3305.4583,137.5439,110.8027,7,4,0.33212,0.38149,0.57242
3,player,5,player,away,0.9707,0.83987,340,346,401,434,370.5,434.0,4342.6987,3295.6423,134.148,110.5152,7,4,0.41837,0.33908,0.36803
3,player,6,player,home,1.0,0.82922,124,317,172,407,148.0,407.0,3811.5159,3418.5857,119.4519,114.1157,7,4,0.40075,0.44833,0.63056
3,player,7,player,home,0.6632,0.82695,324,250,357,318,340.5,318.0,4473.9658,3370.1182,137.7797,112.6963,7,4,0.42123,0.35147,0.39459
3,player,8,player,away,0.975,0.82061,76,341,132,431,104.0,431.0,7952.2798,3180.3235,234.0131,107.138,7,4,0.4577,0.42882,0.43915
3,player,9,player,away,1.0,0.81732,930,372,973,471,951.5,471.0,4420.1338,3287.0117,136.2904,110.2625,7,4,0.4514,0.41755,0.40424
3,player,10,player,home,1.0,0.81012,460,241,494,309,477.0,309.0,4480.5537,3346.2935,137.962,111.9986,7,4,0.37285,0.41659,0.58143
3,player,11,player,home,1.0,0.81476,979,229,1013,298,996.0,298.0,4479.9736,3317.7788,137.9459,111.1635,7,4,0.37923,0.41162,0.59943
3,player,12,player,home,1.0,0.79184,561,199,590,253,575.5,253.0,4511.9346,3352.6448,138.8302,112.1846,7,4,0.3562,0.40159,0.56213
3,player,13,player,away,0.7355,0.78019,589,238,618,296,603.5,296.0,4486.1089,3337.033,138.1157,111.7274,7,4,0.46606,0.40729,0.44438
4,player,1,player,home,1.0,0.85183,488,570,552,695,520.0,695.0,4169.9385,3180.2207,129.3683,107.135,7,4,0.35291,0.3977,0.57848
4,player,2,player,home,1.0,0.84179,845,381,890,476,867.5,476.0,4412.1279,3285.2285,136.0689,110.2103,7,4,0.34659,0.39006,0.59932
4,player,3,player,home,1.0,0.81921,794,238,835,309,814.5,309.0,4477.2192,3321.5676,137.8697,111.2745,7,4,0.39243,0.4254,0.57453
4,player,4,player,home,1.0,0.83592,1230,267,1269,350,1249.5,350.0,4465.458,3305.4319,137.5443,110.8019,7,4,0.33432,0.3839,0.57448
4,player,5,player,away,0.9707,0.84689,340,345,402,433,371.0,433.0,4344.1709,3296.252,134.1887,110.5331,7,4,0.42737,0.35272,0.37423
4,player,6,player,home,1.0,0.84043,122,316,171,406,146.5,406.0,3795.8872,3427.23,119.0195,114.3689,7,4,0.39058,0.43842,0.61948
4,player,7,player,home,0.6632,0.82337,324,250,356,318,340.0,318.0,4473.9673,3370.2739,137.7798,112.7009,7,4,0.41652,0.34675,0.39037
4,player,8,player,away,0.975,0.81475,70,344,126,433,98.0,433.0,6585.5117,3246.0518,196.1992,109.0629,7,4,0.45711,0.4249,0.44271
4,player,9,player,away,1.0,0.8289,933,373,976,472,954.5,472.0,4419.9663,3286.8433,136.2857,110.2576,7,4,0.45509,0.42081,0.40047
4,player,10,player,home,1.0,0.81028,460,241,494,309,477.0,309.0,4480.5537,3346.2935,137.962,111.9986,7,4,0.37249,0.41598,0.58085
4,player,11,player,home,1.0,0.81242,981,228,1015,297,998.0,297.0,4480.2778,3317.8948,137.9544,111.1669,7,4,0.37637,0.41336,0.59284
4,player,12,player,home,1.0,0.78293,562,197,592,253,577.0,253.0,4511.8179,3352.4651,138.827,112.1793,7,4,0.35165,0.40136,0.5611
4,player,13,player,away,0.7355,0.78316,592,238,620,295,606.0,295.0,4486.6055,3337.1133,138.1294,111.7297,7,4,0.45559,0.39093,0.43338
5,player,1,player,home,1.0,0.85166,492,568,555,692,523.5,692.0,4175.6855,3182.7764,129.5273,107.2099,7,4,0.35347,0.39566,0.57919
5,player,2,player,home,1.0,0.83584,846,380,891,476,868.5,476.0,4412.21,3285.2395,136.0711,110.2106,7,4,0.35327,0.39726,0.60325
5,player,3,player,home,1.0,0.81551,797,237,838,308,817.5,308.0,4477.6025,3321.6624,137.8803,111.2773,7,4,0.4048,0.44148,0.55102
5,player,4,player,home,1.0,0.8329,1232,268,1272,350,1252.0,350.0,4465.4751,3305.4058,137.5448,110.8012,7,4,0.33696,0.38556,0.57983
5,player,5,player,away,0.9707,0.84932,341,344,403,433,372.0,433.0,4344.6714,3296.2407,134.2026,110.5328,7,4,0.432,0.35501,0.38072
5,player,6,player,home,1.0,0.84003,122,315,169,404,145.5,404.0,3799.7222,3438.1792,119.1256,114.6895,7,4,0.40713,0.45612,0.62168
5,player,7,player,home,0.6632,0.82376,324,250,356,317,340.0,317.0,4475.1436,3370.8611,137.8123,112.7181,7,4,0.41508,0.34154,0.39037
5,player,8,player,away,0.975,0.83635,63,343,120,435,91.5,435.0,5970.71,3274.417,179.1896,109.8936,7,4,0.45447,0.40062,0.4333
5,player,9,player,away,1.0,0.83875,936,373,980,472,958.0,472.0,4420.1895,3286.8704,136.2919,110.2583,7,4,0.43839,0.39824,0.38791
5,player,10,player,home,1.0,0.80675,460,240,494,308,477.0,308.0,4481.3042,3346.6804,137.9827,112.0099,7,4,0.38094,0.42484,0.58561
5,player,11,player,home,1.0,0.80939,982,228,1016,297,999.0,297.0,4480.27,3317.8677,137.9541,111.1661,7,4,0.37342,0.41017,0.58867
5,player,12,player,home,1.0,0.76955,563,197,593,253,578.0,253.0,4511.7407,3352.3459,138.8248,112.1758,7,4,0.35304,0.39977,0.56345
5,player,13,player,away,0.7355,0.78062,594,239,621,294,607.5,294.0,4487.123,3337.2773,138.1437,111.7346,7,4,0.43524,0.35637,0.41389
6,player,1,player,home,1.0,0.84876,494,566,558,691,526.0,691.0,4178.6479,3184.0144,129.6093,107.2461,7,4,0.34534,0.38764,0.57216
6,player,2,player,home,1.0,0.83462,847,379,892,476,869.5,476.0,4412.292,3285.2502,136.0734,110.2109,7,4,0.34992,0.39751,0.60171
6,player,3,player,home,1.0,0.80282,800,237,841,308,820.5,308.0,4477.5854,3321.5459,137.8799,111.2738,7,4,0.40314,0.43931,0.55514
6,player,4,player,home,1.0,0.83309,1234,267,1274,350,1254.0,350.0,4465.4888,3305.385,137.5452,110.8006,7,4,0.33996,0.38959,0.58422
6,player,5,player,away,0.9707,0.85044,342,343,404,433,373.0,433.0,4345.168,3296.2297,134.2163,110.5324,7,4,0.42211,0.34355,0.37085
6,player,6,player,home,1.0,0.84102,122,316,168,402,145.0,402.0,3812.8167,3447.3933,119.4879,114.9594,7,4,0.408,0.45792,0.62318
6,player,7,player,home,0.6632,0.82576,324,251,356,317,340.0,317.0,4475.1436,3370.8611,137.8123,112.7181,7,4,0.40558,0.33629,0.37928
6,player,8,player,away,0.975,0.82842,55,342,113,435,84.0,435.0,5597.5542,3279.1372,168.8657,110.0319,7,4,0.45577,0.38087,0.41079
6,player,9,player,away,1.0,0.84014,939,374,982,472,960.5,472.0,4420.3481,3286.8896,136.2963,110.2589,7,4,0.43478,0.39284,0.3857
6,player,10,player,home,1.0,0.80816,460,240,494,308,477.0,308.0,4481.3042,3346.6804,137.9827,112.0099,7,4,0.37853,0.4226,0.58293
6,player,11,player,home,1.0,0.81991,982,228,1017,297,999.5,297.0,4480.2666,3317.8542,137.954,111.1657,7,4,0.37256,0.40741,0.59592
6,player,12,player,home,1.0,0.7528,565,197,594,253,579.5,253.0,4511.625,3352.168,138.8216,112.1706,7,4,0.35307,0.40196,0.55752
6,player,13,player,away,0.7355,0.80135,597,240,624,293,610.5,293.0,4487.5962,3337.3137,138.1568,111.7356,7,4,0.43941,0.37193,0.41985
6,ball,-1,ball,,,0.21214,808,293,820,306,814.0,299.5,4481.0239,3323.6008,137.975,111.334,7,4,,,
7,player,1,player,home,1.0,0.84985,497,565,560,691,528.5,691.0,4180.6431,3184.7544,129.6645,107.2678,7,4,0.34684,0.3874,0.57918
7,player,2,player,home,1.0,0.83473,847,379,892,476,869.5,476.0,4412.292,3285.2502,136.0734,110.2109,7,4,0.35219,0.3992,0.60789
7,player,3,player,home,1.0,0.79046,805,238,844,308,824.5,308.0,4477.5625,3321.3921,137.8792,111.2693,7,4,0.3887,0.41595,0.55682
7,player,4,player,home,1.0,0.83194,1235,268,1275,350,1255.0,350.0,4465.4956,3305.3745,137.5454,110.8003,7,4,0.34194,0.39213,0.58204
7,player,5,player,away,0.9707,0.85145,343,343,404,433,373.5,433.0,4345.4146,3296.2241,134.2231,110.5323,7,4,0.40929,0.33261,0.35496
7,player,6,player,home,1.0,0.84612,121,316,167,402,144.0,402.0,3794.3169,3451.707,118.9761,115.0857,7,4,0.40835,0.45776,0.62351
