second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,9.0,3.76,4355.0437,3339.1335,4547.1594,3306.0918,284.4779,365.9799,403.535,639.362,135.5318,46.3831,105789.5784,22197.5231,274.4623,0.096511,,,,,,,,,,0,0
1,1.0,8.84,3.48,4586.3947,3273.9975,4599.9497,3364.139,758.1909,211.6833,533.6426,356.4691,337.5386,115.9228,281549.0945,7525.8023,239.8757,0.103444,473.713013,154.296684,130.107529,282.8929,34.586599,0.006933,-0.980427,,,0,0
2,2.0,9.4,3.88,4555.4622,3266.9122,5090.2864,3528.3721,277.5173,1132.7391,204.7301,1782.2548,217.6571,594.8984,109303.0169,44725.4491,610.598,0.073733,477.193328,537.676267,229.51002,854.339321,202.654434,0.018322,0.350273,,,0,0
3,3.0,7.6,3.48,6390.2961,2848.4053,6149.6862,3306.6318,1165.385,1214.5955,900.9227,920.5807,1907.6341,1737.3745,1812875.3312,969132.0001,643.8615,0.28977,614.084801,385.736319,385.070885,856.784268,146.190775,0.084227,0.735284,,,0,0
4,4.0,7.24,3.84,6464.3877,2201.1265,6289.178,2917.3429,2052.4962,1724.4666,2080.4226,1639.5047,4235.1945,3034.7091,6191427.7662,3633168.222,747.3601,0.527192,682.341391,416.769996,583.678149,822.319207,135.517727,0.122526,1.226348,,,0,0
5,5.0,7.88,3.28,6222.4311,1991.7174,5686.4148,3228.2191,2015.6481,1614.9158,1974.8488,1144.1821,4235.4851,2851.5053,5930822.4975,2487567.565,1362.421,0.530375,553.242741,355.326146,488.057285,756.919885,231.426363,0.098657,0.865682,,,0,0
6,6.0,6.0,3.32,6394.571,1941.4605,5925.6095,2902.1431,1664.0411,1767.5788,1205.4428,1297.7423,3342.6503,3126.7312,3615853.7418,2696771.681,1080.8761,0.520378,519.636773,321.548956,534.94873,656.35993,239.779441,0.08388,0.709355,,,0,0
7,7.0,9.2,4.28,6651.3287,1895.9276,6487.572,3282.1664,1563.2548,2337.0014,1393.8429,1431.5888,3104.2752,4639.5959,3936631.6854,5715987.2324,1414.7991,0.495749,459.800991,356.959478,485.441772,581.715155,253.228519,0.075416,0.545344,,,0,0
8,8.0,8.84,3.48,5214.6995,2266.7733,5224.3133,2213.692,493.4985,177.663,393.3973,233.7167,757.744,176.9177,120189.4572,14287.9164,191.1076,0.151771,536.045412,582.256844,549.817241,658.734772,374.536397,0.108986,1.374391,,,0,0
9,9.0,9.6,4.16,4686.1067,3389.1349,4683.4013,3383.1592,38.2274,17.9121,35.3746,32.5372,37.6214,19.3884,3763.0459,392.1006,6.6772,0.0,527.070488,535.311743,528.50674,607.895298,353.413505,0.11374,1.232625,,,0,0
10,10.0,9.92,4.64,4678.4223,3421.5606,4682.1215,3385.1087,140.7835,19.324,48.739,36.2785,86.1143,20.7653,49179.5476,506.6914,37.428,0.059196,484.619052,481.92176,476.992504,547.479905,321.14723,0.108286,0.937209,,,0,0
11,11.0,9.44,4.04,4713.8242,3368.5434,4680.8813,3384.9154,300.4433,19.3402,162.4933,37.1513,153.4452,17.797,128910.4965,469.1068,108.2233,0.055927,453.213729,466.493717,475.357185,519.277891,324.768105,0.107919,0.861827,,,0,0
12,12.0,6.4,3.24,4652.5303,3314.6253,4682.9318,3384.0043,377.6096,21.6094,191.9605,36.5468,307.0979,22.1148,9402.896,587.3687,138.1805,0.017805,412.862997,374.615046,445.412653,376.759765,290.691593,0.10876,0.510717,,,0,0
13,13.0,1.44,0.0,7297.0285,5151.2954,,,568.2326,,835.6222,,577.1577,,205312.4468,,,0.090974,343.138526,407.143782,440.159564,322.880388,319.294719,0.094474,0.397327,,,0,0
14,14.0,8.04,6.8,5836.7738,3124.7963,5752.0123,3182.4684,590.0007,554.0296,714.0198,757.581,771.6938,818.7366,1117143.9091,1378337.8699,324.3618,0.271895,256.604218,394.302877,334.369814,273.374933,346.269236,0.088823,0.127617,,,0,0
15,15.0,6.96,8.4,6668.471,1958.4196,6034.5648,2655.2184,1316.3285,1252.81,1588.9707,1590.9511,2429.089,2648.0236,4117115.973,4660623.0202,959.2286,0.528635,325.552183,467.956584,411.307527,315.630866,348.744977,0.114179,0.54259,,,0,0
16,16.0,7.0,8.2,6218.9123,1929.6788,5534.5259,2739.246,1266.233,1175.6585,1517.4759,1275.7438,2282.2989,2665.7317,3803718.1594,3738974.4721,1061.0274,0.515689,295.401038,458.517648,341.516416,335.83676,326.276724,0.114474,0.395645,,,0,0
17,17.0,6.32,8.0,5898.7255,1973.3932,5258.3433,2667.6163,1105.3554,1148.4614,1414.214,1196.066,1956.2425,2578.2384,1947049.3442,3352532.0197,955.1583,0.484855,301.410172,390.739461,333.002601,329.065663,297.769983,0.115095,0.266333,,,0,0
18,18.0,5.96,8.0,5721.7596,1609.9901,5117.5248,2920.9096,556.1925,1416.8622,916.6655,861.9271,745.6854,3162.8326,539082.1359,1807480.7164,1462.4609,0.386172,249.350825,154.372267,282.712896,221.099013,208.221365,0.090565,-0.467551,,,0,0
19,19.0,4.36,8.0,5136.7201,3310.882,5024.2218,3455.0128,323.7665,101.6744,428.5265,108.5164,347.0214,155.1119,24109.0352,22461.1431,188.7059,0.199615,227.066315,298.801872,295.724529,290.127912,344.386946,0.094044,-0.034991,,,0,0
20,20.0,4.0,7.6,3037.9466,2843.208,2966.1284,2850.4004,190.81,731.74,166.8075,429.1989,318.832,1112.1442,28219.8287,468641.6046,234.0652,0.236246,230.106349,377.383575,320.559994,329.745542,346.213009,0.091787,0.117044,,,0,0
