frame_index,row_type,track_id,team_label,field_x_cm,field_y_cm,map_x,map_y,source_x,source_y
0,player,1,home,4155.1797,3173.5747,128.96,106.9404,512.0,703.0
0,player,2,home,4410.2158,3284.3286,136.016,110.1839,864.0,480.0
0,player,3,home,4476.8589,3321.6885,137.8598,111.278,806.0,310.0
0,player,4,home,4465.1504,3305.3745,137.5358,110.8003,1242.0,351.0
0,player,5,away,4336.3521,3293.8,133.9724,110.4613,365.5,437.0
0,player,6,home,3878.1414,3387.0732,121.2952,113.1929,155.0,411.0
0,player,7,home,4472.79,3369.531,137.7472,112.6791,340.5,319.0
0,player,8,away,314.5123,3450.0415,22.7015,115.0369,121.0,430.0
0,player,9,away,4420.5474,3287.5132,136.3018,110.2772,941.0,468.0
0,player,10,home,4480.5723,3346.4314,137.9625,112.0026,476.0,309.0
0,player,11,home,4479.3613,3317.5454,137.929,111.1567,992.0,300.0
0,player,12,home,4511.0518,3352.4641,138.8058,112.1793,572.0,255.0
0,player,13,away,4486.2212,3337.4189,138.1188,111.7387,599.0,296.0
1,player,1,home,4157.9639,3174.762,129.037,106.9752,514.0,702.0
1,player,2,home,4410.7485,3284.562,136.0307,110.1907,865.5,479.0
1,player,3,home,4476.8491,3321.6094,137.8595,111.2757,808.0,310.0
1,player,4,home,4465.1611,3305.3586,137.5361,110.7998,1243.5,351.0
1,player,5,away,4340.1782,3295.0427,134.0783,110.4977,368.0,435.0
1,player,6,home,3839.7798,3402.9531,120.2339,113.6579,151.0,409.0
1,player,7,home,4472.79,3369.531,137.7472,112.6791,340.5,319.0
1,player,9,away,4420.4404,3287.3484,136.2989,110.2723,945.0,469.0
1,player,10,home,4480.5723,3346.4314,137.9625,112.0026,476.0,309.0
1,player,11,home,4479.6719,3317.6758,137.9376,111.1605,993.5,299.0
1,player,12,home,4511.5146,3352.585,138.8186,112.1828,573.5,254.0
1,player,13,away,4486.7344,3337.541,138.133,111.7423,601.0,295.0
2,player,1,home,4161.2466,3176.2737,129.1278,107.0194,515.5,700.0
2,player,2,home,4411.1953,3284.7827,136.0431,110.1972,866.0,478.0
2,player,3,home,4476.8398,3321.5308,137.8592,111.2734,810.0,310.0
2,player,4,home,4465.4302,3305.4741,137.5436,110.8032,1245.5,350.0
2,player,5,away,4341.9302,3295.6558,134.1267,110.5156,369.0,434.0
2,player,6,home,3826.114,3410.5117,119.8558,113.8793,149.5,408.0
2,player,7,home,4473.9658,3370.1182,137.7797,112.6963,340.5,318.0
2,player,9,away,4420.3027,3287.1812,136.295,110.2674,948.5,470.0
2,player,10,home,4480.5723,3346.4314,137.9625,112.0026,476.0,309.0
2,player,11,home,4479.9849,3317.8193,137.9462,111.1647,994.5,298.0
2,player,12,home,4511.437,3352.4646,138.8164,112.1793,574.5,254.0
2,player,13,away,4486.1338,3337.1182,138.1164,111.7299,602.5,296.0
3,player,1,home,4166.3213,3178.592,129.2682,107.0873,518.0,697.0
3,player,2,home,4411.6831,3285.0088,136.0566,110.2038,867.0,477.0
3,player,3,home,4476.8301,3321.4524,137.859,111.2711,812.0,310.0
3,player,4,home,4465.4404,3305.4583,137.5439,110.8027,1247.0,350.0
3,player,5,away,4342.6987,3295.6423,134.148,110.5152,370.5,434.0
3,player,6,home,3811.5159,3418.5857,119.4519,114.1157,148.0,407.0
3,player,7,home,4473.9658,3370.1182,137.7797,112.6963,340.5,318.0
3,player,8,away,7952.2798,3180.3235,234.0131,107.138,104.0,431.0
3,player,9,away,4420.1338,3287.0117,136.2904,110.2625,951.5,471.0
3,player,10,home,4480.5537,3346.2935,137.962,111.9986,477.0,309.0
3,player,11,home,4479.9736,3317.7788,137.9459,111.1635,996.0,298.0
3,player,12,home,4511.9346,3352.6448,138.8302,112.1846,575.5,253.0
3,player,13,away,4486.1089,3337.033,138.1157,111.7274,603.5,296.0
4,player,1,home,4169.9385,3180.2207,129.3683,107.135,520.0,695.0
4,player,2,home,4412.1279,3285.2285,136.0689,110.2103,867.5,476.0
4,player,3,home,4477.2192,3321.5676,137.8697,111.2745,814.5,309.0
4,player,4,home,4465.458,3305.4319,137.5443,110.8019,1249.5,350.0
4,player,5,away,4344.1709,3296.252,134.1887,110.5331,371.0,433.0
4,player,6,home,3795.8872,3427.23,119.0195,114.3689,146.5,406.0
4,player,7,home,4473.9673,3370.2739,137.7798,112.7009,340.0,318.0
4,player,8,away,6585.5117,3246.0518,196.1992,109.0629,98.0,433.0
4,player,9,away,4419.9663,3286.8433,136.2857,110.2576,954.5,472.0
4,player,10,home,4480.5537,3346.2935,137.962,111.9986,477.0,309.0
4,player,11,home,4480.2778,3317.8948,137.9544,111.1669,998.0,297.0
4,player,12,home,4511.8179,3352.4651,138.827,112.1793,577.0,253.0
4,player,13,away,4486.6055,3337.1133,138.1294,111.7297,606.0,295.0
5,player,1,home,4175.6855,3182.7764,129.5273,107.2099,523.5,692.0
5,player,2,home,4412.21,3285.2395,136.0711,110.2106,868.5,476.0
5,player,3,home,4477.6025,3321.6624,137.8803,111.2773,817.5,308.0
5,player,4,home,4465.4751,3305.4058,137.5448,110.8012,1252.0,350.0
5,player,5,away,4344.6714,3296.2407,134.2026,110.5328,372.0,433.0
5,player,6,home,3799.7222,3438.1792,119.1256,114.6895,145.5,404.0
5,player,7,home,4475.1436,3370.8611,137.8123,112.7181,340.0,317.0
5,player,8,away,5970.71,3274.417,179.1896,109.8936,91.5,435.0
5,player,9,away,4420.1895,3286.8704,136.2919,110.2583,958.0,472.0
5,player,10,home,4481.3042,3346.6804,137.9827,112.0099,477.0,308.0
5,player,11,home,4480.27,3317.8677,137.9541,111.1661,999.0,297.0
5,player,12,home,4511.7407,3352.3459,138.8248,112.1758,578.0,253.0
5,player,13,away,4487.123,3337.2773,138.1437,111.7346,607.5,294.0
6,player,1,home,4178.6479,3184.0144,129.6093,107.2461,526.0,691.0
6,player,2,home,4412.292,3285.2502,136.0734,110.2109,869.5,476.0
6,player,3,home,4477.5854,3321.5459,137.8799,111.2738,820.5,308.0
6,player,4,home,4465.4888,3305.385,137.5452,110.8006,1254.0,350.0
6,player,5,away,4345.168,3296.2297,134.2163,110.5324,373.0,433.0
6,player,6,home,3812.8167,3447.3933,119.4879,114.9594,145.0,402.0
6,player,7,home,4475.1436,3370.8611,137.8123,112.7181,340.0,317.0
6,player,8,away,5597.5542,3279.1372,168.8657,110.0319,84.0,435.0
6,player,9,away,4420.3481,3286.8896,136.2963,110.2589,960.5,472.0
6,player,10,home,4481.3042,3346.6804,137.9827,112.0099,477.0,308.0
6,player,11,home,4480.2666,3317.8542,137.954,111.1657,999.5,297.0
6,player,12,home,4511.625,3352.168,138.8216,112.1706,579.5,253.0
6,player,13,away,4487.5962,3337.3137,138.1568,111.7356,610.5,293.0
6,ball,-1,,4481.0239,3323.6008,137.975,111.334,814.0,299.5
7,player,1,home,4180.6431,3184.7544,129.6645,107.2678,528.5,691.0
7,player,2,home,4412.292,3285.2502,136.0734,110.2109,869.5,476.0
7,player,3,home,4477.5625,3321.3921,137.8792,111.2693,824.5,308.0
7,player,4,home,4465.4956,3305.3745,137.5454,110.8003,1255.0,350.0
7,player,5,away,4345.4146,3296.2241,134.2231,110.5323,373.5,433.0
7,player,6,home,3794.3169,3451.707,118.9761,115.0857,144.0,402.0
7,player,7,home,4475.1436,3370.8611,137.8123,112.7181,340.0,317.0
7,player,8,away,5353.4839,3286.4045,162.1131,110.2447,75.5,436.0
7,player,9,away,4420.4741,3286.905,136.2998,110.2594,962.5,472.0
7,player,10,home,4482.0537,3347.0671,138.0035,112.0213,477.0,307.0
7,player,11,home,4480.2627,3317.8408,137.9539,111.1653,1000.0,297.0
7,player,12,home,4511.5869,3352.1089,138.8206,112.1689,580.0,253.0
7,player,13,away,4487.5151,3337.0623,138.1546,111.7283,613.5,293.0
8,player,1,home,4183.5288,3185.9612,129.7443,107.3031,531.0,690.0
8,player,2,home,4412.292,3285.2502,136.0734,110.2109,869.5,476.0
8,player,3,home,4477.5488,3321.2966,137.8789,111.2665,827.0,308.0
8,player,4,home,4465.2505,3305.229,137.5386,110.796,1256.0,351.0
8,player,5,away,4345.6606,3296.2185,134.2299,110.5321,374.0,433.0
8,player,6,home,3754.0247,3461.1023,117.8613,115.3609,142.0,402.0
8,player,7,home,4475.1436,3370.8611,137.8123,112.7181,340.0,317.0
8,player,8,away,5191.7612,3284.2705,157.6387,110.1822,67.0,435.0
8,player,9,away,4420.1816,3286.7234,136.2917,110.254,963.5,473.0
8,player,10,home,4482.0537,3347.0671,138.0035,112.0213,477.0,307.0
8,player,11,home,4480.2588,3317.8274,137.9538,111.1649,1000.5,297.0
8,player,12,home,4511.5483,3352.05,138.8195,112.1672,580.5,253.0
8,player,13,away,4487.4614,3336.8962,138.1531,111.7234,615.5,293.0
9,player,1,home,4185.4639,3186.678,129.7978,107.3241,533.5,690.0
9,player,2,home,4412.3735,3285.2612,136.0757,110.2112,870.5,476.0
9,player,3,home,4477.54,3321.2397,137.8786,111.2649,828.5,308.0
9,player,4,home,4465.5059,3305.3589,137.5457,110.7998,1256.5,350.0
9,player,5,away,4347.104,3296.8181,134.2699,110.5497,374.5,432.0
9,player,6,home,3732.0308,3466.2307,117.2529,115.511,141.0,402.0
9,player,7,home,4476.3184,3371.4475,137.8448,112.7352,340.0,316.0
9,player,8,away,5113.2598,3282.1719,155.4669,110.1207,61.5,434.0
9,player,9,away,4420.2759,3286.7354,136.2943,110.2544,965.0,473.0
9,player,10,home,4482.0649,3347.137,138.0038,112.0233,476.5,307.0
9,player,11,home,4480.2554,3317.814,137.9537,111.1646,1001.0,297.0
9,player,12,home,4511.5483,3352.05,138.8195,112.1672,580.5,253.0
9,player,13,away,4487.4082,3336.7314,138.1516,111.7186,617.5,293.0
10,player,1,home,4219.1118,3201.9756,130.7288,107.7721,536.0,688.0
10,player,2,home,4431.582,3293.376,136.6071,110.4489,870.5,476.0
10,player,3,home,4493.6646,3327.3308,138.3247,111.4433,831.0,308.0
10,player,4,home,4482.3315,3312.3528,138.0112,111.0046,1257.0,350.0
10,player,5,away,4370.4351,3305.1062,134.9154,110.7924,374.5,431.0
10,player,6,home,3793.2952,3469.8535,118.9478,115.6171,139.5,401.0
10,player,7,home,4491.8228,3374.8137,138.2738,112.8338,340.0,316.0
10,player,8,away,5064.4419,3283.6528,154.1162,110.1641,56.5,432.0
10,player,9,away,4439.2275,3294.7656,136.8186,110.4896,966.5,473.0
10,player,10,home,4497.6665,3351.9902,138.4354,112.1654,476.0,307.0
10,player,11,home,4496.6348,3324.325,138.4069,111.3552,1001.0,296.0
10,player,12,home,4526.3398,3356.7324,139.2287,112.3043,581.5,252.0
10,player,13,away,4502.8945,3341.9714,138.5801,111.872,619.0,293.0
11,player,1,home,4220.8872,3202.6235,130.7779,107.7911,538.5,688.0
11,player,2,home,4431.582,3293.376,136.6071,110.4489,870.5,476.0
11,player,3,home,4493.2808,3327.0461,138.3141,111.4349,833.5,309.0
11,player,4,home,4482.3315,3312.3528,138.0112,111.0046,1257.0,350.0
11,player,5,away,4370.6621,3305.0981,134.9217,110.7922,375.0,431.0
11,player,6,home,3761.6438,3484.4565,118.0721,116.0448,137.5,400.0
11,player,7,home,4491.8228,3374.8137,138.2738,112.8338,340.0,316.0
11,player,8,away,5007.0049,3287.9387,152.5271,110.2896,50.0,433.0
11,player,9,away,4439.3174,3294.7764,136.8211,110.4899,968.0,473.0
11,player,10,home,4498.3911,3352.4224,138.4555,112.1781,475.5,306.0
11,player,11,home,4496.6279,3324.2993,138.4067,111.3545,1002.0,296.0
11,player,12,home,4526.8799,3357.0122,139.2437,112.3125,581.5,251.0
11,player,13,away,4502.8589,3341.856,138.5791,111.8686,620.5,293.0
12,player,1,home,4222.439,3203.3181,130.8208,107.8115,539.5,687.0
12,player,2,home,4431.9648,3293.5776,136.6177,110.4548,870.5,475.0
12,player,3,home,4492.9043,3326.8154,138.3037,111.4282,834.5,310.0
12,player,4,home,4482.3345,3312.3479,138.0113,111.0045,1257.5,350.0
12,player,5,away,4372.0181,3305.6562,134.9592,110.8085,375.5,430.0
12,player,6,home,3726.0874,3500.8611,117.0884,116.5252,135.5,399.0
12,player,7,home,4492.9355,3375.365,138.3046,112.85,340.0,315.0
12,player,8,away,4960.1543,3293.6516,151.2309,110.4569,43.0,435.0
12,player,9,away,4439.4067,3294.7874,136.8236,110.4902,969.5,473.0
12,player,10,home,4498.4126,3352.5562,138.4561,112.182,474.5,306.0
12,player,11,home,4496.9297,3324.4592,138.4151,111.3592,1002.0,295.0
12,player,12,home,4527.3823,3357.2358,139.2576,112.319,582.0,250.0
12,player,13,away,4502.8228,3341.741,138.5781,111.8653,622.0,293.0
13,player,1,home,4224.3271,3204.1345,130.8731,107.8354,541.0,686.0
13,player,2,home,4433.1504,3294.187,136.6505,110.4726,871.0,472.0
13,player,3,home,4492.8989,3326.7632,138.3035,111.4266,836.0,310.0
13,player,4,home,4482.3379,3312.343,138.0113,111.0043,1258.0,350.0
13,player,5,away,4375.1421,3306.7419,135.0456,110.8403,377.5,428.0
13,player,6,home,3700.8701,3523.4243,116.3907,117.186,133.5,397.0
13,player,7,home,4492.9355,3375.365,138.3046,112.85,340.0,315.0
13,player,8,away,4925.584,3294.1853,150.2745,110.4726,37.5,435.0
13,player,9,away,4439.5557,3294.8052,136.8277,110.4907,972.0,473.0
13,player,10,home,4499.1289,3352.9226,138.4759,112.1927,474.5,305.0
13,player,11,home,4497.2314,3324.6189,138.4234,111.3638,1002.0,294.0
13,player,12,home,4527.8457,3357.4026,139.2704,112.3239,583.0,249.0
13,player,13,away,4502.7871,3341.6267,138.5771,111.8619,623.5,293.0
14,player,1,home,4225.8569,3204.8191,130.9154,107.8554,542.0,685.0
14,player,2,home,4434.2959,3294.7903,136.6822,110.4903,871.0,469.0
14,player,3,home,4492.895,3326.7288,138.3034,111.4256,837.0,310.0
14,player,4,home,4482.3447,3312.3333,138.0115,111.004,1259.0,350.0
14,player,5,away,4377.7939,3307.8345,135.119,110.8723,378.5,426.0
14,player,6,home,3717.6394,3543.665,116.8547,117.7788,132.5,394.0
14,player,7,home,4494.0391,3375.7651,138.3351,112.8617,340.5,314.0
14,player,8,away,4893.2969,3296.5803,149.3812,110.5427,31.0,436.0
14,player,9,away,4439.7617,3294.8301,136.8334,110.4915,975.5,473.0
14,player,10,home,4499.1523,3353.0581,138.4765,112.1967,473.5,305.0
14,player,11,home,4497.2236,3324.593,138.4232,111.3631,1003.0,294.0
14,player,12,home,4528.3071,3357.5686,139.2832,112.3288,584.0,248.0
14,player,13,away,4502.752,3341.5132,138.5761,111.8586,625.0,293.0
15,player,1,home,4227.875,3205.8086,130.9712,107.8844,542.5,683.0
15,player,2,home,4435.0947,3295.196,136.7043,110.5022,871.5,467.0
15,player,3,home,4492.5176,3326.4651,138.293,111.4179,839.0,311.0
15,player,4,home,4482.5908,3312.4507,138.0183,111.0075,1260.0,349.0
15,player,5,away,4380.0098,3308.9458,135.1803,110.9048,378.5,424.0
15,player,6,home,3656.9216,3562.7468,115.1748,118.3376,130.5,394.0
15,player,7,home,4494.0391,3375.7651,138.3351,112.8617,340.5,314.0
15,player,8,away,4874.2202,3294.9783,148.8534,110.4958,27.5,435.0
15,player,9,away,4440.2993,3295.0308,136.8483,110.4973,979.0,472.0
15,player,10,home,4499.1523,3353.0581,138.4765,112.1967,473.5,305.0
15,player,11,home,4497.5254,3324.7524,138.4315,111.3678,1003.0,293.0
15,player,12,home,4528.3833,3357.6809,139.2853,112.3321,583.0,248.0
15,player,13,away,4503.2388,3341.7034,138.5896,111.8642,626.0,292.0
16,player,1,home,4230.5542,3207.0361,131.0453,107.9203,544.0,681.0
16,player,2,home,4435.4756,3295.3967,136.7148,110.508,871.5,466.0
16,player,3,home,4492.5146,3326.4309,138.2929,111.4169,840.0,311.0
16,player,4,home,4482.5977,3312.4409,138.0185,111.0072,1261.0,349.0
16,player,5,away,4380.4189,3308.916,135.1916,110.904,379.5,424.0
16,player,6,home,3640.3118,3577.6084,114.7153,118.7728,129.5,393.0
16,player,7,home,4495.147,3376.314,138.3657,112.8778,340.5,313.0
16,player,8,away,4865.3677,3295.1147,148.6085,110.4998,25.5,435.0
16,player,9,away,4440.4727,3295.0513,136.8531,110.4979,982.0,472.0
16,player,10,home,4499.8955,3353.562,138.4971,112.2115,472.5,304.0
16,player,11,home,4497.5171,3324.7266,138.4313,111.367,1004.0,293.0
16,player,12,home,4528.4595,3357.7939,139.2874,112.3354,582.0,248.0
16,player,13,away,4503.2021,3341.5901,138.5886,111.8609,627.5,292.0
17,player,1,home,4233.8647,3208.4888,131.1369,107.9629,546.5,679.0
17,player,2,home,4435.5479,3295.4041,136.7168,110.5083,872.5,466.0
17,player,3,home,4492.5083,3326.363,138.2927,111.4149,842.0,311.0
17,player,4,home,4482.6006,3312.436,138.0186,111.0071,1261.5,349.0
17,player,5,away,4380.6221,3308.9011,135.1972,110.9035,380.0,424.0
17,player,6,home,3565.178,3602.073,112.6366,119.4893,127.5,393.0
17,player,7,home,4495.147,3376.314,138.3657,112.8778,340.5,313.0
17,player,8,away,4863.2178,3295.1479,148.549,110.5008,25.0,435.0
17,player,9,away,4440.6445,3295.0715,136.8578,110.4985,985.0,472.0
17,player,10,home,4499.9082,3353.6309,138.4975,112.2135,472.0,304.0
17,player,11,home,4497.5132,3324.7136,138.4312,111.3666,1004.5,293.0
17,player,12,home,4528.3833,3357.6809,139.2853,112.3321,583.0,248.0
17,player,13,away,4503.1782,3341.5149,138.5879,111.8587,628.5,292.0
18,player,1,home,4236.3096,3209.498,131.2046,107.9924,549.0,678.0
18,player,2,home,4435.9282,3295.6042,136.7273,110.5141,872.5,465.0
18,player,3,home,4492.8672,3326.4719,138.3027,111.4181,844.5,310.0
18,player,4,home,4482.3647,3312.3037,138.0121,111.0032,1262.0,350.0
18,player,5,away,4381.0264,3308.8716,135.2084,110.9027,381.0,424.0
18,player,6,home,3450.2556,3639.4934,109.4571,120.5852,125.0,393.0
18,player,7,home,4495.1367,3376.1633,138.3654,112.8734,341.0,313.0
18,player,8,away,4861.3911,3296.9229,148.4985,110.5527,24.0,436.0
18,player,9,away,4440.8149,3295.0916,136.8625,110.4991,988.0,472.0
18,player,10,home,4499.9082,3353.6309,138.4975,112.2135,472.0,304.0
18,player,11,home,4497.5093,3324.7004,138.4311,111.3662,1005.0,293.0
18,player,12,home,4527.8086,3357.3464,139.2694,112.3223,583.5,249.0
18,player,13,away,4503.6357,3341.6287,138.6006,111.862,630.5,291.0
19,player,1,home,4237.5918,3209.96,131.24,108.006,551.0,678.0
19,player,2,home,4435.9995,3295.6113,136.7293,110.5143,873.5,465.0
19,player,3,home,4492.8579,3326.3875,138.3024,111.4156,847.0,310.0
19,player,4,home,4482.3711,3312.2939,138.0123,111.0029,1263.0,350.0
19,player,5,away,4382.3203,3309.4055,135.2442,110.9183,381.5,423.0
19,player,6,home,3391.7834,3671.3291,107.8393,121.5175,123.5,392.0
19,player,7,home,4496.2407,3376.7102,138.396,112.8894,341.0,312.0
19,player,8,away,4861.6846,3298.6384,148.5066,110.603,23.5,437.0
19,player,9,away,4441.0405,3295.1184,136.8688,110.4999,992.0,472.0
19,player,10,home,4499.9341,3353.7688,138.4982,112.2175,471.0,304.0
19,player,11,home,4497.5049,3324.6875,138.431,111.3658,1005.5,293.0
19,player,12,home,4527.8086,3357.3464,139.2694,112.3223,583.5,249.0
19,player,13,away,4504.0898,3341.7417,138.6132,111.8653,632.5,290.0
20,player,1,home,4219.479,3201.2151,130.7389,107.7499,553.0,678.0
20,player,2,home,4417.6729,3287.5884,136.2223,110.2794,874.0,464.0
20,player,3,home,4474.5894,3318.5242,137.797,111.1854,849.0,310.0
20,player,4,home,4464.106,3304.4243,137.5069,110.7724,1263.0,350.0
20,player,5,away,4363.4121,3300.6716,134.7211,110.6625,382.5,423.0
20,player,6,home,3403.811,3650.3147,108.1721,120.9021,122.5,391.0
20,player,7,home,4477.4224,3368.6978,137.8754,112.6547,341.0,312.0
20,player,8,away,4849.0913,3293.7969,148.1582,110.4612,21.5,437.0
20,player,9,away,4422.231,3286.7778,136.3484,110.2556,995.5,473.0
20,player,10,home,4481.4492,3345.9473,137.9868,111.9885,471.0,304.0
20,player,11,home,4479.6353,3317.073,137.9366,111.1429,1006.5,292.0
20,player,12,home,4509.6606,3349.6987,138.7673,112.0983,584.5,249.0
20,player,13,away,4485.7832,3333.9016,138.1067,111.6357,634.0,290.0
21,player,1,home,4220.1074,3201.4438,130.7563,107.7566,554.0,678.0
21,player,2,home,4418.0903,3287.7942,136.2338,110.2854,874.5,463.0
21,player,3,home,4474.5811,3318.4409,137.7967,111.1829,851.5,310.0
21,player,4,home,4464.3506,3304.5486,137.5137,110.7761,1263.5,349.0
21,player,5,away,4364.6982,3301.2087,134.7567,110.6783,383.0,422.0
21,player,6,home,3308.9792,3695.9839,105.5484,122.2395,120.5,390.0
21,player,7,home,4479.6416,3369.8069,137.9368,112.6872,341.0,310.0
21,player,9,away,4422.3726,3286.7959,136.3523,110.2562,998.0,473.0
21,player,10,home,4482.1899,3346.3916,138.0073,112.0015,470.5,303.0
