track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
69,away,0.6353,903,160,1071,0.7963,2120.0487,873,"0.4336,0.4455,0.4454"
107,away,0.9978,891,181,1071,0.8257,3680.6891,851,"0.4400,0.3711,0.3899"
5,away,0.9707,751,0,752,0.8024,2869.8802,721,"0.4292,0.3900,0.3917"
192,away,0.9986,714,357,1071,0.8127,2812.1821,699,"0.4443,0.3725,0.3920"
197,away,0.9596,696,362,1071,0.7735,1961.9986,696,"0.4255,0.3822,0.3943"
219,home,0.9509,693,379,1071,0.7527,2366.8167,693,"0.3905,0.4160,0.5813"
206,away,0.9826,691,370,1071,0.8018,2670.7221,691,"0.4376,0.3763,0.3916"
183,home,0.5611,647,332,984,0.779,2145.4992,628,"0.4167,0.4367,0.5232"
228,home,0.9843,572,393,973,0.7602,2029.1469,548,"0.3848,0.4231,0.5629"
2,home,1.0,474,0,474,0.8209,3534.8333,444,"0.4040,0.4534,0.6086"
208,away,0.9367,474,371,854,0.8002,3033.3122,474,"0.4346,0.3881,0.4089"
321,home,0.9239,473,555,1071,0.7631,2296.7907,473,"0.4987,0.5733,0.5087"
29,home,0.9978,451,90,540,0.7758,2107.1596,421,"0.3946,0.4332,0.5816"
357,home,0.9977,445,627,1071,0.8382,4280.5618,445,"0.3717,0.4189,0.6195"
179,away,0.6208,443,319,778,0.7672,1951.3318,413,"0.4126,0.4192,0.4654"
365,home,1.0,414,658,1071,0.8332,3424.1063,414,"0.3718,0.4221,0.6208"
412,away,0.9729,332,740,1071,0.8086,2754.0392,332,"0.4084,0.3773,0.3937"
73,home,1.0,320,162,483,0.7973,2777.2156,290,"0.3922,0.4293,0.5794"
1,home,1.0,298,0,297,0.8388,5803.5604,287,"0.3816,0.4309,0.6033"
7,home,0.6632,289,0,288,0.7813,2027.6228,288,"0.4720,0.4854,0.5186"
129,home,1.0,224,208,431,0.7716,1873.0938,194,"0.3907,0.4297,0.5514"
415,away,0.9621,211,748,958,0.7635,2182.1422,211,"0.4116,0.3503,0.3827"
8,away,0.975,200,0,216,0.8341,5812.83,184,"0.4688,0.3945,0.4209"
112,home,0.5833,192,188,380,0.784,2068.6406,168,"0.4203,0.4474,0.4871"
125,away,0.6543,188,197,384,0.8216,2917.3617,148,"0.4624,0.4533,0.4488"
121,home,0.9878,164,194,357,0.8119,3067.0061,146,"0.3933,0.4297,0.5907"
6,home,1.0,158,0,157,0.8055,2918.1139,154,"0.4195,0.4609,0.6337"
481,home,1.0,145,873,1017,0.7834,2466.0069,145,"0.4011,0.4294,0.6053"
145,home,0.777,139,231,369,0.776,2450.0,116,"0.3962,0.4442,0.5357"
13,away,0.7355,121,0,120,0.7798,1824.0744,121,"0.4372,0.3957,0.4403"
10,home,1.0,112,0,111,0.8003,2140.1607,112,"0.3861,0.4331,0.5945"
144,home,0.9429,105,231,335,0.8293,3960.819,90,"0.3594,0.3874,0.5428"
3,home,1.0,101,0,100,0.816,2772.297,101,"0.3873,0.4234,0.5604"
11,home,1.0,98,0,97,0.7998,2176.0102,98,"0.3755,0.4145,0.5814"
44,home,1.0,97,124,223,0.7411,1770.8144,96,"0.4087,0.4369,0.6108"
529,away,0.8352,91,971,1062,0.7312,2545.1209,91,"0.4054,0.3591,0.4310"
535,away,0.8222,90,982,1071,0.7627,2439.2556,90,"0.4205,0.4262,0.4292"
9,away,1.0,84,0,83,0.8387,5038.881,84,"0.4446,0.3951,0.3969"
12,home,1.0,80,0,79,0.7145,1365.0375,80,"0.3581,0.3986,0.5857"
4,home,1.0,77,0,76,0.8002,2682.8312,77,"0.3599,0.4169,0.6201"
438,away,0.6866,76,828,912,0.7069,1718.0658,76,"0.3867,0.3971,0.4460"
491,home,0.8611,74,913,1015,0.6385,1846.7568,74,"0.4152,0.4338,0.5412"
32,away,0.9559,69,96,164,0.8385,3718.1594,69,"0.4577,0.3908,0.4085"
530,home,0.9242,66,972,1041,0.656,1596.0455,66,"0.3655,0.3889,0.5453"
433,home,1.0,58,811,868,0.7937,2469.0517,24,"0.4035,0.4412,0.6093"
39,home,1.0,56,104,199,0.483,4535.5893,46,"0.5675,0.6704,0.5418"
493,away,0.8909,55,916,970,0.7265,2547.5636,55,"0.4311,0.3810,0.3847"
550,away,1.0,53,1001,1071,0.6689,1850.0189,53,"0.3903,0.3178,0.3671"
36,home,0.8478,46,101,146,0.7722,1767.0,46,"0.4636,0.4252,0.5138"
