frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
0,player,1,player,home,0.6579,0.83332,531,112,948,717,739.5,717.0,,,,,0,0,0.52222,0.33067,0.32283
0,player,2,player,home,0.6889,0.79504,1164,133,1279,716,1221.5,716.0,,,,,0,0,0.24166,0.34891,0.48769
0,player,3,player,home,1.0,0.71224,101,54,542,715,321.5,715.0,,,,,0,0,0.44962,0.34735,0.46373
0,player,4,player,home,1.0,0.67724,343,66,624,714,483.5,714.0,,,,,0,0,0.43048,0.3126,0.4167
1,player,1,player,home,0.6579,0.83192,522,111,942,719,732.0,719.0,,,,,0,0,0.5024,0.33693,0.34706
1,player,2,player,home,0.6889,0.77216,1166,149,1278,717,1222.0,717.0,,,,,0,0,0.22414,0.33469,0.47719
1,player,3,player,home,1.0,0.6605,118,58,559,716,338.5,716.0,,,,,0,0,0.4662,0.34487,0.44157
1,player,4,player,home,1.0,0.64416,343,62,625,714,484.0,714.0,,,,,0,0,0.43721,0.3133,0.41744
2,player,1,player,home,0.6579,0.83363,523,119,937,718,730.0,718.0,,,,,0,0,0.49196,0.33426,0.34686
2,player,2,player,home,0.6889,0.74147,1162,110,1280,718,1221.0,718.0,,,,,0,0,0.22152,0.33355,0.47952
2,player,3,player,home,1.0,0.76092,55,59,489,712,272.0,712.0,,,,,0,0,0.46781,0.35475,0.45287
2,player,4,player,home,1.0,0.7205,342,57,627,714,484.5,714.0,,,,,0,0,0.44719,0.31568,0.42069
3,player,1,player,home,0.6579,0.82635,516,130,925,717,720.5,717.0,,,,,0,0,0.47092,0.35582,0.38334
3,player,2,player,home,0.6889,0.8009,1157,91,1280,719,1218.5,719.0,,,,,0,0,0.23009,0.3402,0.468
3,player,3,player,home,1.0,0.77142,35,54,467,710,251.0,710.0,,,,,0,0,0.48046,0.35607,0.44392
3,player,4,player,home,1.0,0.75145,337,53,625,715,481.0,715.0,,,,,0,0,0.44009,0.3184,0.42228
4,player,1,player,home,0.6579,0.8284,516,140,919,715,717.5,715.0,,,,,0,0,0.46639,0.3692,0.40572
4,player,2,player,home,0.6889,0.82352,1147,48,1279,718,1213.0,718.0,,,,,0,0,0.25386,0.35976,0.4417
4,player,3,player,home,1.0,0.7721,32,55,459,711,245.5,711.0,,,,,0,0,0.47828,0.35952,0.44684
4,player,4,player,home,1.0,0.75719,336,55,624,714,480.0,714.0,,,,,0,0,0.44309,0.32092,0.42671
5,player,1,player,home,0.6579,0.85633,514,146,913,711,713.5,711.0,,,,,0,0,0.44952,0.38286,0.43016
5,player,2,player,home,0.6889,0.79056,1142,28,1278,716,1210.0,716.0,,,,,0,0,0.29706,0.39397,0.4086
5,player,3,player,home,1.0,0.80444,48,51,474,711,261.0,711.0,,,,,0,0,0.46865,0.36094,0.44971
5,player,4,player,home,1.0,0.75909,335,55,622,713,478.5,713.0,,,,,0,0,0.4382,0.32427,0.4246
6,player,1,player,home,0.6579,0.84593,504,151,905,713,704.5,713.0,,,,,0,0,0.44129,0.3997,0.47687
6,player,2,player,home,0.6889,0.80192,1138,30,1274,713,1206.0,713.0,,,,,0,0,0.314,0.40609,0.40202
6,player,3,player,home,1.0,0.79954,55,51,481,713,268.0,713.0,,,,,0,0,0.46561,0.36181,0.45196
6,player,4,player,home,1.0,0.73921,335,57,623,712,479.0,712.0,,,,,0,0,0.44108,0.33206,0.43149
7,player,1,player,home,0.6579,0.84668,511,154,911,712,711.0,712.0,,,,,0,0,0.44094,0.40836,0.48526
7,player,2,player,home,0.6889,0.82611,1136,35,1272,713,1204.0,713.0,,,,,0,0,0.32769,0.4152,0.39371
7,player,3,player,home,1.0,0.77049,72,53,495,714,283.5,714.0,,,,,0,0,0.46071,0.36518,0.45631
7,player,4,player,home,1.0,0.72584,339,63,626,713,482.5,713.0,,,,,0,0,0.43466,0.33857,0.43356
8,player,1,player,home,0.6579,0.83544,506,151,911,711,708.5,711.0,,,,,0,0,0.44706,0.41154,0.49684
8,player,2,player,home,0.6889,0.8388,1131,27,1270,713,1200.5,713.0,,,,,0,0,0.31456,0.40399,0.39888
8,player,3,player,home,1.0,0.77218,69,59,481,711,275.0,711.0,,,,,0,0,0.47112,0.36646,0.45587
8,player,4,player,home,1.0,0.73829,346,66,633,713,489.5,713.0,,,,,0,0,0.43914,0.34496,0.43961
9,player,1,player,home,0.6579,0.82763,502,144,916,713,709.0,713.0,,,,,0,0,0.469,0.39724,0.48452
9,player,2,player,home,0.6889,0.8454,1128,34,1268,710,1198.0,710.0,,,,,0,0,0.27407,0.37258,0.42438
9,player,3,player,home,1.0,0.77773,95,58,509,712,302.0,712.0,,,,,0,0,0.45641,0.36438,0.45894
9,player,4,player,home,1.0,0.70982,351,66,640,713,495.5,713.0,,,,,0,0,0.43592,0.34823,0.44248
10,player,1,player,home,0.6579,0.82265,497,136,920,713,708.5,713.0,,,,,0,0,0.47056,0.37899,0.46642
10,player,2,player,home,0.6889,0.84548,1122,31,1265,712,1193.5,712.0,,,,,0,0,0.22469,0.3319,0.44846
10,player,3,player,home,1.0,0.81641,101,55,517,712,309.0,712.0,,,,,0,0,0.45352,0.35864,0.45668
10,player,4,player,home,1.0,0.69224,357,63,649,712,503.0,712.0,,,,,0,0,0.4371,0.34813,0.44621
11,player,1,player,home,0.6579,0.82357,508,128,937,714,722.5,714.0,,,,,0,0,0.46682,0.38487,0.46542
11,player,2,player,home,0.6889,0.84807,1114,25,1262,714,1188.0,714.0,,,,,0,0,0.19667,0.31122,0.45116
11,player,3,player,home,1.0,0.79614,98,51,515,714,306.5,714.0,,,,,0,0,0.4599,0.3529,0.44545
11,player,4,player,home,1.0,0.74531,361,57,657,711,509.0,711.0,,,,,0,0,0.43403,0.34732,0.44438
12,player,1,player,home,0.6579,0.82221,512,120,948,715,730.0,715.0,,,,,0,0,0.46578,0.38427,0.46344
12,player,2,player,home,0.6889,0.84486,1106,24,1259,716,1182.5,716.0,,,,,0,0,0.19155,0.30738,0.45072
12,player,3,player,home,1.0,0.79981,89,57,497,715,293.0,715.0,,,,,0,0,0.46471,0.35196,0.4403
12,player,4,player,home,1.0,0.70132,364,54,664,712,514.0,712.0,,,,,0,0,0.43695,0.3484,0.44988
13,player,1,player,home,0.6579,0.83156,517,116,958,717,737.5,717.0,,,,,0,0,0.46498,0.39021,0.46746
13,player,2,player,home,0.6889,0.85435,1100,23,1257,715,1178.5,715.0,,,,,0,0,0.18974,0.30586,0.4463
13,player,3,player,home,1.0,0.82841,95,53,503,714,299.0,714.0,,,,,0,0,0.45736,0.34277,0.43699
13,player,4,player,home,1.0,0.64465,366,48,670,713,518.0,713.0,,,,,0,0,0.4367,0.34687,0.4466
14,player,1,player,home,0.6579,0.83596,514,112,960,716,737.0,716.0,,,,,0,0,0.46567,0.38011,0.4585
14,player,2,player,home,0.6889,0.85519,1089,18,1252,712,1170.5,712.0,,,,,0,0,0.19653,0.30919,0.44632
14,player,3,player,home,1.0,0.84038,91,47,500,714,295.5,714.0,,,,,0,0,0.44928,0.34097,0.4361
14,player,4,player,home,1.0,0.69879,374,40,680,713,527.0,713.0,,,,,0,0,0.44767,0.34893,0.44698
15,player,1,player,home,0.6579,0.83306,516,110,965,715,740.5,715.0,,,,,0,0,0.4658,0.38229,0.45414
15,player,2,player,home,0.6889,0.85852,1081,19,1250,715,1165.5,715.0,,,,,0,0,0.19139,0.30516,0.43963
15,player,3,player,home,1.0,0.84092,90,47,497,713,293.5,713.0,,,,,0,0,0.44019,0.34038,0.43202
15,player,4,player,home,1.0,0.677,385,37,690,713,537.5,713.0,,,,,0,0,0.46747,0.34964,0.43695
16,player,1,player,home,0.6579,0.82239,514,109,968,713,741.0,713.0,,,,,0,0,0.47074,0.37948,0.44867
16,player,2,player,home,0.6889,0.86001,1075,19,1250,715,1162.5,715.0,,,,,0,0,0.18895,0.30255,0.43866
16,player,3,player,home,1.0,0.84048,88,42,497,713,292.5,713.0,,,,,0,0,0.44501,0.34348,0.43004
16,player,4,player,home,1.0,0.68476,395,35,698,713,546.5,713.0,,,,,0,0,0.48863,0.35506,0.43301
17,player,1,player,home,0.6579,0.81421,521,107,980,716,750.5,716.0,,,,,0,0,0.46562,0.3949,0.4533
17,player,2,player,home,0.6889,0.85927,1069,15,1251,718,1160.0,718.0,,,,,0,0,0.18027,0.29682,0.4318
17,player,3,player,home,1.0,0.82204,92,34,505,714,298.5,714.0,,,,,0,0,0.45046,0.34472,0.43021
17,player,4,player,home,1.0,0.69508,387,34,690,713,538.5,713.0,,,,,0,0,0.48519,0.3555,0.42454
18,player,1,player,home,0.6579,0.79768,530,105,991,713,760.5,713.0,,,,,0,0,0.46296,0.40107,0.44542
18,player,2,player,home,0.6889,0.85702,1064,11,1253,719,1158.5,719.0,,,,,0,0,0.1793,0.29527,0.43215
18,player,3,player,home,1.0,0.81108,100,25,517,713,308.5,713.0,,,,,0,0,0.45231,0.35673,0.45221
18,player,4,player,home,1.0,0.61588,382,34,683,712,532.5,712.0,,,,,0,0,0.47909,0.35323,0.41981
19,player,1,player,home,0.6579,0.81414,537,105,1002,713,769.5,713.0,,,,,0,0,0.49914,0.38867,0.41255
19,player,2,player,home,0.6889,0.86391,1063,12,1255,719,1159.0,719.0,,,,,0,0,0.17426,0.29165,0.42833
19,player,3,player,home,1.0,0.83004,104,23,520,714,312.0,714.0,,,,,0,0,0.45871,0.38951,0.48242
19,player,4,player,home,1.0,0.64212,378,35,678,712,528.0,712.0,,,,,0,0,0.4724,0.34993,0.41302
20,player,1,player,home,0.6579,0.8249,536,92,1014,716,775.0,716.0,,,,,0,0,0.52857,0.37035,0.38083
20,player,2,player,home,0.6889,0.85832,1061,10,1258,717,1159.5,717.0,,,,,0,0,0.16961,0.2845,0.4202
20,player,3,player,home,1.0,0.83098,113,26,522,712,317.5,712.0,,,,,0,0,0.46762,0.41821,0.51398
20,player,4,player,home,1.0,0.64946,378,35,676,711,527.0,711.0,,,,,0,0,0.47917,0.35693,0.4178
21,player,1,player,home,0.6579,0.8204,536,91,1018,717,777.0,717.0,,,,,0,0,0.5478,0.36892,0.34924
21,player,2,player,home,0.6889,0.85159,1062,9,1262,716,1162.0,716.0,,,,,0,0,0.17017,0.2796,0.39798
21,player,3,player,home,1.0,0.70681,123,20,532,714,327.5,714.0,,,,,0,0,0.47482,0.44622,0.54202
21,player,4,player,home,1.0,0.35151,367,26,669,714,518.0,714.0,,,,,0,0,0.48283,0.36531,0.41744
22,player,1,player,home,0.6579,0.80984,541,96,1021,715,781.0,715.0,,,,,0,0,0.54291,0.39751,0.3358
22,player,2,player,home,0.6889,0.83668,1066,6,1269,718,1167.5,718.0,,,,,0,0,0.23384,0.32836,0.36798
22,player,3,player,home,1.0,0.70653,173,14,596,714,384.5,714.0,,,,,0,0,0.49138,0.41568,0.50397
23,player,1,player,home,0.6579,0.81703,549,99,1029,717,789.0,717.0,,,,,0,0,0.52425,0.41909,0.33418
23,player,2,player,home,0.6889,0.79544,1068,4,1272,717,1170.0,717.0,,,,,0,0,0.26637,0.35548,0.34933
23,player,3,player,home,1.0,0.73003,195,13,624,712,409.5,712.0,,,,,0,0,0.47661,0.41173,0.4967
24,player,1,player,home,0.6579,0.82706,552,103,1030,719,791.0,719.0,,,,,0,0,0.53454,0.42554,0.34282
24,player,2,player,home,0.6889,0.81278,1067,1,1273,715,1170.0,715.0,,,,,0,0,0.28322,0.36815,0.35067
24,player,3,player,home,1.0,0.77404,198,13,629,714,413.5,714.0,,,,,0,0,0.47446,0.40584,0.49409
25,player,1,player,home,0.6579,0.83591,555,106,1033,719,794.0,719.0,,,,,0,0,0.54766,0.43376,0.35281
25,player,2,player,home,0.6889,0.81716,1066,2,1273,716,1169.5,716.0,,,,,0,0,0.30551,0.38729,0.35072
