second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0
1,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0
2,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0
3,3.0,3.08,4.88,5338.4998,3636.651,7408.8174,2933.1167,1956.4279,1087.3259,3420.2448,2045.0734,1358.8294,669.2692,839442.1137,829759.5079,2190.1557,0.357598,,,,,,,,,,0,0
4,4.0,4.12,4.92,3410.6475,3500.0005,3879.1773,3183.6349,1076.9272,1506.2487,2302.4397,2853.3807,0.0002,0.0003,0.2163,0.173,353.8667,0.207905,879.500641,418.922755,1117.805096,808.307279,1836.289048,0.149692,2.790693,,,0,0
5,5.0,3.92,4.96,6963.0053,3703.2921,7223.4599,3015.1692,631.0762,192.7054,531.8483,215.0257,933.8684,314.6261,0.4403,0.1515,455.6858,0.130396,662.675825,866.233028,1444.198245,1723.331135,969.054076,0.113601,2.865112,,,0,0
6,6.0,3.2,3.4,9147.3832,3324.5825,9193.6025,3221.1429,150.2341,536.6049,112.5589,392.8558,251.9087,879.2177,0.0734,0.3112,342.4286,0.177156,602.06459,692.121844,1102.561975,1208.164116,683.788432,0.091321,1.806698,,,0,0
7,7.0,3.0,3.0,9158.1452,3300.4972,9011.0415,3629.7176,51.2913,442.1082,37.7097,332.4152,84.3946,743.9506,0.0135,0.1406,360.5905,0.141773,476.284137,542.715559,845.633776,921.233233,517.381796,0.077336,1.014519,,,0,0
8,8.0,3.0,3.0,9142.7955,3334.8504,8872.199,3940.449,45.0108,872.8828,35.1901,644.1498,78.7563,1441.6171,0.0176,0.2212,663.304,0.194896,382.283415,520.327368,677.010943,799.333505,474.448134,0.072494,0.659125,,,0,0
9,9.0,3.0,2.96,9133.9263,3354.6992,8645.8977,4446.9151,52.5512,1597.2802,38.9118,1162.5441,87.0853,2601.7914,0.0167,0.5144,1196.2891,0.268364,319.82625,554.339051,564.796072,752.510303,484.204292,0.072656,0.53481,,,0,0
10,10.0,4.24,2.52,9183.0043,3244.8623,9037.5776,3570.3296,426.5182,692.9116,311.3791,524.9866,696.8713,1174.928,0.3709,0.3116,564.6722,0.222961,327.560646,604.343279,523.034808,736.088471,505.263239,0.068763,0.531015,,,0,0
11,11.0,3.8,1.0,9273.508,3042.3139,9370.4954,2825.2543,745.579,0.0,571.8942,0.0,1279.9085,0.0,0.3533,0.0,398.765,0.099517,326.498155,615.414318,490.219852,709.700738,462.843731,0.075598,0.540977,,,0,0
12,12.0,4.04,0.08,9310.5205,2959.4791,9346.0503,2879.9635,363.375,0.0,292.9028,0.0,655.5214,0.0,0.2372,0.0,15.9817,0.0,332.687691,547.034949,466.750029,630.8451,453.948133,0.078256,0.448001,,,0,0
13,13.0,2.8,0.0,9388.6658,2784.5886,,,466.1294,,342.8501,,767.304,,0.1478,,,0.024034,309.694361,547.034949,425.06976,630.8451,453.948133,0.072834,0.35204,,,0,0
14,14.0,2.12,0.0,9496.3748,2543.5343,,,685.8512,,465.2252,,1041.1813,,0.0501,,,0.136023,243.716482,563.048974,325.526762,608.662328,281.155519,0.069063,0.095907,,,0,0
15,15.0,2.4,0.0,9289.2054,3007.1828,,,328.678,,227.8924,,510.0269,,0.1053,,,0.048068,234.848707,455.835498,172.200904,318.706233,306.775007,0.070108,-0.238459,,,0,0
16,16.0,1.8,0.0,9168.1716,3278.0578,,,47.5588,,31.0427,,69.4742,,0.0,,,0.0,214.876408,474.491502,149.956934,342.185592,339.027984,0.070239,-0.224826,,,0,0
17,17.0,1.44,0.04,9147.1588,3325.0848,9212.9561,3177.8286,29.3364,0.0,19.1485,0.0,42.8548,0.0,0.0,0.0,374.0968,0.009483,206.804376,550.490462,143.661433,398.534594,403.201203,0.067648,-0.126524,,,0,0
18,18.0,2.0,0.0,9188.7084,3232.0963,,,29.8246,,19.4671,,43.568,,0.0,,,0.0,206.225152,580.419426,143.441335,420.234595,428.323132,0.063284,-0.112821,,,0,0
