track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
17,home,1.0,184,83,266,0.8569,10458.9457,164,"0.4408,0.3290,0.3373"
18,away,0.9946,184,83,266,0.8459,5055.4185,183,"0.6147,0.5844,0.2038"
22,home,1.0,184,83,266,0.8086,6443.4565,174,"0.3697,0.2984,0.3122"
24,away,1.0,184,83,266,0.8233,5063.962,174,"0.6465,0.6160,0.1834"
31,home,1.0,182,86,267,0.8347,4014.3187,172,"0.4469,0.3277,0.3322"
174,away,0.5357,168,645,813,0.7356,304408.1488,168,"0.6511,0.5740,0.2871"
84,home,0.773,163,264,435,0.7835,145482.7607,163,"0.3707,0.3242,0.1948"
204,home,1.0,160,815,974,0.8374,5541.625,150,"0.3968,0.3126,0.4852"
207,home,0.6312,160,815,974,0.8326,3210.2625,150,"0.5178,0.6083,0.5320"
208,home,0.8562,160,815,974,0.7972,4604.9937,150,"0.5188,0.3746,0.4470"
210,home,1.0,158,815,974,0.7897,4262.019,148,"0.4524,0.3328,0.5130"
212,away,0.8974,156,815,974,0.7152,3496.0449,147,"0.7196,0.7065,0.2778"
48,away,0.7616,151,115,265,0.7854,5006.3576,141,"0.5431,0.5340,0.1798"
205,home,1.0,144,815,960,0.7837,4205.6875,134,"0.4792,0.3501,0.5551"
113,home,0.5833,132,367,514,0.6128,428821.0152,132,"0.5112,0.4426,0.2291"
76,home,1.0,129,262,390,0.8088,29448.031,105,"0.2472,0.2852,0.3752"
128,home,1.0,128,516,643,0.8206,5595.8047,128,"0.3899,0.3063,0.4950"
129,away,0.8281,128,516,643,0.8318,3058.5312,128,"0.5730,0.7582,0.5618"
131,away,1.0,128,516,643,0.8331,4768.2891,128,"0.7421,0.7276,0.1978"
132,away,1.0,128,516,643,0.8098,5001.5938,128,"0.7765,0.7419,0.2391"
133,away,1.0,128,516,643,0.7503,2479.4453,128,"0.7758,0.7495,0.3154"
136,home,1.0,128,516,643,0.7785,3818.1875,128,"0.4062,0.3047,0.5112"
137,home,1.0,128,516,643,0.675,3107.6875,128,"0.5159,0.3428,0.4638"
209,away,0.8387,124,815,938,0.7783,4331.4839,124,"0.7276,0.6824,0.2939"
134,home,0.843,121,516,636,0.7031,3856.9917,121,"0.4777,0.3889,0.4325"
211,home,1.0,118,815,936,0.8227,7188.4576,118,"0.4483,0.4400,0.3917"
285,home,0.5091,110,1013,1124,0.7049,385115.4182,110,"0.5805,0.5145,0.2281"
135,home,1.0,106,516,621,0.7562,4396.7547,106,"0.4518,0.2995,0.5028"
