split,game,half_file,tracker_mode,run_dir,second,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,goal_in_next_30s,goal_in_next_60s,seconds_to_next_goal,next_goal_team
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,0,1210.2369,1924.4278,601.2174,1536.8524,415.5247,0.378963,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,1,1697.9471,1918.1043,653.3639,1361.761,413.2884,0.388393,487.710176,6.32355,52.146484,175.091426,2.236298,0.00943,-1.564758,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,2,1786.7897,1558.8414,1487.0112,1285.7916,636.6177,0.45175,288.276375,182.793228,442.896914,125.530376,112.782798,0.036393,-1.267305,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,3,1519.1119,1416.1063,2002.8663,1839.3936,455.9839,0.484172,281.410195,169.440523,467.216302,268.220921,135.399793,0.035069,-1.167701,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,4,294.6205,359.2417,415.8939,609.4584,3032.0401,0.257913,517.180499,391.29653,747.15532,508.649513,745.563883,0.082867,0.372698,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,5,1254.4624,1528.0884,2018.5225,2824.4793,348.7088,0.511637,605.712782,546.806562,918.249973,849.923803,1133.117366,0.117038,1.410384,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,6,1356.3603,1408.3093,2009.3233,2564.3311,194.1017,0.417071,521.743642,475.635317,766.741517,751.627869,970.03231,0.113293,0.907304,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,7,1243.1597,1164.3244,1682.5758,2176.7509,201.0443,0.46345,463.38035,442.542405,703.885229,699.621062,832.448053,0.103734,0.576983,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,8,1322.6664,1067.5372,1504.2712,1822.2124,351.8736,0.490735,415.396143,399.323004,638.187646,656.485743,747.24572,0.094177,0.282355,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,9,1503.4007,1127.8906,1519.2679,1803.1403,491.5254,0.42789,389.322606,361.65972,568.944201,585.662002,679.735275,0.090696,0.044447,0,0,,
