frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
0,player,1,player,home,1.0,0.83281,310,174,336,205,323.0,205.0,4745.8052,4985.3706,87.4922,97.0245,6,4,0.31133,0.4142,0.15245
0,player,2,player,home,1.0,0.83102,487,245,510,287,498.5,287.0,,,,,6,4,0.29662,0.39364,0.18259
0,player,3,player,away,0.9221,0.82118,96,213,121,257,108.5,257.0,3945.2891,6721.9111,74.0836,128.0341,6,4,0.57953,0.65462,0.68283
0,player,4,player,home,1.0,0.81833,353,128,372,160,362.5,160.0,5000.2866,3587.6445,91.7548,72.0651,6,4,0.3357,0.42362,0.18645
0,player,5,player,home,1.0,0.81271,476,154,495,184,485.5,184.0,5567.627,3764.8474,101.2578,75.2294,6,4,0.3112,0.37543,0.19127
0,player,6,player,away,0.8468,0.80593,610,95,633,128,621.5,128.0,6518.7246,985.3747,117.1886,25.596,6,4,0.40154,0.52535,0.25504
0,player,7,player,home,1.0,0.78447,394,90,407,119,400.5,119.0,5221.5107,2407.1802,95.4603,50.9854,6,4,0.29535,0.40566,0.17295
0,player,8,player,away,0.9451,0.76741,437,112,459,138,448.0,138.0,5410.2339,2604.0193,98.6214,54.5003,6,4,0.46397,0.58072,0.34866
0,player,9,player,away,0.9873,0.76548,221,126,240,160,230.5,160.0,4555.1172,4033.7175,84.2982,80.0307,6,4,0.45008,0.54,0.31883
0,player,10,player,home,0.629,0.75641,311,83,325,109,318.0,109.0,4932.5752,2598.8877,90.6206,54.4087,6,4,0.47007,0.5857,0.36534
0,player,11,player,away,0.9647,0.75434,423,160,440,193,431.5,193.0,5253.3008,4293.5781,95.9928,84.671,6,4,0.47856,0.55935,0.54928
0,ball,1,ball,,,0.70198,195,188,204,197,199.5,192.5,4382.77,4892.0737,81.4114,95.3585,6,4,,,
1,player,1,player,home,1.0,0.83563,307,175,333,205,320.0,205.0,4734.4546,4991.9014,87.3021,97.1411,6,4,0.32173,0.41133,0.14286
1,player,2,player,home,1.0,0.82608,485,245,509,288,497.0,288.0,,,,,6,4,0.29057,0.38655,0.18088
1,player,3,player,away,0.9221,0.81951,97,213,122,257,109.5,257.0,3947.5383,6722.145,74.1213,128.0383,6,4,0.53763,0.60974,0.64782
1,player,4,player,home,1.0,0.80013,352,129,370,159,361.0,159.0,4996.2534,3567.5205,91.6872,71.7057,6,4,0.32047,0.40639,0.1793
1,player,5,player,home,1.0,0.83364,476,154,495,185,485.5,185.0,5566.7549,3798.9624,101.2431,75.8386,6,4,0.30793,0.37375,0.18347
1,player,6,player,away,0.8468,0.79259,611,96,633,128,622.0,128.0,6522.9277,980.1425,117.259,25.5025,6,4,0.42986,0.55156,0.29618
1,player,7,player,home,1.0,0.79442,395,90,408,119,401.5,119.0,5225.6367,2401.7917,95.5294,50.8891,6,4,0.29475,0.40428,0.16799
1,player,8,player,away,0.9451,0.78674,437,112,458,138,447.5,138.0,5407.8042,2606.8701,98.5807,54.5513,6,4,0.46692,0.58239,0.35927
1,player,9,player,away,0.9873,0.7874,220,125,240,160,230.0,160.0,4553.688,4035.1499,84.2743,80.0562,6,4,0.45531,0.54302,0.36782
1,player,10,player,home,0.629,0.77264,313,83,326,109,319.5,109.0,4937.5576,2592.0574,90.7041,54.2867,6,4,0.46904,0.58138,0.37729
1,player,11,player,away,0.9647,0.76963,422,160,440,195,431.0,195.0,5247.4199,4362.1196,95.8943,85.895,6,4,0.48235,0.56691,0.53701
1,ball,1,ball,,,0.70289,194,192,202,200,198.0,196.0,4368.6953,4983.7222,81.1756,96.995,6,4,,,
2,player,1,player,home,1.0,0.81884,305,175,330,205,317.5,205.0,4725.0693,4997.3018,87.1449,97.2375,6,4,0.30675,0.40856,0.13229
2,player,2,player,home,1.0,0.83519,485,245,509,289,497.0,289.0,,,,,6,4,0.28693,0.38326,0.17425
2,player,3,player,away,0.9221,0.82885,98,213,123,257,110.5,257.0,3949.7927,6722.3799,74.159,128.0425,6,4,0.55428,0.62797,0.66966
2,player,4,player,home,1.0,0.80236,351,128,369,159,360.0,159.0,4992.3052,3571.5095,91.6211,71.777,6,4,0.33067,0.42016,0.17934
2,player,5,player,home,1.0,0.82963,475,154,494,185,484.5,185.0,5560.6743,3803.7017,101.1413,75.9232,6,4,0.30906,0.37344,0.18221
2,player,6,player,away,0.8468,0.77527,612,96,634,128,623.0,128.0,6531.3584,969.6483,117.4003,25.3151,6,4,0.44489,0.56625,0.30481
2,player,7,player,home,1.0,0.79138,397,90,409,119,403.0,119.0,5231.8462,2393.6824,95.6334,50.7443,6,4,0.27941,0.38881,0.15472
2,player,8,player,away,0.9451,0.77883,436,113,457,139,446.5,139.0,5401.8423,2638.3828,98.4809,55.114,6,4,0.47816,0.59551,0.36259
2,player,9,player,away,0.9873,0.80571,220,124,240,160,230.0,160.0,4553.688,4035.1499,84.2743,80.0562,6,4,0.63137,0.69717,0.63195
2,player,10,player,home,0.629,0.77323,314,82,327,108,320.5,108.0,4942.6357,2566.9722,90.7891,53.8388,6,4,0.45671,0.56936,0.36505
2,player,11,player,away,0.9647,0.80177,422,159,440,195,431.0,195.0,5247.4199,4362.1196,95.8943,85.895,6,4,0.46812,0.57216,0.41774
2,ball,2,ball,,,0.49758,627,118,633,125,630.0,121.5,6577.3208,711.8608,118.1701,20.7118,6,4,,,
3,player,1,player,home,1.0,0.83488,302,176,327,207,314.5,207.0,4708.6226,5064.5278,86.8694,98.438,6,4,0.30059,0.39537,0.14417
3,player,2,player,home,1.0,0.84205,485,245,509,290,497.0,290.0,,,,,6,4,0.28448,0.38057,0.17146
3,player,3,player,away,0.9221,0.82569,100,213,124,256,112.0,256.0,3956.8931,6693.54,74.278,127.5275,6,4,0.62828,0.70149,0.706
3,player,4,player,home,1.0,0.81997,351,128,369,159,360.0,159.0,4992.3052,3571.5095,91.6211,71.777,6,4,0.32107,0.4086,0.17303
3,player,5,player,home,1.0,0.81879,474,154,493,185,483.5,185.0,5554.6152,3808.4246,101.0398,76.0076,6,4,0.31245,0.37842,0.18524
3,player,6,player,away,0.8468,0.76815,612,97,633,127,622.5,127.0,6525.1807,946.4033,117.2968,24.9001,6,4,0.48023,0.59465,0.35803
3,player,7,player,home,1.0,0.77993,398,90,410,118,404.0,118.0,5237.3525,2365.4841,95.7257,50.2408,6,4,0.27906,0.38186,0.1758
3,player,8,player,away,0.9451,0.79788,435,114,455,138,445.0,138.0,5395.7095,2621.062,98.3781,54.8047,6,4,0.50123,0.61973,0.38713
