second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,4.8,4.4,5029.6956,3631.7486,5188.9393,3464.0868,1210.2369,1924.4278,601.2174,1536.8524,2547.5703,3782.1387,1091182.4015,1840426.9686,415.5247,0.378963,,,,,,,,,,0,0
1,1.0,3.52,3.2,4986.7057,3536.4905,5080.0565,3268.2536,1697.9471,1918.1043,653.3639,1361.761,3205.2108,3491.5008,560373.7194,537939.4175,413.2884,0.388393,487.710176,6.32355,52.146484,175.091426,2.236298,0.00943,-1.564758,,,0,0
2,2.0,6.08,4.6,5157.674,3864.7704,4763.4188,4322.2688,1786.7897,1558.8414,1487.0112,1285.7916,3755.2087,3013.1617,5091284.4988,2198022.9042,636.6177,0.45175,288.276375,182.793228,442.896914,125.530376,112.782798,0.036393,-1.267305,,,0,0
3,3.0,6.8,4.8,6115.2847,4887.1676,5885.0266,4826.5133,1519.1119,1416.1063,2002.8663,1839.3936,2963.2853,2340.1429,5731978.5714,3831263.934,455.9839,0.484172,281.410195,169.440523,467.216302,268.220921,135.399793,0.035069,-1.167701,,,0,0
4,4.0,3.48,3.04,3489.7221,3695.3933,6453.4636,3710.7947,294.6205,359.2417,415.8939,609.4584,370.2679,310.1598,290711.2249,407256.4166,3032.0401,0.257913,517.180499,391.29653,747.15532,508.649513,745.563883,0.082867,0.372698,,,0,0
5,5.0,4.0,4.0,8219.3979,4791.791,8561.162,4791.062,1254.4624,1528.0884,2018.5225,2824.4793,1588.7499,1400.4409,2769156.9785,3489852.3465,348.7088,0.511637,605.712782,546.806562,918.249973,849.923803,1133.117366,0.117038,1.410384,,,0,0
6,6.0,4.0,4.0,9191.3252,4510.1239,9330.2254,4639.7976,1356.3603,1408.3093,2009.3233,2564.3311,1945.2749,1324.5531,3350701.1063,2959807.6411,194.1017,0.417071,521.743642,475.635317,766.741517,751.627869,970.03231,0.113293,0.907304,,,0,0
7,7.0,4.0,4.0,9705.7635,4743.9072,9657.9819,4932.7718,1243.1597,1164.3244,1682.5758,2176.7509,1908.3151,1002.9147,2993694.8526,1800027.4135,201.0443,0.46345,463.38035,442.542405,703.885229,699.621062,832.448053,0.103734,0.576983,,,0,0
8,8.0,4.0,4.0,10098.4706,4671.3405,9886.638,4951.1861,1322.6664,1067.5372,1504.2712,1822.2124,2270.47,1192.1186,3158076.9415,1881943.8907,351.8736,0.490735,415.396143,399.323004,638.187646,656.485743,747.24572,0.094177,0.282355,,,0,0
9,9.0,3.8,4.0,9826.1777,4594.2408,9485.7814,4929.8895,1503.4007,1127.8906,1519.2679,1803.1403,2672.7585,1409.7689,3204689.8758,2333600.5176,491.5254,0.42789,389.322606,361.65972,568.944201,585.662002,679.735275,0.090696,0.044447,,,0,0
10,10.0,1.64,2.16,10183.4019,4797.796,9667.5497,5635.0922,1374.9572,440.2984,1257.3692,616.1093,2533.857,656.346,2827109.0452,883741.7519,560.7489,0.173178,363.234698,394.25297,538.239643,645.798904,618.684104,0.107098,0.100506,,,0,0
11,11.0,0.0,1.0,,,9362.3374,6452.9935,,0.0,,0.0,,0.0,,0.0,,0.0,349.404089,437.650458,592.249994,689.90069,687.178305,0.123472,0.305086,,,0,0
