frame_index,row_type,track_id,team_label,field_x_cm,field_y_cm,map_x,map_y,source_x,source_y
0,player,1,home,4745.8052,4985.3706,87.4922,97.0245,323.0,205.0
0,player,3,away,3945.2891,6721.9111,74.0836,128.0341,108.5,257.0
0,player,4,home,5000.2866,3587.6445,91.7548,72.0651,362.5,160.0
0,player,5,home,5567.627,3764.8474,101.2578,75.2294,485.5,184.0
0,player,6,away,6518.7246,985.3747,117.1886,25.596,621.5,128.0
0,player,7,home,5221.5107,2407.1802,95.4603,50.9854,400.5,119.0
0,player,8,away,5410.2339,2604.0193,98.6214,54.5003,448.0,138.0
0,player,9,away,4555.1172,4033.7175,84.2982,80.0307,230.5,160.0
0,player,10,home,4932.5752,2598.8877,90.6206,54.4087,318.0,109.0
0,player,11,away,5253.3008,4293.5781,95.9928,84.671,431.5,193.0
0,ball,1,,4382.77,4892.0737,81.4114,95.3585,199.5,192.5
1,player,1,home,4734.4546,4991.9014,87.3021,97.1411,320.0,205.0
1,player,3,away,3947.5383,6722.145,74.1213,128.0383,109.5,257.0
1,player,4,home,4996.2534,3567.5205,91.6872,71.7057,361.0,159.0
1,player,5,home,5566.7549,3798.9624,101.2431,75.8386,485.5,185.0
1,player,6,away,6522.9277,980.1425,117.259,25.5025,622.0,128.0
1,player,7,home,5225.6367,2401.7917,95.5294,50.8891,401.5,119.0
1,player,8,away,5407.8042,2606.8701,98.5807,54.5513,447.5,138.0
1,player,9,away,4553.688,4035.1499,84.2743,80.0562,230.0,160.0
1,player,10,home,4937.5576,2592.0574,90.7041,54.2867,319.5,109.0
1,player,11,away,5247.4199,4362.1196,95.8943,85.895,431.0,195.0
1,ball,1,,4368.6953,4983.7222,81.1756,96.995,198.0,196.0
2,player,1,home,4725.0693,4997.3018,87.1449,97.2375,317.5,205.0
2,player,3,away,3949.7927,6722.3799,74.159,128.0425,110.5,257.0
2,player,4,home,4992.3052,3571.5095,91.6211,71.777,360.0,159.0
2,player,5,home,5560.6743,3803.7017,101.1413,75.9232,484.5,185.0
2,player,6,away,6531.3584,969.6483,117.4003,25.3151,623.0,128.0
2,player,7,home,5231.8462,2393.6824,95.6334,50.7443,403.0,119.0
2,player,8,away,5401.8423,2638.3828,98.4809,55.114,446.5,139.0
2,player,9,away,4553.688,4035.1499,84.2743,80.0562,230.0,160.0
2,player,10,home,4942.6357,2566.9722,90.7891,53.8388,320.5,108.0
2,player,11,away,5247.4199,4362.1196,95.8943,85.895,431.0,195.0
2,ball,2,,6577.3208,711.8608,118.1701,20.7118,630.0,121.5
3,player,1,home,4708.6226,5064.5278,86.8694,98.438,314.5,207.0
3,player,3,away,3956.8931,6693.54,74.278,127.5275,112.0,256.0
3,player,4,home,4992.3052,3571.5095,91.6211,71.777,360.0,159.0
3,player,5,home,5554.6152,3808.4246,101.0398,76.0076,483.5,185.0
3,player,6,away,6525.1807,946.4033,117.2968,24.9001,622.5,127.0
3,player,7,home,5237.3525,2365.4841,95.7257,50.2408,404.0,118.0
3,player,8,away,5395.7095,2621.062,98.3781,54.8047,445.0,138.0
3,player,9,away,4553.688,4035.1499,84.2743,80.0562,230.0,160.0
3,player,10,home,4947.6411,2560.0791,90.873,53.7157,322.0,108.0
3,player,11,away,5242.2407,4365.6445,95.8075,85.9579,430.0,195.0
3,ball,-1,,4337.4141,5171.3481,80.6517,100.3455,194.0,203.0
4,player,1,home,4700.3955,5098.1558,86.7316,99.0385,313.0,208.0
4,player,3,away,3959.1611,6693.7407,74.3159,127.5311,113.0,256.0
4,player,4,home,4990.3345,3573.5002,91.5881,71.8125,359.5,159.0
4,player,5,home,5544.6348,3849.6221,100.8726,76.7433,482.0,186.0
4,player,6,away,6523.2344,918.0782,117.2642,24.3943,622.5,126.0
4,player,7,home,5244.9297,2334.5874,95.8526,49.6891,405.5,117.0
4,player,8,away,5387.3521,2655.2788,98.2381,55.4157,443.5,139.0
4,player,9,away,4554.7031,4013.6104,84.2913,79.6716,229.5,159.0
4,player,10,home,4950.9878,2555.4702,90.929,53.6334,323.0,108.0
4,player,11,away,5242.2407,4365.6445,95.8075,85.9579,430.0,195.0
4,ball,4,,4327.5493,5213.772,80.4865,101.1031,192.0,204.5
5,player,1,home,4690.3188,5132.7749,86.5628,99.6567,311.0,209.0
5,player,3,away,3963.7139,6694.1431,74.3922,127.5383,115.0,256.0
5,player,4,home,4986.4019,3577.4731,91.5222,71.8834,358.5,159.0
5,player,5,home,5538.6123,3854.2581,100.7718,76.826,481.0,186.0
5,player,6,away,6523.2344,918.0782,117.2642,24.3943,622.5,126.0
5,player,7,home,5249.0957,2329.0911,95.9224,49.5909,406.5,117.0
5,player,8,away,5377.7622,2666.4614,98.0775,55.6154,441.5,139.0
5,player,9,away,4555.7139,3992.1746,84.3082,79.2888,229.0,158.0
5,player,10,home,4957.7861,2509.9368,91.0429,52.8203,324.0,106.0
5,player,11,away,5237.0781,4369.1587,95.7211,86.0207,429.0,195.0
5,ball,4,,4317.6748,5256.2373,80.3211,101.8614,190.0,206.0
6,player,1,home,4676.583,5169.2651,86.3328,100.3083,308.0,210.0
6,player,3,away,3970.8372,6665.2065,74.5115,127.0215,116.5,255.0
6,player,4,home,4978.5801,3609.3948,91.3912,72.4535,357.0,160.0
6,player,5,home,5528.6445,3895.4004,100.6048,77.5607,479.5,187.0
6,player,6,away,6523.2344,918.0782,117.2642,24.3943,622.5,126.0
6,player,7,home,5254.5908,2300.9333,96.0144,49.0881,407.5,116.0
6,player,8,away,5368.2271,2677.5796,97.9178,55.8139,439.5,139.0
6,player,9,away,4555.3003,3972.2986,84.3013,78.9339,228.0,157.0
6,player,10,home,4962.8481,2484.9185,91.1277,52.3735,325.0,105.0
6,player,11,away,5229.3657,4374.4077,95.5919,86.1144,427.5,195.0
6,ball,4,,4304.7661,5325.188,80.1048,103.0926,188.0,208.5
7,player,1,home,4668.354,5144.4463,86.1949,99.8651,305.0,209.0
7,player,3,away,3968.2886,6694.5474,74.4688,127.5455,117.0,256.0
7,player,4,home,4974.668,3613.3147,91.3257,72.5235,356.0,160.0
7,player,5,home,5516.6948,3904.4839,100.4046,77.7229,477.5,187.0
7,player,6,away,6523.2344,918.0782,117.2642,24.3943,622.5,126.0
7,player,7,home,5258.772,2295.3899,96.0844,48.9891,408.5,116.0
7,player,8,away,5358.7466,2688.634,97.759,56.0113,437.5,139.0
7,player,9,away,4552.4663,3975.2078,84.2538,78.9859,227.0,157.0
7,player,10,home,4967.9028,2459.9351,91.2124,51.9274,326.0,104.0
7,player,11,away,5224.2446,4377.8931,95.5061,86.1767,426.5,195.0
7,ball,4,,4288.9258,5408.5039,79.8395,104.5804,185.5,211.5
8,player,1,home,4653.9141,5152.1191,85.9531,100.0021,301.0,209.0
8,player,3,away,3966.8757,6724.1577,74.4452,128.0742,118.0,257.0
8,player,4,home,4970.7666,3617.2244,91.2603,72.5933,355.0,160.0
8,player,5,home,5504.8276,3913.5049,100.2059,77.884,475.5,187.0
8,player,6,away,6521.2998,889.9235,117.2318,23.8915,622.5,125.0
8,player,7,home,5264.2622,2267.2441,96.1764,48.4865,409.5,115.0
8,player,8,away,5354.0269,2694.1375,97.6799,56.1096,436.5,139.0
8,player,9,away,4553.4756,3954.0029,84.2707,78.6072,226.5,156.0
8,player,10,home,4971.2632,2455.2231,91.2687,51.8433,327.0,104.0
8,player,11,away,5221.6904,4379.6313,95.4633,86.2077,426.0,195.0
8,ball,4,,4272.9971,5492.2847,79.5727,106.0765,183.0,214.5
9,player,1,home,4643.189,5157.8179,85.7734,100.1039,298.0,209.0
9,player,3,away,3964.3025,6753.8169,74.4021,128.6039,118.5,258.0
9,player,4,home,4966.8755,3621.1233,91.1952,72.6629,354.0,160.0
9,player,5,home,5498.9243,3917.9922,100.107,77.9641,474.5,187.0
9,player,6,away,6517.1323,895.1979,117.162,23.9857,622.0,125.0
9,player,7,home,5264.2622,2267.2441,96.1764,48.4865,409.5,115.0
9,player,8,away,5346.9727,2702.363,97.5618,56.2565,435.0,139.0
9,player,9,away,4550.6543,3956.9226,84.2235,78.6593,225.5,156.0
9,player,10,home,4972.9468,2452.863,91.2969,51.8011,327.5,104.0
9,player,11,away,5214.8696,4416.4556,95.3491,86.8653,425.0,196.0
9,ball,4,,4253.8242,5603.7925,79.2516,108.0677,180.5,218.5
10,player,1,home,4442.7417,5873.8994,82.4159,112.8911,295.0,211.0
10,player,4,home,4903.2529,3844.624,90.1295,76.654,352.5,160.0
10,player,5,home,5325.5435,4151.9517,97.2029,82.142,473.0,187.0
10,player,6,away,6345.6108,673.538,114.289,20.0275,621.5,125.0
10,player,7,home,5252.4253,2369.2725,95.9781,50.3084,410.0,115.0
10,player,8,away,5278.626,2794.009,96.417,57.893,433.0,139.0
10,player,9,away,4558.9946,4232.7817,84.3632,83.5854,224.5,155.0
10,player,10,home,5022.6294,2599.9631,92.129,54.4279,328.0,103.0
10,player,11,away,5031.6318,4808.7324,92.2798,93.8702,424.0,196.0
10,ball,4,,4075.1067,6431.6562,76.258,122.851,178.5,220.5
11,player,1,home,4426.729,5922.7666,82.1477,113.7637,292.0,212.0
11,player,4,home,4898.1367,3851.8562,90.0438,76.7831,351.0,160.0
11,player,5,home,5313.5698,4204.6689,97.0023,83.0834,471.5,188.0
11,player,6,away,6341.8354,680.0215,114.2257,20.1432,621.0,125.0
11,player,7,home,5254.2285,2366.0522,96.0083,50.2509,410.5,115.0
11,player,8,away,5275.1719,2777.6287,96.3591,57.6005,431.5,138.0
11,player,9,away,4556.6006,4236.2881,84.3231,83.648,223.5,155.0
11,player,10,home,5025.4785,2594.6614,92.1768,54.3332,329.0,103.0
11,player,11,away,5019.5718,4860.3472,92.0778,94.7919,422.5,197.0
11,ball,4,,4054.0569,6513.2593,75.9055,124.3082,175.5,222.5
12,player,1,home,4402.3066,6015.8491,81.7386,115.4259,288.5,214.0
12,player,4,home,4894.7388,3856.6597,89.9869,76.8689,350.0,160.0
12,player,5,home,5301.5376,4257.646,96.8008,84.0294,470.0,189.0
12,player,6,away,6330.5537,699.3937,114.0368,20.4892,619.5,125.0
12,player,7,home,5256.7065,2344.3674,96.0498,49.8637,410.5,114.0
12,player,8,away,5269.0376,2787.5486,96.2564,57.7777,430.0,138.0
12,player,9,away,4554.2119,4239.7856,84.283,83.7105,222.5,155.0
12,player,10,home,5031.1953,2569.8413,92.2725,53.89,330.0,102.0
12,player,11,away,5010.0034,4869.1738,91.9176,94.9495,420.5,197.0
12,ball,4,,4033.9087,6595.0688,75.568,125.7691,173.0,224.5
13,player,1,home,4391.7563,6022.1201,81.5619,115.5379,285.0,214.0
13,player,4,home,4889.6606,3863.8381,89.9018,76.9971,348.5,160.0
13,player,5,home,5289.4458,4310.8838,96.5982,84.9801,468.5,190.0
13,player,6,away,6321.0024,689.1985,113.8768,20.3071,618.5,124.0
13,player,7,home,5258.5073,2341.1396,96.08,49.8061,411.0,114.0
13,player,8,away,5269.7295,2764.7605,96.268,57.3707,429.5,137.0
13,player,9,away,4549.4521,4246.7549,84.2033,83.8349,220.5,155.0
13,player,10,home,5035.4624,2547.7903,92.344,53.4963,330.5,101.0
13,player,11,away,5000.5112,4877.9307,91.7586,95.1059,418.5,197.0
13,ball,4,,4014.6289,6677.269,75.245,127.2369,171.0,226.5
14,player,1,home,4382.812,6027.4365,81.4121,115.6328,282.0,214.0
14,player,4,home,4880.4321,3900.6375,89.7472,77.6542,347.0,161.0
14,player,5,home,5283.8066,4316.7202,96.5038,85.0843,467.5,190.0
14,player,6,away,6317.2939,695.5928,113.8147,20.4213,618.0,124.0
14,player,7,home,5262.1157,2334.6709,96.1404,49.6906,412.0,114.0
14,player,8,away,5261.6313,2777.9219,96.1323,57.6057,427.5,137.0
14,player,9,away,4550.4263,4226.3784,84.2196,83.471,219.0,154.0
14,player,10,home,5038.3174,2542.4446,92.3918,53.4008,331.5,101.0
14,player,11,away,4988.7515,4888.7798,91.5616,95.2996,416.0,197.0
14,ball,4,,3989.2332,6781.3926,74.8197,129.0963,168.0,229.0
15,player,1,home,4359.9146,6119.3037,81.0286,117.2733,279.0,216.0
15,player,4,home,4871.1714,3937.5649,89.5921,78.3137,345.5,162.0
15,player,5,home,5275.3921,4325.4287,96.3628,85.2398,466.0,190.0
15,player,6,away,6309.8994,708.3433,113.6908,20.649,617.0,124.0
15,player,7,home,5264.561,2313.1343,96.1814,49.306,412.0,113.0
15,player,8,away,5254.8335,2810.5178,96.0185,58.1878,426.5,138.0
15,player,9,away,4551.3906,4206.2085,84.2358,83.1109,217.5,153.0
15,player,10,home,5043.9897,2517.8098,92.4868,52.9609,332.5,100.0
15,player,11,away,4981.751,4895.2378,91.4443,95.415,414.5,197.0
15,ball,4,,3960.6121,6907.5742,74.3403,131.3495,165.5,232.0
16,player,1,home,4341.1143,6169.3438,80.7137,118.1669,275.0,217.0
16,player,4,home,4866.1396,3944.5718,89.5078,78.4388,344.0,162.0
16,player,5,home,5267.0308,4334.0825,96.2228,85.3943,464.5,190.0
16,player,6,away,6298.8633,727.3736,113.506,20.9888,615.5,124.0
16,player,7,home,5266.9888,2291.7537,96.2221,48.9242,412.0,112.0
16,player,8,away,5244.7808,2826.7744,95.8501,58.4781,424.0,138.0
16,player,9,away,4549.041,4209.6943,84.1964,83.1731,216.5,153.0
16,player,10,home,5049.6396,2493.2717,92.5815,52.5227,333.5,99.0
16,player,11,away,4972.481,4903.7896,91.2891,95.5677,412.5,197.0
16,ball,4,,3931.5127,7035.8638,73.8528,133.0,163.0,235.0
17,player,1,home,4316.5786,6262.6128,80.3027,119.8324,271.5,219.0
17,player,4,home,4862.7974,3949.2256,89.4519,78.5219,343.0,162.0
17,player,5,home,5261.4854,4339.8213,96.1299,85.4968,463.5,190.0
17,player,6,away,6284.2505,752.5712,113.2612,21.4388,613.5,124.0
17,player,7,home,5266.9888,2291.7537,96.2221,48.9242,412.0,112.0
17,player,8,away,5238.7856,2836.469,95.7497,58.6512,422.5,138.0
17,player,9,away,4552.3452,4186.2417,84.2518,82.7543,216.0,152.0
17,player,10,home,5051.0708,2490.5757,92.6054,52.4746,334.0,99.0
17,player,11,away,4960.4941,4954.7266,91.0883,96.4773,411.0,198.0
17,ball,4,,3911.1826,7122.5645,73.5123,133.0,161.0,237.0
18,player,1,home,4300.6953,6311.0825,80.0366,120.6979,268.5,220.0
18,player,4,home,4865.3677,3921.7739,89.4949,78.0317,342.5,161.0
18,player,5,home,5249.3931,4392.8325,95.9273,86.4434,462.0,191.0
18,player,6,away,6276.9873,765.0951,113.1395,21.6624,612.5,124.0
18,player,7,home,5269.3989,2270.5269,96.2624,48.5451,412.0,111.0
18,player,8,away,5227.9731,2875.5029,95.5686,59.3483,420.5,139.0
18,player,9,away,4550.0063,4189.7344,84.2126,82.8167,215.0,152.0
18,player,10,home,5056.6992,2466.1243,92.6997,52.0379,335.0,98.0
18,player,11,away,4943.8711,5009.9668,90.8098,97.4637,408.5,199.0
18,ball,4,,3892.8647,7187.9175,73.2055,133.0,158.0,238.5
19,player,1,home,4289.4097,6316.2178,79.8476,120.7896,264.5,220.0
19,player,4,home,4860.3906,3928.7571,89.4115,78.1564,341.0,161.0
19,player,5,home,5237.2412,4446.1035,95.7238,87.3947,460.5,192.0
19,player,6,away,6268.0034,754.6201,112.9891,21.4754,611.5,123.0
19,player,7,home,5269.3989,2270.5269,96.2624,48.5451,412.0,111.0
19,player,8,away,5222.0239,2885.0745,95.4689,59.5192,419.0,139.0
19,player,9,away,4550.9619,4169.9741,84.2286,82.4638,213.5,151.0
19,player,10,home,5062.3057,2441.7686,92.7936,51.603,336.0,97.0
19,player,11,away,4932.4951,5020.0713,90.6193,97.6441,406.0,199.0
19,ball,4,,3876.4202,7253.7397,72.93,133.0,156.0,240.0
20,player,4,home,4778.8013,4275.6348,88.0449,84.3506,339.5,160.0
20,player,5,home,5101.2959,4968.5913,93.4467,96.7248,458.5,193.0
20,player,6,away,6197.9453,697.5776,111.8156,20.4567,610.0,123.0
20,player,7,home,5268.6997,2345.2549,96.2507,49.8796,412.0,110.0
20,player,8,away,5179.2666,3075.6958,94.7527,62.9231,417.0,140.0
20,player,9,away,4459.96,4622.8252,82.7043,90.5504,212.5,150.0
20,player,10,home,5073.1069,2561.5071,92.9745,53.7412,337.0,96.0
20,player,11,away,4751.7275,5721.0352,87.5914,110.1613,403.5,199.0
21,player,4,home,4775.2432,4281.8242,87.9853,84.4611,338.5,160.0
21,player,5,home,5082.3467,5044.9258,93.1293,98.088,456.5,194.0
21,player,6,away,6183.6895,703.0954,111.5768,20.5553,608.0,122.0
21,player,7,home,5266.9097,2348.9707,96.2207,49.9459,411.5,110.0
21,player,8,away,5164.9204,3124.8152,94.5124,63.8003,414.5,141.0
21,player,9,away,4462.6772,4598.7197,82.7498,90.12,211.0,149.0
21,player,10,home,5079.5439,2535.2029,93.0824,53.2715,338.0,95.0
21,player,11,away,4748.4595,5674.354,87.5367,109.3278,401.0,198.0
22,player,4,home,4771.6938,4287.9976,87.9259,84.5714,337.5,160.0
22,player,5,home,5073.418,5056.6216,92.9798,98.2968,455.0,194.0
22,player,6,away,6177.3569,715.8453,111.4707,20.783,607.0,122.0
22,player,7,home,5270.0527,2326.9646,96.2734,49.5529,411.5,109.0
22,player,8,away,5156.834,3140.1301,94.377,64.0738,412.5,141.0
