track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
29,home,1.0,200,60,259,0.7946,814.72,190,"0.3542,0.3451,0.2218"
54,away,0.8486,185,75,259,0.8037,756.5459,175,"0.5233,0.6085,0.4945"
75,away,0.8389,180,80,259,0.814,953.0444,170,"0.5015,0.5756,0.5657"
78,home,1.0,180,80,259,0.8031,727.7833,180,"0.3205,0.3932,0.2022"
86,home,0.9831,178,82,259,0.8138,996.2921,168,"0.3020,0.3055,0.1989"
125,away,0.8063,160,100,259,0.7917,821.125,150,"0.5091,0.5893,0.5726"
65,away,0.9781,159,78,259,0.7993,742.8365,159,"0.4668,0.6082,0.4360"
96,home,1.0,154,87,240,0.7856,828.0974,144,"0.3126,0.3370,0.1880"
6,away,0.8468,111,0,110,0.7952,565.5766,110,"0.5401,0.6397,0.4682"
2,home,1.0,105,0,104,0.8257,1168.7333,35,"0.2967,0.3532,0.1920"
5,home,1.0,93,0,92,0.8061,727.9892,81,"0.2868,0.3457,0.1772"
8,away,0.9451,91,0,90,0.7911,612.7912,91,"0.5595,0.6573,0.4996"
4,home,1.0,87,0,86,0.8065,626.1149,87,"0.3261,0.4115,0.2162"
7,home,1.0,87,0,86,0.7718,386.1034,87,"0.3120,0.4105,0.1907"
11,away,0.9647,85,0,84,0.7996,778.6588,65,"0.5876,0.6735,0.6590"
9,away,0.9873,79,0,78,0.7781,579.962,79,"0.5800,0.6468,0.5895"
1,home,1.0,77,0,76,0.8063,935.039,36,"0.2982,0.3463,0.1867"
3,away,0.9221,77,0,76,0.7904,1179.6623,27,"0.5246,0.5861,0.6050"
10,home,0.629,75,0,74,0.7683,337.0,75,"0.4279,0.5210,0.3825"
12,away,0.9091,67,28,94,0.7848,1613.4179,15,"0.6266,0.6857,0.7034"
26,home,1.0,65,57,121,0.8074,531.9846,55,"0.3767,0.4655,0.2400"
281,away,0.8974,39,261,299,0.8326,32938.0769,39,"0.4597,0.6428,0.5225"
277,home,1.0,14,246,259,0.7296,717.1429,14,"0.2288,0.3130,0.1849"
283,home,1.0,1,262,262,0.3569,30672.0,1,"0.2818,0.2080,0.2052"
