second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,4.56,4.72,4999.8593,3862.9176,5305.2454,2943.6889,1012.2509,1611.1132,701.0338,1314.4755,1885.5129,3108.0346,958161.7292,1850977.8859,1178.3151,0.380598,,,,,,,,,,0,0
1,1.0,2.52,4.24,4908.9645,4003.65,5127.8034,2963.7271,1686.0517,1748.4248,619.5094,1281.2405,2930.2679,3529.2417,374707.1966,1062018.7584,1064.6864,0.386881,673.800779,137.311597,81.524375,33.23502,113.628738,0.006283,-1.451576,,,0,0
2,2.0,4.4,6.68,5239.9617,4545.6377,4822.6261,3839.9269,1203.7956,1657.591,1238.8392,1249.2817,2197.7621,3589.9168,2772503.4579,3040382.3215,1633.5053,0.462641,578.028402,114.072661,350.427051,32.596909,341.223821,0.041021,-0.669623,,,0,0
3,3.0,8.36,5.08,6192.9932,5012.2132,5575.8966,4326.0195,1386.8417,1634.8443,1958.3115,1877.4039,2560.6119,3046.3075,5458000.6329,4617619.7054,1008.1927,0.504313,446.367625,83.63068,473.442142,231.105322,435.920094,0.041238,-0.38039,,,0,0
4,4.0,4.08,2.68,4865.6427,3693.8776,4338.7274,2786.4497,1610.2371,772.3664,2597.5308,1240.1158,280.1077,807.1738,213028.3706,833643.7105,460.569,0.262139,390.624572,278.342499,514.886431,332.651004,463.845977,0.091472,0.297482,,,0,0
5,5.0,4.4,3.6,8133.969,4757.412,8731.4766,4853.4026,1249.3486,1491.9418,2104.1099,2698.8115,1597.2421,1346.1041,2770675.084,2990325.8758,622.9172,0.513818,384.677372,366.589094,510.593316,557.859946,403.546412,0.123513,0.649885,,,0,0
6,6.0,4.12,3.96,8700.9623,4525.9071,9856.0091,4654.143,1232.3333,1144.7501,1753.6819,1739.806,1902.9294,1401.3869,2385216.789,1613712.8647,1205.1902,0.418582,323.400356,363.356194,483.899108,624.717549,433.334184,0.1188,0.61512,,,0,0
7,7.0,4.0,4.0,9585.6208,4818.4094,9777.9303,4857.9905,1208.3001,1182.3717,1822.5951,2032.0678,1702.0383,1212.2429,2493539.4914,2174121.8647,335.0554,0.459911,280.633622,316.822672,424.61541,577.22387,495.734279,0.107733,0.418944,,,0,0
8,8.0,4.0,4.0,10098.9455,4670.8721,9886.7929,4951.3067,1323.2375,1067.7191,1504.1425,1821.6566,2272.2298,1194.3509,3158888.8881,1885483.3734,352.5687,0.490735,259.921607,291.551417,411.345056,531.372288,435.956654,0.098119,0.149534,,,0,0
9,9.0,3.88,4.0,9853.7829,4600.3688,9486.085,4929.2796,1495.5143,1127.9166,1563.285,1802.8161,2649.6706,1410.6804,3378161.9481,2334499.1755,503.1884,0.428993,250.18329,265.845429,372.211439,474.424312,404.252552,0.094077,-0.080877,,,0,0
10,10.0,1.76,2.2,10125.9769,5206.7573,9665.9621,5653.1099,1079.5614,422.8336,988.1969,591.4105,1989.3387,630.4184,2220735.6574,848755.8145,588.2905,0.166251,266.76025,309.76918,392.499103,548.12244,372.337505,0.110944,0.121235,,,0,0
11,11.0,0.0,1.0,,,9366.5611,6448.824,,0.0,,0.0,,0.0,,0.0,,0.0,221.533524,338.321384,427.051851,603.939985,401.082924,0.126941,0.330266,,,0,0
