track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
60,away,1.0,130,120,259,0.7999,761.4615,130,"0.4702,0.6143,0.4506"
40,home,1.0,105,82,259,0.7791,735.5524,105,"0.2942,0.3115,0.1900"
43,home,1.0,100,90,259,0.804,682.75,100,"0.3174,0.3828,0.2092"
58,home,0.8791,91,110,259,0.7912,933.8571,91,"0.3305,0.3383,0.2300"
2,home,0.8889,90,0,89,0.8257,1135.4,20,"0.3250,0.3925,0.2493"
44,home,0.9889,90,90,259,0.8076,866.0,90,"0.3583,0.3466,0.2291"
20,away,0.6806,84,56,259,0.7994,776.119,84,"0.4793,0.5445,0.5058"
10,away,0.55,79,0,89,0.7541,337.3418,79,"0.4324,0.5253,0.3876"
62,away,0.7595,79,120,249,0.7817,814.3291,79,"0.5091,0.5903,0.5673"
3,away,0.7162,74,0,76,0.7917,1167.0811,22,"0.4801,0.5348,0.5363"
7,home,0.7143,70,0,89,0.784,450.3714,70,"0.3697,0.4735,0.2530"
35,home,0.8571,70,80,249,0.8199,1004.5714,70,"0.3261,0.3329,0.2374"
59,away,0.7143,70,120,259,0.8114,745.2714,70,"0.4838,0.5617,0.4529"
5,home,1.0,69,0,119,0.802,620.6377,69,"0.3159,0.3960,0.2091"
8,away,0.5652,69,0,109,0.7683,468.4348,69,"0.4546,0.5534,0.3626"
30,away,0.9848,66,77,259,0.8061,855.5152,66,"0.4916,0.5595,0.6441"
1,away,0.8462,65,0,84,0.8057,784.8154,45,"0.5519,0.6373,0.5988"
42,away,0.9524,63,90,249,0.8078,936.9206,63,"0.5523,0.6164,0.6359"
6,away,0.7541,61,0,90,0.7844,519.4754,61,"0.5095,0.6083,0.4461"
9,home,0.5246,61,0,159,0.7716,759.8361,61,"0.4456,0.5196,0.4068"
31,home,0.6885,61,79,249,0.8045,790.7049,61,"0.3960,0.4263,0.2881"
16,away,0.6596,60,26,89,0.7507,1202.1667,10,"0.5362,0.5894,0.5740"
34,away,0.5333,60,80,249,0.8035,777.9667,60,"0.4428,0.5275,0.3892"
12,home,0.9123,58,10,77,0.8069,892.2241,18,"0.3097,0.3653,0.2121"
4,home,0.9091,55,0,79,0.8112,763.1273,49,"0.3303,0.4008,0.2438"
39,home,0.5918,49,81,189,0.7962,924.4694,49,"0.4438,0.4638,0.3533"
11,away,0.9535,43,0,90,0.7883,591.8605,43,"0.5643,0.6553,0.5524"
13,home,0.5952,42,10,79,0.8037,690.5952,40,"0.4040,0.4961,0.3482"
65,away,0.925,40,260,299,0.8335,32086.05,40,"0.4725,0.6502,0.5345"
15,away,0.8108,37,20,86,0.7753,629.7838,37,"0.5507,0.6197,0.5432"
63,home,1.0,32,120,171,0.7809,690.1875,32,"0.2818,0.3387,0.1449"
27,away,0.9,31,70,149,0.7758,613.0,31,"0.5297,0.6200,0.4585"
17,away,1.0,30,30,79,0.798,687.1667,30,"0.5856,0.6626,0.6125"
22,home,1.0,30,60,159,0.8171,699.7667,30,"0.3661,0.3999,0.2343"
29,away,0.8462,26,74,149,0.7947,853.7308,26,"0.5268,0.6195,0.4700"
18,home,0.9545,22,32,73,0.7729,757.2273,11,"0.2923,0.3435,0.1934"
37,home,0.5238,22,80,159,0.7947,868.5,22,"0.4521,0.5418,0.3645"
25,home,1.0,20,70,99,0.7956,639.7,20,"0.3722,0.4582,0.2296"
46,away,0.6,20,100,119,0.7931,726.45,10,"0.4563,0.5572,0.3979"
47,home,1.0,20,100,119,0.8071,817.1,10,"0.3364,0.3978,0.1948"
48,home,1.0,20,100,119,0.8097,820.4,10,"0.3061,0.3858,0.1648"
49,home,1.0,20,100,119,0.8183,620.5,10,"0.3976,0.4942,0.2517"
50,home,0.65,20,100,119,0.8075,951.95,10,"0.4488,0.5483,0.3351"
53,away,1.0,20,100,119,0.7864,777.75,10,"0.5125,0.5900,0.6120"
54,home,1.0,20,100,119,0.7958,834.85,10,"0.3231,0.3393,0.1911"
19,away,0.6471,18,34,105,0.7328,764.9444,18,"0.5560,0.6287,0.4570"
24,home,0.5556,18,61,149,0.6834,750.6111,18,"0.5733,0.5922,0.2223"
14,away,0.6667,15,12,114,0.6627,304.8667,14,"0.4621,0.5543,0.3932"
21,away,0.6923,15,58,99,0.5571,510.0,15,"0.7199,0.8292,0.1616"
23,away,1.0,15,60,94,0.7941,1177.0667,15,"0.5130,0.5798,0.5746"
26,home,1.0,13,70,92,0.8123,912.9231,13,"0.2947,0.3434,0.1726"
33,home,0.7,10,80,89,0.8191,935.2,10,"0.4533,0.5595,0.3203"
36,home,1.0,10,80,89,0.8149,1126.5,10,"0.3182,0.3541,0.1904"
38,home,1.0,10,80,89,0.7109,963.3,10,"0.3396,0.4216,0.1872"
41,home,1.0,10,90,99,0.7986,1638.4,10,"0.4059,0.3673,0.2709"
51,away,1.0,10,100,111,0.779,557.9,8,"0.5101,0.6148,0.3726"
52,home,1.0,10,100,109,0.7762,748.3,10,"0.3254,0.4177,0.1833"
28,away,1.0,9,70,78,0.7809,577.0,9,"0.5166,0.6090,0.4302"
45,home,1.0,9,91,99,0.7439,1442.5556,9,"0.3405,0.3777,0.3227"
56,away,0.8889,9,101,109,0.7982,656.5556,9,"0.4665,0.6244,0.4028"
66,home,1.0,4,260,271,0.5067,28554.0,4,"0.2844,0.2055,0.2035"
32,unassigned,0.0,1,79,79,0.3722,152.0,1,"0.0000,0.0000,0.0000"
55,away,1.0,1,100,100,0.475,560.0,1,"0.6333,0.7667,0.1601"
