split,game,half_file,tracker_mode,run_dir,second,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,goal_in_next_30s,goal_in_next_60s,seconds_to_next_goal,next_goal_team
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,0,1124.085,1266.9203,1129.0007,1270.2679,1045.7622,0.340493,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,1,975.1992,1339.3625,1036.8441,1250.155,897.7422,0.401583,148.885808,72.442227,92.156641,20.11291,148.019984,0.061091,-1.447215,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,2,889.735,1459.6018,846.1812,1158.0111,789.9417,0.358082,117.174996,96.340757,141.409756,56.128389,127.910244,0.052296,-1.392609,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,3,537.7136,1246.5356,468.7804,873.5234,604.8528,0.257704,195.457142,135.249243,220.073438,132.248171,146.969815,0.068323,-0.653655,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,4,669.9631,103.7348,275.0509,135.2655,219.9823,0.125587,179.655223,387.137145,213.487458,283.750581,206.444989,0.084272,0.1572,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,5,1050.4101,232.856,504.133,246.7931,317.7821,0.206969,219.813585,335.533963,216.606391,249.305975,184.715968,0.083694,0.048471,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,6,236.0539,462.4268,201.9645,359.0214,395.1743,0.085422,318.904017,317.873431,230.866742,226.459697,166.82867,0.090002,0.207958,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,7,1055.6352,1556.0716,665.0789,1436.7577,1319.2387,0.429357,390.429336,428.697916,264.04498,348.070633,275.005195,0.126279,1.386026,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,8,1101.0276,1570.6682,836.7207,1280.6726,1551.9259,0.441353,347.299726,376.935252,252.49458,324.072441,269.715454,0.111993,1.044651,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_bytetrack,9,1070.638,1551.3985,773.9224,1133.0365,1558.2443,0.445613,312.087493,337.194629,231.417214,304.468394,240.449116,0.100023,0.649174,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,0,1115.9664,1266.9919,1161.3429,1270.3095,1059.7069,0.336653,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,1,969.246,1339.0344,1054.335,1249.5153,903.8971,0.39997,146.720447,72.042461,107.007832,20.794238,155.809804,0.063318,-1.336433,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,2,890.6269,1460.5638,844.8007,1158.2563,798.3607,0.356696,112.669772,96.785962,158.271094,56.026592,130.673083,0.053296,-1.32395,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,3,741.5009,797.0408,533.0731,599.9328,439.7203,0.257173,124.821826,285.698316,209.423236,223.458913,206.662172,0.068705,-0.259071,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,4,647.6987,344.7634,353.2274,217.1793,251.165,0.134998,117.066936,327.343095,202.028865,263.282554,202.135454,0.082073,-0.061523,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,5,969.4702,316.6712,500.6416,255.7063,306.685,0.2153,158.00785,267.492919,191.10593,218.331434,172.812353,0.081719,-0.256144,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,6,321.7972,480.8466,436.0209,406.6114,497.0171,0.10223,239.618701,250.273335,170.025049,207.093721,175.732317,0.086944,-0.136636,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,7,1172.9356,1499.8441,1628.7367,1454.633,1629.6943,0.444451,326.97866,360.091083,316.123719,327.22627,312.438724,0.123412,1.425661,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,8,1070.1134,1542.1727,1400.8487,1114.6487,1988.8937,0.439646,298.959106,320.370761,305.094255,328.821018,318.283807,0.108586,1.169015,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_20260308/runs/local_001_a4a87543a9_hybrid_reid,9,1040.9795,1534.732,1276.5617,1082.5191,1925.7346,0.44359,268.97853,285.600746,285.004562,295.855308,289.936619,0.096959,0.77908,0,0,,
