frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
0,player,1,player,home,0.989,0.85022,645,430,696,538,670.5,538.0,6275.1934,3764.2798,187.6137,124.2396,6,4,0.37997,0.42222,0.59831
0,player,2,player,away,0.9877,0.84411,1179,421,1225,539,1202.0,539.0,7150.5039,3931.0464,211.8306,129.1235,6,4,0.44535,0.36199,0.4112
0,player,3,player,home,0.9897,0.83268,830,207,866,265,848.0,265.0,6704.7397,492.0508,199.4978,28.4101,6,4,0.37561,0.42589,0.61154
0,player,4,player,away,0.9941,0.81791,1112,255,1147,334,1129.5,334.0,7196.6362,1604.6273,213.1069,60.9927,6,4,0.37296,0.3171,0.35349
0,player,5,player,home,1.0,0.81715,1038,222,1073,294,1055.5,294.0,7092.8555,1028.8456,210.2357,44.1305,6,4,0.4216,0.46419,0.60922
0,player,6,player,away,0.9898,0.81207,295,296,332,383,313.5,383.0,5615.3638,1846.4575,169.3584,68.0748,6,4,0.52207,0.4689,0.45742
0,player,7,player,home,1.0,0.79259,1193,244,1223,330,1208.0,330.0,7344.9648,1591.0907,217.2107,60.5962,6,4,0.43277,0.45346,0.63897
0,player,8,player,home,1.0,0.7897,599,243,631,313,615.0,313.0,6215.6631,1052.4908,185.9667,44.8229,6,4,0.37607,0.42098,0.60916
0,player,9,player,home,0.6711,0.78114,1089,201,1113,261,1101.0,261.0,7211.5767,584.7791,213.5203,31.1257,6,4,0.41044,0.4314,0.54508
0,player,10,player,home,0.5607,0.77911,461,235,492,311,476.5,311.0,5933.5791,946.2695,178.1624,41.7122,6,4,0.47549,0.44955,0.50924
1,player,1,player,home,0.989,0.84525,644,430,694,538,669.0,538.0,6272.6411,3763.8223,187.5431,124.2262,6,4,0.38485,0.42635,0.60363
1,player,2,player,away,0.9877,0.84115,1176,419,1223,538,1199.5,538.0,7147.2695,3920.637,211.7411,128.8187,6,4,0.44523,0.34945,0.40684
1,player,6,player,away,0.9898,0.82075,292,297,329,383,310.5,383.0,5609.3892,1845.0134,169.1931,68.0325,6,4,0.52306,0.46459,0.45623
1,player,5,player,home,1.0,0.81956,1034,221,1070,293,1052.0,293.0,7086.9893,1013.0076,210.0734,43.6667,6,4,0.42252,0.46654,0.60177
1,player,4,player,away,0.9941,0.81695,1111,255,1145,334,1128.0,334.0,7193.8647,1603.894,213.0303,60.9712,6,4,0.40171,0.3572,0.38107
1,player,3,player,home,0.9897,0.81513,827,210,865,265,846.0,265.0,6700.6899,490.836,199.3858,28.3745,6,4,0.37542,0.41601,0.58957
1,player,7,player,home,1.0,0.7933,1191,244,1220,329,1205.5,329.0,7341.4028,1576.8916,217.1121,60.1804,6,4,0.43512,0.45645,0.63275
1,player,8,player,home,1.0,0.79171,595,241,628,314,611.5,314.0,6208.4268,1064.66,185.7665,45.1793,6,4,0.38805,0.43256,0.61235
1,player,10,player,home,0.5607,0.77437,458,235,489,311,473.5,311.0,5927.3984,944.5638,177.9914,41.6622,6,4,0.47154,0.42996,0.49764
1,player,9,player,home,0.6711,0.75653,1088,200,1111,261,1099.5,261.0,7208.6396,583.8916,213.439,31.0997,6,4,0.41995,0.43995,0.56115
2,player,1,player,home,0.989,0.84261,644,430,691,537,667.5,537.0,6270.2812,3753.2388,187.4778,123.9163,6,4,0.38822,0.42922,0.6082
2,player,2,player,away,0.9877,0.83815,1175,418,1221,537,1198.0,537.0,7145.6294,3910.498,211.6957,128.5217,6,4,0.45031,0.36005,0.41351
2,player,5,player,home,1.0,0.82429,1032,222,1066,294,1049.0,294.0,7080.3574,1025.2882,209.8899,44.0263,6,4,0.41603,0.46497,0.60096
2,player,3,player,home,0.9897,0.81949,824,211,864,265,844.0,265.0,6696.6392,489.6208,199.2737,28.3389,6,4,0.35685,0.39968,0.57573
2,player,6,player,away,0.9898,0.81913,288,296,326,384,307.0,384.0,5602.708,1856.368,169.0083,68.3651,6,4,0.51965,0.46864,0.45679
2,player,4,player,away,0.9941,0.81065,1109,255,1141,335,1125.0,335.0,7187.4131,1615.4072,212.8518,61.3084,6,4,0.38279,0.3372,0.36725
2,player,7,player,home,1.0,0.79707,1189,244,1218,329,1203.5,329.0,7337.7324,1575.9115,217.0106,60.1517,6,4,0.42748,0.44951,0.64111
