second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,7.28,3.0,6692.9866,1372.8582,6642.9525,2430.502,1115.9664,1266.9919,1161.3429,1270.3095,1807.3597,1811.8624,2581908.6242,1713456.6123,1059.7069,0.336653,,,,,,,,,,0,0
1,1.0,8.0,3.0,6711.4627,1483.344,6652.0474,2384.8851,969.246,1339.0344,1054.335,1249.5153,1630.9843,2141.457,1994453.0821,1312133.8792,903.8971,0.39997,146.720447,72.042461,107.007832,20.794238,155.809804,0.063318,-1.336433,,,0,0
2,2.0,8.36,3.0,6639.2303,1534.1718,6680.2938,2331.2956,890.6269,1460.5638,844.8007,1158.2563,1809.1215,2568.2732,1342857.0371,857284.7528,798.3607,0.356696,112.669772,96.785962,158.271094,56.026592,130.673083,0.053296,-1.32395,,,0,0
3,3.0,9.4,3.76,5759.6879,2330.0124,5680.3553,2275.3771,741.5009,797.0408,533.0731,599.9328,1288.4347,1326.7048,786428.9336,183759.481,439.7203,0.257173,124.821826,285.698316,209.423236,223.458913,206.662172,0.068705,-0.259071,,,0,0
4,4.0,9.44,4.16,4321.1126,3301.2893,4433.2571,3215.9183,647.6987,344.7634,353.2274,217.1793,377.5201,602.7084,1166262.3589,94549.889,251.165,0.134998,117.066936,327.343095,202.028865,263.282554,202.135454,0.082073,-0.061523,,,0,0
5,5.0,10.8,4.04,4287.8425,3365.4101,4458.7603,3310.9795,969.4702,316.6712,500.6416,255.7063,612.9946,487.3888,3721735.3393,91916.0191,306.685,0.2153,158.00785,267.492919,191.10593,218.331434,172.812353,0.081719,-0.256144,,,0,0
6,6.0,8.88,3.44,4856.3485,2922.0391,4838.1264,3341.5918,321.7972,480.8466,436.0209,406.6114,537.4225,622.458,495878.2311,42220.5699,497.0171,0.10223,239.618701,250.273335,170.025049,207.093721,175.732317,0.086944,-0.136636,,,0,0
7,7.0,6.48,3.52,6398.4276,1176.4216,5948.8564,2735.6219,1172.9356,1499.8441,1628.7367,1454.633,1715.9043,2439.8314,2575189.7298,2576561.9877,1629.6943,0.444451,326.97866,360.091083,316.123719,327.22627,312.438724,0.123412,1.425661,,,0,0
8,8.0,6.48,2.96,6170.2265,918.3706,5577.9907,2816.0905,1070.1134,1542.1727,1400.8487,1114.6487,1668.6833,2730.2453,2271740.4695,1894975.1412,1988.8937,0.439646,298.959106,320.370761,305.094255,328.821018,318.283807,0.108586,1.169015,,,0,0
9,9.0,6.32,3.04,6011.8133,935.4766,5499.2551,2790.0284,1040.9795,1534.732,1276.5617,1082.5191,1621.9463,2771.8423,2016611.622,1909766.5276,1925.7346,0.44359,268.97853,285.600746,285.004562,295.855308,289.936619,0.096959,0.77908,,,0,0
