frame_index,row_type,track_id,team_label,field_x_cm,field_y_cm,map_x,map_y,source_x,source_y
0,player,1,home,6275.1934,3764.2798,187.6137,124.2396,670.5,538.0
0,player,2,away,7150.5039,3931.0464,211.8306,129.1235,1202.0,539.0
0,player,3,home,6704.7397,492.0508,199.4978,28.4101,848.0,265.0
0,player,4,away,7196.6362,1604.6273,213.1069,60.9927,1129.5,334.0
0,player,5,home,7092.8555,1028.8456,210.2357,44.1305,1055.5,294.0
0,player,6,away,5615.3638,1846.4575,169.3584,68.0748,313.5,383.0
0,player,7,home,7344.9648,1591.0907,217.2107,60.5962,1208.0,330.0
0,player,8,home,6215.6631,1052.4908,185.9667,44.8229,615.0,313.0
0,player,9,home,7211.5767,584.7791,213.5203,31.1257,1101.0,261.0
0,player,10,home,5933.5791,946.2695,178.1624,41.7122,476.5,311.0
1,player,1,home,6272.6411,3763.8223,187.5431,124.2262,669.0,538.0
1,player,2,away,7147.2695,3920.637,211.7411,128.8187,1199.5,538.0
1,player,6,away,5609.3892,1845.0134,169.1931,68.0325,310.5,383.0
1,player,5,home,7086.9893,1013.0076,210.0734,43.6667,1052.0,293.0
1,player,4,away,7193.8647,1603.894,213.0303,60.9712,1128.0,334.0
1,player,3,home,6700.6899,490.836,199.3858,28.3745,846.0,265.0
1,player,7,home,7341.4028,1576.8916,217.1121,60.1804,1205.5,329.0
1,player,8,home,6208.4268,1064.66,185.7665,45.1793,611.5,314.0
1,player,10,home,5927.3984,944.5638,177.9914,41.6622,473.5,311.0
1,player,9,home,7208.6396,583.8916,213.439,31.0997,1099.5,261.0
2,player,1,home,6270.2812,3753.2388,187.4778,123.9163,667.5,537.0
2,player,2,away,7145.6294,3910.498,211.6957,128.5217,1198.0,537.0
2,player,5,home,7080.3574,1025.2882,209.8899,44.0263,1049.0,294.0
2,player,3,home,6696.6392,489.6208,199.2737,28.3389,844.0,265.0
2,player,6,away,5602.708,1856.368,169.0083,68.3651,307.0,384.0
2,player,4,away,7187.4131,1615.4072,212.8518,61.3084,1125.0,335.0
2,player,7,home,7337.7324,1575.9115,217.0106,60.1517,1203.5,329.0
2,player,10,home,5921.2646,957.22,177.8217,42.0329,470.5,312.0
2,player,8,home,6202.3789,1063.0004,185.5991,45.1307,608.5,314.0
2,player,9,home,7204.7227,582.708,213.3307,31.065,1097.5,261.0
3,player,2,away,7143.1865,3900.2,211.6282,128.2201,1196.0,536.0
3,player,1,home,6267.5356,3762.907,187.4018,124.1994,666.0,538.0
3,player,9,home,7200.8047,581.524,213.2223,31.0303,1095.5,261.0
3,player,3,home,6694.0366,503.8889,199.2017,28.7567,843.0,266.0
3,player,6,away,5598.7246,1855.4071,168.898,68.3369,305.0,384.0
3,player,5,home,7074.585,1023.6452,209.7302,43.9782,1046.0,294.0
3,player,4,away,7182.7944,1614.1874,212.724,61.2726,1122.5,335.0
3,player,7,home,7333.0449,1587.9136,216.8809,60.5032,1201.5,330.0
3,player,8,home,6196.3291,1061.3398,185.4318,45.0821,605.5,314.0
3,player,10,home,5915.084,955.5174,177.6507,41.983,467.5,312.0
4,player,1,home,6264.9824,3762.4492,187.3312,124.186,664.5,538.0
4,player,2,away,7141.5405,3890.0308,211.5826,127.9223,1194.5,535.0
4,player,3,home,6689.9873,502.6763,199.0896,28.7212,841.0,266.0
4,player,5,home,7068.8105,1022.0016,209.5704,43.93,1043.0,294.0
4,player,6,away,5593.7441,1854.2056,168.7603,68.3017,302.5,384.0
4,player,7,home,7328.4575,1586.6908,216.754,60.4674,1199.0,330.0
4,player,8,home,6190.2764,1059.6787,185.2643,45.0334,602.5,314.0
4,player,4,away,7178.1743,1612.9672,212.5962,61.2369,1120.0,335.0
