track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
4,away,0.9941,169,0,249,0.8161,3103.4438,169,"0.4276,0.3882,0.4023"
8,home,1.0,160,0,249,0.7965,2333.1937,160,"0.4028,0.4432,0.6148"
9,home,0.6711,152,0,241,0.7695,1929.9013,152,"0.4354,0.4195,0.5170"
7,home,1.0,119,0,169,0.7857,3139.2353,119,"0.4310,0.4634,0.6189"
10,home,0.5607,107,0,200,0.7727,2324.0841,102,"0.4559,0.4491,0.5120"
26,away,0.7921,101,90,249,0.8253,6138.6931,99,"0.4570,0.3943,0.4355"
5,home,1.0,100,0,179,0.7851,2422.72,100,"0.4080,0.4551,0.6003"
6,away,0.9898,98,0,226,0.8231,3746.9592,97,"0.4537,0.3919,0.4119"
3,home,0.9897,97,0,186,0.767,2045.4845,97,"0.3631,0.4032,0.5926"
1,home,0.989,91,0,145,0.8353,5030.3626,91,"0.3926,0.4374,0.6256"
14,home,0.8889,90,80,249,0.8254,4984.9444,90,"0.4140,0.4545,0.5896"
38,home,1.0,87,109,249,0.8121,3159.908,87,"0.4381,0.4696,0.5724"
22,away,0.7529,85,90,249,0.815,3766.0588,85,"0.4806,0.4528,0.4561"
11,home,0.9756,82,18,179,0.7641,2126.8171,82,"0.3685,0.4030,0.5970"
2,away,0.9877,81,0,138,0.8354,5386.5556,81,"0.4578,0.3758,0.4090"
19,away,1.0,80,90,169,0.8274,5005.525,80,"0.4568,0.3940,0.3859"
23,home,1.0,80,90,169,0.7816,3360.075,80,"0.3999,0.4494,0.5961"
25,home,0.8481,80,90,169,0.6452,2615.5625,80,"0.3938,0.4239,0.5706"
27,home,1.0,80,90,169,0.7704,2639.825,80,"0.4055,0.4543,0.5932"
20,home,0.7215,79,90,168,0.7276,2257.7975,79,"0.4150,0.4188,0.5321"
12,home,0.8052,77,51,249,0.7078,1803.2468,75,"0.4761,0.4643,0.5273"
21,away,0.7887,71,90,160,0.7931,3404.493,71,"0.4489,0.4658,0.4437"
28,home,0.7465,71,90,168,0.6816,2540.9296,71,"0.3566,0.3864,0.5070"
29,home,0.9857,70,91,169,0.7096,2006.0571,70,"0.3752,0.4106,0.5869"
18,home,1.0,67,90,156,0.8245,3850.3284,67,"0.3983,0.4399,0.5897"
24,away,0.5484,62,90,166,0.7141,2392.5806,62,"0.3889,0.4124,0.5002"
53,home,1.0,60,180,249,0.8103,2870.0167,60,"0.4040,0.4567,0.6109"
32,away,0.9216,51,94,194,0.7505,4103.8627,50,"0.4556,0.4365,0.4105"
39,home,0.6667,51,112,245,0.7034,2915.1765,51,"0.3884,0.4305,0.4866"
13,home,1.0,42,74,169,0.7297,2931.0238,42,"0.4503,0.5098,0.5596"
40,home,1.0,42,122,169,0.8288,5732.3095,42,"0.4214,0.4753,0.6155"
31,away,0.6757,37,93,169,0.7995,3825.6757,37,"0.4615,0.4665,0.4808"
36,home,0.9722,36,108,180,0.7791,2729.3611,36,"0.4649,0.5108,0.5630"
17,home,1.0,32,90,121,0.8271,5172.9688,32,"0.4116,0.4600,0.6318"
43,home,0.9615,26,132,199,0.7025,2165.3846,26,"0.4686,0.4818,0.5686"
15,home,0.5,20,81,249,0.7828,2249.35,20,"0.3910,0.3945,0.5004"
30,home,0.9231,13,92,179,0.7645,2497.9231,13,"0.5278,0.5267,0.5807"
49,away,1.0,13,171,196,0.6527,3476.3846,13,"0.3452,0.3899,0.3371"
34,home,0.8889,9,103,130,0.5693,1909.6667,6,"0.4574,0.4681,0.5692"
35,home,1.0,8,107,169,0.7001,2750.875,8,"0.4293,0.4788,0.5859"
41,home,1.0,6,124,129,0.8368,5192.5,6,"0.3830,0.4304,0.6184"
16,away,1.0,4,88,161,0.475,1402.0,4,"0.4400,0.5409,0.3524"
33,home,1.0,4,102,141,0.687,2320.0,4,"0.4750,0.5149,0.6236"
50,home,1.0,3,180,182,0.7867,2312.0,3,"0.4177,0.4628,0.5370"
37,home,1.0,2,109,131,0.7934,2340.0,2,"0.4221,0.4366,0.5717"
44,home,1.0,2,170,171,0.7522,3379.5,2,"0.4010,0.4460,0.5021"
56,unassigned,0.0,2,187,249,0.303,521.0,2,"0.0000,0.0000,0.0000"
42,home,1.0,1,125,125,0.5187,1404.0,1,"0.4623,0.4396,0.5783"
