split,game,half_file,tracker_mode,run_dir,second,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,goal_in_next_30s,goal_in_next_60s,seconds_to_next_goal,next_goal_team
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,0,1124.085,1266.9203,1129.0007,1270.2679,1045.7622,0.340493,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,1,975.1992,1339.3625,1036.8441,1250.155,897.7422,0.401583,148.885808,72.442227,92.156641,20.11291,148.019984,0.061091,-1.447215,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,2,889.735,1459.6018,846.1812,1158.0111,789.9417,0.358082,117.174996,96.340757,141.409756,56.128389,127.910244,0.052296,-1.392609,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,3,537.7136,1246.5356,468.7804,873.5234,604.8528,0.257704,195.457142,135.249243,220.073438,132.248171,146.969815,0.068323,-0.653655,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,4,669.9631,103.7348,275.0509,135.2655,219.9823,0.125587,179.655223,387.137145,213.487458,283.750581,206.444989,0.084272,0.1572,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,5,1050.4101,232.856,504.133,246.7931,317.7821,0.206969,219.813585,335.533963,216.606391,249.305975,184.715968,0.083694,0.048471,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,6,236.0539,462.4268,201.9645,359.0214,395.1743,0.085422,318.904017,317.873431,230.866742,226.459697,166.82867,0.090002,0.207958,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,7,1055.6352,1556.0716,665.0789,1436.7577,1319.2387,0.429357,390.429336,428.697916,264.04498,348.070633,275.005195,0.126279,1.386026,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,8,1101.0276,1570.6682,836.7207,1280.6726,1551.9259,0.441353,347.299726,376.935252,252.49458,324.072441,269.715454,0.111993,1.044651,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,9,1070.638,1551.3985,773.9224,1133.0365,1558.2443,0.445613,312.087493,337.194629,231.417214,304.468394,240.449116,0.100023,0.649174,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,0,1124.085,1266.9203,1129.0007,1270.2679,1045.7622,0.340493,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,1,975.1992,1339.3625,1036.8441,1250.155,897.7422,0.401583,148.885808,72.442227,92.156641,20.11291,148.019984,0.061091,-1.465615,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,2,889.735,1459.6018,846.1812,1158.0111,789.9417,0.358082,117.174996,96.340757,141.409756,56.128389,127.910244,0.052296,-1.383713,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,3,537.7136,1246.5356,468.7804,873.5234,604.8528,0.257704,195.457142,135.249243,220.073438,132.248171,146.969815,0.068323,-0.607091,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,4,669.9631,103.7348,275.0509,135.2655,219.9823,0.125587,179.655223,387.137145,213.487458,283.750581,206.444989,0.084272,0.195414,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,5,1017.086,248.6529,438.9202,261.5769,330.1065,0.206969,213.148763,338.693346,203.563832,252.26274,187.180849,0.083694,0.053861,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,6,231.8937,474.5478,196.0498,358.2739,432.3166,0.085422,308.489361,319.893604,210.114932,226.335107,173.019051,0.090002,0.203241,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,7,1011.8741,1573.5772,692.6311,1195.0151,1502.4381,0.429357,375.845226,431.198714,251.038694,313.535988,301.176544,0.126279,1.387189,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,8,1072.577,1564.3117,834.3708,1101.1186,1685.3294,0.441353,336.45244,378.457062,237.376326,286.081052,286.390882,0.111993,1.002701,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,9,1054.6578,1552.214,768.363,1047.1928,1624.7086,0.445613,301.05986,337.75046,218.335384,260.286031,261.305313,0.100023,0.614014,0,0,,
