second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
0,0.0,7.0,3.0,6665.2041,1385.4768,6643.0712,2430.9962,1124.085,1266.9203,1129.0007,1270.2679,1859.6011,1811.7764,2542384.1704,1713249.7931,1045.7622,0.340493,,,,,,,,,,0,0
1,1.0,7.84,3.0,6696.0361,1488.2117,6651.8489,2384.513,975.1992,1339.3625,1036.8441,1250.155,1661.4087,2141.4726,1975153.3602,1313757.4518,897.7422,0.401583,148.885808,72.442227,92.156641,20.11291,148.019984,0.061091,-1.465615,,,0,0
2,2.0,8.24,3.0,6640.1283,1542.0644,6680.1849,2330.7391,889.735,1459.6018,846.1812,1158.0111,1802.7303,2566.2289,1329960.08,857056.8063,789.9417,0.358082,117.174996,96.340757,141.409756,56.128389,127.910244,0.052296,-1.383713,,,0,0
3,3.0,10.08,2.96,5726.0163,2262.6927,5831.1041,2552.6975,537.7136,1246.5356,468.7804,873.5234,1101.1117,2207.0787,516897.638,347559.5906,604.8528,0.257704,195.457142,135.249243,220.073438,132.248171,146.969815,0.068323,-0.607091,,,0,0
4,4.0,10.48,2.64,4309.5399,3273.6673,4419.6364,3255.9241,669.9631,103.7348,275.0509,135.2655,493.3484,131.2517,1094893.1321,7527.7925,219.9823,0.125587,179.655223,387.137145,213.487458,283.750581,206.444989,0.084272,0.195414,,,0,0
5,5.0,11.28,2.96,4287.0504,3372.3957,4422.3661,3266.8211,1017.086,248.6529,438.9202,261.5769,677.9427,355.2854,4438696.0767,20789.0167,330.1065,0.206969,213.148763,338.693346,203.563832,252.26274,187.180849,0.083694,0.053861,,,0,0
6,6.0,6.08,2.64,4930.4077,3041.9133,4810.2645,3361.4409,231.8937,474.5478,196.0498,358.2739,368.7169,622.2078,146876.7406,6278.1282,432.3166,0.085422,308.489361,319.893604,210.114932,226.335107,173.019051,0.090002,0.203241,,,0,0
7,7.0,4.96,3.64,6741.328,1452.1101,5706.8829,2507.9039,1011.8741,1573.5772,692.6311,1195.0151,1810.2324,2808.0889,1323183.0909,2766490.2054,1502.4381,0.429357,375.845226,431.198714,251.038694,313.535988,301.176544,0.126279,1.387189,,,0,0
8,8.0,5.36,4.0,6353.3034,894.5478,5486.2945,2339.0227,1072.577,1564.3117,834.3708,1101.1186,1866.9571,2933.3999,1947407.167,2840981.6109,1685.3294,0.441353,336.45244,378.457062,237.376326,286.081052,286.390882,0.111993,1.002701,,,0,0
9,9.0,5.16,4.0,6193.4844,934.1423,5406.3206,2355.0035,1054.6578,1552.214,768.363,1047.1928,1841.2082,2962.3541,1725436.8931,2714432.3771,1624.7086,0.445613,301.05986,337.75046,218.335384,260.286031,261.305313,0.100023,0.614014,,,0,0
