track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
1,home,1.0,250,0,249,0.8309,5177.564,250,"0.4040,0.4551,0.6211"
8,home,1.0,248,0,249,0.7842,2541.8427,242,"0.4487,0.4928,0.5997"
6,away,0.9874,239,0,249,0.8218,3522.9498,237,"0.4552,0.4127,0.4097"
7,home,0.9247,186,0,238,0.7764,3130.6075,186,"0.3896,0.4304,0.5843"
5,home,1.0,183,0,182,0.7787,2471.4973,183,"0.4069,0.4543,0.5973"
2,away,1.0,170,0,169,0.8325,5114.2176,170,"0.4583,0.3843,0.3968"
4,away,0.9379,161,0,160,0.8006,2981.4534,161,"0.4262,0.4081,0.4210"
18,home,0.9739,153,89,249,0.8156,3184.9412,153,"0.3963,0.4460,0.5877"
3,home,1.0,146,0,154,0.7521,2024.9589,146,"0.3534,0.3964,0.5980"
9,home,0.8356,146,0,155,0.7691,1814.6918,146,"0.4194,0.4233,0.5465"
10,home,0.6286,140,0,141,0.7675,2350.7429,135,"0.4725,0.4719,0.5300"
11,home,1.0,125,29,185,0.748,2229.896,125,"0.3674,0.3935,0.5839"
119,away,1.0,85,165,249,0.8349,6602.5412,85,"0.4621,0.3669,0.3914"
151,away,0.9324,74,176,249,0.8297,4083.0811,74,"0.4733,0.4375,0.4216"
15,home,0.8676,71,76,156,0.6897,1943.0,71,"0.4183,0.4471,0.5710"
33,away,0.8261,69,113,249,0.7649,2071.7971,69,"0.4557,0.4145,0.4563"
182,home,1.0,62,188,249,0.8023,2273.5323,62,"0.4102,0.4382,0.6135"
27,home,0.6604,55,110,188,0.7747,3474.8364,55,"0.3564,0.4000,0.5128"
16,home,0.6154,52,82,166,0.7238,1904.6538,52,"0.3783,0.4078,0.5248"
176,home,0.6042,48,184,249,0.7447,1735.0625,48,"0.4871,0.4606,0.5115"
41,home,0.9524,21,124,146,0.6236,1704.5238,21,"0.4453,0.4290,0.5622"
13,home,0.7895,19,54,202,0.7489,1817.8421,19,"0.4355,0.4390,0.5389"
46,home,1.0,18,145,168,0.6006,3199.8333,18,"0.3910,0.4219,0.5936"
