track_id,team_label,team_vote_ratio,frames,first_frame,last_frame,average_confidence,average_bbox_area,projected_points,sampled_color_rgb
1,home,1.0,250,0,249,0.8309,5177.564,250,"0.4040,0.4551,0.6211"
5,home,1.0,183,0,182,0.7787,2471.4973,183,"0.4069,0.4543,0.5973"
7,home,1.0,172,0,171,0.7971,3135.3198,172,"0.3975,0.4395,0.6062"
2,away,1.0,170,0,169,0.8325,5114.2176,170,"0.4583,0.3843,0.3968"
4,away,0.9379,161,0,160,0.8006,2981.4534,161,"0.4262,0.4081,0.4210"
8,home,1.0,148,0,147,0.7797,2552.5811,142,"0.4092,0.4593,0.6140"
3,home,1.0,146,0,154,0.7521,2024.9589,146,"0.3534,0.3964,0.5980"
9,home,0.8356,146,0,155,0.7691,1814.6918,146,"0.4194,0.4233,0.5465"
10,home,0.6286,140,0,141,0.7675,2350.7429,135,"0.4725,0.4719,0.5300"
38,away,0.9766,128,122,249,0.8187,3468.1719,127,"0.4559,0.4285,0.4082"
11,home,1.0,115,29,146,0.7469,2180.8957,115,"0.3569,0.3862,0.5885"
6,away,1.0,111,0,110,0.8252,3586.1171,110,"0.4544,0.3944,0.4114"
59,home,1.0,100,150,249,0.7909,2525.95,100,"0.5071,0.5424,0.5784"
90,home,0.9882,85,158,249,0.8102,3146.6588,85,"0.3941,0.4489,0.5888"
119,away,1.0,85,165,249,0.8349,6602.5412,85,"0.4621,0.3669,0.3914"
151,away,0.9324,74,176,249,0.8297,4083.0811,74,"0.4733,0.4375,0.4216"
15,home,0.8676,71,76,156,0.6897,1943.0,71,"0.4183,0.4471,0.5710"
18,home,0.9559,68,89,156,0.8223,3232.7941,68,"0.3992,0.4425,0.5863"
172,away,0.8209,67,183,249,0.7763,2099.8955,67,"0.4556,0.4100,0.4573"
182,home,1.0,62,188,249,0.8023,2273.5323,62,"0.4102,0.4382,0.6135"
176,home,0.6042,48,184,249,0.7447,1735.0625,48,"0.4871,0.4606,0.5115"
27,home,0.9697,35,110,144,0.8242,3104.6286,35,"0.3519,0.3904,0.5966"
16,home,0.9643,28,82,109,0.7428,1907.5714,28,"0.3574,0.4060,0.5637"
42,away,0.7917,24,128,166,0.7015,1901.25,24,"0.4026,0.4099,0.4795"
41,home,0.9524,21,124,146,0.6236,1704.5238,21,"0.4453,0.4290,0.5622"
46,home,1.0,18,145,168,0.6006,3199.8333,18,"0.3910,0.4219,0.5936"
124,away,1.0,16,166,188,0.6571,4166.75,16,"0.3558,0.4050,0.3459"
188,away,1.0,14,206,238,0.5219,3072.7143,14,"0.2936,0.3191,0.3153"
184,home,0.6923,13,190,202,0.7897,1849.1538,13,"0.4625,0.4424,0.5352"
13,home,1.0,6,54,59,0.6602,1750.0,6,"0.3769,0.4315,0.5469"
126,home,1.0,6,167,185,0.7564,2968.0,6,"0.5104,0.5047,0.5316"
58,home,1.0,4,150,153,0.7695,2531.5,4,"0.4554,0.4379,0.5314"
77,home,0.75,4,155,165,0.812,3946.5,4,"0.3958,0.4589,0.4885"
33,away,1.0,2,113,114,0.3817,1130.5,2,"0.4595,0.5668,0.4215"
