epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08781,1.54555,3.64084,2.12731,0.00358,0.5,0.08292,0.05804,1.68934,3.73879,2.63269,0,0,0
2,6.07752,1.9556,3.79982,2.71602,0.00352,0.5,0.11056,0.08018,1.779,3.73718,2.66597,1.22525e-05,1.22525e-05,1.22525e-05
3,6.96565,1.89071,3.65183,2.36372,0.00353,0.5,0.11056,0.08844,1.77066,3.75543,2.64082,2.401e-05,2.401e-05,2.401e-05
4,8.17384,2.41096,3.3926,2.57249,0.00356,0.5,0.11056,0.09124,1.74732,3.7463,2.60887,3.52725e-05,3.52725e-05,3.52725e-05
5,9.17506,1.34661,3.58911,1.99976,0.0036,0.5,0.12437,0.09334,1.81541,3.76213,2.62625,4.604e-05,4.604e-05,4.604e-05
6,10.1866,1.6247,3.20192,2.28894,0.00364,0.5,0.12437,0.09423,1.85891,3.7226,2.62338,5.63125e-05,5.63125e-05,5.63125e-05
7,11.3742,1.64824,3.89853,2.46122,0.00369,0.5,0.12437,0.08537,1.83815,3.66137,2.56368,6.609e-05,6.609e-05,6.609e-05
8,12.7002,1.55817,3.15524,2.02464,0.00362,0.5,0.14214,0.10949,1.81195,3.6219,2.50859,7.53725e-05,7.53725e-05,7.53725e-05
9,13.7247,1.47361,3.71182,1.93338,0.00373,0.5,0.16583,0.13268,1.80965,3.56344,2.4839,8.416e-05,8.416e-05,8.416e-05
10,14.7163,1.66054,3.45615,1.98394,0.09312,0.5,0.3725,0.3228,1.7389,3.48097,2.36166,9.24525e-05,9.24525e-05,9.24525e-05
11,15.8026,1.11568,3.27309,1.66675,0.69098,0.5,0.4975,0.4228,1.60046,3.4193,2.19915,0.00010025,0.00010025,0.00010025
12,16.8612,1.775,3.44826,1.78019,0.87892,0.5,0.4975,0.4228,1.47628,3.3405,2.04161,0.000107553,0.000107553,0.000107553
13,17.6991,1.6718,3.12169,1.85501,0.91543,0.5,0.4975,0.4228,1.35811,3.25513,1.90939,0.00011436,0.00011436,0.00011436
14,18.797,1.17933,3.23246,1.60266,0.94261,0.5,0.4975,0.44775,1.28618,3.24188,1.84959,0.000120672,0.000120672,0.000120672
15,19.7104,0.92239,3.01064,1.50606,0.93975,0.5,0.4975,0.44775,1.23386,3.26903,1.78825,0.00012649,0.00012649,0.00012649
16,20.8626,1.5624,3.04933,1.66844,0.95124,0.5,0.4975,0.44775,1.2259,3.29505,1.76303,0.000131813,0.000131813,0.000131813
17,21.6516,1.25104,3.18981,1.44643,0.96019,0.5,0.4975,0.44775,1.23005,3.3116,1.75748,0.00013664,0.00013664,0.00013664
18,22.4851,0.92506,3.09723,1.45293,0.96019,0.5,0.4975,0.44775,1.23005,3.3116,1.75748,0.000140972,0.000140972,0.000140972
19,23.3503,1.25876,3.28788,1.60585,0.96493,0.5,0.4975,0.44775,1.25553,3.30085,1.78117,0.00014481,0.00014481,0.00014481
20,24.2214,1.10216,2.82332,1.34092,0.96493,0.5,0.4975,0.44775,1.25553,3.30085,1.78117,0.000148153,0.000148153,0.000148153
21,25.1952,1.4011,3.00019,1.59704,0.97319,0.5,0.50689,0.4515,1.2796,3.28174,1.79958,0.000151,0.000151,0.000151
22,26.0886,0.94714,2.91286,1.42426,0.97319,0.5,0.50689,0.4515,1.2796,3.28174,1.79958,0.000153353,0.000153353,0.000153353
23,26.8491,0.83941,2.93408,1.30856,0.97625,0.5,0.52064,0.45701,1.28897,3.21855,1.77208,0.00015521,0.00015521,0.00015521
24,27.5171,1.07176,2.69976,1.40487,0.97625,0.5,0.52064,0.45701,1.28897,3.21855,1.77208,0.000156573,0.000156573,0.000156573
25,28.3068,1.05821,3.0298,1.39409,0.98332,0.5,0.57404,0.47837,1.28872,3.17962,1.7346,0.00015744,0.00015744,0.00015744
26,29.3051,0.87916,2.66862,1.25737,0.98332,0.5,0.57404,0.47837,1.28872,3.17962,1.7346,0.000157812,0.000157812,0.000157812
